Month-Year,All-items CPI,Province
1960-01,15.5,Canada
1960-02,15.5,Canada
1960-03,15.4,Canada
1960-04,15.5,Canada
1960-05,15.5,Canada
1960-06,15.5,Canada
1960-07,15.5,Canada
1960-08,15.5,Canada
1960-09,15.5,Canada
1960-10,15.7,Canada
1960-11,15.7,Canada
1960-12,15.7,Canada
1961-01,15.7,Canada
1961-02,15.7,Canada
1961-03,15.7,Canada
1961-04,15.7,Canada
1961-05,15.7,Canada
1961-06,15.7,Canada
1961-07,15.7,Canada
1961-08,15.7,Canada
1961-09,15.7,Canada
1961-10,15.7,Canada
1961-11,15.7,Canada
1961-12,15.7,Canada
1962-01,15.7,Canada
1962-02,15.7,Canada
1962-03,15.7,Canada
1962-04,15.8,Canada
1962-05,15.8,Canada
1962-06,15.9,Canada
1962-07,15.9,Canada
1962-08,16,Canada
1962-09,15.9,Canada
1962-10,16,Canada
1962-11,16,Canada
1962-12,16,Canada
1963-01,16,Canada
1963-02,16,Canada
1963-03,16,Canada
1963-04,16,Canada
1963-05,16,Canada
1963-06,16,Canada
1963-07,16.2,Canada
1963-08,16.3,Canada
1963-09,16.2,Canada
1963-10,16.2,Canada
1963-11,16.3,Canada
1963-12,16.3,Canada
1964-01,16.3,Canada
1964-02,16.3,Canada
1964-03,16.3,Canada
1964-04,16.4,Canada
1964-05,16.4,Canada
1964-06,16.4,Canada
1964-07,16.5,Canada
1964-08,16.5,Canada
1964-09,16.5,Canada
1964-10,16.5,Canada
1964-11,16.5,Canada
1964-12,16.6,Canada
1965-01,16.6,Canada
1965-02,16.6,Canada
1965-03,16.6,Canada
1965-04,16.7,Canada
1965-05,16.7,Canada
1965-06,16.9,Canada
1965-07,16.9,Canada
1965-08,16.9,Canada
1965-09,16.9,Canada
1965-10,16.9,Canada
1965-11,17,Canada
1965-12,17.1,Canada
1966-01,17.1,Canada
1966-02,17.2,Canada
1966-03,17.3,Canada
1966-04,17.4,Canada
1966-05,17.4,Canada
1966-06,17.5,Canada
1966-07,17.5,Canada
1966-08,17.6,Canada
1966-09,17.6,Canada
1966-10,17.6,Canada
1966-11,17.6,Canada
1966-12,17.7,Canada
1967-01,17.7,Canada
1967-02,17.7,Canada
1967-03,17.8,Canada
1967-04,17.9,Canada
1967-05,18,Canada
1967-06,18.1,Canada
1967-07,18.2,Canada
1967-08,18.3,Canada
1967-09,18.3,Canada
1967-10,18.3,Canada
1967-11,18.3,Canada
1967-12,18.4,Canada
1968-01,18.5,Canada
1968-02,18.5,Canada
1968-03,18.6,Canada
1968-04,18.6,Canada
1968-05,18.6,Canada
1968-06,18.7,Canada
1968-07,18.9,Canada
1968-08,19,Canada
1968-09,19,Canada
1968-10,19,Canada
1968-11,19.2,Canada
1968-12,19.2,Canada
1969-01,19.2,Canada
1969-02,19.2,Canada
1969-03,19.3,Canada
1969-04,19.6,Canada
1969-05,19.6,Canada
1969-06,19.7,Canada
1969-07,19.8,Canada
1969-08,19.9,Canada
1969-09,19.9,Canada
1969-10,19.9,Canada
1969-11,19.9,Canada
1969-12,20.1,Canada
1970-01,20.2,Canada
1970-02,20.2,Canada
1970-03,20.2,Canada
1970-04,20.3,Canada
1970-05,20.3,Canada
1970-06,20.3,Canada
1970-07,20.5,Canada
1970-08,20.5,Canada
1970-09,20.4,Canada
1970-10,20.4,Canada
1970-11,20.4,Canada
1970-12,20.3,Canada
1971-01,20.4,Canada
1971-02,20.5,Canada
1971-03,20.5,Canada
1971-04,20.7,Canada
1971-05,20.7,Canada
1971-06,20.8,Canada
1971-07,21,Canada
1971-08,21.2,Canada
1971-09,21.1,Canada
1971-10,21.2,Canada
1971-11,21.2,Canada
1971-12,21.3,Canada
1972-01,21.4,Canada
1972-02,21.5,Canada
1972-03,21.6,Canada
1972-04,21.7,Canada
1972-05,21.7,Canada
1972-06,21.7,Canada
1972-07,22,Canada
1972-08,22.2,Canada
1972-09,22.3,Canada
1972-10,22.3,Canada
1972-11,22.3,Canada
1972-12,22.4,Canada
1973-01,22.6,Canada
1973-02,22.8,Canada
1973-03,22.8,Canada
1973-04,23.1,Canada
1973-05,23.2,Canada
1973-06,23.4,Canada
1973-07,23.7,Canada
1973-08,24,Canada
1973-09,24.1,Canada
1973-10,24.2,Canada
1973-11,24.4,Canada
1973-12,24.5,Canada
1974-01,24.7,Canada
1974-02,24.9,Canada
1974-03,25.2,Canada
1974-04,25.4,Canada
1974-05,25.9,Canada
1974-06,26.1,Canada
1974-07,26.3,Canada
1974-08,26.6,Canada
1974-09,26.8,Canada
1974-10,27.1,Canada
1974-11,27.3,Canada
1974-12,27.6,Canada
1975-01,27.6,Canada
1975-02,27.9,Canada
1975-03,28,Canada
1975-04,28.2,Canada
1975-05,28.5,Canada
1975-06,28.8,Canada
1975-07,29.2,Canada
1975-08,29.5,Canada
1975-09,29.6,Canada
1975-10,29.8,Canada
1975-11,30.1,Canada
1975-12,30.2,Canada
1976-01,30.3,Canada
1976-02,30.5,Canada
1976-03,30.6,Canada
1976-04,30.7,Canada
1976-05,30.9,Canada
1976-06,31.1,Canada
1976-07,31.3,Canada
1976-08,31.3,Canada
1976-09,31.5,Canada
1976-10,31.7,Canada
1976-11,31.8,Canada
1976-12,31.9,Canada
1977-01,32.2,Canada
1977-02,32.4,Canada
1977-03,32.8,Canada
1977-04,33,Canada
1977-05,33.4,Canada
1977-06,33.5,Canada
1977-07,33.9,Canada
1977-08,33.9,Canada
1977-09,34.2,Canada
1977-10,34.5,Canada
1977-11,34.7,Canada
1977-12,34.9,Canada
1978-01,35.1,Canada
1978-02,35.4,Canada
1978-03,35.7,Canada
1978-04,35.8,Canada
1978-05,36.3,Canada
1978-06,36.6,Canada
1978-07,37.1,Canada
1978-08,37.2,Canada
1978-09,37.1,Canada
1978-10,37.6,Canada
1978-11,37.8,Canada
1978-12,37.9,Canada
1979-01,38.1,Canada
1979-02,38.6,Canada
1979-03,39,Canada
1979-04,39.3,Canada
1979-05,39.7,Canada
1979-06,39.9,Canada
1979-07,40.2,Canada
1979-08,40.3,Canada
1979-09,40.7,Canada
1979-10,41,Canada
1979-11,41.4,Canada
1979-12,41.6,Canada
1980-01,41.8,Canada
1980-02,42.3,Canada
1980-03,42.6,Canada
1980-04,42.9,Canada
1980-05,43.4,Canada
1980-06,43.9,Canada
1980-07,44.2,Canada
1980-08,44.7,Canada
1980-09,45,Canada
1980-10,45.4,Canada
1980-11,46,Canada
1980-12,46.2,Canada
1981-01,46.9,Canada
1981-02,47.4,Canada
1981-03,48,Canada
1981-04,48.3,Canada
1981-05,48.7,Canada
1981-06,49.5,Canada
1981-07,49.9,Canada
1981-08,50.3,Canada
1981-09,50.7,Canada
1981-10,51.2,Canada
1981-11,51.6,Canada
1981-12,51.8,Canada
1982-01,52.2,Canada
1982-02,52.8,Canada
1982-03,53.5,Canada
1982-04,53.8,Canada
1982-05,54.5,Canada
1982-06,55.1,Canada
1982-07,55.4,Canada
1982-08,55.6,Canada
1982-09,55.9,Canada
1982-10,56.3,Canada
1982-11,56.6,Canada
1982-12,56.6,Canada
1983-01,56.5,Canada
1983-02,56.8,Canada
1983-03,57.4,Canada
1983-04,57.4,Canada
1983-05,57.5,Canada
1983-06,58.1,Canada
1983-07,58.4,Canada
1983-08,58.7,Canada
1983-09,58.7,Canada
1983-10,59.1,Canada
1983-11,59.1,Canada
1983-12,59.2,Canada
1984-01,59.6,Canada
1984-02,59.9,Canada
1984-03,60,Canada
1984-04,60.2,Canada
1984-05,60.2,Canada
1984-06,60.6,Canada
1984-07,60.8,Canada
1984-08,60.8,Canada
1984-09,60.9,Canada
1984-10,61.1,Canada
1984-11,61.4,Canada
1984-12,61.4,Canada
1985-01,61.7,Canada
1985-02,62.1,Canada
1985-03,62.2,Canada
1985-04,62.5,Canada
1985-05,62.7,Canada
1985-06,63,Canada
1985-07,63.3,Canada
1985-08,63.3,Canada
1985-09,63.4,Canada
1985-10,63.6,Canada
1985-11,63.8,Canada
1985-12,64.1,Canada
1986-01,64.4,Canada
1986-02,64.7,Canada
1986-03,64.9,Canada
1986-04,64.9,Canada
1986-05,65.3,Canada
1986-06,65.4,Canada
1986-07,65.9,Canada
1986-08,66,Canada
1986-09,66,Canada
1986-10,66.4,Canada
1986-11,66.7,Canada
1986-12,66.8,Canada
1987-01,67,Canada
1987-02,67.3,Canada
1987-03,67.5,Canada
1987-04,67.9,Canada
1987-05,68.3,Canada
1987-06,68.5,Canada
1987-07,68.9,Canada
1987-08,69,Canada
1987-09,69,Canada
1987-10,69.2,Canada
1987-11,69.5,Canada
1987-12,69.6,Canada
1988-01,69.7,Canada
1988-02,70,Canada
1988-03,70.4,Canada
1988-04,70.6,Canada
1988-05,71,Canada
1988-06,71.2,Canada
1988-07,71.6,Canada
1988-08,71.7,Canada
1988-09,71.8,Canada
1988-10,72.2,Canada
1988-11,72.3,Canada
1988-12,72.3,Canada
1989-01,72.7,Canada
1989-02,73.2,Canada
1989-03,73.6,Canada
1989-04,73.8,Canada
1989-05,74.6,Canada
1989-06,74.9,Canada
1989-07,75.4,Canada
1989-08,75.5,Canada
1989-09,75.6,Canada
1989-10,75.9,Canada
1989-11,76.1,Canada
1989-12,76.1,Canada
1990-01,76.7,Canada
1990-02,77.2,Canada
1990-03,77.5,Canada
1990-04,77.5,Canada
1990-05,77.9,Canada
1990-06,78.2,Canada
1990-07,78.5,Canada
1990-08,78.6,Canada
1990-09,78.8,Canada
1990-10,79.5,Canada
1990-11,80,Canada
1990-12,79.9,Canada
1991-01,82,Canada
1991-02,82,Canada
1991-03,82.3,Canada
1991-04,82.3,Canada
1991-05,82.7,Canada
