Date,Composite_HPI_SA,Single_Family_HPI_SA,One_Storey_HPI_SA,Two_Storey_HPI_SA,Townhouse_HPI_SA,Apartment_HPI_SA,Composite_Benchmark_SA,Single_Family_Benchmark_SA,One_Storey_Benchmark_SA,Two_Storey_Benchmark_SA,Townhouse_Benchmark_SA,Apartment_Benchmark_SA
2005-01-01 00:00:00,100.0,100.0,100.0,100.0,100.0,100.0,239800,260400,207700,302900,201700.0,172000.0
2005-02-01 00:00:00,100.3,100.2,100.3,100.1,100.3,100.6,240500,261000,208400,303300,202300.0,173000.0
2005-03-01 00:00:00,100.6,100.6,100.7,100.5,100.6,101.1,241300,261900,209200,304300,202900.0,173900.0
2005-04-01 00:00:00,100.9,100.8,101.2,100.6,100.8,101.5,242000,262600,210100,304800,203300.0,174600.0
2005-05-01 00:00:00,101.2,101.1,101.4,100.8,101.0,102.0,242600,263200,210600,305400,203700.0,175400.0
2005-06-01 00:00:00,101.8,101.6,101.8,101.4,101.4,102.8,244000,264600,211400,307200,204500.0,176800.0
2005-07-01 00:00:00,102.6,102.5,102.8,102.2,102.4,103.5,246100,267000,213600,309600,206500.0,178100.0
2005-08-01 00:00:00,103.5,103.5,103.9,103.1,103.3,104.2,248300,269500,215900,312300,208400.0,179200.0
2005-09-01 00:00:00,104.6,104.5,105.2,103.9,104.6,106.3,250900,272000,218400,314800,210900.0,182800.0
2005-10-01 00:00:00,105.8,105.7,106.4,105.2,105.6,107.0,253800,275300,221000,318500,213000.0,184000.0
2005-11-01 00:00:00,107.0,106.8,107.7,106.1,106.9,108.2,256600,278200,223700,321500,215700.0,186100.0
2005-12-01 00:00:00,108.0,107.9,108.9,107.2,107.9,109.4,259100,281000,226100,324600,217700.0,188200.0
2006-01-01 00:00:00,109.4,109.2,110.3,108.3,109.6,110.8,262300,284300,229000,328100,221000.0,190600.0
2006-02-01 00:00:00,110.5,110.3,111.5,109.3,111.1,112.2,265000,287100,231600,331100,224000.0,193000.0
2006-03-01 00:00:00,111.7,111.5,112.9,110.4,112.3,113.3,267900,290300,234400,334500,226500.0,194900.0
2006-04-01 00:00:00,113.1,112.8,114.3,111.7,113.9,114.7,271200,293800,237500,338200,229800.0,197300.0
2006-05-01 00:00:00,114.4,114.1,115.9,112.8,115.8,116.3,274400,297100,240800,341600,233500.0,200000.0
2006-06-01 00:00:00,115.7,115.3,117.4,113.8,117.7,117.7,277400,300200,243900,344600,237500.0,202500.0
2006-07-01 00:00:00,116.8,116.3,118.7,114.7,119.4,119.2,280200,302800,246600,347300,240800.0,205100.0
2006-08-01 00:00:00,118.1,117.4,120.1,115.6,121.1,120.9,283100,305700,249400,350100,244200.0,208000.0
2006-09-01 00:00:00,119.2,118.5,121.3,116.7,122.4,122.8,285900,308600,252000,353500,246800.0,211200.0
2006-10-01 00:00:00,119.8,119.0,122.2,117.0,123.8,123.4,287300,310000,253900,354300,249800.0,212200.0
2006-11-01 00:00:00,120.6,119.9,123.4,117.7,124.9,124.0,289300,312200,256200,356400,251900.0,213300.0
2006-12-01 00:00:00,121.7,120.9,124.8,118.4,126.3,125.1,291800,314800,259300,358500,254700.0,215100.0
2007-01-01 00:00:00,122.6,121.8,125.9,119.2,127.3,126.3,294100,317200,261500,361000,256700.0,217300.0
2007-02-01 00:00:00,124.0,123.2,127.4,120.6,128.4,127.4,297400,320900,264700,365200,258900.0,219200.0
2007-03-01 00:00:00,125.2,124.3,128.7,121.5,130.0,129.0,300200,323700,267400,367900,262200.0,221900.0
2007-04-01 00:00:00,126.3,125.5,129.9,122.5,131.0,130.3,302900,326700,269800,371200,264200.0,224200.0
2007-05-01 00:00:00,127.7,126.8,131.6,123.7,132.3,131.8,306200,330200,273400,374800,266800.0,226700.0
2007-06-01 00:00:00,128.9,128.0,133.2,124.8,133.4,133.1,309100,333300,276600,377900,269100.0,229000.0
2007-07-01 00:00:00,130.0,129.1,134.3,125.8,134.4,134.4,311700,336200,279000,381000,271100.0,231100.0
2007-08-01 00:00:00,130.8,129.9,135.1,126.6,135.5,135.3,313700,338200,280700,383400,273300.0,232800.0
2007-09-01 00:00:00,131.7,130.8,136.2,127.4,136.1,136.5,315800,340600,282800,385900,274500.0,234700.0
2007-10-01 00:00:00,132.5,131.6,136.9,128.2,136.8,137.4,317700,342600,284400,388200,276000.0,236300.0
2007-11-01 00:00:00,133.2,132.2,137.7,128.8,137.7,138.7,319400,344300,286000,390000,277800.0,238600.0
2007-12-01 00:00:00,134.1,133.0,138.2,129.7,138.8,139.7,321500,346400,287000,392900,279900.0,240300.0
2008-01-01 00:00:00,134.7,133.7,138.9,130.3,139.6,140.6,323100,348200,288500,394600,281500.0,241800.0
2008-02-01 00:00:00,134.9,133.9,139.1,130.5,139.9,140.8,323600,348800,289000,395200,282100.0,242200.0
2008-03-01 00:00:00,134.9,133.9,139.1,130.4,140.2,141.0,323600,348600,289000,395000,282700.0,242500.0
2008-04-01 00:00:00,134.5,133.4,138.5,129.9,140.3,140.5,322500,347300,287700,393500,282900.0,241700.0
2008-05-01 00:00:00,133.7,132.6,137.7,129.2,139.9,139.9,320700,345200,285900,391200,282200.0,240700.0
2008-06-01 00:00:00,133.0,131.8,136.9,128.5,139.3,139.1,318900,343300,284300,389100,280900.0,239200.0
2008-07-01 00:00:00,132.1,130.8,135.7,127.5,138.6,138.3,316700,340700,281900,386300,279500.0,237900.0
2008-08-01 00:00:00,131.2,130.1,135.0,126.6,137.7,137.3,314700,338700,280400,383600,277700.0,236100.0
2008-09-01 00:00:00,130.5,129.3,134.2,125.9,136.9,136.4,312900,336700,278800,381400,276200.0,234600.0
2008-10-01 00:00:00,128.8,127.6,132.4,124.3,135.7,134.7,308800,332300,275000,376500,273800.0,231600.0
2008-11-01 00:00:00,127.4,126.3,130.7,123.2,134.5,132.9,305600,328900,271500,373300,271200.0,228600.0
2008-12-01 00:00:00,125.8,124.7,129.2,121.6,131.6,131.5,301700,324800,268400,368300,265500.0,226200.0
2009-01-01 00:00:00,124.5,123.5,127.9,120.4,131.1,129.2,298600,321700,265700,364800,264400.0,222300.0
2009-02-01 00:00:00,123.4,122.3,126.7,119.2,130.0,128.5,296000,318500,263200,361100,262300.0,221100.0
2009-03-01 00:00:00,122.6,121.4,125.2,118.7,129.0,128.1,294000,316200,260000,359500,260100.0,220300.0
2009-04-01 00:00:00,123.1,122.0,125.9,119.2,128.7,128.8,295300,317800,261500,361100,259500.0,221500.0
2009-05-01 00:00:00,124.1,123.2,126.6,120.4,129.0,129.8,297700,320700,263000,364800,260200.0,223200.0
2009-06-01 00:00:00,125.7,124.7,127.8,122.1,129.8,131.6,301400,324700,265400,369800,261900.0,226400.0
2009-07-01 00:00:00,127.5,126.5,129.4,124.0,131.7,133.5,305700,329500,268800,375500,265600.0,229700.0
2009-08-01 00:00:00,129.3,128.4,130.9,125.9,133.2,135.5,310100,334300,271900,381500,268600.0,233000.0
2009-09-01 00:00:00,131.3,130.4,132.5,128.1,135.0,137.4,314800,339600,275200,387900,272200.0,236300.0
2009-10-01 00:00:00,133.2,132.4,134.2,130.2,136.7,139.5,319500,344800,278700,394400,275800.0,239900.0
2009-11-01 00:00:00,135.0,134.1,135.6,132.0,138.4,141.6,323700,349200,281700,399900,279200.0,243500.0
2009-12-01 00:00:00,136.4,135.6,137.1,133.5,140.1,143.1,327200,353100,284800,404300,282500.0,246100.0
2010-01-01 00:00:00,137.5,136.5,137.6,134.6,141.9,144.9,329800,355500,285800,407700,286200.0,249300.0
2010-02-01 00:00:00,138.4,137.5,138.2,135.7,142.5,145.3,331800,358000,287000,411000,287400.0,250000.0
2010-03-01 00:00:00,139.0,138.1,138.5,136.4,143.5,145.9,333300,359500,287700,413100,289500.0,251000.0
2010-04-01 00:00:00,139.3,138.3,138.9,136.6,144.3,146.1,334000,360200,288400,413700,291100.0,251300.0
2010-05-01 00:00:00,139.1,138.2,138.6,136.5,144.3,146.0,333600,359800,287800,413500,291100.0,251100.0
2010-06-01 00:00:00,138.6,137.7,137.9,136.1,144.3,145.1,332400,358600,286400,412200,291000.0,249500.0
2010-07-01 00:00:00,138.3,137.5,137.7,135.9,143.4,144.4,331600,358000,285900,411500,289200.0,248400.0
2010-08-01 00:00:00,138.2,137.4,137.3,135.9,143.0,143.8,331300,357900,285200,411700,288400.0,247300.0
2010-09-01 00:00:00,138.2,137.5,137.2,136.1,143.0,144.2,331500,358000,284900,412100,288400.0,248100.0
2010-10-01 00:00:00,138.7,137.9,137.6,136.5,142.9,144.9,332600,359200,285700,413500,288300.0,249200.0
