Month-Year,Alberta,British Columbia,"Calgary, Alberta",Canada,"Charlottetown, Prince Edward Island","Edmonton, Alberta","Greater Sudbury, Ontario","Halifax, Nova Scotia","Hamilton, Ontario","Kitchener-Cambridge-Waterloo, Ontario","London, Ontario",Manitoba,"Montréal, Quebec",New Brunswick,Newfoundland and Labrador,Nova Scotia,Ontario,"Ottawa, Ontario",Prairie Region,Prince Edward Island,Quebec,"Québec, Quebec","Regina, Saskatchewan","Saint John-Fredericton-Moncton, New Brunswick",Saskatchewan,"Saskatoon, Saskatchewan","St. Catharines-Niagara, Ontario","St. John's, Newfoundland and Labrador","Toronto, Ontario","Vancouver, British Columbia","Victoria, British Columbia","Windsor, Ontario","Winnipeg, Manitoba"
1981-01,,,27.8,36.1,,36.5,54.6,,24.8,30.4,27.0,,30.0,,,,,30.8,,,,34.9,20.7,61.4,,35.8,28.3,37.5,22.6,96.1,206.8,64.9,29.3
1981-02,,,28.1,36.5,,36.8,55.6,,24.9,30.5,27.5,,30.2,,,,,30.8,,,,35.4,21.2,62.1,,35.8,28.6,37.5,23.2,97.5,209.1,64.9,29.7
1981-03,,,28.6,37.3,,36.8,55.6,,25.3,30.7,28.2,,30.5,,,,,31.9,,,,35.4,21.5,62.1,,36.4,28.6,37.5,24.8,97.5,210.6,64.1,30.3
1981-04,,,30.1,38.1,,36.9,57.0,,25.6,31.1,28.6,,30.8,,,,,32.0,,,,35.7,22.4,62.1,,37.3,28.6,37.5,26.5,97.7,210.6,63.9,30.5
1981-05,,,30.1,38.9,,38.2,57.0,,26.4,31.1,28.6,,31.1,,,,,32.7,,,,36.1,23.1,63.3,,37.7,28.9,37.7,27.7,97.7,212.4,63.9,31.1
1981-06,,,30.6,39.1,,38.4,57.2,,26.6,31.4,29.1,,31.5,,,,,33.5,,,,36.1,23.1,63.3,,38.0,29.2,37.7,27.7,98.2,210.6,63.9,31.8
1981-07,,,30.6,39.2,,38.4,57.2,,26.6,31.4,29.7,,31.7,,,,,33.5,,,,36.2,23.1,63.6,,39.2,29.2,37.7,27.7,97.7,206.2,63.9,32.0
1981-08,,,30.7,39.0,,38.8,57.5,,26.7,31.4,29.7,,31.7,,,,,33.9,,,,36.6,23.3,64.6,,39.2,29.2,37.8,28.0,89.8,206.2,63.9,32.9
1981-09,,,30.7,39.0,,38.8,57.5,,26.7,31.6,29.7,,32.1,,,,,33.9,,,,36.6,23.3,64.6,,39.2,29.2,37.8,28.1,89.3,200.8,60.8,32.9
1981-10,,,30.8,38.8,,38.8,57.5,,26.7,31.7,29.7,,32.4,,,,,33.9,,,,36.6,23.3,62.7,,39.3,29.2,37.8,28.1,85.2,200.6,60.8,32.9
1981-11,,,31.0,38.8,,39.1,58.6,,26.7,32.0,29.7,,32.7,,,,,35.2,,,,36.8,23.3,62.7,,39.3,29.2,38.5,28.1,81.1,198.5,60.8,32.9
1981-12,,,31.1,38.9,,39.1,58.6,,26.7,32.0,29.7,,33.1,,,,,35.2,,,,36.8,23.3,62.7,,39.3,29.2,38.5,28.1,80.2,204.2,60.8,33.6
1982-01,,,31.3,39.1,,39.3,58.6,,26.7,32.0,29.7,,33.6,,,,,36.0,,,,37.3,23.3,62.7,,38.0,29.2,38.0,28.2,79.6,204.2,60.8,33.6
1982-02,,,31.6,38.9,,39.7,59.1,,27.0,32.0,29.7,,33.5,,,,,36.2,,,,37.8,23.5,62.2,,38.0,29.2,38.0,28.0,78.0,193.1,60.8,33.6
1982-03,,,31.7,38.6,,39.3,59.4,,27.0,32.0,29.7,,33.5,,,,,36.1,,,,37.8,23.5,62.1,,37.8,29.2,38.0,28.0,73.2,184.9,60.8,33.8
1982-04,,,31.7,38.5,,38.8,58.4,,27.0,32.0,29.7,,33.5,,,,,36.3,,,,37.9,23.5,62.1,,38.0,29.2,37.3,28.0,72.6,180.1,60.8,33.9
1982-05,,,31.6,38.1,,36.9,58.9,,27.0,32.5,29.7,,33.5,,,,,36.3,,,,38.0,23.5,62.1,,38.0,29.2,37.3,27.9,70.7,181.6,58.7,33.9
1982-06,,,31.1,38.1,,36.6,58.9,,28.6,33.0,29.7,,33.5,,,,,36.3,,,,38.1,23.5,62.1,,38.0,29.6,37.3,27.9,70.1,179.9,58.2,33.9
1982-07,,,30.9,38.0,,36.5,58.9,,28.6,33.0,29.7,,33.8,,,,,36.3,,,,38.1,23.5,61.4,,38.0,29.6,37.3,27.9,70.9,181.1,58.2,33.9
1982-08,,,30.6,37.8,,36.2,58.4,,28.6,33.0,29.7,,33.9,,,,,36.3,,,,38.5,23.5,61.4,,38.0,29.6,37.3,27.2,71.9,182.7,58.2,34.2
1982-09,,,28.7,37.6,,36.0,59.5,,29.2,32.9,29.7,,34.0,,,,,36.3,,,,38.9,23.5,61.4,,37.6,29.6,37.3,27.1,73.1,186.7,58.2,34.2
1982-10,,,28.3,37.4,,35.7,59.5,,29.6,33.4,29.4,,34.3,,,,,37.0,,,,38.9,23.5,60.8,,37.7,29.6,37.3,26.6,73.5,186.7,55.9,34.0
1982-11,,,28.1,37.3,,35.2,59.5,,29.6,33.3,29.4,,34.0,,,,,37.2,,,,39.0,23.3,60.8,,37.7,29.6,37.3,26.7,74.1,185.3,56.4,34.0
1982-12,,,28.0,37.2,,35.1,59.5,,29.7,33.3,29.5,,34.0,,,,,37.3,,,,39.1,23.3,60.8,,37.7,30.7,37.3,26.4,73.6,184.5,57.3,33.6
1983-01,,,27.2,37.3,,36.4,59.5,,29.7,33.8,29.5,,34.1,,,,,37.3,,,,39.5,23.3,60.8,,37.2,30.7,37.3,26.5,74.4,185.5,57.3,33.6
1983-02,,,27.4,37.2,,35.7,59.5,,29.7,33.8,29.5,,33.8,,,,,37.8,,,,39.8,23.6,60.8,,37.1,30.7,37.3,26.3,75.8,185.5,57.3,33.6
1983-03,,,27.0,37.2,,35.7,59.5,,29.7,34.2,29.6,,33.6,,,,,38.2,,,,39.8,23.6,60.8,,37.1,30.5,37.3,26.2,75.5,183.2,57.3,33.6
1983-04,,,26.1,37.0,,35.6,59.5,,29.7,34.6,29.3,,33.8,,,,,38.8,,,,40.1,23.6,62.2,,38.0,31.6,37.3,26.1,75.8,183.2,57.5,33.8
1983-05,,,25.0,36.9,,35.4,60.8,,29.7,34.6,29.8,,34.3,,,,,38.8,,,,40.8,23.8,62.2,,37.8,31.6,37.3,26.0,75.8,183.2,58.6,33.7
