Date,Composite_HPI_SA,Single_Family_HPI_SA,One_Storey_HPI_SA,Two_Storey_HPI_SA,Townhouse_HPI_SA,Apartment_HPI_SA,Composite_Benchmark_SA,Single_Family_Benchmark_SA,One_Storey_Benchmark_SA,Two_Storey_Benchmark_SA,Townhouse_Benchmark_SA,Apartment_Benchmark_SA,Interest Rate,Unemployment Rate,Immigration Num,All-items CPI,All industries GDP,Active businesses,Opening businesses,Closing businesses
2005-01,100.0,100.0,100.0,100.0,100.0,100.0,239800,260400,207700,302900,201700,172000,2.5,6.9,18690.0,105.3,"1,591,349",869922.0,42433.0,36132.0
2005-02,100.3,100.2,100.3,100.1,100.3,100.6,240500,261000,208400,303300,202300,173000,2.5,7.0,18690.0,105.7,"1,592,499",869922.0,42433.0,36132.0
2005-03,100.6,100.6,100.7,100.5,100.6,101.1,241300,261900,209200,304300,202900,173900,2.49,6.9,18690.0,106.3,"1,587,122",869922.0,42433.0,36132.0
2005-04,100.9,100.8,101.2,100.6,100.8,101.5,242000,262600,210100,304800,203300,174600,2.49,6.7,18690.0,106.6,"1,598,907",869922.0,42433.0,36132.0
2005-05,101.2,101.1,101.4,100.8,101.0,102.0,242600,263200,210600,305400,203700,175400,2.49,7.0,18690.0,106.7,"1,605,776",869922.0,42433.0,36132.0
2005-06,101.8,101.6,101.8,101.4,101.4,102.8,244000,264600,211400,307200,204500,176800,2.49,6.8,18690.0,106.9,"1,610,588",869922.0,42433.0,36132.0
2005-07,102.6,102.5,102.8,102.2,102.4,103.5,246100,267000,213600,309600,206500,178100,2.49,6.7,18690.0,107.1,"1,614,748",869922.0,42433.0,36132.0
2005-08,103.5,103.5,103.9,103.1,103.3,104.2,248300,269500,215900,312300,208400,179200,2.49,6.7,18690.0,107.5,"1,620,834",869922.0,42433.0,36132.0
2005-09,104.6,104.5,105.2,103.9,104.6,106.3,250900,272000,218400,314800,210900,182800,2.69,6.7,18690.0,108.4,"1,622,168",869922.0,42433.0,36132.0
2005-10,105.8,105.7,106.4,105.2,105.6,107.0,253800,275300,221000,318500,213000,184000,2.85,6.7,18690.0,107.9,"1,627,587",869922.0,42433.0,36132.0
2005-11,107.0,106.8,107.7,106.1,106.9,108.2,256600,278200,223700,321500,215700,186100,2.99,6.3,18690.0,107.7,"1,636,455",869922.0,42433.0,36132.0
2005-12,108.0,107.9,108.9,107.2,107.9,109.4,259100,281000,226100,324600,217700,188200,3.2,6.6,18690.0,107.6,"1,645,055",869922.0,42433.0,36132.0
2006-01,109.4,109.2,110.3,108.3,109.6,110.8,262300,284300,229000,328100,221000,190600,3.3,6.7,18690.0,108.2,"1,649,021",869922.0,42433.0,36132.0
2006-02,110.5,110.3,111.5,109.3,111.1,112.2,265000,287100,231600,331100,224000,193000,3.48,6.6,18690.0,108.0,"1,652,615",869922.0,42433.0,36132.0
2006-03,111.7,111.5,112.9,110.4,112.3,113.3,267900,290300,234400,334500,226500,194900,3.65,6.5,18690.0,108.6,"1,656,380",869922.0,42433.0,36132.0
2006-04,113.1,112.8,114.3,111.7,113.9,114.7,271200,293800,237500,338200,229800,197300,3.79,6.5,18690.0,109.2,"1,656,732",869922.0,42433.0,36132.0
2006-05,114.4,114.1,115.9,112.8,115.8,116.3,274400,297100,240800,341600,233500,200000,4.03,6.2,18690.0,109.7,"1,657,513",869922.0,42433.0,36132.0
2006-06,115.7,115.3,117.4,113.8,117.7,117.7,277400,300200,243900,344600,237500,202500,4.24,6.3,18690.0,109.5,"1,654,837",869922.0,42433.0,36132.0
2006-07,116.8,116.3,118.7,114.7,119.4,119.2,280200,302800,246600,347300,240800,205100,4.24,6.5,18690.0,109.6,"1,657,920",869922.0,42433.0,36132.0
2006-08,118.1,117.4,120.1,115.6,121.1,120.9,283100,305700,249400,350100,244200,208000,4.22,6.5,18690.0,109.8,"1,659,196",869922.0,42433.0,36132.0
2006-09,119.2,118.5,121.3,116.7,122.4,122.8,285900,308600,252000,353500,246800,211200,4.24,6.5,18690.0,109.2,"1,656,876",869922.0,42433.0,36132.0
2006-10,119.8,119.0,122.2,117.0,123.8,123.4,287300,310000,253900,354300,249800,212200,4.24,6.3,18690.0,109.0,"1,659,594",869922.0,42433.0,36132.0
2006-11,120.6,119.9,123.4,117.7,124.9,124.0,289300,312200,256200,356400,251900,213300,4.25,6.5,18690.0,109.2,"1,663,364",869922.0,42433.0,36132.0
2006-12,121.7,120.9,124.8,118.4,126.3,125.1,291800,314800,259300,358500,254700,215100,4.25,6.3,18690.0,109.4,"1,673,956",869922.0,42433.0,36132.0
2007-01,122.6,121.8,125.9,119.2,127.3,126.3,294100,317200,261500,361000,256700,217300,4.24,6.4,18690.0,109.4,"1,670,535",869922.0,42433.0,36132.0
2007-02,124.0,123.2,127.4,120.6,128.4,127.4,297400,320900,264700,365200,258900,219200,4.24,6.3,18690.0,110.2,"1,678,760",869922.0,42433.0,36132.0
2007-03,125.2,124.3,128.7,121.5,130.0,129.0,300200,323700,267400,367900,262200,221900,4.23,6.3,18690.0,111.1,"1,682,294",869922.0,42433.0,36132.0
2007-04,126.3,125.5,129.9,122.5,131.0,130.3,302900,326700,269800,371200,264200,224200,4.25,6.3,18690.0,111.6,"1,684,443",869922.0,42433.0,36132.0
2007-05,127.7,126.8,131.6,123.7,132.3,131.8,306200,330200,273400,374800,266800,226700,4.24,6.2,18690.0,112.1,"1,691,753",869922.0,42433.0,36132.0
2007-06,128.9,128.0,133.2,124.8,133.4,133.1,309100,333300,276600,377900,269100,229000,4.25,6.1,18690.0,111.9,"1,696,447",869922.0,42433.0,36132.0
2007-07,130.0,129.1,134.3,125.8,134.4,134.4,311700,336200,279000,381000,271100,231100,4.43,6.0,18690.0,112.0,"1,696,013",869922.0,42433.0,36132.0
2007-08,130.8,129.9,135.1,126.6,135.5,135.3,313700,338200,280700,383400,273300,232800,4.46,6.0,18690.0,111.7,"1,700,841",869922.0,42433.0,36132.0
2007-09,131.7,130.8,136.2,127.4,136.1,136.5,315800,340600,282800,385900,274500,234700,4.44,6.0,18690.0,111.9,"1,697,794",869922.0,42433.0,36132.0
2007-10,132.5,131.6,136.9,128.2,136.8,137.4,317700,342600,284400,388200,276000,236300,4.51,6.0,18690.0,111.6,"1,699,351",869922.0,42433.0,36132.0
2007-11,133.2,132.2,137.7,128.8,137.7,138.7,319400,344300,286000,390000,277800,238600,4.5,6.1,18690.0,111.9,"1,700,851",869922.0,42433.0,36132.0
2007-12,134.1,133.0,138.2,129.7,138.8,139.7,321500,346400,287000,392900,279900,240300,4.29,6.2,18690.0,112.0,"1,694,291",869922.0,42433.0,36132.0
2008-01,134.7,133.7,138.9,130.3,139.6,140.6,323100,348200,288500,394600,281500,241800,4.17,6.1,18690.0,111.8,"1,701,279",869922.0,42433.0,36132.0
