Date,Composite_HPI_SA,Single_Family_HPI_SA,One_Storey_HPI_SA,Two_Storey_HPI_SA,Townhouse_HPI_SA,Apartment_HPI_SA,Composite_Benchmark_SA,Single_Family_Benchmark_SA,One_Storey_Benchmark_SA,Two_Storey_Benchmark_SA,Townhouse_Benchmark_SA,Apartment_Benchmark_SA,Interest Rate
2005-01,100.0,100.0,100.0,100.0,100.0,100.0,239800,260400,207700,302900,201700,172000,2.5
2005-02,100.3,100.2,100.3,100.1,100.3,100.6,240500,261000,208400,303300,202300,173000,2.5
2005-03,100.6,100.6,100.7,100.5,100.6,101.1,241300,261900,209200,304300,202900,173900,2.49
2005-04,100.9,100.8,101.2,100.6,100.8,101.5,242000,262600,210100,304800,203300,174600,2.49
2005-05,101.2,101.1,101.4,100.8,101.0,102.0,242600,263200,210600,305400,203700,175400,2.49
2005-06,101.8,101.6,101.8,101.4,101.4,102.8,244000,264600,211400,307200,204500,176800,2.49
2005-07,102.6,102.5,102.8,102.2,102.4,103.5,246100,267000,213600,309600,206500,178100,2.49
2005-08,103.5,103.5,103.9,103.1,103.3,104.2,248300,269500,215900,312300,208400,179200,2.49
2005-09,104.6,104.5,105.2,103.9,104.6,106.3,250900,272000,218400,314800,210900,182800,2.69
2005-10,105.8,105.7,106.4,105.2,105.6,107.0,253800,275300,221000,318500,213000,184000,2.85
2005-11,107.0,106.8,107.7,106.1,106.9,108.2,256600,278200,223700,321500,215700,186100,2.99
2005-12,108.0,107.9,108.9,107.2,107.9,109.4,259100,281000,226100,324600,217700,188200,3.2
2006-01,109.4,109.2,110.3,108.3,109.6,110.8,262300,284300,229000,328100,221000,190600,3.3
2006-02,110.5,110.3,111.5,109.3,111.1,112.2,265000,287100,231600,331100,224000,193000,3.48
2006-03,111.7,111.5,112.9,110.4,112.3,113.3,267900,290300,234400,334500,226500,194900,3.65
2006-04,113.1,112.8,114.3,111.7,113.9,114.7,271200,293800,237500,338200,229800,197300,3.79
2006-05,114.4,114.1,115.9,112.8,115.8,116.3,274400,297100,240800,341600,233500,200000,4.03
2006-06,115.7,115.3,117.4,113.8,117.7,117.7,277400,300200,243900,344600,237500,202500,4.24
2006-07,116.8,116.3,118.7,114.7,119.4,119.2,280200,302800,246600,347300,240800,205100,4.24
2006-08,118.1,117.4,120.1,115.6,121.1,120.9,283100,305700,249400,350100,244200,208000,4.22
2006-09,119.2,118.5,121.3,116.7,122.4,122.8,285900,308600,252000,353500,246800,211200,4.24
2006-10,119.8,119.0,122.2,117.0,123.8,123.4,287300,310000,253900,354300,249800,212200,4.24
2006-11,120.6,119.9,123.4,117.7,124.9,124.0,289300,312200,256200,356400,251900,213300,4.25
2006-12,121.7,120.9,124.8,118.4,126.3,125.1,291800,314800,259300,358500,254700,215100,4.25
2007-01,122.6,121.8,125.9,119.2,127.3,126.3,294100,317200,261500,361000,256700,217300,4.24
2007-02,124.0,123.2,127.4,120.6,128.4,127.4,297400,320900,264700,365200,258900,219200,4.24
2007-03,125.2,124.3,128.7,121.5,130.0,129.0,300200,323700,267400,367900,262200,221900,4.23
2007-04,126.3,125.5,129.9,122.5,131.0,130.3,302900,326700,269800,371200,264200,224200,4.25
2007-05,127.7,126.8,131.6,123.7,132.3,131.8,306200,330200,273400,374800,266800,226700,4.24
2007-06,128.9,128.0,133.2,124.8,133.4,133.1,309100,333300,276600,377900,269100,229000,4.25
