Date,Composite_HPI_SA,Single_Family_HPI_SA,One_Storey_HPI_SA,Two_Storey_HPI_SA,Townhouse_HPI_SA,Apartment_HPI_SA,Composite_Benchmark_SA,Single_Family_Benchmark_SA,One_Storey_Benchmark_SA,Two_Storey_Benchmark_SA,Townhouse_Benchmark_SA,Apartment_Benchmark_SA
2005-01,100.0,100.0,100.0,100.0,100.0,100.0,202800,226600,197100,260400,149300,124000
2005-02,99.2,99.1,99.2,99.1,99.5,99.8,201200,224600,195600,258000,148500,123800
2005-03,98.3,98.2,98.4,98.2,98.1,99.4,199400,222600,193900,255700,146400,123300
2005-04,97.2,97.1,97.3,97.0,97.3,98.5,197100,220000,191700,252700,145300,122100
2005-05,95.9,95.9,96.1,95.7,95.3,97.2,194400,217200,189500,249300,142300,120500
2005-06,95.7,95.9,96.0,95.9,94.7,96.3,194000,217300,189200,249600,141400,119400
2005-07,96.9,97.3,97.3,97.1,95.0,97.3,196500,220400,191800,252900,141900,120700
2005-08,98.8,99.4,99.9,98.8,96.7,98.1,200400,225300,196900,257400,144300,121600
2005-09,101.1,101.9,102.0,101.5,98.7,100.0,205100,230900,201100,264400,147400,124000
2005-10,104.9,105.8,105.5,105.7,102.0,102.3,212700,239700,208000,275300,152300,126900
2005-11,108.8,109.8,109.2,109.8,106.2,106.0,220600,248700,215300,285800,158500,131400
2005-12,112.4,113.3,112.4,113.6,110.2,110.1,227900,256700,221500,295900,164500,136500
2006-01,116.3,117.3,115.9,118.0,113.9,113.5,235900,265800,228400,307400,170000,140700
2006-02,119.9,120.9,119.0,122.1,118.0,117.1,243200,274000,234600,317900,176100,145200
2006-03,123.7,124.8,122.3,126.3,121.6,121.5,250900,282700,241000,328800,181500,150600
2006-04,129.0,130.0,127.2,131.8,127.7,126.9,261600,294600,250700,343200,190600,157300
2006-05,135.1,135.9,133.0,137.8,134.8,134.5,273900,308000,262100,358900,201300,166800
2006-06,141.5,142.2,139.3,144.0,142.4,142.6,287000,322200,274500,375000,212600,176800
2006-07,147.7,148.1,145.5,149.7,150.2,151.0,299600,335700,286700,389800,224300,187300
2006-08,153.5,153.5,151.6,154.3,157.4,159.0,311200,347900,298900,401900,235000,197100
2006-09,157.1,156.6,154.8,157.5,163.2,167.2,318700,354900,305100,410200,243700,207300
2006-10,160.2,159.3,158.4,159.5,167.8,171.4,324900,361000,312200,415300,250500,212500
2006-11,162.9,161.8,161.0,161.8,171.1,175.9,330400,366700,317300,421400,255500,218100
2006-12,166.4,165.1,165.1,164.3,175.4,180.0,337400,374200,325500,427800,261800,223200
2007-01,169.4,168.0,168.7,166.4,179.7,184.7,343500,380600,332500,433300,268300,229000
2007-02,173.0,171.4,172.6,169.4,183.6,189.9,350900,388500,340100,441200,274100,235500
2007-03,176.9,175.2,176.8,172.6,188.6,194.8,358700,397000,348400,449500,281600,241500
2007-04,179.6,177.8,179.4,175.1,191.8,199.0,364300,402900,353600,456000,286400,246700
2007-05,182.4,180.5,182.2,177.5,195.6,203.0,370000,409000,359200,462200,292100,251700
2007-06,184.2,182.0,184.2,178.7,198.5,206.3,373500,412400,363000,465300,296400,255800
2007-07,184.6,182.3,184.1,179.2,199.7,206.8,374300,413100,362800,466600,298200,256400
2007-08,184.5,182.2,183.5,179.5,199.9,206.8,374100,412800,361700,467300,298400,256400
2007-09,184.1,181.8,183.3,179.1,199.3,206.2,373300,412000,361200,466300,297500,255700
2007-10,182.8,180.5,181.7,178.0,197.9,204.4,370700,409100,358200,463400,295400,253500
2007-11,181.4,179.0,180.5,176.3,196.8,202.9,367800,405700,355800,459100,293800,251600
2007-12,179.9,177.7,178.8,175.1,195.2,200.8,364900,402600,352400,456000,291400,249000
2008-01,179.6,177.4,177.9,175.2,194.6,200.6,364200,402000,350700,456100,290600,248800
2008-02,178.5,176.4,177.0,174.0,193.7,198.8,361900,399800,348800,453200,289200,246500
2008-03,176.8,174.8,175.3,172.4,192.4,196.9,358600,396100,345500,448800,287300,244100
2008-04,174.7,172.7,173.5,169.9,190.5,194.8,354300,391300,341900,442500,284400,241600
2008-05,171.7,169.9,170.3,167.3,187.7,191.5,348300,384900,335700,435600,280200,237400
2008-06,169.1,167.3,167.6,165.0,184.5,187.9,343000,379200,330300,429600,275500,233000
2008-07,167.2,165.6,165.8,163.2,182.0,184.4,339000,375300,326800,425000,271700,228600
2008-08,166.3,165.0,165.2,162.4,180.2,181.8,337200,373900,325600,423000,269000,225400
2008-09,165.5,164.4,164.1,162.2,178.8,179.0,335600,372600,323500,422400,266900,222000
2008-10,164.4,163.4,162.8,161.3,177.8,177.7,333400,370200,320900,420000,265500,220400
2008-11,163.1,162.2,161.2,160.6,176.8,175.6,330800,367600,317800,418300,263900,217800
2008-12,161.4,160.2,160.0,158.0,175.2,174.4,327400,363100,315300,411500,261500,216200
2009-01,158.2,157.2,156.8,155.0,172.3,171.2,320900,356200,309100,403600,257200,212300
2009-02,156.0,154.9,154.2,152.8,170.3,168.8,316400,351000,303900,398000,254300,209300
2009-03,153.6,152.7,151.9,150.7,166.1,165.6,311400,346100,299400,392300,248000,205300
2009-04,152.5,151.8,151.8,148.8,164.0,164.3,309300,343900,299200,387600,244800,203700
2009-05,152.8,152.4,152.2,149.7,162.7,162.6,309800,345400,300000,389700,242900,201600
2009-06,154.3,154.1,153.3,151.5,163.3,163.2,312900,349100,302200,394400,243800,202400
2009-07,156.6,156.5,155.7,153.7,165.0,164.0,317500,354600,306900,400300,246300,203400
2009-08,158.8,158.8,157.9,155.8,167.4,165.9,322100,359800,311300,405800,249900,205700
2009-09,160.7,160.7,159.4,158.0,169.7,167.5,326000,364200,314100,411400,253300,207700
2009-10,163.3,163.2,161.8,160.4,171.7,170.1,331100,369900,318900,417700,256300,210900
2009-11,165.2,165.3,163.4,162.7,173.1,172.4,335000,374500,322000,423700,258500,213800
2009-12,167.5,167.3,164.8,165.0,174.9,175.5,339700,379000,324900,429700,261200,217600
2010-01,168.1,167.9,166.1,165.0,176.7,176.1,340900,380400,327400,429600,263800,218400
2010-02,168.7,168.4,167.1,165.3,177.7,176.8,342200,381700,329400,430500,265300,219200
2010-03,169.4,168.8,167.1,166.0,178.6,178.1,343600,382600,329400,432300,266600,220900
2010-04,169.4,168.6,166.2,166.2,180.2,176.9,343500,382100,327600,432700,269000,219400
2010-05,169.1,168.1,165.6,165.8,180.5,177.7,343000,380900,326300,431800,269500,220300
2010-06,168.0,166.8,164.5,164.3,179.7,176.6,340700,378000,324300,427900,268300,219000
2010-07,167.0,165.7,163.6,163.1,178.2,176.0,338600,375400,322400,424700,266100,218200
2010-08,165.7,164.3,162.1,161.8,177.2,174.1,336000,372400,319500,421200,264500,215900
2010-09,164.8,163.2,161.1,160.4,176.6,175.6,334300,369800,317600,417700,263600,217700
2010-10,163.9,162.4,160.1,159.7,175.5,174.2,332400,367900,315500,415900,262000,216000
2010-11,164.1,162.5,160.1,159.9,174.9,174.0,332800,368300,315600,416400,261100,215800
2010-12,164.1,162.7,160.2,160.3,174.5,171.8,332800,368600,315700,417300,260600,213000
2011-01,164.4,163.2,160.6,160.8,173.7,172.3,333500,369900,316500,418700,259300,213700
2011-02,164.4,163.3,160.1,161.3,173.3,171.8,333500,370000,315500,419900,258700,213000
2011-03,165.3,164.2,161.3,161.9,174.3,172.3,335300,372100,318000,421500,260200,213700
2011-04,165.6,164.5,161.7,162.1,174.5,172.8,335900,372800,318700,422000,260500,214300
2011-05,165.8,164.8,162.1,162.4,174.2,172.2,336300,373500,319500,422800,260100,213500
2011-06,166.4,165.5,162.8,163.0,174.3,171.9,337400,375100,320900,424400,260200,213200
2011-07,166.8,165.8,163.1,163.4,175.6,173.2,338200,375800,321400,425400,262200,214800
2011-08,167.1,166.1,163.6,163.5,176.0,173.0,338800,376400,322500,425700,262700,214500
2011-09,167.2,166.3,163.9,163.4,175.9,173.1,339000,376800,323100,425500,262600,214700
2011-10,167.4,166.4,163.9,163.7,176.6,172.3,339400,377000,323000,426300,263600,213700
2011-11,167.1,166.0,162.9,163.7,176.7,171.7,338900,376200,321000,426200,263800,212900
2011-12,167.8,166.8,164.7,163.7,176.2,172.2,340200,377900,324700,426400,263100,213500
2012-01,168.0,167.0,164.7,164.1,176.7,172.3,340700,378500,324600,427400,263800,213600
2012-02,168.5,167.5,165.3,164.2,177.3,174.3,341800,379500,325900,427700,264700,216100
2012-03,168.6,167.8,165.5,164.6,175.6,173.2,342000,380200,326200,428700,262100,214800
2012-04,169.7,169.0,166.7,165.9,174.5,174.2,344100,382900,328500,431900,260500,216000
2012-05,170.4,169.6,167.6,166.3,174.8,175.3,345600,384400,330400,433100,261000,217400
2012-06,171.5,170.7,168.3,167.5,176.0,175.6,347800,386900,331800,436100,262700,217800
2012-07,171.8,170.9,168.9,167.3,178.0,175.5,348400,387200,333000,435700,265700,217600
2012-08,172.3,171.4,169.3,168.0,177.0,175.6,349500,388500,333600,437600,264300,217700
2012-09,173.1,172.3,169.9,168.9,176.8,175.7,351000,390500,334900,439800,264000,217900
2012-10,174.3,173.5,172.2,169.4,177.6,176.7,353400,393200,339400,441000,265200,219100
2012-11,175.0,174.4,173.0,170.0,178.6,176.8,355000,395100,340900,442800,266600,219200
2012-12,175.9,175.2,173.4,171.1,179.7,176.9,356700,397000,341700,445500,268300,219400
2013-01,176.8,176.0,174.1,171.7,181.0,177.6,358600,398800,343200,447200,270300,220200
2013-02,178.0,177.1,175.0,172.8,183.1,178.8,361000,401300,345000,450100,273300,221700
2013-03,179.0,177.9,176.0,173.5,184.4,181.2,363100,403200,346900,451800,275300,224700
2013-04,180.1,178.9,177.1,174.3,186.5,181.6,365300,405500,349100,453800,278400,225200
2013-05,180.8,179.6,177.9,174.7,187.5,182.7,366700,407000,350700,455000,280000,226500
2013-06,181.9,180.6,178.8,175.6,188.7,183.2,368800,409200,352400,457200,281800,227200
2013-07,182.9,181.7,180.0,176.5,188.9,184.6,370900,411700,354800,459700,282100,228900
2013-08,184.2,183.0,181.1,177.9,190.2,186.0,373600,414700,356900,463200,284000,230700
2013-09,185.5,184.3,182.5,179.0,192.0,187.1,376200,417700,359700,466000,286600,232000
2013-10,186.7,185.6,183.4,180.5,193.3,188.1,378600,420500,361400,470100,288600,233200
2013-11,187.6,186.4,184.9,181.0,194.8,189.4,380500,422400,364400,471200,290800,234800
2013-12,188.9,187.7,186.3,182.0,195.6,191.3,383100,425400,367100,474000,292100,237200
2014-01,190.6,189.5,188.6,183.1,196.9,192.3,386500,429500,371700,476900,294000,238400
2014-02,192.9,192.0,190.8,185.7,199.3,194.4,391100,435000,376000,483500,297600,241100
2014-03,194.8,194.0,192.9,187.4,202.2,195.2,395000,439500,380200,488000,301900,242100
2014-04,196.1,195.3,194.3,188.6,203.4,197.3,397700,442500,382900,491000,303700,244700
2014-05,197.5,196.6,195.2,190.0,205.7,198.9,400500,445400,384700,494800,307100,246600
2014-06,198.3,197.4,195.8,190.8,205.8,200.9,402100,447300,385900,496900,307300,249100
2014-07,198.6,197.8,195.9,191.3,206.6,201.0,402800,448200,386100,498200,308400,249200
2014-08,199.1,198.2,196.9,191.3,207.4,201.6,403700,449200,388100,498200,309600,250000
2014-09,199.6,198.8,196.9,192.1,208.3,203.1,404800,450400,388000,500200,311000,251800
2014-10,200.1,199.3,197.9,192.3,209.1,204.4,405900,451700,390000,500700,312200,253500
2014-11,201.0,200.3,198.0,193.9,209.7,205.8,407700,453900,390300,504900,313100,255200
2014-12,201.4,200.6,199.7,193.0,210.7,205.9,408400,454600,393700,502700,314600,255300
2015-01,201.5,200.9,200.3,192.9,210.5,205.0,408700,455200,394800,502300,314300,254200
2015-02,199.7,199.2,198.1,191.7,208.2,203.5,404900,451300,390400,499100,310800,252300
2015-03,198.8,198.4,196.9,190.9,207.5,202.8,403100,449500,388100,497200,309800,251500
2015-04,197.7,197.4,195.5,190.2,205.6,201.4,400900,447300,385300,495400,307000,249700
2015-05,196.4,196.2,195.0,188.7,205.0,200.2,398400,444600,384400,491400,306100,248300
2015-06,196.3,196.3,194.9,188.8,205.2,198.6,398100,444800,384100,491600,306300,246300
2015-07,196.7,196.7,194.8,189.4,205.6,199.0,399000,445700,383900,493300,306900,246700
2015-08,196.5,196.6,194.4,189.4,205.2,199.0,398600,445400,383100,493100,306300,246800
2015-09,196.4,196.5,194.4,189.1,204.6,198.3,398200,445200,383200,492300,305500,245900
2015-10,195.8,195.9,193.9,188.6,203.2,198.0,397000,444000,382100,491100,303400,245500
2015-11,195.0,195.3,193.6,187.8,202.5,197.2,395500,442500,381600,489100,302400,244500
2015-12,194.6,194.6,192.5,187.3,202.7,197.2,394600,441000,379400,487800,302700,244500
2016-01,193.8,193.7,191.1,186.6,202.4,197.3,393100,439000,376700,486000,302200,244600
2016-02,192.6,192.3,190.5,184.8,202.5,196.9,390600,435700,375400,481300,302300,244200
2016-03,191.3,191.2,188.8,184.0,199.9,194.0,387900,433300,372200,479200,298500,240600
2016-04,191.0,190.9,189.2,183.3,199.5,192.8,387300,432600,373000,477300,297900,239100
2016-05,190.6,190.8,189.4,183.0,197.5,191.5,386600,432300,373300,476600,294800,237400
2016-06,190.7,191.0,189.3,183.3,196.2,191.5,386700,432800,373200,477200,292900,237500
2016-07,190.9,191.4,190.2,183.3,195.6,190.2,387200,433700,374800,477400,292000,235800
2016-08,191.3,191.9,190.5,183.8,195.3,189.9,387900,434800,375400,478700,291600,235500
2016-09,191.3,192.0,190.5,183.9,195.0,189.0,388000,435100,375400,479000,291100,234300
2016-10,191.4,192.1,190.2,184.1,195.0,189.0,388200,435200,374900,479500,291200,234300
2016-11,191.5,192.0,189.2,184.5,195.2,189.6,388300,435000,373000,480400,291500,235100
2016-12,191.6,192.4,189.9,184.8,194.8,187.1,388600,435900,374300,481100,290800,232000
2017-01,192.2,192.8,190.6,184.9,195.6,187.3,389700,436900,375700,481500,292100,232200
2017-02,192.6,193.4,190.9,185.7,194.5,187.1,390600,438300,376200,483600,290400,232000
2017-03,193.1,193.8,191.4,185.9,193.8,188.4,391600,439200,377300,484100,289300,233600
2017-04,193.7,194.4,192.1,186.3,195.8,188.1,392900,440400,378700,485000,292300,233200
2017-05,194.3,194.8,192.9,186.6,196.9,187.4,394100,441500,380300,485900,294000,232400
2017-06,194.8,195.2,193.6,186.7,197.1,187.4,395000,442400,381600,486100,294200,232400
2017-07,194.8,195.3,193.2,186.8,196.2,186.9,395100,442500,380800,486500,293000,231800
2017-08,194.6,195.0,193.0,186.5,195.2,186.8,394700,441900,380500,485600,291500,231600
2017-09,194.6,194.8,192.5,186.4,195.9,186.3,394600,441400,379500,485500,292500,231000
2017-10,194.0,194.1,191.8,185.8,196.5,184.5,393400,439900,378100,483900,293400,228800
2017-11,194.2,194.6,192.0,186.2,194.5,184.8,393800,441000,378500,484900,290400,229100
2017-12,194.3,194.6,192.1,186.5,193.2,185.3,394000,440900,378600,485600,288500,229800
2018-01,194.7,195.2,192.3,187.1,192.7,184.3,394800,442300,379100,487200,287700,228500
2018-02,195.3,195.9,193.0,187.7,193.6,183.5,396100,443800,380500,488700,289100,227600
2018-03,195.2,195.7,193.6,187.1,194.4,182.7,395900,443500,381500,487200,290200,226500
2018-04,195.3,195.5,193.2,186.9,194.6,183.5,396000,443100,380800,486700,290600,227600
2018-05,194.8,194.9,192.5,186.4,194.6,184.6,395000,441600,379500,485300,290600,228900
2018-06,194.4,194.1,191.7,185.7,195.1,185.2,394200,439900,377900,483600,291300,229700
2018-07,193.5,193.0,190.8,184.6,195.0,186.1,392400,437400,376000,480700,291200,230800
2018-08,192.8,192.3,190.0,183.9,194.3,184.7,390900,435700,374500,478800,290100,229000
2018-09,191.9,191.4,189.6,182.8,192.8,184.3,389200,433800,373800,475900,287900,228500
2018-10,192.1,191.8,190.8,182.9,192.0,182.5,389600,434700,376000,476300,286700,226300
2018-11,192.0,192.0,190.2,183.1,191.6,181.4,389300,435100,374900,476900,286000,224900
2018-12,191.5,191.3,189.2,183.0,191.7,181.5,388400,433500,372900,476600,286200,225000
2019-01,190.2,189.7,188.8,180.7,190.0,182.1,385800,429900,372200,470600,283700,225800
2019-02,189.2,188.5,187.0,180.0,188.8,181.2,383600,427200,368600,468600,281900,224700
2019-03,188.6,188.1,185.9,179.8,187.8,180.7,382500,426200,366400,468100,280400,224100
2019-04,188.5,188.0,184.9,179.9,187.7,179.5,382200,426100,364400,468500,280300,222600
2019-05,188.3,188.0,184.5,180.1,187.1,179.7,381900,425900,363700,469000,279400,222800
2019-06,188.2,188.0,184.5,180.1,186.7,177.9,381700,426000,363700,469100,278800,220600
2019-07,188.0,187.9,184.6,180.0,187.0,177.3,381300,425700,363900,468700,279200,219900
2019-08,188.3,188.3,184.9,180.5,187.1,176.5,381900,426800,364500,470100,279400,218900
2019-09,188.9,189.0,185.2,181.4,186.7,177.3,383000,428300,365100,472300,278700,219900
2019-10,189.2,189.2,185.8,181.5,186.7,179.0,383600,428800,366200,472700,278800,222000
2019-11,188.7,188.8,186.1,180.8,187.7,179.0,382700,427900,366900,470700,280300,221900
2019-12,188.9,188.9,186.1,180.9,188.2,178.7,383000,428000,366900,471100,281000,221600
2020-01,188.7,188.7,185.7,180.9,188.3,177.9,382700,427600,366000,471000,281100,220600
2020-02,187.6,187.6,185.5,179.3,187.4,176.2,380500,425000,365600,467000,279800,218500
2020-03,186.3,186.4,184.3,178.2,185.5,175.2,377900,422300,363200,464100,276900,217300
