Date,Composite_HPI_SA,Single_Family_HPI_SA,One_Storey_HPI_SA,Two_Storey_HPI_SA,Composite_Benchmark_SA,Single_Family_Benchmark_SA,One_Storey_Benchmark_SA,Two_Storey_Benchmark_SA
2005-01,100.0,100.0,100.0,100.0,135300,135300,131500,144400
2005-02,100.1,100.1,99.4,103.3,135500,135500,130700,149100
2005-03,100.0,100.0,98.7,106.6,135300,135300,129800,154000
2005-04,100.1,100.1,98.3,110.1,135500,135500,129300,159000
2005-05,100.4,100.4,97.9,113.6,135800,135800,128700,164100
2005-06,100.5,100.5,97.4,117.4,136000,136000,128100,169500
2005-07,102.1,102.1,97.7,121.2,138200,138200,128500,175000
2005-08,103.8,103.8,98.1,125.1,140500,140500,129000,180700
2005-09,105.7,105.7,98.6,129.2,143000,143000,129600,186600
2005-10,107.4,107.4,98.9,133.4,145300,145300,130100,192700
2005-11,108.9,108.9,99.2,137.7,147400,147400,130400,198900
2005-12,110.6,110.6,99.5,142.2,149600,149600,130900,205400
2006-01,111.5,111.5,101.6,140.9,150800,150800,133600,203400
2006-02,112.6,112.6,103.8,139.5,152300,152300,136500,201400
2006-03,113.2,113.2,106.2,138.1,153200,153200,139600,199400
2006-04,114.4,114.4,108.7,136.8,154800,154800,143000,197500
2006-05,115.6,115.6,111.3,135.5,156400,156400,146400,195600
2006-06,116.7,116.7,113.9,134.1,157900,157900,149800,193700
2006-07,117.0,117.0,114.9,130.5,158300,158300,151100,188500
2006-08,117.5,117.5,115.8,127.1,159000,159000,152300,183500
2006-09,118.0,118.0,117.0,123.7,159700,159700,153800,178600
2006-10,118.3,118.3,117.9,120.4,160100,160100,155000,173900
2006-11,118.7,118.7,118.9,117.2,160600,160600,156300,169300
2006-12,118.9,118.9,119.8,114.1,160900,160900,157600,164800
2007-01,118.4,118.4,118.9,116.1,160200,160200,156300,167700
2007-02,118.0,118.0,117.9,118.2,159700,159700,155100,170700
2007-03,117.2,117.2,117.2,120.4,158600,158600,154100,173800
2007-04,117.3,117.3,117.0,122.5,158700,158700,153900,176900
2007-05,116.5,116.5,116.0,124.7,157600,157600,152600,180100
2007-06,116.2,116.2,116.0,126.9,157200,157200,152500,183300
2007-07,117.1,117.1,116.3,126.0,158400,158400,153000,182000
2007-08,117.8,117.8,117.2,125.1,159400,159400,154100,180600
2007-09,118.6,118.6,117.6,124.2,160500,160500,154700,179300
2007-10,119.5,119.5,118.6,123.3,161700,161700,155900,178000
2007-11,120.3,120.3,119.3,122.4,162800,162800,156900,176700
2007-12,120.9,120.9,119.9,121.5,163600,163600,157700,175400
2008-01,122.1,122.1,119.9,126.6,165200,165200,157700,182800
2008-02,121.8,121.8,119.2,128.7,164800,164800,156800,185900
2008-03,123.1,123.1,119.3,137.7,166600,166600,156900,198900
2008-04,125.3,125.3,120.0,142.9,169500,169500,157800,206400
2008-05,124.2,124.2,118.1,147.9,168000,168000,155300,213600
2008-06,125.6,125.6,118.9,154.1,169900,169900,156300,222500
2008-07,124.5,124.5,116.6,149.9,168400,168400,153300,216400
2008-08,123.1,123.1,115.7,148.1,166600,166600,152200,213800
2008-09,121.3,121.3,113.0,146.6,164100,164100,148600,211700
2008-10,120.7,120.7,112.4,146.5,163300,163300,147800,211500
2008-11,120.2,120.2,110.8,145.8,162600,162600,145700,210500
2008-12,119.8,119.8,110.0,144.6,162100,162100,144600,208800
2009-01,122.3,122.3,112.2,161.4,165500,165500,147600,233000
2009-02,122.6,122.6,112.1,164.3,165900,165900,147400,237300
2009-03,123.3,123.3,113.7,159.2,166800,166800,149500,229900
2009-04,128.5,128.5,118.7,169.9,173900,173900,156100,245300
2009-05,125.9,125.9,117.2,154.6,170400,170400,154100,223300
