Date,Composite_HPI_SA,Single_Family_HPI_SA,One_Storey_HPI_SA,Two_Storey_HPI_SA,Townhouse_HPI_SA,Apartment_HPI_SA,Composite_Benchmark_SA,Single_Family_Benchmark_SA,One_Storey_Benchmark_SA,Two_Storey_Benchmark_SA,Townhouse_Benchmark_SA,Apartment_Benchmark_SA
2005-01,100.0,100.0,100.0,100.0,100.0,100.0,209000,216800,208900,224000,143200,158900
2005-02,99.6,99.5,98.2,100.1,99.9,100.6,208100,215800,205200,224300,143100,159800
2005-03,100.1,100.1,99.6,100.3,99.6,101.1,209200,217000,208000,224700,142600,160600
2005-04,100.4,100.4,100.1,100.7,99.1,101.1,209800,217700,209200,225500,141900,160600
2005-05,100.8,101.0,100.4,100.9,98.6,101.1,210700,218900,209700,226100,141200,160600
2005-06,101.0,101.2,100.2,101.1,98.0,101.1,211000,219300,209400,226500,140400,160600
2005-07,102.2,102.4,102.3,102.1,99.7,100.9,213600,222000,213700,228800,142700,160400
2005-08,102.6,102.8,102.0,103.0,101.0,100.8,214500,222900,213000,230700,144700,160100
2005-09,103.5,103.6,102.9,103.7,102.3,100.4,216300,224600,214900,232300,146500,159500
2005-10,104.4,104.6,103.9,104.5,103.1,102.6,218200,226700,217100,234000,147700,163000
2005-11,105.3,105.4,104.8,105.1,104.1,104.7,220000,228500,219000,235400,149000,166300
2005-12,106.8,107.0,108.7,105.9,105.0,106.9,223300,231900,227000,237200,150300,169900
2006-01,106.1,106.2,106.3,106.0,105.7,106.5,221800,230300,222000,237400,151400,169300
2006-02,106.6,106.6,106.6,106.4,106.4,106.5,222700,231200,222700,238300,152300,169200
2006-03,106.9,107.0,107.4,106.5,107.0,106.3,223500,232000,224300,238600,153200,168900
2006-04,107.6,107.6,108.5,106.7,107.9,106.6,224800,233300,226700,239100,154500,169400
2006-05,107.3,107.3,106.9,107.0,108.8,106.8,224300,232600,223400,239600,155800,169700
2006-06,107.7,107.6,107.3,107.1,109.7,107.0,225000,233300,224200,239900,157100,170100
2006-07,107.5,107.4,106.7,107.3,109.8,107.6,224700,232900,222900,240400,157300,170900
2006-08,107.9,107.8,107.6,107.6,110.0,108.1,225600,233800,224700,241100,157500,171700
2006-09,108.2,108.2,107.6,108.1,110.1,108.4,226200,234500,224800,242100,157600,172200
2006-10,108.1,108.0,107.3,108.0,110.4,109.9,226000,234200,224200,241900,158100,174600
2006-11,107.9,107.7,106.7,107.9,110.9,111.2,225600,233600,223000,241800,158800,176700
2006-12,109.0,108.8,109.6,108.1,111.5,112.8,227800,235800,228900,242100,159600,179200
2007-01,109.4,109.2,109.4,108.7,111.7,112.9,228600,236700,228500,243500,160000,179400
2007-02,109.9,109.7,110.4,109.0,111.9,113.2,229600,237800,230700,244200,160200,179800
2007-03,110.1,110.0,109.7,109.7,112.2,113.2,230100,238400,229200,245800,160600,179900
2007-04,110.3,110.1,109.7,109.9,112.6,114.3,230600,238800,229200,246200,161300,181700
2007-05,110.9,110.7,110.4,110.3,113.4,115.4,231700,239900,230700,247000,162400,183400
2007-06,111.3,111.1,110.9,110.8,114.2,116.8,232700,240800,231600,248100,163500,185600
2007-07,112.0,111.7,111.5,111.2,114.8,116.6,234000,242100,232900,249000,164400,185200
2007-08,113.0,112.8,114.0,111.5,115.3,116.2,236100,244600,238100,249700,165100,184600
2007-09,113.2,113.1,114.4,111.7,115.6,115.5,236600,245100,238900,250100,165600,183600
2007-10,113.6,113.4,113.8,112.5,116.4,116.6,237400,245800,237800,252100,166700,185200
2007-11,114.9,114.8,116.0,113.5,117.1,117.5,240200,248900,242300,254200,167700,186700
2007-12,114.3,114.0,113.0,114.2,117.8,118.8,238900,247200,236000,255900,168700,188700
2008-01,115.8,115.6,115.5,115.0,118.9,119.6,242100,250600,241200,257600,170200,190100
2008-02,117.1,116.9,118.6,115.5,119.8,120.5,244700,253500,247700,258800,171600,191400
2008-03,117.2,116.9,117.7,116.0,120.4,120.5,244900,253500,245800,259900,172400,191500
2008-04,116.6,116.3,115.2,116.4,120.5,119.9,243700,252100,240700,260700,172500,190600
2008-05,117.2,117.0,116.8,116.5,120.0,119.9,245000,253700,244000,261000,171800,190600
2008-06,117.5,117.3,117.3,116.9,120.1,120.0,245500,254300,245100,261800,172000,190700
2008-07,116.9,116.6,115.5,116.9,120.7,121.3,244300,252800,241200,261800,172900,192800
2008-08,116.3,115.9,113.8,116.8,121.2,122.7,243000,251200,237700,261700,173500,195000
2008-09,116.5,116.0,114.4,116.7,121.4,123.2,243400,251500,238900,261300,173900,195800
2008-10,116.1,115.7,115.3,115.8,121.0,121.1,242600,250900,240800,259500,173300,192500
2008-11,114.8,114.5,113.1,115.0,120.2,119.3,240000,248200,236200,257600,172100,189600
2008-12,113.6,113.2,110.7,114.2,119.4,117.6,237400,245400,231300,255900,171000,186800
2009-01,113.7,113.3,111.9,113.8,118.9,118.4,237700,245700,233800,254900,170300,188200
2009-02,113.2,112.8,111.3,113.4,118.7,118.9,236600,244500,232500,254000,170000,189000
2009-03,113.1,112.7,112.1,112.7,118.2,118.4,236300,244300,234200,252400,169200,188200
2009-04,113.0,112.5,111.6,112.6,118.6,118.3,236100,244000,233200,252200,169900,187900
2009-05,113.8,113.5,113.4,113.0,119.3,118.1,237900,246000,236800,253100,170800,187600
2009-06,115.1,114.7,115.9,113.4,120.5,119.3,240600,248700,242200,254100,172500,189500
2009-07,115.9,115.5,117.1,114.0,121.1,119.9,242300,250500,244700,255300,173400,190500
2009-08,116.5,116.1,117.0,114.8,122.1,120.4,243500,251800,244500,257200,174800,191300
2009-09,117.3,117.0,117.8,115.6,122.5,119.8,245200,253600,246100,258900,175400,190400
2009-10,118.7,118.4,119.9,117.1,123.0,120.1,248000,256600,250400,262200,176100,190900
2009-11,119.3,119.1,119.7,118.1,122.8,120.5,249400,258200,250000,264600,175800,191500
2009-12,121.5,121.4,123.0,119.6,123.3,121.4,254000,263200,257000,267900,176600,192900
2010-01,120.3,120.1,120.4,119.2,124.0,119.1,251500,260400,251500,267100,177500,189200
2010-02,120.5,120.3,121.6,118.5,123.1,123.0,251900,260800,254000,265400,176300,195400
2010-03,121.6,121.3,122.1,120.0,125.6,125.6,254200,262900,255000,268800,179900,199600
2010-04,122.1,121.7,123.6,120.0,126.1,126.8,255100,263800,258100,268700,180600,201500
2010-05,122.0,121.5,121.9,120.6,127.2,128.3,254900,263400,254600,270200,182100,203900
2010-06,121.3,120.9,120.2,120.7,126.4,125.2,253500,262200,251100,270300,181000,198900
2010-07,122.0,121.9,122.2,121.2,124.9,122.0,254900,264200,255300,271500,178900,193900
2010-08,121.7,121.6,122.3,120.7,124.2,124.0,254400,263600,255400,270300,177800,197000
2010-09,120.7,120.3,118.9,120.5,125.4,127.1,252200,260900,248300,270000,179600,202000
2010-10,120.9,120.4,121.1,119.6,125.6,128.3,252700,261100,252900,267800,179900,203900
2010-11,121.1,120.7,121.6,119.5,127.2,127.4,253200,261600,254100,267700,182100,202400
2010-12,121.8,121.4,122.7,120.0,125.5,126.1,254500,263200,256400,268900,179700,200400
2011-01,122.3,122.0,122.5,121.1,127.6,121.4,255600,264500,255900,271200,182700,192900
2011-02,123.0,122.5,121.1,122.8,129.1,125.3,257000,265600,252900,275100,184800,199100
2011-03,122.8,122.4,121.2,122.4,127.7,126.3,256600,265400,253100,274200,182900,200700
2011-04,124.0,123.7,123.3,123.6,126.8,128.1,259200,268200,257600,276900,181600,203500
2011-05,124.4,124.3,124.6,123.6,126.3,128.1,260100,269500,260200,276800,180800,203500
2011-06,124.5,124.4,123.6,124.2,126.4,127.2,260200,269600,258200,278100,181000,202100
2011-07,124.0,123.6,122.5,123.9,127.9,128.6,259200,268000,255800,277500,183100,204300
2011-08,124.8,124.5,124.2,124.4,128.6,127.9,260900,270000,259500,278700,184100,203300
2011-09,126.0,125.8,126.7,124.6,128.6,126.3,263300,272800,264600,279100,184200,200700
2011-10,126.4,126.3,125.8,125.8,128.6,125.8,264100,273800,262900,281900,184100,199900
2011-11,127.5,127.4,127.6,126.7,130.0,127.2,266400,276100,266500,283900,186200,202100
2011-12,127.7,127.4,127.7,126.8,131.2,127.9,266800,276300,266700,284000,187900,203300
2012-01,128.3,128.1,128.6,127.2,130.9,127.1,268100,277800,268700,285000,187500,202000
2012-02,128.6,128.5,127.7,128.3,132.5,124.9,268700,278500,266700,287500,189700,198500
2012-03,128.9,128.8,126.7,129.4,132.6,125.5,269400,279300,264600,289900,189900,199400
2012-04,130.0,130.0,128.5,130.6,132.2,125.9,271800,281900,268400,292500,189300,200100
