Date,Composite_HPI_SA,Single_Family_HPI_SA,One_Storey_HPI_SA,Two_Storey_HPI_SA,Townhouse_HPI_SA,Apartment_HPI_SA,Composite_Benchmark_SA,Single_Family_Benchmark_SA,One_Storey_Benchmark_SA,Two_Storey_Benchmark_SA,Townhouse_Benchmark_SA,Apartment_Benchmark_SA
2005-01-01 00:00:00,100.0,100.0,100.0,100.0,100.0,100.0,167200,172000,180000,163900,132900,110200
2005-02-01 00:00:00,99.8,99.7,99.3,100.4,99.8,100.1,166800,171400,178800,164500,132700,110300
2005-03-01 00:00:00,100.3,100.2,99.7,101.2,99.7,100.3,167700,172400,179400,165900,132500,110500
2005-04-01 00:00:00,98.8,98.7,99.6,98.4,99.6,100.4,165200,169700,179300,161300,132400,110600
2005-05-01 00:00:00,100.2,100.1,100.7,100.2,99.5,100.5,167600,172200,181200,164200,132200,110800
2005-06-01 00:00:00,100.8,100.8,100.4,102.1,99.5,100.6,168600,173400,180700,167400,132200,110900
2005-07-01 00:00:00,101.3,101.3,101.8,101.5,99.5,100.8,169400,174200,183200,166300,132300,111100
2005-08-01 00:00:00,101.0,101.0,101.9,100.6,99.6,100.9,168900,173700,183400,164900,132400,111200
2005-09-01 00:00:00,102.8,102.9,104.2,102.1,99.6,101.0,171800,177000,187600,167400,132400,111300
2005-10-01 00:00:00,102.8,103.0,103.6,102.6,99.8,101.2,171900,177200,186500,168200,132600,111500
2005-11-01 00:00:00,98.9,98.7,101.5,98.3,100.0,101.3,165300,169800,182700,161100,132900,111600
2005-12-01 00:00:00,104.5,104.9,106.9,103.5,100.1,101.5,174800,180500,192500,169600,133000,111800
2006-01-01 00:00:00,103.2,103.4,104.6,102.2,101.7,102.5,172600,177800,188200,167500,135200,113000
2006-02-01 00:00:00,107.5,107.8,105.0,110.9,103.2,103.6,179700,185400,189000,181700,137100,114200
2006-03-01 00:00:00,107.8,108.0,106.7,109.7,104.4,104.7,180200,185700,192100,179800,138800,115400
2006-04-01 00:00:00,109.9,110.1,109.6,111.2,105.9,105.9,183700,189400,197300,182300,140800,116700
2006-05-01 00:00:00,112.6,112.8,110.2,116.0,107.3,107.0,188200,194100,198300,190200,142600,117900
2006-06-01 00:00:00,111.2,111.3,110.1,113.7,108.9,108.2,186000,191500,198100,186300,144700,119200
2006-07-01 00:00:00,110.3,110.3,109.0,112.3,109.1,108.9,184400,189700,196200,184000,145000,120000
2006-08-01 00:00:00,110.2,110.2,110.4,110.3,109.3,109.6,184200,189500,198800,180800,145200,120800
2006-09-01 00:00:00,109.6,109.5,109.5,110.2,109.3,110.3,183200,188400,197100,180600,145300,121600
2006-10-01 00:00:00,112.4,112.6,109.1,116.4,109.6,111.1,188000,193700,196300,190700,145700,122400
2006-11-01 00:00:00,112.5,112.6,112.8,114.8,110.0,111.8,188100,193700,203000,188200,146200,123200
2006-12-01 00:00:00,112.1,112.3,107.1,117.9,110.2,112.5,187400,193100,192700,193200,146500,124000
2007-01-01 00:00:00,112.0,112.0,109.5,114.5,111.2,113.1,187300,192700,197100,187700,147800,124600
2007-02-01 00:00:00,111.5,111.5,110.6,112.6,112.3,113.5,186500,191700,199000,184600,149200,125100
2007-03-01 00:00:00,113.6,113.5,112.4,115.1,112.9,114.1,189900,195300,202400,188700,150000,125700
2007-04-01 00:00:00,113.1,113.0,109.4,117.0,113.8,114.5,189100,194300,197000,191700,151200,126200
2007-05-01 00:00:00,112.8,112.6,111.1,114.7,114.4,115.1,188600,193600,200000,188000,152100,126800
2007-06-01 00:00:00,114.5,114.4,113.4,116.5,115.4,115.5,191500,196700,204100,191000,153400,127300
2007-07-01 00:00:00,116.2,116.1,113.7,119.1,116.0,117.1,194300,199700,204700,195200,154100,129000
2007-08-01 00:00:00,117.2,117.2,113.8,120.7,116.4,118.6,196000,201500,204900,197900,154700,130700
2007-09-01 00:00:00,117.0,116.9,113.1,121.4,116.9,120.1,195700,201000,203500,198900,155400,132400
2007-10-01 00:00:00,116.1,115.9,113.5,118.4,117.7,121.8,194100,199300,204300,194000,156400,134200
2007-11-01 00:00:00,118.2,118.0,115.6,122.6,118.4,123.4,197600,203000,208000,200900,157300,136000
2007-12-01 00:00:00,114.8,114.4,110.6,118.7,118.9,125.0,191900,196700,199100,194500,158000,137800
2008-01-01 00:00:00,122.8,123.1,116.7,129.4,119.9,124.1,205400,211800,210100,212100,159300,136800
