Date,Composite_HPI_SA,Single_Family_HPI_SA,One_Storey_HPI_SA,Two_Storey_HPI_SA,Townhouse_HPI_SA,Apartment_HPI_SA,Composite_Benchmark_SA,Single_Family_Benchmark_SA,One_Storey_Benchmark_SA,Two_Storey_Benchmark_SA,Townhouse_Benchmark_SA,Apartment_Benchmark_SA
2005-01-01 00:00:00,100.0,100.0,100.0,100.0,100.0,100.0,294100,368600,287800,468600,242200,189300
2005-02-01 00:00:00,100.6,100.5,100.7,100.3,100.7,101.0,295900,370400,289900,470100,243900,191200
2005-03-01 00:00:00,101.4,101.2,101.9,100.6,101.3,102.3,298100,373000,293400,471200,245400,193600
2005-04-01 00:00:00,101.9,101.8,102.8,100.9,101.9,103.0,299700,375100,295900,473000,246700,194900
2005-05-01 00:00:00,102.6,102.3,103.5,101.4,102.4,103.7,301600,377200,298000,475000,248100,196300
2005-06-01 00:00:00,103.5,102.8,104.4,101.8,103.3,105.4,304300,379100,300600,476900,250300,199600
2005-07-01 00:00:00,105.1,104.7,106.3,103.3,104.9,106.8,309100,385800,305800,484200,254100,202100
2005-08-01 00:00:00,106.6,106.2,107.9,104.9,106.3,107.9,313500,391600,310400,491500,257400,204300
2005-09-01 00:00:00,108.6,107.9,109.9,106.4,108.3,111.7,319500,397800,316200,498600,262200,211500
2005-10-01 00:00:00,110.1,109.5,111.3,108.1,109.3,113.0,323800,403500,320300,506400,264700,214000
2005-11-01 00:00:00,111.8,111.2,113.1,109.8,111.0,114.5,328800,409900,325600,514300,268800,216800
2005-12-01 00:00:00,113.5,113.0,115.1,111.4,111.8,116.4,333700,416400,331200,522100,270700,220300
2006-01-01 00:00:00,115.3,114.5,116.6,113.0,114.2,118.8,339100,422200,335700,529300,276600,224800
2006-02-01 00:00:00,117.1,116.3,118.6,114.5,116.0,120.9,344300,428600,341400,536700,280900,228800
2006-03-01 00:00:00,118.5,117.7,120.0,116.0,117.4,122.7,348500,434000,345300,543500,284300,232200
