Date,Composite_HPI_SA,Single_Family_HPI_SA,One_Storey_HPI_SA,Two_Storey_HPI_SA,Townhouse_HPI_SA,Apartment_HPI_SA,Composite_Benchmark_SA,Single_Family_Benchmark_SA,One_Storey_Benchmark_SA,Two_Storey_Benchmark_SA,Townhouse_Benchmark_SA,Apartment_Benchmark_SA
2005-01,100.0,100.0,100.0,100.0,100.0,100.0,216800,237600,208100,263300,164500,136100
2005-02,99.8,99.7,100.0,99.7,99.8,100.2,216300,236900,208000,262400,164200,136400
2005-03,99.8,99.7,100.0,99.6,99.3,100.7,216300,237000,208200,262200,163400,137000
2005-04,99.4,99.5,100.0,99.3,99.0,99.9,215600,236500,208200,261400,162900,135900
2005-05,99.0,99.3,99.9,98.9,97.9,99.4,214600,235900,207900,260500,161100,135300
2005-06,99.4,99.7,100.1,99.5,98.3,99.3,215500,237000,208300,261900,161700,135200
2005-07,100.3,100.9,101.2,100.6,98.5,100.4,217400,239700,210600,264800,162100,136700
2005-08,101.9,102.7,103.0,102.4,99.9,101.3,221000,244000,214300,269500,164300,137900
2005-09,104.3,105.2,105.4,104.9,102.1,103.0,226200,250000,219300,276200,167900,140200
2005-10,107.5,108.6,108.6,108.4,104.9,104.9,233000,258100,226000,285500,172500,142800
2005-11,111.2,112.5,112.3,112.2,108.4,108.0,241000,267200,233800,295400,178300,147000
2005-12,114.5,115.5,115.3,115.5,112.2,112.0,248300,274400,240000,304100,184500,152400
2006-01,119.6,121.0,120.2,121.3,116.2,116.2,259200,287500,250100,319300,191200,158200
2006-02,124.5,126.0,124.7,126.6,121.6,121.7,270000,299400,259400,333400,200000,165600
2006-03,129.8,131.2,129.4,132.1,126.7,128.5,281300,311700,269300,347800,208500,174900
2006-04,135.9,137.3,135.2,138.4,133.8,134.6,294600,326300,281300,364500,220100,183200
2006-05,142.6,143.8,141.5,145.0,142.2,144.8,309200,341700,294400,381900,234000,197100
2006-06,149.5,150.3,148.3,151.3,151.0,154.9,324200,357200,308700,398500,248400,210800
2006-07,154.7,155.4,153.3,156.6,157.5,162.0,335400,369300,319100,412300,259100,220500
2006-08,159.1,159.7,158.0,160.5,162.7,168.3,344900,379400,328800,422700,267600,229100
2006-09,161.6,161.8,159.9,162.8,166.6,174.1,350400,384400,332800,428600,274100,237000
2006-10,163.4,163.3,162.0,163.9,170.0,176.9,354300,388000,337100,431600,279700,240800
2006-11,164.8,164.6,162.8,165.6,171.9,179.5,357300,391200,338700,436000,282700,244300
2006-12,167.2,166.8,166.0,167.1,174.8,181.3,362400,396200,345400,440000,287500,246700
2007-01,169.1,168.9,168.6,168.7,177.9,184.4,366600,401400,350900,444300,292600,251000
2007-02,171.4,171.4,171.2,170.9,179.9,187.7,371700,407200,356200,450100,296000,255400
2007-03,173.9,173.9,174.1,173.1,183.2,189.9,377000,413200,362200,455800,301400,258500
2007-04,175.6,175.5,175.3,174.8,185.1,192.4,380700,417100,364800,460300,304500,261800
2007-05,177.4,177.4,177.6,176.5,187.2,194.9,384600,421600,369500,464600,307900,265200
2007-06,178.4,178.3,178.7,177.1,189.1,196.0,386700,423700,371900,466400,311100,266800
2007-07,179.6,179.5,179.6,178.5,190.9,197.1,389300,426600,373800,470100,314100,268300
2007-08,180.0,179.9,179.6,179.2,191.7,197.9,390300,427500,373800,471800,315400,269400
2007-09,180.7,180.8,180.9,179.8,192.2,197.6,391800,429600,376400,473400,316200,269000
2007-10,180.4,180.4,180.3,179.5,191.9,198.2,391200,428700,375300,472500,315700,269700
2007-11,179.9,179.7,180.3,178.3,192.3,198.8,390100,427000,375200,469400,316300,270600
2007-12,178.9,178.4,178.9,177.1,191.5,198.1,387800,423800,372200,466300,315000,269600
2008-01,178.9,178.6,177.7,177.9,191.3,198.9,387900,424300,369800,468400,314700,270700
2008-02,177.5,177.4,176.8,176.5,190.4,196.3,384900,421400,367900,464700,313200,267200
2008-03,175.7,175.5,174.6,174.8,188.9,193.9,381000,417000,363300,460200,310700,263900
2008-04,173.8,173.5,173.2,172.3,187.0,192.6,376800,412200,360500,453600,307600,262100
2008-05,171.1,170.7,169.8,170.0,184.4,189.7,371000,405600,353300,447500,303300,258200
2008-06,168.9,168.5,167.4,167.8,181.8,186.6,366100,400400,348400,441900,299000,253900
2008-07,166.7,166.5,165.4,165.8,179.3,182.7,361300,395600,344100,436600,295000,248600
2008-08,166.1,166.1,165.0,165.3,177.8,180.5,360000,394600,343400,435200,292500,245600
2008-09,165.5,165.8,164.2,165.3,177.1,177.7,358900,394000,341700,435200,291400,241800
2008-10,164.5,164.7,162.8,164.3,176.5,176.9,356600,391300,338800,432600,290300,240700
2008-11,163.2,163.5,161.0,163.7,175.4,174.7,353900,388500,335000,430900,288500,237800
2008-12,161.2,161.2,159.8,160.7,173.6,173.3,349500,383100,332600,423000,285600,235800
2009-01,157.6,157.5,155.2,157.3,170.6,170.1,341600,374200,322900,414300,280700,231500
2009-02,155.4,155.2,152.9,155.0,169.6,167.7,336800,368700,318100,408000,279000,228200
2009-03,153.2,153.2,151.2,152.7,164.9,165.0,332100,364000,314700,402100,271300,224600
2009-04,151.8,152.0,150.5,150.8,162.8,162.9,329100,361100,313200,397100,267800,221700
2009-05,152.0,152.6,150.7,151.7,160.9,160.7,329600,362600,313700,399300,264700,218700
2009-06,153.5,154.1,151.2,153.7,162.1,161.4,332700,366200,314600,404700,266600,219600
2009-07,155.4,156.3,153.2,155.7,163.6,162.0,336900,371300,318900,409900,269100,220500
2009-08,157.6,158.5,155.2,157.9,165.8,164.1,341700,376600,323000,415700,272700,223400
2009-09,159.4,160.3,156.3,160.0,168.0,165.3,345500,380800,325300,421300,276400,225000
2009-10,162.0,163.2,159.3,162.7,170.1,167.4,351300,387800,331600,428500,279800,227800
2009-11,163.9,165.2,160.5,165.2,171.4,169.2,355300,392500,334000,435000,281900,230300
2009-12,166.5,167.8,162.7,167.9,173.1,172.2,360900,398600,338600,442200,284800,234400
2010-01,167.3,168.4,164.2,167.9,175.2,173.0,362600,400100,341800,442200,288200,235500
2010-02,167.9,168.9,164.9,168.4,176.7,173.6,363900,401400,343200,443500,290700,236300
2010-03,168.4,169.2,164.6,169.1,178.1,175.2,365100,402000,342600,445200,292900,238400
2010-04,168.4,169.2,163.8,169.5,179.1,173.3,365100,402000,340800,446200,294600,235900
2010-05,167.8,168.5,163.2,168.8,178.7,172.9,363800,400400,339700,444400,294000,235300
2010-06,166.6,167.2,162.1,167.3,177.8,171.4,361200,397300,337400,440600,292400,233300
2010-07,165.6,166.3,161.5,166.2,176.9,170.7,359100,395100,336000,437700,291000,232300
2010-08,164.4,164.8,159.5,164.9,176.3,169.9,356400,391500,331900,434200,290000,231300
