Date,Composite_HPI_SA,Single_Family_HPI_SA,One_Storey_HPI_SA,Two_Storey_HPI_SA,Townhouse_HPI_SA,Apartment_HPI_SA,Composite_Benchmark_SA,Single_Family_Benchmark_SA,One_Storey_Benchmark_SA,Two_Storey_Benchmark_SA,Townhouse_Benchmark_SA,Apartment_Benchmark_SA
2005-01-01 00:00:00,100.0,100.0,100.0,100.0,100.0,100.0,208200,211600,203300,214300,164200,167900
2005-02-01 00:00:00,100.0,100.0,99.7,100.2,100.3,100.2,208200,211700,202700,214700,164700,168200
2005-03-01 00:00:00,100.6,100.7,100.5,100.9,100.7,100.4,209500,213000,204300,216300,165300,168500
2005-04-01 00:00:00,100.4,100.4,102.5,99.9,101.0,100.5,209100,212500,208400,214100,165900,168800
2005-05-01 00:00:00,100.9,100.9,103.5,100.5,101.5,100.7,210100,213600,210400,215300,166600,169100
2005-06-01 00:00:00,101.8,101.9,104.0,101.5,101.8,100.8,212000,215700,211400,217500,167200,169300
2005-07-01 00:00:00,103.0,103.1,104.2,102.7,102.1,101.0,214500,218200,211800,220100,167700,169600
2005-08-01 00:00:00,101.8,101.8,103.2,101.5,102.4,101.2,211900,215500,209800,217500,168200,169900
2005-09-01 00:00:00,102.4,102.6,104.5,102.1,102.7,101.4,213300,217000,212400,218700,168700,170200
2005-10-01 00:00:00,103.0,103.1,105.0,102.8,103.0,101.5,214500,218200,213400,220200,169100,170500
2005-11-01 00:00:00,106.7,107.0,107.4,107.1,103.3,101.7,222100,226500,218400,229500,169600,170800
2005-12-01 00:00:00,105.3,105.6,106.7,105.3,103.4,101.9,219300,223400,217000,225700,169800,171100
2006-01-01 00:00:00,103.4,103.4,106.7,102.3,103.3,102.1,215200,218800,216900,219200,169600,171400
2006-02-01 00:00:00,105.9,106.1,107.1,105.9,102.9,102.2,220500,224600,217700,226900,168900,171600
2006-03-01 00:00:00,107.1,107.4,110.2,106.6,102.6,102.4,222900,227200,224000,228500,168400,171900
2006-04-01 00:00:00,107.4,107.8,109.7,107.3,102.2,102.6,223600,228100,223000,229900,167800,172200
2006-05-01 00:00:00,107.4,107.8,107.7,108.1,101.8,102.7,223600,228000,219000,231700,167200,172500
2006-06-01 00:00:00,105.7,106.0,109.1,105.2,101.5,102.9,220000,224200,221800,225500,166700,172800
2006-07-01 00:00:00,104.7,104.9,106.9,104.2,101.3,102.8,218000,222000,217300,223300,166300,172600
2006-08-01 00:00:00,106.2,106.5,107.7,106.3,101.0,102.7,221100,225400,218900,227800,165900,172400
2006-09-01 00:00:00,106.4,106.7,108.7,106.3,100.7,102.6,221500,225800,220900,227700,165400,172200
2006-10-01 00:00:00,108.2,108.6,110.7,108.2,100.5,102.4,225200,229900,225000,231900,165000,172000
2006-11-01 00:00:00,106.3,106.8,107.1,106.9,100.2,102.3,221400,226000,217700,229000,164500,171800
2006-12-01 00:00:00,107.3,107.8,109.4,107.5,99.8,102.2,223500,228200,222400,230300,163800,171600
2007-01-01 00:00:00,108.1,108.6,109.9,108.1,100.7,103.0,225100,229700,223500,231600,165400,172900
2007-02-01 00:00:00,108.4,108.8,110.8,108.2,101.5,103.7,225700,230200,225200,231900,166700,174100
2007-03-01 00:00:00,107.9,108.3,110.2,107.7,102.3,104.5,224700,229100,224000,230800,168000,175400
2007-04-01 00:00:00,109.1,109.5,111.3,109.0,103.1,105.2,227100,231600,226300,233500,169300,176700
2007-05-01 00:00:00,109.3,109.6,110.5,109.8,103.9,106.0,227600,232000,224700,235200,170600,178000
2007-06-01 00:00:00,111.0,111.3,113.3,111.0,104.7,106.8,231000,235600,230300,237800,171900,179300
2007-07-01 00:00:00,111.0,111.5,111.4,111.5,105.0,107.2,231200,235900,226500,239000,172400,180000
2007-08-01 00:00:00,112.2,112.7,114.7,112.2,105.3,107.6,233600,238400,233100,240400,172900,180700
2007-09-01 00:00:00,112.7,113.1,115.9,112.4,105.5,108.0,234600,239300,235600,240800,173300,181400
2007-10-01 00:00:00,113.6,114.1,116.3,113.6,105.9,108.5,236600,241500,236500,243400,173900,182100
2007-11-01 00:00:00,114.3,114.8,117.7,113.9,106.2,108.9,238000,242900,239200,244000,174400,182800
2007-12-01 00:00:00,114.1,114.5,116.3,114.1,106.4,109.3,237500,242300,236400,244600,174700,183500
2008-01-01 00:00:00,115.9,116.4,118.6,115.7,107.1,109.9,241300,246300,241200,247900,175800,184500
2008-02-01 00:00:00,114.6,115.1,115.6,115.1,107.6,109.9,238700,243500,235000,246700,176600,184600
2008-03-01 00:00:00,115.6,115.9,116.4,116.0,107.6,109.6,240600,245300,236600,248500,176700,184000
2008-04-01 00:00:00,115.5,115.8,115.5,116.1,108.3,110.1,240500,245000,234900,248700,177900,184900
2008-05-01 00:00:00,116.6,116.8,118.6,116.7,108.4,110.1,242700,247200,241200,250100,178000,184900
2008-06-01 00:00:00,116.9,117.2,119.1,116.7,108.2,110.2,243300,247900,242200,250100,177600,185100
2008-07-01 00:00:00,117.0,117.3,121.2,116.0,108.5,109.9,243600,248200,246300,248600,178200,184500
2008-08-01 00:00:00,115.7,115.9,120.1,114.8,109.3,110.1,240900,245300,244100,246100,179500,184900
2008-09-01 00:00:00,115.9,116.2,117.0,116.1,110.4,109.5,241400,245800,237800,248900,181300,183900
2008-10-01 00:00:00,115.4,115.5,118.7,114.6,110.7,109.6,240300,244500,241300,245500,181800,184000
2008-11-01 00:00:00,114.5,114.6,115.5,114.2,111.6,110.0,238300,242400,234800,244800,183200,184700
2008-12-01 00:00:00,114.3,114.3,118.2,113.2,112.4,110.3,238000,241900,240400,242600,184600,185200
2009-01-01 00:00:00,112.5,112.4,115.4,111.6,112.1,109.4,234200,237900,234700,239100,184000,183600
2009-02-01 00:00:00,113.5,113.6,118.5,112.0,111.1,109.3,236300,240300,241000,240000,182500,183500
2009-03-01 00:00:00,114.3,114.4,116.8,113.8,110.4,109.2,237900,242100,237400,243900,181300,183400
2009-04-01 00:00:00,113.4,113.7,116.4,112.9,109.4,108.0,236200,240600,236600,241900,179700,181300
2009-05-01 00:00:00,113.4,113.7,117.0,112.9,108.6,106.7,236000,240500,237800,241900,178300,179100
2009-06-01 00:00:00,114.0,114.5,114.9,114.5,108.0,106.9,237400,242200,233600,245300,177400,179500
2009-07-01 00:00:00,115.1,115.6,116.6,115.5,108.0,107.4,239600,244700,237000,247500,177300,180400
2009-08-01 00:00:00,115.1,115.6,118.8,115.0,107.8,107.6,239700,244700,241500,246400,177000,180600
2009-09-01 00:00:00,116.7,117.4,119.4,116.9,108.1,106.7,243000,248400,242700,250600,177500,179200
2009-10-01 00:00:00,115.2,115.8,116.8,115.3,107.7,106.9,239900,245100,237500,247100,176900,179500
2009-11-01 00:00:00,117.3,118.2,117.4,118.5,107.7,106.6,244300,250100,238700,253900,176900,179000
2009-12-01 00:00:00,117.1,117.9,116.6,118.6,108.2,106.6,243800,249500,237100,254200,177600,178900
2010-01-01 00:00:00,117.8,118.7,116.9,119.5,107.9,105.2,245200,251200,237700,256100,177200,176600
2010-02-01 00:00:00,118.6,119.8,119.3,120.2,107.9,103.1,247000,253400,242600,257500,177200,173100
