Date,Composite_HPI_SA,Single_Family_HPI_SA,One_Storey_HPI_SA,Two_Storey_HPI_SA,Apartment_HPI_SA,Composite_Benchmark_SA,Single_Family_Benchmark_SA,One_Storey_Benchmark_SA,Two_Storey_Benchmark_SA,Apartment_Benchmark_SA
2005-01,100.0,100.0,100.0,100.0,100.0,85300,85300,84300,88100,83400
2005-02,98.9,98.9,99.1,98.3,98.9,84400,84400,83500,86600,82500
2005-03,98.0,98.0,98.5,96.7,97.7,83600,83600,83000,85200,81500
2005-04,97.1,97.0,97.7,95.0,97.6,82800,82700,82400,83700,81400
2005-05,96.5,96.5,97.7,93.2,95.9,82300,82300,82400,82100,80000
2005-06,96.1,96.1,97.6,92.1,95.2,82000,82000,82300,81100,79400
2005-07,96.5,96.6,98.1,92.4,95.1,82300,82400,82700,81400,79300
2005-08,96.8,97.0,98.3,93.1,95.0,82600,82700,82900,82000,79200
2005-09,97.2,97.3,98.5,93.9,95.0,82900,83000,83000,82700,79200
2005-10,97.7,97.7,98.9,94.4,94.8,83300,83300,83400,83200,79100
2005-11,98.0,98.0,99.3,95.1,94.8,83600,83600,83700,83800,79100
2005-12,98.1,98.2,99.4,95.3,95.0,83700,83800,83800,84000,79200
2006-01,98.1,98.2,99.2,95.8,95.1,83700,83800,83600,84400,79300
2006-02,98.0,98.1,98.9,95.8,95.7,83600,83700,83400,84400,79800
2006-03,98.1,98.1,98.9,95.8,97.0,83700,83700,83400,84400,80900
2006-04,98.1,98.1,98.9,95.9,96.6,83700,83700,83400,84500,80600
2006-05,98.7,98.7,99.8,95.9,97.4,84200,84200,84100,84500,81200
2006-06,99.3,99.4,100.2,96.8,98.2,84700,84800,84500,85300,81900
2006-07,100.0,100.0,101.8,95.6,98.0,85300,85300,85800,84200,81700
2006-08,100.6,100.6,103.1,94.7,97.1,85800,85800,86900,83400,81000
2006-09,101.2,101.3,104.4,93.5,96.8,86300,86400,88000,82400,80700
2006-10,101.8,101.9,105.7,92.4,96.4,86800,86900,89100,81400,80400
2006-11,102.5,102.6,107.1,91.6,95.9,87400,87500,90300,80700,80000
2006-12,103.0,103.2,108.5,90.1,95.6,87900,88000,91500,79400,79700
2007-01,106.3,106.3,111.6,93.3,96.0,90700,90700,94100,82200,80100
2007-02,109.5,109.7,115.4,96.0,97.0,93400,93600,97300,84600,80900
2007-03,113.4,113.6,119.7,99.0,98.1,96700,96900,100900,87200,81800
2007-04,113.4,113.6,118.4,101.8,99.0,96700,96900,99800,89700,82600
2007-05,114.0,114.1,117.9,104.8,99.5,97200,97300,99400,92300,83000
2007-06,114.5,114.7,117.2,108.2,100.7,97700,97800,98800,95300,84000
2007-07,115.9,116.2,118.6,109.8,102.4,98900,99100,100000,96700,85400
2007-08,117.4,117.6,119.9,111.5,103.6,100100,100300,101100,98200,86400
2007-09,118.8,118.9,121.2,113.1,105.4,101300,101400,102200,99600,87900
2007-10,119.7,119.8,121.9,114.5,107.1,102100,102200,102800,100900,89300
2007-11,120.9,121.0,122.7,116.6,108.9,103100,103200,103400,102700,90800
2007-12,121.6,121.7,123.4,117.7,110.6,103700,103800,104000,103700,92200
2008-01,122.5,122.5,123.5,119.6,111.6,104500,104500,104100,105400,93100
2008-02,122.4,122.5,123.5,120.0,111.8,104400,104500,104100,105700,93200
2008-03,123.3,123.4,124.3,121.1,110.7,105200,105300,104800,106700,92300
2008-04,125.0,125.1,126.0,122.8,110.7,106600,106700,106200,108200,92300
2008-05,126.0,126.1,126.8,124.6,111.0,107500,107600,106900,109800,92600
2008-06,127.4,127.7,128.4,125.5,110.0,108700,108900,108200,110600,91700
2008-07,127.5,127.8,128.4,126.6,108.5,108800,109000,108200,111500,90500
2008-08,127.9,128.1,128.5,127.8,108.8,109100,109300,108300,112600,90700
2008-09,128.0,128.3,128.2,128.8,108.4,109200,109400,108100,113500,90400
2008-10,127.9,128.1,127.5,130.0,107.2,109100,109300,107500,114500,89400
2008-11,128.1,128.4,127.4,132.0,106.5,109300,109500,107400,116300,88800
2008-12,127.8,128.1,126.9,132.1,105.3,109000,109300,107000,116400,87800
2009-01,128.3,128.5,126.9,132.8,105.6,109400,109600,107000,117000,88100
2009-02,127.8,128.0,127.2,131.1,105.6,109000,109200,107200,115500,88100
2009-03,127.9,128.1,127.2,131.6,107.1,109100,109300,107200,115900,89300
2009-04,128.1,128.4,127.6,131.1,107.3,109300,109500,107600,115500,89500
2009-05,128.4,128.7,128.1,130.5,107.7,109500,109800,108000,115000,89800
2009-06,129.1,129.3,128.8,130.9,108.2,110100,110300,108600,115300,90200
2009-07,129.2,129.4,129.1,131.2,109.7,110200,110400,108800,115600,91500
2009-08,129.4,129.5,129.2,132.2,110.8,110400,110500,108900,116500,92400
2009-09,129.3,129.5,128.9,131.9,113.3,110300,110500,108700,116200,94500
2009-10,130.5,130.7,130.5,131.9,114.3,111300,111500,110000,116200,95300
2009-11,132.2,132.5,132.1,134.5,116.5,112800,113000,111400,118500,97200
2009-12,133.3,133.4,133.5,134.1,117.4,113700,113800,112500,118100,97900
2010-01,133.5,133.8,135.3,128.5,119.1,113900,114100,114100,113200,99300
2010-02,134.2,134.2,134.9,133.4,131.8,114500,114500,113700,117500,109900
2010-03,133.4,133.5,133.6,133.9,131.1,113800,113900,112600,118000,109300
2010-04,133.8,133.9,134.3,133.3,128.3,114100,114200,113200,117400,107000
2010-05,134.7,134.8,136.4,130.6,119.4,114900,115000,115000,115100,99600
2010-06,137.2,137.3,138.4,133.4,133.0,117000,117100,116700,117500,110900
2010-07,137.2,137.2,139.3,131.9,132.7,117000,117000,117400,116200,110700
2010-08,136.6,136.6,138.6,132.0,132.5,116500,116500,116800,116300,110500
2010-09,138.3,138.5,140.0,134.2,127.0,118000,118100,118000,118200,105900
2010-10,139.3,139.5,140.7,136.5,124.6,118800,119000,118600,120300,103900
2010-11,139.0,139.2,140.7,134.8,131.7,118600,118700,118600,118800,109800
2010-12,139.3,139.4,140.7,136.2,126.5,118800,118900,118600,120000,105500
2011-01,139.7,140.0,140.8,137.2,124.5,119200,119400,118700,120900,103800
2011-02,139.0,139.0,140.0,137.0,138.1,118600,118600,118000,120700,115200
2011-03,139.4,139.4,141.5,133.5,137.2,118900,118900,119300,117600,114400
2011-04,139.2,139.2,141.8,131.9,140.6,118700,118700,119500,116200,117300
2011-05,139.5,139.5,142.5,131.7,140.0,119000,119000,120100,116000,116800
2011-06,138.3,138.3,140.5,132.0,140.6,118000,118000,118400,116300,117300
2011-07,140.8,140.8,144.2,131.6,143.9,120100,120100,121600,115900,120000
2011-08,143.1,143.1,147.0,133.0,145.0,122100,122100,123900,117200,120900
2011-09,141.7,141.7,145.1,132.6,146.9,120900,120900,122300,116800,122500
2011-10,140.8,140.7,143.4,133.4,149.2,120100,120000,120900,117500,124400
2011-11,140.8,140.8,144.4,131.3,149.3,120100,120100,121700,115700,124500
2011-12,139.7,139.6,143.7,129.3,154.7,119200,119100,121100,113900,129000
2012-01,141.1,141.0,144.7,130.4,152.6,120400,120300,122000,114900,127300
2012-02,143.1,143.3,146.7,133.5,152.9,122100,122200,123700,117600,127500
2012-03,146.0,145.8,150.2,134.1,153.7,124500,124400,126600,118100,128200
