Date,Composite_HPI_SA,Single_Family_HPI_SA,One_Storey_HPI_SA,Two_Storey_HPI_SA,Townhouse_HPI_SA,Apartment_HPI_SA,Composite_Benchmark_SA,Single_Family_Benchmark_SA,One_Storey_Benchmark_SA,Two_Storey_Benchmark_SA,Townhouse_Benchmark_SA,Apartment_Benchmark_SA
2005-01-01 00:00:00,100.0,100.0,100.0,100.0,100.0,100.0,206400,244900,218100,293400,158300,96000
2005-02-01 00:00:00,101.3,101.4,102.0,100.5,101.1,99.8,209000,248400,222400,294900,160100,95800
2005-03-01 00:00:00,103.1,103.5,105.2,101.1,101.8,99.5,212800,253500,229400,296500,161100,95500
2005-04-01 00:00:00,104.1,104.7,106.7,101.6,103.2,99.5,214900,256300,232800,298000,163300,95500
2005-05-01 00:00:00,104.5,104.9,106.7,102.1,104.0,99.6,215600,256800,232800,299700,164700,95600
2005-06-01 00:00:00,105.4,105.9,108.1,102.8,104.9,99.8,217500,259300,235700,301500,166100,95800
2005-07-01 00:00:00,106.5,107.0,108.8,104.4,106.2,100.4,219900,262000,237400,306300,168100,96400
2005-08-01 00:00:00,107.8,108.3,109.9,105.9,107.4,101.1,222400,265200,239600,310800,170000,97100
2005-09-01 00:00:00,109.2,109.8,111.1,107.5,108.7,101.5,225300,268900,242300,315500,172000,97400
2005-10-01 00:00:00,110.3,110.7,112.1,108.6,110.4,105.0,227600,271000,244400,318700,174700,100800
2005-11-01 00:00:00,112.3,112.7,115.1,109.7,112.0,108.3,231700,275900,251100,321900,177300,104000
2005-12-01 00:00:00,113.1,113.2,115.5,110.8,113.9,112.0,233500,277300,251900,325000,180300,107500
2006-01-01 00:00:00,115.7,116.3,119.6,111.8,114.2,113.1,238900,284800,260900,327900,180800,108600
2006-02-01 00:00:00,117.2,117.8,121.5,112.7,114.8,115.0,241800,288500,265000,330700,181700,110400
2006-03-01 00:00:00,117.9,118.6,122.1,113.6,114.9,116.8,243400,290400,266200,333400,181900,112100
2006-04-01 00:00:00,119.1,119.6,122.6,115.3,117.2,118.8,245900,292800,267400,338200,185500,114000
2006-05-01 00:00:00,121.2,121.6,124.9,117.0,119.0,120.9,250100,297800,272400,343200,188400,116100
2006-06-01 00:00:00,122.6,122.9,125.9,118.7,120.9,123.2,253100,301100,274600,348300,191400,118300
2006-07-01 00:00:00,124.5,124.7,127.9,120.1,122.9,125.8,257000,305300,278900,352500,194500,120800
2006-08-01 00:00:00,126.8,127.0,130.9,121.6,125.0,128.4,261700,311000,285500,356700,197800,123300
2006-09-01 00:00:00,128.5,128.6,132.4,123.0,127.0,130.5,265300,315000,288700,361000,201100,125300
2006-10-01 00:00:00,130.8,130.9,135.3,124.9,129.1,133.3,270000,320600,295000,366400,204400,128000
2006-11-01 00:00:00,132.3,132.3,137.0,126.7,131.1,135.8,273000,324100,298800,371700,207500,130400
2006-12-01 00:00:00,133.0,132.8,136.6,128.4,133.4,138.8,274500,325200,298000,376700,211200,133200
2007-01-01 00:00:00,134.4,133.9,137.2,129.2,134.5,140.2,277300,327800,299300,379200,212900,134600
2007-02-01 00:00:00,135.6,135.0,138.6,129.9,136.0,142.1,279900,330600,302300,381200,215300,136400
2007-03-01 00:00:00,136.8,136.1,140.1,130.2,137.1,144.3,282400,333200,305600,382100,217000,138500
2007-04-01 00:00:00,139.1,138.3,142.8,132.0,139.9,147.1,287200,338700,311400,387400,221400,141200
2007-05-01 00:00:00,142.8,142.3,148.2,134.0,142.5,149.8,294700,348500,323300,393300,225500,143800
2007-06-01 00:00:00,143.9,142.9,148.0,135.9,144.9,153.0,297000,350000,322700,398800,229300,146900
2007-07-01 00:00:00,145.0,143.7,149.0,136.3,146.8,155.7,299300,351800,324900,399800,232400,149500
2007-08-01 00:00:00,146.3,144.7,150.7,136.5,148.8,158.4,302000,354400,328600,400600,235500,152100
2007-09-01 00:00:00,148.0,146.2,152.4,137.2,150.9,160.1,305400,358100,332300,402400,238800,153700
2007-10-01 00:00:00,149.7,147.9,154.4,139.0,152.3,162.6,308900,362300,336800,407900,241100,156100
2007-11-01 00:00:00,150.3,148.6,154.9,140.7,153.8,165.0,310300,363800,337900,412800,243400,158400
2007-12-01 00:00:00,152.6,151.2,158.7,142.3,155.3,167.8,314900,370200,346100,417400,245800,161100
2008-01-01 00:00:00,154.0,152.9,159.4,144.0,154.5,169.1,317900,374500,347600,422500,244600,162300
2008-02-01 00:00:00,153.1,151.8,156.2,145.5,154.6,170.2,316100,371800,340700,427000,244800,163400
2008-03-01 00:00:00,153.4,152.1,156.4,145.8,154.3,172.1,316700,372400,341000,427800,244300,165200
2008-04-01 00:00:00,152.3,151.2,156.3,143.8,154.1,169.9,314300,370300,340800,421800,243900,163100
2008-05-01 00:00:00,149.7,148.3,152.3,142.5,153.6,167.3,308900,363200,332100,418000,243200,160600
2008-06-01 00:00:00,147.9,146.4,149.7,141.1,153.1,165.4,305300,358500,326600,414000,242300,158800
2008-07-01 00:00:00,147.1,146.0,149.9,139.9,151.0,164.6,303600,357500,326900,410500,239000,158000
2008-08-01 00:00:00,145.1,144.1,147.2,138.9,149.1,163.3,299500,352900,321100,407400,236100,156800
2008-09-01 00:00:00,144.5,144.1,147.1,138.2,147.3,161.3,298300,353000,320900,405600,233100,154800
2008-10-01 00:00:00,139.9,139.2,141.0,135.5,144.5,157.0,288800,340800,307600,397700,228700,150700
2008-11-01 00:00:00,135.0,134.0,134.9,132.4,141.6,152.9,278700,328200,294200,388400,224100,146800
2008-12-01 00:00:00,136.4,137.2,143.6,129.2,138.6,149.6,281500,336000,313200,379200,219400,143600
2009-01-01 00:00:00,133.1,133.0,134.4,129.7,137.1,147.4,274700,325600,293100,380600,217000,141500
2009-02-01 00:00:00,134.3,135.0,137.9,129.8,136.4,145.0,277200,330500,300800,380700,215900,139200
2009-03-01 00:00:00,132.0,132.5,134.6,128.7,135.4,143.4,272500,324500,293600,377700,214300,137700
2009-04-01 00:00:00,131.6,132.2,134.8,127.8,134.9,145.2,271700,323800,294100,375100,213500,139400
2009-05-01 00:00:00,131.9,132.4,135.1,127.9,134.8,145.4,272300,324200,294600,375200,213400,139600
2009-06-01 00:00:00,133.4,134.5,138.9,127.5,134.6,147.5,275400,329400,303000,374000,213100,141600
2009-07-01 00:00:00,133.9,135.0,138.2,129.4,135.6,149.8,276300,330500,301500,379600,214600,143800
2009-08-01 00:00:00,134.4,135.2,137.6,130.8,136.3,151.8,277300,331000,300000,383900,215800,145700
2009-09-01 00:00:00,135.1,135.6,135.7,133.2,137.3,152.5,278800,332100,296000,390700,217300,146400
2009-10-01 00:00:00,137.2,138.2,139.7,134.8,138.9,152.0,283200,338400,304600,395400,219900,145900
2009-11-01 00:00:00,140.2,141.9,146.5,135.1,140.7,152.1,289300,347500,319600,396500,222800,146000
2009-12-01 00:00:00,137.5,138.0,139.7,135.9,142.3,152.4,283900,338000,304600,398800,225200,146300
2010-01-01 00:00:00,141.4,141.6,143.3,137.4,145.0,154.9,291800,346700,312600,403200,229500,148700
2010-02-01 00:00:00,141.5,140.6,142.1,136.8,146.8,159.2,292100,344400,309900,401500,232400,152800
2010-03-01 00:00:00,142.0,141.0,140.6,139.5,147.7,157.0,293000,345300,306600,409400,233800,150700
2010-04-01 00:00:00,143.1,142.5,142.7,140.2,146.2,156.4,295300,349100,311200,411300,231500,150100
2010-05-01 00:00:00,140.7,139.9,139.6,138.5,142.7,159.3,290500,342600,304500,406400,225900,152900
2010-06-01 00:00:00,141.0,140.2,139.9,138.7,143.3,156.4,291000,343400,305100,407000,226800,150100
2010-07-01 00:00:00,141.9,141.5,142.8,138.0,143.6,152.5,292800,346600,311400,404800,227300,146400
2010-08-01 00:00:00,141.8,141.4,143.5,136.7,144.8,147.8,292600,346200,312900,401200,229200,141900
2010-09-01 00:00:00,139.7,139.0,143.6,130.4,143.5,147.7,288300,340300,313200,382600,227100,141800
2010-10-01 00:00:00,140.0,139.8,144.9,131.4,139.9,151.0,289000,342300,316100,385500,221500,145000
2010-11-01 00:00:00,138.6,138.2,141.5,132.5,139.5,150.4,286100,338500,308600,388900,220800,144400
2010-12-01 00:00:00,136.1,134.7,135.9,132.6,141.1,149.8,280900,329800,296300,389100,223300,143800
2011-01-01 00:00:00,136.1,133.7,135.9,129.2,143.3,149.6,281000,327500,296400,379200,226800,143600
2011-02-01 00:00:00,135.8,133.7,137.7,127.0,142.6,145.8,280300,327400,300400,372500,225700,140000
2011-03-01 00:00:00,137.2,135.8,140.9,127.7,142.3,144.6,283200,332500,307300,374600,225200,138800
2011-04-01 00:00:00,137.1,135.6,137.6,131.9,142.3,142.7,283000,332200,300000,386900,225300,137000
2011-05-01 00:00:00,139.5,139.1,140.6,135.9,141.6,140.1,288000,340600,306600,398600,224100,134500
2011-06-01 00:00:00,139.6,138.7,140.6,134.7,140.4,146.9,288100,339600,306700,395200,222300,141000
2011-07-01 00:00:00,138.5,136.9,138.1,133.8,142.3,142.6,285800,335300,301300,392700,225200,136900
2011-08-01 00:00:00,138.3,136.5,136.8,134.5,140.9,145.9,285500,334300,298300,394700,223000,140100
2011-09-01 00:00:00,139.4,138.0,138.0,135.8,141.6,142.9,287800,337900,300900,398400,224200,137200
2011-10-01 00:00:00,138.7,136.7,137.1,134.6,142.8,142.6,286200,334900,299000,394800,226000,136900
2011-11-01 00:00:00,139.0,137.4,139.2,134.1,141.9,140.0,286800,336600,303600,393500,224600,134400
2011-12-01 00:00:00,141.0,139.9,146.8,131.1,141.9,141.8,291000,342600,320100,384600,224600,136100
2012-01-01 00:00:00,139.5,138.1,141.7,132.7,142.3,135.6,287900,338200,309000,389300,225200,130200
2012-02-01 00:00:00,139.5,138.3,139.2,136.0,141.0,136.8,287900,338700,303600,399100,223200,131300
