Date,Composite_HPI_SA,Single_Family_HPI_SA,One_Storey_HPI_SA,Two_Storey_HPI_SA,Townhouse_HPI_SA,Apartment_HPI_SA,Composite_Benchmark_SA,Single_Family_Benchmark_SA,One_Storey_Benchmark_SA,Two_Storey_Benchmark_SA,Townhouse_Benchmark_SA,Apartment_Benchmark_SA
2005-01-01 00:00:00,100.0,100.0,100.0,100.0,100.0,100.0,172600,198300,176400,237500,117700,108400
2005-02-01 00:00:00,100.5,100.4,100.2,100.1,99.2,99.4,173400,199000,176800,237800,116800,107800
2005-03-01 00:00:00,100.1,99.9,99.8,100.1,98.6,98.5,172800,198200,176000,237700,116000,106800
2005-04-01 00:00:00,100.1,99.8,99.5,100.2,98.7,99.2,172700,197900,175600,237900,116200,107500
2005-05-01 00:00:00,99.5,99.1,99.0,99.3,99.0,99.5,171700,196500,174700,235900,116500,107900
2005-06-01 00:00:00,99.6,99.2,99.3,99.2,98.5,99.3,171900,196700,175200,235700,115900,107600
2005-07-01 00:00:00,100.5,100.4,100.5,100.1,99.6,100.1,173400,199000,177200,237800,117200,108500
2005-08-01 00:00:00,100.9,100.9,101.5,100.0,99.7,100.3,174100,200100,179000,237500,117400,108700
2005-09-01 00:00:00,101.7,102.3,102.6,101.6,99.9,100.6,175500,202800,181000,241200,117600,109100
2005-10-01 00:00:00,104.3,104.8,105.0,104.4,102.1,102.8,180100,207800,185300,247900,120200,111400
2005-11-01 00:00:00,106.6,107.2,107.2,107.0,104.6,105.3,184000,212500,189100,254100,123100,114100
2005-12-01 00:00:00,109.0,109.4,109.3,108.8,107.1,107.5,188100,216900,192800,258400,126000,116500
2006-01-01 00:00:00,111.0,111.6,111.2,112.0,108.6,108.3,191600,221300,196100,266000,127800,117400
2006-02-01 00:00:00,113.8,114.4,114.1,114.4,110.0,109.2,196400,226800,201200,271700,129500,118400
2006-03-01 00:00:00,115.6,116.3,116.3,116.3,111.5,109.8,199600,230600,205100,276200,131200,119000
2006-04-01 00:00:00,121.2,121.9,121.5,122.3,116.9,115.2,209200,241700,214400,290500,137600,124900
2006-05-01 00:00:00,126.7,127.5,127.6,127.6,122.9,120.7,218700,252800,225000,303100,144600,130800
2006-06-01 00:00:00,132.8,133.7,133.5,134.2,128.5,125.9,229200,265100,235500,318700,151200,136500
2006-07-01 00:00:00,139.9,140.4,140.5,140.0,138.7,135.4,241500,278500,247800,332600,163300,146800
2006-08-01 00:00:00,147.0,146.9,147.2,146.7,148.9,145.1,253800,291400,259600,348300,175300,157300
2006-09-01 00:00:00,153.4,152.6,152.8,152.4,159.8,155.7,264800,302700,269500,362000,188100,168800
2006-10-01 00:00:00,158.9,157.6,158.2,156.7,166.5,162.5,274300,312600,279100,372100,196000,176200
2006-11-01 00:00:00,164.1,162.3,163.1,160.6,173.7,169.7,283200,321800,287700,381500,204500,184000
2006-12-01 00:00:00,169.8,167.5,168.9,164.6,181.1,177.0,293100,332100,297900,391000,213100,191900
2007-01-01 00:00:00,175.4,172.5,174.3,169.8,189.0,184.2,302700,342100,307500,403200,222400,199700
2007-02-01 00:00:00,181.9,178.6,180.7,175.3,197.1,191.5,314000,354100,318800,416400,232000,207600
2007-03-01 00:00:00,188.2,184.4,187.0,181.0,205.4,198.8,324900,365700,329900,429800,241800,215500
2007-04-01 00:00:00,194.1,190.0,192.3,186.9,212.7,206.3,335100,376800,339300,443800,250300,223600
2007-05-01 00:00:00,199.0,194.4,196.5,191.7,220.4,213.8,343500,385400,346700,455200,259400,231800
2007-06-01 00:00:00,203.4,198.0,200.3,195.3,227.8,221.4,351100,392700,353400,463800,268100,240000
2007-07-01 00:00:00,200.5,195.1,197.3,191.6,225.7,219.9,346100,386800,348100,455100,265700,238400
2007-08-01 00:00:00,198.4,193.1,194.7,190.9,222.9,218.3,342500,382900,343500,453500,262400,236600
2007-09-01 00:00:00,195.7,190.4,192.8,187.5,220.1,216.4,337800,377600,340100,445200,259000,234600
2007-10-01 00:00:00,192.4,187.2,189.5,183.9,215.6,211.2,332000,371300,334300,436800,253800,228900
2007-11-01 00:00:00,189.0,184.2,186.4,180.5,211.6,206.3,326300,365200,328800,428700,249100,223600
2007-12-01 00:00:00,187.0,182.7,184.6,179.1,208.0,201.6,322800,362200,325700,425300,244800,218500
2008-01-01 00:00:00,186.2,181.8,184.6,177.6,206.9,200.5,321300,360600,325600,421900,243500,217300
2008-02-01 00:00:00,185.4,181.1,183.4,177.5,205.6,199.2,320000,359200,323500,421500,242000,215900
2008-03-01 00:00:00,184.0,179.8,182.3,175.9,204.2,197.1,317600,356600,321500,417800,240400,213700
2008-04-01 00:00:00,181.4,177.4,180.1,172.6,201.3,194.6,313100,351800,317700,410000,236900,210900
2008-05-01 00:00:00,178.5,174.8,177.6,169.8,198.4,191.1,308100,346700,313300,403300,233500,207200
2008-06-01 00:00:00,175.6,172.2,174.7,167.2,195.7,188.1,303100,341400,308100,397000,230300,203900
2008-07-01 00:00:00,173.6,170.5,172.6,165.7,192.5,185.1,299600,338100,304400,393500,226600,200600
2008-08-01 00:00:00,171.7,168.9,171.0,164.3,189.0,182.0,296300,334900,301700,390200,222500,197300
2008-09-01 00:00:00,170.2,167.9,169.9,163.3,185.9,179.0,293800,332900,299700,387800,218800,194000
2008-10-01 00:00:00,169.0,166.8,168.2,162.4,184.4,177.5,291700,330700,296700,385600,217000,192400
2008-11-01 00:00:00,167.8,165.6,166.8,161.0,183.4,175.8,289700,328400,294300,382400,215900,190600
2008-12-01 00:00:00,166.5,164.1,165.6,159.2,182.7,174.7,287300,325400,292100,378000,215000,189400
2009-01-01 00:00:00,164.7,162.6,164.6,157.4,179.4,171.9,284300,322400,290400,373800,211200,186300
2009-02-01 00:00:00,162.6,160.6,161.7,156.3,175.5,169.5,280700,318500,285200,371100,206600,183700
2009-03-01 00:00:00,159.8,158.1,158.4,154.6,171.5,165.3,275900,313600,279500,367200,201900,179200
2009-04-01 00:00:00,160.4,158.9,160.0,154.1,171.5,166.3,276900,315000,282300,365900,201800,180300
2009-05-01 00:00:00,161.3,160.0,161.1,155.1,171.8,166.2,278400,317200,284100,368400,202200,180200
2009-06-01 00:00:00,163.3,162.1,163.5,156.3,172.3,167.5,281900,321400,288500,371100,202800,181600
2009-07-01 00:00:00,165.9,165.0,166.2,159.1,174.9,168.5,286400,327100,293100,377900,205800,182600
2009-08-01 00:00:00,168.1,167.2,168.7,160.8,177.1,170.0,290200,331500,297600,381800,208400,184300
2009-09-01 00:00:00,170.2,169.1,170.3,162.9,179.6,171.2,293700,335400,300400,386800,211400,185600
2009-10-01 00:00:00,172.1,170.7,171.5,164.4,180.8,174.4,297000,338500,302500,390400,212800,189000
2009-11-01 00:00:00,174.4,173.0,174.1,166.2,182.8,177.0,301000,343000,307100,394700,215100,191900
2009-12-01 00:00:00,175.8,174.0,174.7,167.6,185.0,180.0,303500,345100,308100,398100,217800,195100
2010-01-01 00:00:00,176.8,174.7,175.5,168.4,186.1,180.4,305100,346500,309600,399900,219000,195600
2010-02-01 00:00:00,177.8,175.8,177.2,168.4,186.1,181.1,306900,348600,312600,400000,219000,196300
2010-03-01 00:00:00,178.7,176.4,177.6,169.3,185.4,182.2,308500,349800,313200,402200,218200,197500
2010-04-01 00:00:00,179.1,176.3,176.9,169.7,189.6,182.1,309200,349600,312100,403000,223200,197400
2010-05-01 00:00:00,179.5,176.0,176.1,170.0,191.4,184.7,309900,349000,310600,403700,225300,200200
2010-06-01 00:00:00,178.7,174.8,175.2,168.2,191.7,184.9,308500,346700,309000,399400,225600,200400
2010-07-01 00:00:00,177.5,173.6,174.0,166.7,189.0,184.3,306400,344200,307000,395900,222500,199800
2010-08-01 00:00:00,176.4,172.6,173.1,165.3,187.3,181.1,304500,342200,305400,392500,220400,196300
2010-09-01 00:00:00,175.3,171.2,171.9,163.5,187.6,181.2,302600,339400,303200,388200,220800,196400
2010-10-01 00:00:00,175.0,171.1,171.9,163.4,187.1,179.4,302100,339300,303300,388000,220200,194500
2010-11-01 00:00:00,174.9,170.6,171.9,162.5,187.1,181.4,301900,338300,303200,386000,220200,196600
2010-12-01 00:00:00,175.3,171.2,171.7,163.9,187.1,179.5,302600,339500,302800,389300,220200,194600
2011-01-01 00:00:00,175.7,171.4,171.0,165.1,186.2,181.5,303200,339800,301700,392200,219200,196700
2011-02-01 00:00:00,175.4,171.0,170.7,164.3,186.3,180.9,302700,339100,301200,390100,219300,196100
2011-03-01 00:00:00,176.4,172.0,172.2,164.7,187.5,182.9,304500,341000,303700,391100,220700,198300
2011-04-01 00:00:00,177.0,172.5,172.5,165.7,188.9,182.8,305500,342100,304300,393600,222300,198200
2011-05-01 00:00:00,177.2,172.9,173.6,165.5,188.7,182.3,305800,342900,306200,393100,222100,197600
2011-06-01 00:00:00,177.3,173.3,173.5,166.2,186.3,181.2,306100,343700,306100,394700,219300,196400
2011-07-01 00:00:00,177.8,173.4,173.8,165.9,189.5,182.7,306800,343900,306600,394000,223100,198000
2011-08-01 00:00:00,178.3,173.8,173.7,166.2,191.0,183.8,307700,344600,306400,394800,224800,199200
2011-09-01 00:00:00,178.9,174.4,174.0,167.2,189.9,183.6,308700,345900,306900,397000,223500,199000
2011-10-01 00:00:00,179.0,174.5,174.2,167.0,192.0,182.1,308900,346000,307300,396600,226000,197400
2011-11-01 00:00:00,179.1,174.8,173.6,168.4,191.0,180.7,309200,346700,306300,399900,224800,195900
2011-12-01 00:00:00,178.9,174.8,174.7,167.3,188.7,179.5,308800,346700,308200,397400,222100,194600
2012-01-01 00:00:00,179.2,175.0,174.4,168.1,188.8,180.3,309300,347100,307700,399200,222200,195400
2012-02-01 00:00:00,180.2,175.9,175.2,169.4,191.8,180.7,311000,348900,309000,402400,225700,195900
2012-03-01 00:00:00,179.9,175.7,175.1,169.0,190.6,179.2,310500,348500,308800,401400,224300,194200
2012-04-01 00:00:00,181.5,177.7,176.3,171.7,188.6,180.5,313300,352300,311000,407800,222000,195700
2012-05-01 00:00:00,181.2,177.3,176.9,170.3,185.1,181.2,312700,351600,312000,404400,217900,196400
2012-06-01 00:00:00,181.9,178.0,177.1,171.4,186.7,181.4,313900,353000,312400,407100,219700,196600
2012-07-01 00:00:00,182.5,178.5,177.7,171.5,187.9,181.0,315000,354000,313400,407200,221200,196200
2012-08-01 00:00:00,182.4,178.1,175.8,171.8,189.1,181.6,314900,353100,310100,408100,222600,196900
2012-09-01 00:00:00,183.1,179.1,177.2,172.5,187.9,180.7,316100,355200,312600,409700,221100,195900
2012-10-01 00:00:00,184.3,180.1,179.2,172.4,188.0,183.8,318100,357100,316100,409500,221300,199200
2012-11-01 00:00:00,184.9,181.0,179.8,173.4,188.5,180.9,319200,358900,317100,411900,221900,196100
2012-12-01 00:00:00,185.7,181.7,180.2,174.3,187.6,181.9,320500,360300,317800,414000,220800,197200
2013-01-01 00:00:00,186.5,182.7,181.5,175.4,189.9,178.9,321900,362300,320100,416600,223500,193900
2013-02-01 00:00:00,187.1,183.3,182.5,175.4,189.1,180.5,323000,363500,322000,416600,222600,195700
2013-03-01 00:00:00,187.5,183.4,182.4,175.5,189.7,182.9,323600,363600,321700,416900,223300,198300
2013-04-01 00:00:00,188.1,183.9,183.9,175.1,189.5,183.8,324700,364700,324400,415900,223100,199200
2013-05-01 00:00:00,189.0,184.5,183.6,176.2,193.2,184.2,326200,365900,323900,418500,227400,199700
2013-06-01 00:00:00,190.1,185.5,185.3,176.3,195.6,184.3,328100,367900,326900,418600,230200,199800
2013-07-01 00:00:00,190.7,186.4,186.0,177.1,193.9,183.8,329200,369600,328100,420600,228200,199200
2013-08-01 00:00:00,191.8,187.5,187.4,177.7,195.1,184.0,331100,371800,330600,422000,229600,199500
2013-09-01 00:00:00,192.7,188.4,188.9,178.0,196.1,185.4,332600,373600,333300,422700,230800,201000
2013-10-01 00:00:00,193.2,188.9,188.4,179.5,197.0,185.4,333400,374600,332400,426300,231900,201000
2013-11-01 00:00:00,193.8,189.6,189.7,179.5,198.0,186.1,334500,375900,334600,426200,233100,201700
2013-12-01 00:00:00,195.0,190.7,190.5,180.6,199.9,187.4,336600,378100,336100,429000,235300,203100
2014-01-01 00:00:00,195.9,191.7,193.0,180.5,197.5,187.4,338100,380100,340500,428700,232400,203100
2014-02-01 00:00:00,197.5,193.1,193.9,182.3,200.1,190.0,340800,383000,342000,433000,235500,206000
2014-03-01 00:00:00,199.2,195.1,195.5,184.6,202.2,190.4,343800,386800,344900,438400,238000,206400
2014-04-01 00:00:00,200.5,196.2,197.2,184.7,204.7,190.8,346000,389100,347800,438600,240900,206800
