Date,Composite_HPI_SA,Single_Family_HPI_SA,One_Storey_HPI_SA,Two_Storey_HPI_SA,Apartment_HPI_SA,Composite_Benchmark_SA,Single_Family_Benchmark_SA,One_Storey_Benchmark_SA,Two_Storey_Benchmark_SA,Apartment_Benchmark_SA
2005-01,100.0,100.0,100.0,100.0,100.0,135600,137900,122400,158500,112100
2005-02,101.0,101.1,100.5,101.6,99.5,136900,139400,123000,161100,111500
2005-03,102.4,102.6,102.0,102.1,98.9,138800,141500,124900,161900,110900
2005-04,103.8,104.2,104.2,104.1,98.4,140800,143700,127600,165000,110300
2005-05,104.6,105.1,105.1,105.2,97.9,141800,144900,128600,166800,109800
2005-06,104.7,105.1,104.4,106.0,97.4,142000,144900,127800,168000,109200
2005-07,105.3,105.6,105.2,106.0,101.2,142800,145600,128800,168000,113500
2005-08,104.7,104.7,103.3,106.0,105.3,142000,144400,126400,168000,118000
2005-09,105.8,105.7,105.3,105.9,109.5,143500,145700,128900,167900,122700
2005-10,104.7,104.4,103.9,105.4,109.7,142000,144000,127200,167000,123000
2005-11,105.5,105.1,105.6,105.1,110.0,143000,144900,129200,166600,123300
2005-12,104.8,104.3,104.3,105.4,110.3,142100,143800,127700,167100,123700
2006-01,106.3,105.9,106.0,106.1,109.5,144100,146100,129800,168100,122700
2006-02,107.5,107.4,107.1,107.7,108.6,145800,148100,131100,170700,121700
2006-03,108.0,108.0,106.7,108.3,107.7,146400,148900,130600,171600,120700
2006-04,108.4,108.3,108.3,108.3,108.8,147000,149400,132600,171700,122000
2006-05,107.3,107.0,106.6,107.6,110.0,145500,147600,130500,170500,123300
2006-06,107.7,107.4,108.3,106.8,111.2,146100,148100,132500,169200,124700
2006-07,108.6,108.3,109.3,107.3,111.6,147200,149400,133800,170000,125100
2006-08,109.7,109.6,110.8,107.9,112.0,148700,151100,135600,171000,125500
2006-09,109.3,109.1,109.8,108.5,112.3,148200,150500,134400,172000,125900
2006-10,113.7,113.9,117.2,110.9,112.8,154200,157000,143400,175800,126400
2006-11,112.1,112.0,110.6,113.7,113.3,152000,154400,135400,180200,127000
2006-12,113.6,113.5,111.5,117.0,113.7,154000,156500,136500,185500,127500
2007-01,111.6,111.4,110.6,112.4,114.1,151300,153600,135400,178200,127900
2007-02,111.0,110.7,112.1,109.2,114.5,150500,152600,137200,173100,128300
2007-03,110.8,110.4,114.1,105.6,114.8,150200,152200,139700,167300,128700
2007-04,112.5,112.3,115.0,109.2,114.3,152500,154800,140800,173100,128100
2007-05,113.9,113.9,115.5,112.2,113.7,154400,157000,141400,177900,127500
2007-06,115.0,115.2,115.4,115.4,113.2,156000,158900,141300,182900,126900
2007-07,115.9,116.0,115.5,116.7,114.2,157100,160000,141400,184900,128000
2007-08,117.8,118.0,117.0,118.4,115.3,159700,162700,143200,187600,129200
2007-09,117.8,117.9,116.0,119.9,116.2,159700,162600,142000,190000,130300
2007-10,117.0,117.3,115.8,119.3,113.2,158600,161800,141700,189100,126900
2007-11,116.9,117.5,116.5,118.7,110.3,158500,162000,142600,188200,123600
2007-12,116.0,116.5,116.0,118.9,107.4,157300,160700,142000,188400,120400
2008-01,116.3,116.9,116.1,118.3,109.1,157700,161200,142100,187500,122300
2008-02,116.5,116.9,115.6,118.2,111.0,158000,161200,141500,187300,124400
2008-03,117.0,117.3,115.6,118.3,112.9,158700,161800,141500,187500,126600
2008-04,115.6,116.0,114.4,117.7,112.0,156700,159900,140000,186600,125600
2008-05,114.7,115.2,114.0,116.7,111.2,155600,158800,139500,185000,124600
2008-06,115.8,116.4,117.6,115.7,110.3,157000,160500,144000,183400,123600
2008-07,115.3,115.9,115.9,116.0,110.3,156400,159800,141900,183800,123600
2008-08,114.5,114.9,112.2,117.0,110.3,155200,158400,137300,185500,123600
2008-09,115.7,116.2,115.7,117.0,110.5,156900,160300,141600,185400,123900
2008-10,116.3,116.7,116.7,117.0,113.3,157700,160900,142900,185400,127000
2008-11,115.9,115.9,115.7,116.5,116.1,157200,159800,141600,184600,130200
2008-12,117.0,116.8,117.7,117.5,118.9,158600,161100,144100,186300,133300
2009-01,116.7,116.8,118.0,116.7,117.6,158300,161100,144400,184900,131800
2009-02,116.3,116.2,116.4,116.0,116.1,157700,160300,142500,183900,130200
2009-03,115.1,115.1,113.8,115.9,114.7,156100,158700,139300,183700,128600
2009-04,115.0,114.8,112.9,116.7,117.7,156000,158300,138200,184900,131900
2009-05,117.3,117.0,117.5,116.5,120.5,159100,161400,143800,184600,135100
2009-06,116.2,115.7,114.9,116.5,123.4,157500,159500,140600,184700,138300
2009-07,116.3,116.0,116.3,115.3,121.0,157700,160000,142300,182700,135600
2009-08,118.9,118.9,120.5,116.2,118.5,161200,164000,147500,184200,132800
2009-09,117.2,117.3,119.2,115.5,116.3,158900,161800,145900,183000,130400
2009-10,117.5,117.6,118.9,116.5,116.1,159300,162200,145500,184700,130100
2009-11,117.4,117.5,118.8,116.5,116.0,159200,162100,145400,184600,130000
2009-12,116.7,116.8,116.8,118.0,115.9,158200,161000,143000,187100,129900
2010-01,122.9,123.1,120.2,127.1,122.4,166700,169800,147100,201500,137200
2010-02,123.8,124.4,123.0,125.7,117.7,167900,171500,150600,199300,131900
2010-03,125.1,125.6,124.9,125.9,120.0,169600,173200,152900,199600,134500
2010-04,124.3,124.9,124.1,125.5,120.8,168600,172200,151900,198900,135400
2010-05,125.1,125.9,125.2,126.7,120.4,169700,173600,153200,200800,135000
2010-06,125.3,126.0,126.1,126.3,121.2,169900,173800,154300,200200,135900
2010-07,126.7,127.3,126.2,128.3,122.9,171800,175600,154500,203300,137800
2010-08,123.0,123.6,123.4,123.1,119.3,166800,170400,151000,195100,133700
2010-09,123.5,124.2,121.2,127.4,120.2,167400,171300,148300,202000,134800
2010-10,123.7,124.5,122.0,127.2,118.1,167700,171700,149300,201600,132400
2010-11,126.5,127.6,124.7,131.2,117.2,171600,176000,152600,207900,131400
2010-12,126.0,127.2,125.8,129.7,116.1,170800,175400,154000,205600,130100
2011-01,126.2,126.8,126.1,128.7,124.2,171100,174900,154400,204000,139200
2011-02,127.0,128.0,126.3,129.8,120.0,172200,176500,154600,205700,134500
2011-03,126.5,127.2,126.2,128.1,121.9,171600,175400,154500,203100,136700
2011-04,127.4,128.3,127.8,128.7,121.1,172800,176900,156400,204000,135800
2011-05,127.9,128.4,127.6,129.1,127.2,173400,177000,156200,204600,142600
2011-06,127.4,127.8,127.1,128.6,126.2,172700,176300,155600,203900,141500
2011-07,125.7,125.9,120.7,130.5,128.2,170500,173600,147700,206800,143700
2011-08,123.7,123.5,121.3,124.9,129.9,167800,170300,148500,197900,145600
2011-09,129.2,129.2,130.9,127.5,134.9,175200,178200,160200,202100,151200
2011-10,129.5,129.5,132.4,126.5,132.0,175600,178600,162000,200500,148000
2011-11,130.3,130.8,131.5,130.7,128.2,176700,180400,160900,207100,143700
2011-12,129.2,129.4,130.6,128.8,129.3,175200,178500,159900,204200,144900
2012-01,128.3,129.1,128.8,130.0,126.0,174000,178000,157700,206000,141200
2012-02,128.2,128.6,127.4,129.7,128.5,173800,177300,155900,205500,144100
2012-03,129.7,130.5,131.7,129.0,126.2,175900,179900,161200,204400,141500
2012-04,129.5,130.2,130.0,130.3,126.6,175600,179600,159100,206600,141900
2012-05,128.4,129.5,129.6,129.1,125.4,174100,178600,158600,204600,140600
2012-06,130.3,131.4,130.6,132.1,127.6,176700,181200,159900,209400,143000
2012-07,130.7,131.9,132.9,130.2,125.3,177200,181900,162700,206400,140500
2012-08,133.5,134.7,137.0,131.9,128.0,181000,185700,167700,209000,143500
2012-09,130.5,131.3,131.3,131.4,131.1,177000,181100,160700,208300,147000
2012-10,128.7,129.6,127.9,131.3,125.8,174500,178700,156600,208100,141000
2012-11,126.6,126.8,127.8,126.5,129.3,171700,174900,156400,200500,145000
2012-12,130.7,131.3,133.7,129.2,128.9,177200,181100,163700,204800,144500
2013-01,128.4,128.9,130.8,127.8,129.4,174100,177800,160100,202600,145100
2013-02,130.5,131.6,132.0,131.1,126.1,177000,181500,161600,207800,141400
2013-03,131.2,132.6,130.6,134.6,121.7,177900,182900,159800,213300,136400
2013-04,133.3,134.3,132.4,136.1,127.3,180700,185200,162000,215700,142700
2013-05,131.4,131.9,128.2,135.1,134.0,178200,181900,156900,214100,150200
2013-06,132.0,132.3,130.8,133.2,136.1,179000,182400,160100,211200,152600
2013-07,135.3,135.9,134.6,136.3,134.9,183400,187400,164700,216100,151200
2013-08,134.1,134.8,133.5,135.5,133.5,181900,185900,163400,214700,149700
2013-09,134.6,135.2,134.9,135.1,136.6,182500,186400,165100,214200,153100
2013-10,136.7,137.4,137.3,137.1,133.9,185300,189500,168100,217300,150100
2013-11,136.2,137.2,137.9,136.8,130.8,184700,189200,168800,216800,146600
