Date,Composite_HPI_SA,Single_Family_HPI_SA,One_Storey_HPI_SA,Two_Storey_HPI_SA,Townhouse_HPI_SA,Apartment_HPI_SA,Composite_Benchmark_SA,Single_Family_Benchmark_SA,One_Storey_Benchmark_SA,Two_Storey_Benchmark_SA,Townhouse_Benchmark_SA,Apartment_Benchmark_SA
2005-01,100.0,100.0,100.0,100.0,100.0,100.0,281100,353200,307800,404700,224400,123000
2005-02,100.4,100.5,100.8,100.2,100.2,100.4,282300,354900,310300,405600,224800,123500
2005-03,100.7,100.9,101.5,100.4,100.4,100.6,283200,356400,312300,406500,225300,123700
2005-04,101.1,101.2,101.8,100.6,100.6,101.5,284100,357400,313400,407200,225800,124800
2005-05,101.4,101.5,102.3,100.9,100.8,101.7,285000,358500,314800,408300,226300,125100
2005-06,101.7,101.8,102.7,101.1,101.2,102.8,286000,359400,316000,409100,227000,126500
2005-07,103.2,103.3,104.3,102.5,102.4,104.4,290200,365000,321000,415000,229700,128400
2005-08,104.5,104.7,105.8,103.8,103.5,105.0,293800,369800,325500,420200,232200,129200
2005-09,105.9,106.1,107.2,105.1,104.6,107.0,297800,374700,330000,425500,234700,131600
2005-10,107.5,107.6,108.9,106.5,105.8,109.1,302100,380100,335200,431100,237500,134200
2005-11,109.0,109.1,110.5,108.0,107.2,111.0,306400,385500,340200,437000,240500,136500
2005-12,110.5,110.7,112.1,109.5,108.5,112.3,310500,390900,345000,443100,243400,138100
2006-01,112.3,112.5,113.9,111.3,110.3,115.2,315800,397300,350600,450300,247600,141700
2006-02,114.1,114.1,115.4,113.0,112.2,117.7,320700,403000,355300,457300,251800,144800
2006-03,115.8,115.7,117.0,114.7,114.0,120.5,325600,408800,360100,464300,255800,148200
2006-04,117.8,117.6,119.0,116.5,115.9,123.1,331100,415500,366300,471400,260100,151400
2006-05,119.9,119.5,121.0,118.3,117.9,127.0,336900,422200,372300,478700,264500,156200
2006-06,121.8,121.3,122.8,120.1,119.8,129.8,342400,428400,378100,485900,268900,159700
2006-07,123.8,123.2,124.8,121.9,121.7,132.6,348000,435300,384200,493500,273000,163100
2006-08,125.6,125.0,126.5,123.7,123.4,134.8,353000,441400,389500,500500,277000,165800
2006-09,127.4,126.6,128.2,125.4,125.1,137.0,358000,447300,394600,507400,280800,168500
2006-10,128.3,127.6,129.2,126.3,126.4,137.8,360700,450800,397800,511200,283600,169500
2006-11,129.5,128.8,130.6,127.3,127.5,139.2,364000,455000,402100,515300,286200,171200
2006-12,130.5,129.8,131.6,128.3,128.7,140.6,366900,458600,405000,519400,288900,172900
2007-01,131.6,130.8,132.6,129.3,129.8,142.8,370000,462100,408100,523400,291300,175600
2007-02,132.6,131.6,133.2,130.2,130.8,144.5,372600,464900,409900,527100,293500,177700
2007-03,133.6,132.5,134.1,131.1,131.8,146.6,375500,468000,412800,530600,295700,180300
2007-04,134.5,133.4,134.9,132.1,132.6,147.9,378100,471100,415300,534600,297500,181900
2007-05,135.4,134.3,135.7,133.1,133.4,148.9,380600,474200,417700,538500,299300,183200
