Date,Composite_HPI_SA,Single_Family_HPI_SA,One_Storey_HPI_SA,Two_Storey_HPI_SA,Apartment_HPI_SA,Composite_Benchmark_SA,Single_Family_Benchmark_SA,One_Storey_Benchmark_SA,Two_Storey_Benchmark_SA,Apartment_Benchmark_SA
2005-01-01 00:00:00,100.0,100.0,100.0,100.0,100.0,121700,121400,122700,118000,123400
2005-02-01 00:00:00,99.8,99.9,100.1,100.3,100.2,121500,121300,122800,118300,123600
2005-03-01 00:00:00,99.7,99.7,99.6,100.5,100.4,121300,121000,122200,118600,123900
2005-04-01 00:00:00,99.3,99.2,99.4,100.8,100.6,120800,120400,122000,118900,124100
2005-05-01 00:00:00,98.8,98.8,98.9,101.0,100.7,120300,119900,121300,119200,124300
2005-06-01 00:00:00,98.8,98.6,98.4,101.3,101.0,120200,119700,120700,119500,124600
2005-07-01 00:00:00,99.6,99.5,99.7,101.5,101.1,121200,120800,122300,119800,124800
2005-08-01 00:00:00,100.7,100.7,101.1,101.9,101.3,122600,122300,124100,120200,125000
2005-09-01 00:00:00,101.9,102.0,102.6,102.1,101.5,124000,123800,125900,120500,125300
2005-10-01 00:00:00,102.2,102.3,102.7,102.4,101.7,124400,124200,126000,120800,125500
2005-11-01 00:00:00,102.5,102.6,102.7,102.6,101.9,124700,124600,126000,121100,125700
2005-12-01 00:00:00,102.6,102.7,102.4,102.9,102.0,124900,124700,125600,121400,125900
2006-01-01 00:00:00,103.2,103.3,102.6,104.7,102.6,125600,125400,125900,123500,126600
2006-02-01 00:00:00,103.5,103.5,102.4,106.4,103.1,125900,125700,125600,125600,127200
2006-03-01 00:00:00,103.5,103.6,101.3,108.3,103.6,126000,125800,124300,127800,127800
2006-04-01 00:00:00,104.9,105.1,103.3,110.2,104.1,127700,127600,126800,130000,128400
2006-05-01 00:00:00,106.3,106.7,105.0,112.0,104.6,129400,129500,128800,132200,129100
2006-06-01 00:00:00,108.1,108.5,106.7,114.0,105.1,131500,131700,130900,134500,129700
2006-07-01 00:00:00,107.6,107.9,106.3,113.1,105.9,131000,131000,130400,133500,130700
