Date,Composite_HPI_SA,Single_Family_HPI_SA,One_Storey_HPI_SA,Two_Storey_HPI_SA,Townhouse_HPI_SA,Apartment_HPI_SA,Composite_Benchmark_SA,Single_Family_Benchmark_SA,One_Storey_Benchmark_SA,Two_Storey_Benchmark_SA,Townhouse_Benchmark_SA,Apartment_Benchmark_SA
2005-01,100.0,100.0,100.0,100.0,100.0,100.0,136800,137800,130800,144500,81400,92600
2005-02,100.1,100.1,99.7,100.7,99.9,100.4,136900,138000,130400,145500,81300,93000
2005-03,100.4,100.4,99.5,101.6,100.6,101.0,137400,138400,130200,146800,81900,93500
2005-04,100.8,100.9,99.8,102.3,99.4,101.4,137900,139000,130500,147800,80900,93900
2005-05,101.3,101.5,100.2,103.0,100.0,101.9,138600,139800,131000,148900,81400,94400
2005-06,101.8,101.8,100.5,103.7,100.0,102.5,139200,140300,131500,149900,81400,94900
2005-07,101.5,101.7,99.8,103.7,100.5,102.9,138900,140100,130500,149900,81800,95300
2005-08,101.3,101.4,99.1,103.7,100.7,103.5,138600,139700,129600,149800,82000,95800
2005-09,101.0,101.0,98.3,103.5,101.1,104.0,138200,139200,128600,149600,82300,96300
2005-10,100.8,100.8,98.5,102.9,101.1,104.5,137900,138900,128800,148700,82300,96800
2005-11,100.5,100.6,98.5,102.3,101.2,105.0,137500,138600,128900,147800,82400,97200
2005-12,100.4,100.4,98.6,102.1,101.6,105.5,137300,138400,129000,147600,82700,97700
2006-01,100.5,100.5,98.6,102.3,101.7,108.1,137500,138500,129000,147800,82800,100100
2006-02,100.8,100.7,98.8,102.8,101.6,110.7,137900,138800,129200,148600,82700,102500
2006-03,101.3,101.2,99.0,103.5,101.1,113.4,138600,139400,129500,149500,82300,105000
2006-04,102.1,102.1,99.6,104.7,102.5,116.2,139700,140700,130300,151300,83400,107600
2006-05,103.1,103.1,100.4,106.1,101.8,119.0,141100,142100,131300,153300,82900,110200
2006-06,104.1,104.1,101.1,107.5,101.7,121.9,142400,143500,132300,155300,82800,112900
2006-07,104.6,104.6,101.9,107.3,102.0,123.0,143100,144100,133300,155000,83000,113900
