Date,Composite_HPI_SA,Single_Family_HPI_SA,One_Storey_HPI_SA,Two_Storey_HPI_SA,Townhouse_HPI_SA,Apartment_HPI_SA,Composite_Benchmark_SA,Single_Family_Benchmark_SA,One_Storey_Benchmark_SA,Two_Storey_Benchmark_SA,Townhouse_Benchmark_SA,Apartment_Benchmark_SA
2005-01,100.0,100.0,100.0,100.0,100.0,100.0,183200,185700,178100,195300,110900,107800
2005-02,100.7,100.7,100.8,100.3,101.3,100.7,184500,187000,179600,195800,112300,108600
2005-03,101.3,101.3,101.5,100.4,102.4,101.6,185600,188100,180800,196100,113600,109500
2005-04,101.3,101.2,101.7,100.1,103.7,102.4,185500,188000,181200,195500,115000,110400
2005-05,101.0,100.9,101.7,99.4,105.0,103.2,185000,187300,181100,194100,116400,111300
2005-06,100.6,100.4,101.6,98.6,106.2,104.1,184300,186500,181000,192500,117800,112200
2005-07,100.1,99.9,101.2,98.5,107.5,104.9,183400,185600,180200,192400,119200,113100
2005-08,99.9,99.7,100.7,98.5,108.7,105.8,183000,185200,179300,192300,120600,114100
2005-09,99.6,99.4,99.8,98.0,110.0,106.7,182400,184600,177700,191300,122000,115000
2005-10,100.3,100.1,102.2,97.5,111.4,107.5,183700,185900,182000,190500,123500,115900
2005-11,100.9,100.7,104.3,96.5,112.7,108.4,184800,187000,185700,188400,125000,116900
2005-12,101.9,101.7,106.5,96.5,114.1,109.3,186600,188800,189600,188500,126500,117800
2006-01,104.0,103.8,107.5,99.7,117.9,109.9,190600,192800,191500,194700,130700,118500
2006-02,106.4,106.1,108.6,103.2,121.8,110.5,194900,197000,193400,201600,135100,119100
2006-03,108.7,108.5,109.4,106.8,126.0,111.1,199100,201400,194900,208600,139700,119800
2006-04,108.8,108.6,109.4,107.0,130.2,111.8,199400,201600,194900,208900,144400,120500
2006-05,108.7,108.3,109.3,106.7,134.6,112.4,199100,201100,194700,208400,149300,121200
2006-06,108.6,108.1,109.2,106.4,139.1,113.1,198900,200800,194500,207800,154300,121900
2006-07,109.4,109.0,110.6,107.0,140.7,115.1,200500,202400,196900,208900,156000,124100
2006-08,110.5,110.0,112.1,107.5,142.3,117.3,202400,204300,199600,210000,157800,126400
2006-09,111.4,110.9,113.1,107.5,143.8,119.5,204000,206000,201500,209900,159500,128800
2006-10,110.9,110.4,113.6,106.5,145.4,121.7,203200,205000,202400,207900,161300,131200
2006-11,110.3,109.7,113.8,104.8,147.1,124.0,202000,203700,202700,204700,163100,133700
2006-12,109.9,109.3,114.1,104.1,148.8,126.3,201400,203000,203200,203400,165000,136100
2007-01,110.8,110.2,115.0,104.8,150.9,125.8,203000,204600,204900,204600,167400,135600
2007-02,111.8,111.3,115.7,106.2,153.1,125.2,204900,206600,206100,207500,169800,135000
2007-03,113.0,112.3,116.2,107.9,155.4,124.7,207000,208600,207000,210800,172300,134400
2007-04,115.1,114.5,117.7,110.5,157.7,124.2,210900,212600,209700,215900,174900,133900
2007-05,116.8,116.2,119.1,112.6,160.0,123.7,213900,215800,212100,219900,177400,133300
2007-06,118.7,118.1,120.4,115.0,162.3,123.1,217500,219400,214500,224600,180000,132700
2007-07,117.8,117.3,120.4,113.6,161.4,122.4,215900,217800,214400,221900,179000,131900
2007-08,117.4,116.8,120.3,112.6,160.4,121.6,215000,216900,214300,220000,177900,131100
2007-09,116.6,116.1,120.0,111.1,159.5,120.9,213700,215600,213700,216900,176900,130300
2007-10,119.0,118.5,120.3,116.0,158.6,120.1,218000,220100,214300,226500,175900,129500
2007-11,121.4,120.9,120.7,120.7,157.6,119.4,222400,224600,214900,235700,174800,128700
2007-12,124.1,123.8,121.3,126.3,156.7,118.6,227400,229900,216000,246600,173800,127900
2008-01,123.3,122.9,123.0,122.4,155.5,118.6,225800,228200,219000,239100,172500,127800
2008-02,122.3,121.9,123.7,119.6,154.6,118.1,224000,226400,220300,233600,171500,127300
2008-03,120.8,120.4,124.2,116.1,154.0,117.3,221300,223500,221200,226700,170800,126400
2008-04,121.7,121.3,124.0,118.1,152.8,117.2,222900,225300,220900,230600,169500,126300
2008-05,121.6,121.3,123.1,118.9,152.0,118.2,222800,225300,219200,232300,168600,127400
2008-06,121.4,121.1,122.2,119.5,151.3,117.7,222400,224900,217600,233300,167800,126900
