Date,Composite_HPI_SA,Single_Family_HPI_SA,One_Storey_HPI_SA,Two_Storey_HPI_SA,Townhouse_HPI_SA,Apartment_HPI_SA,Composite_Benchmark_SA,Single_Family_Benchmark_SA,One_Storey_Benchmark_SA,Two_Storey_Benchmark_SA,Townhouse_Benchmark_SA,Apartment_Benchmark_SA
2005-01-01 00:00:00,100.0,100.0,100.0,100.0,100.0,100.0,240000,255900,250100,259100,169000,167400
2005-02-01 00:00:00,100.4,100.4,100.4,100.3,99.8,100.5,240900,257000,251000,260000,168600,168200
2005-03-01 00:00:00,100.4,100.5,100.8,100.3,99.6,101.0,241000,257200,252200,259800,168300,169100
2005-04-01 00:00:00,101.3,101.5,101.9,101.0,99.9,101.5,243100,259700,254900,261600,168900,169900
2005-05-01 00:00:00,102.2,102.4,103.4,101.7,100.4,102.0,245300,262000,258500,263500,169600,170800
2005-06-01 00:00:00,101.8,101.8,101.0,101.9,100.8,102.5,244200,260400,252600,264100,170400,171600
2005-07-01 00:00:00,102.6,102.6,102.3,102.7,101.4,103.6,246200,262600,255800,266000,171400,173500
2005-08-01 00:00:00,102.7,102.7,100.0,103.8,102.0,104.8,246500,262800,250200,269000,172300,175400
2005-09-01 00:00:00,103.0,103.0,100.0,104.0,102.6,105.9,247200,263700,250200,269400,173400,177300
2005-10-01 00:00:00,103.1,103.1,102.5,103.4,103.3,103.9,247500,263900,256400,267800,174500,174000
2005-11-01 00:00:00,103.5,103.6,102.2,103.8,104.0,102.0,248400,265000,255500,268900,175800,170800
2005-12-01 00:00:00,104.9,105.2,102.7,106.2,104.7,100.1,251700,269100,256900,275200,177000,167600
2006-01-01 00:00:00,104.7,104.9,102.8,105.7,105.1,102.3,251300,268400,257100,273900,177600,171300
2006-02-01 00:00:00,105.7,105.8,103.0,106.9,105.5,104.6,253600,270700,257600,277100,178300,175100
2006-03-01 00:00:00,105.3,105.3,101.9,106.7,105.9,106.9,252800,269400,254900,276400,179000,179000
2006-04-01 00:00:00,105.9,105.9,103.6,106.7,106.4,104.8,254100,271000,259000,276500,179800,175500
2006-05-01 00:00:00,105.5,105.5,104.1,105.9,106.9,102.9,253200,269900,260300,274300,180600,172200
2006-06-01 00:00:00,106.4,106.5,106.0,106.5,107.4,100.9,255300,272600,265200,275900,181500,168900
2006-07-01 00:00:00,106.2,106.2,104.7,106.7,107.5,102.0,254800,271700,261800,276500,181700,170700
2006-08-01 00:00:00,107.0,107.2,106.4,107.4,107.6,103.0,256700,274200,266100,278200,181900,172500
2006-09-01 00:00:00,107.5,107.7,105.8,108.0,107.9,104.2,257900,275600,264600,279900,182300,174400
2006-10-01 00:00:00,107.9,108.2,104.0,110.0,107.6,103.4,259000,276900,260100,285100,181900,173100
2006-11-01 00:00:00,108.2,108.6,104.8,109.8,107.5,102.7,259600,277800,262000,284600,181700,171900
2006-12-01 00:00:00,108.1,108.6,106.7,109.3,107.3,101.9,259500,277800,266800,283200,181300,170600
2007-01-01 00:00:00,108.7,109.1,106.1,110.4,107.8,101.6,260800,279300,265400,286100,182200,170100
2007-02-01 00:00:00,108.7,109.1,107.5,109.7,108.4,101.3,260800,279200,268800,284200,183200,169600
2007-03-01 00:00:00,109.2,109.7,107.9,110.3,109.0,101.0,262000,280600,269900,285900,184200,169100
2007-04-01 00:00:00,109.5,109.8,108.3,110.2,109.6,101.5,262700,281000,270900,285600,185200,169900
2007-05-01 00:00:00,110.7,111.2,108.7,112.0,110.2,102.0,265700,284500,271800,290300,186200,170700
2007-06-01 00:00:00,111.3,111.7,109.0,112.7,110.8,102.4,267100,285900,272600,292000,187300,171500
2007-07-01 00:00:00,111.1,111.3,108.9,112.2,111.9,104.1,266600,284900,272300,290800,189100,174200
2007-08-01 00:00:00,111.9,112.2,111.2,112.7,113.0,105.7,268600,287000,278000,291900,190900,177000
2007-09-01 00:00:00,113.0,113.3,112.4,113.1,114.2,107.4,271200,289900,281000,293000,193000,179800
2007-10-01 00:00:00,112.5,112.7,111.1,113.4,114.5,106.5,270100,288500,277900,293800,193500,178200
