Date,Composite_HPI_SA,Single_Family_HPI_SA,One_Storey_HPI_SA,Two_Storey_HPI_SA,Townhouse_HPI_SA,Apartment_HPI_SA,Composite_Benchmark_SA,Single_Family_Benchmark_SA,One_Storey_Benchmark_SA,Two_Storey_Benchmark_SA,Townhouse_Benchmark_SA,Apartment_Benchmark_SA
2005-01,100.0,100.0,100.0,100.0,100.0,100.0,176900,177500,149800,201200,180800,169800
2005-02,100.1,100.2,99.7,100.5,99.6,99.9,177100,177900,149300,202300,180100,169700
2005-03,99.4,99.4,98.5,100.0,99.4,99.9,175900,176500,147500,201100,179700,169600
2005-04,100.7,101.0,101.6,100.6,99.4,99.8,178200,179200,152200,202400,179800,169500
2005-05,100.6,100.8,101.0,100.7,99.7,99.8,178000,179000,151300,202700,180200,169400
2005-06,100.2,100.6,102.1,99.1,99.4,99.7,177300,178500,152900,199300,179700,169300
2005-07,101.1,101.5,102.2,101.0,99.3,99.2,178900,180100,153100,203200,179600,168500
2005-08,102.1,102.6,102.3,102.9,98.9,98.8,180600,182200,153200,207000,178800,167800
2005-09,101.2,101.7,101.8,102.3,98.3,98.4,179100,180600,152500,205900,177700,167000
2005-10,102.9,103.7,102.9,104.0,99.3,98.6,182100,184000,154100,209300,179500,167500
2005-11,102.4,102.9,103.1,102.6,100.3,98.9,181200,182600,154500,206500,181300,168000
2005-12,103.6,104.1,103.3,105.7,101.3,99.2,183200,184800,154700,212700,183200,168500
2006-01,104.5,105.2,104.8,105.4,101.9,99.4,184800,186700,157000,212100,184300,168800
2006-02,104.9,105.7,106.2,105.4,102.9,99.6,185600,187600,159100,212000,186000,169100
2006-03,105.4,106.3,107.1,105.6,104.0,99.8,186500,188600,160400,212400,188000,169400
2006-04,105.5,106.4,106.5,106.3,102.8,100.1,186700,188800,159600,213900,185900,169900
2006-05,106.2,107.2,108.1,106.6,101.8,100.3,187800,190200,162000,214400,184100,170300
2006-06,107.5,108.9,110.3,107.5,100.4,100.6,190200,193300,165200,216200,181600,170800
2006-07,105.9,106.6,107.6,106.1,102.1,101.9,187300,189300,161200,213500,184600,173100
2006-08,105.6,106.0,106.4,105.8,103.4,103.4,186800,188100,159400,212800,187000,175500
2006-09,106.3,106.5,108.5,105.9,104.8,104.8,188000,189100,162500,213100,189400,178000
2006-10,107.0,107.3,108.0,106.7,105.4,104.1,189200,190400,161800,214700,190600,176800
2006-11,109.4,110.1,110.2,110.1,106.0,103.4,193500,195500,165100,221600,191700,175600
2006-12,108.3,109.0,113.6,107.1,106.7,102.7,191600,193500,170100,215400,193000,174400
2007-01,108.9,109.7,111.8,108.4,106.5,102.8,192600,194800,167500,218200,192600,174500
2007-02,109.1,110.1,112.6,108.4,106.2,102.8,193000,195400,168600,218200,192000,174500
2007-03,110.2,111.3,113.1,110.0,106.3,102.8,194900,197600,169400,221400,192100,174600
2007-04,110.1,111.1,113.6,109.4,107.4,103.7,194800,197200,170200,220200,194200,176100
2007-05,111.1,112.1,114.1,110.9,108.7,104.5,196600,199000,170900,223100,196600,177500
2007-06,112.0,113.1,114.8,111.6,109.6,105.5,198100,200800,171900,224500,198200,179100
2007-07,114.0,115.3,117.4,114.0,110.6,104.6,201600,204700,175900,229300,200000,177600
2007-08,113.9,115.3,119.1,112.9,111.1,103.7,201500,204600,178400,227100,200900,176100
2007-09,115.5,117.1,116.8,117.9,111.6,102.9,204300,207900,175000,237200,201800,174700
2007-10,115.5,117.0,118.4,115.9,111.5,104.0,204300,207700,177400,233200,201600,176600
2007-11,115.4,116.8,118.6,115.7,111.1,105.2,204200,207300,177600,232800,200900,178600
2007-12,114.4,115.5,117.6,115.0,111.1,106.4,202400,205000,176200,231400,200800,180600
2008-01,117.4,118.9,119.7,118.4,111.9,107.5,207700,211100,179300,238200,202400,182500
2008-02,118.8,120.4,121.2,119.9,112.1,108.4,210100,213700,181600,241200,202700,184100
2008-03,118.9,120.5,122.2,119.3,113.2,109.1,210400,213900,183000,240100,204700,185200
2008-04,118.9,120.4,122.0,119.3,113.8,109.6,210300,213700,182700,240000,205800,186100
2008-05,118.5,119.8,121.2,118.9,114.9,110.1,209700,212700,181600,239200,207800,187000
2008-06,119.6,121.1,122.1,120.1,115.9,110.8,211600,215000,182900,241600,209500,188100
2008-07,119.1,120.3,122.4,118.9,116.0,111.0,210600,213500,183300,239200,209700,188500
2008-08,121.1,122.7,124.5,121.5,115.8,110.8,214300,217800,186500,244500,209300,188200
2008-09,120.8,122.1,125.1,120.9,116.0,111.2,213700,216800,187400,243200,209700,188800
2008-10,119.5,120.7,124.7,118.0,115.6,110.1,211400,214300,186800,237500,209000,187000
2008-11,120.5,122.1,124.3,120.7,114.8,109.2,213200,216800,186200,242900,207500,185500
2008-12,120.0,121.7,124.2,121.1,114.4,108.2,212200,216100,186100,243600,206800,183700
2009-01,119.7,121.2,124.2,119.4,115.4,109.5,211700,215200,186100,240200,208700,186000
2009-02,119.2,120.6,123.8,118.6,115.9,110.7,210900,214000,185500,238600,209500,188000
2009-03,119.9,121.1,122.8,120.1,117.6,112.1,212100,214900,183900,241700,212600,190300
2009-04,121.8,123.1,125.4,121.8,118.6,112.9,215400,218500,187900,245100,214400,191700
2009-05,122.7,124.2,126.7,122.6,118.8,113.6,217100,220500,189800,246700,214700,192900
2009-06,122.2,123.6,126.4,121.8,119.0,114.1,216200,219400,189300,245100,215100,193800
2009-07,123.9,125.6,126.6,125.1,119.5,112.9,219200,223000,189600,251800,216000,191700
2009-08,123.6,125.2,126.2,124.9,119.3,111.8,218600,222300,189100,251300,215700,189800
2009-09,124.8,126.9,129.6,125.7,118.9,110.6,220800,225200,194200,253000,214900,187800
2009-10,125.9,127.7,129.2,126.7,121.0,112.2,222700,226700,193600,255000,218700,190600
2009-11,126.1,127.7,130.4,126.2,122.4,113.8,223000,226700,195400,254000,221300,193300
2009-12,127.3,128.9,130.4,128.7,124.8,115.5,225200,228800,195300,259000,225600,196200
2010-01,128.3,130.0,131.0,129.4,121.3,119.1,227000,230700,196300,260400,219400,202300
2010-02,128.4,130.0,129.4,130.5,123.2,119.1,227100,230800,193800,262600,222700,202300
2010-03,128.8,130.8,131.9,130.2,121.7,117.1,227900,232200,197600,262000,220000,198900
2010-04,128.7,130.7,130.0,131.5,123.0,116.4,227700,232000,194700,264600,222400,197700
2010-05,129.6,131.8,132.2,131.5,124.5,114.0,229200,233900,198000,264600,225100,193600
2010-06,130.6,133.1,132.2,133.9,125.5,113.7,231100,236200,198000,269400,226900,193000
2010-07,130.1,132.3,132.0,132.9,126.8,113.9,230200,234900,197800,267300,229300,193400
2010-08,131.7,133.6,133.3,134.0,130.3,116.3,232900,237200,199700,269700,235500,197400
2010-09,132.8,134.7,134.8,135.0,132.0,116.1,235000,239100,202000,271600,238600,197100
2010-10,135.9,138.0,138.6,137.8,130.1,120.1,240400,245000,207600,277200,235300,203900
2010-11,135.2,137.4,135.8,138.7,127.5,119.8,239100,243900,203400,279100,230600,203500
2010-12,135.4,137.5,137.5,137.9,131.8,119.9,239600,244000,206000,277500,238300,203600
2011-01,134.6,136.6,133.8,138.6,137.8,117.2,238100,242500,200500,278900,249100,199000
2011-02,137.3,139.3,137.6,140.6,140.0,121.2,242900,247300,206100,282900,253100,205800
2011-03,137.1,139.4,137.8,140.8,138.2,119.0,242600,247400,206400,283200,249800,202000
2011-04,136.9,139.2,139.8,139.1,135.6,119.3,242200,247100,209400,279900,245100,202500
2011-05,136.5,139.0,135.6,141.1,132.6,119.5,241500,246700,203200,283800,239800,202900
2011-06,138.6,141.2,140.5,142.0,133.0,120.3,245200,250700,210400,285800,240500,204200
2011-07,138.3,140.7,140.2,141.4,134.4,120.4,244600,249800,210000,284400,243000,204500
2011-08,138.8,141.4,140.1,142.3,134.7,121.0,245600,250900,209900,286300,243600,205400
2011-09,137.6,139.3,137.2,140.6,136.0,122.4,243400,247300,205600,282900,245900,207900
2011-10,138.3,140.5,138.5,141.9,138.8,118.7,244700,249300,207500,285600,251000,201500
2011-11,140.6,143.3,142.9,143.8,136.5,120.4,248700,254300,214000,289300,246800,204400
2011-12,141.9,145.0,144.1,145.7,137.8,119.6,251100,257400,215900,293200,249200,203100
2012-01,141.7,144.6,145.7,144.0,134.3,123.9,250700,256700,218300,289700,242800,210300
2012-02,142.4,145.5,145.1,145.7,136.0,123.5,251900,258200,217300,293100,245800,209700
2012-03,144.4,147.4,145.7,148.5,135.7,125.7,255500,261700,218200,298700,245300,213500
2012-04,145.4,148.3,146.3,150.0,138.4,126.1,257300,263300,219100,301800,250200,214200
2012-05,146.4,149.2,149.2,149.0,141.8,127.6,259000,264900,223500,299700,256300,216600
2012-06,145.5,148.1,146.9,148.7,143.6,126.5,257400,262900,220100,299200,259600,214800
2012-07,145.7,148.5,148.5,148.3,143.3,126.9,257800,263500,222400,298400,259100,215500
2012-08,145.5,147.8,148.1,147.5,142.9,129.8,257400,262300,221900,296700,258300,220400
2012-09,146.4,148.3,145.6,149.4,143.4,130.0,259000,263300,218100,300600,259200,220700
2012-10,146.6,148.5,148.5,148.5,144.7,130.7,259300,263600,222500,298700,261600,222000
2012-11,145.6,147.5,147.7,147.4,148.4,127.8,257600,261800,221200,296600,268300,217000
2012-12,144.9,147.0,146.0,147.5,148.6,126.0,256300,260900,218700,296700,268700,214000
