Date,Composite_HPI_SA,Single_Family_HPI_SA,One_Storey_HPI_SA,Two_Storey_HPI_SA,Townhouse_HPI_SA,Apartment_HPI_SA,Composite_Benchmark_SA,Single_Family_Benchmark_SA,One_Storey_Benchmark_SA,Two_Storey_Benchmark_SA,Townhouse_Benchmark_SA,Apartment_Benchmark_SA
2005-01-01 00:00:00,100.0,100.0,100.0,100.0,100.0,100.0,223800,233000,217900,239100,173300,156400
2005-02-01 00:00:00,99.3,99.4,99.2,99.4,99.5,100.4,222300,231700,216100,237700,172400,157100
2005-03-01 00:00:00,100.3,100.4,100.5,100.2,101.3,100.8,224500,233900,219000,239500,175600,157700
2005-04-01 00:00:00,100.9,101.0,100.0,101.2,101.0,101.3,225900,235400,218000,242000,175000,158400
2005-05-01 00:00:00,100.3,100.3,99.8,100.4,101.0,101.7,224500,233800,217400,240100,175000,159000
2005-06-01 00:00:00,101.2,101.4,99.8,101.8,100.9,102.1,226500,236300,217400,243400,174900,159700
2005-07-01 00:00:00,101.7,101.9,101.2,102.0,101.8,101.4,227700,237400,220500,243900,176400,158600
2005-08-01 00:00:00,102.1,102.3,102.3,102.1,102.8,100.7,228400,238300,223000,244200,178200,157500
2005-09-01 00:00:00,102.2,102.4,101.1,102.7,102.0,100.0,228700,238600,220400,245500,176700,156400
2005-10-01 00:00:00,103.5,103.7,102.8,104.1,103.7,100.8,231600,241700,223900,248900,179700,157600
2005-11-01 00:00:00,104.1,104.1,104.1,104.0,105.1,101.6,232900,242600,226800,248600,182200,158900
2005-12-01 00:00:00,104.8,104.9,104.5,104.9,104.6,102.4,234500,244400,227600,250800,181300,160200
2006-01-01 00:00:00,105.7,105.9,103.9,106.6,105.0,103.3,236600,246800,226400,254900,182000,161500
2006-02-01 00:00:00,105.6,105.7,105.6,105.6,106.6,104.1,236400,246200,230000,252400,184800,162800
2006-03-01 00:00:00,106.3,106.5,106.0,106.5,105.8,105.0,237800,248200,230900,254700,183300,164200
2006-04-01 00:00:00,106.7,106.8,106.5,106.8,106.6,105.8,238800,248900,232000,255300,184700,165500
2006-05-01 00:00:00,107.6,107.9,107.0,108.0,106.6,106.7,240700,251300,233100,258200,184800,166900
2006-06-01 00:00:00,108.0,108.1,107.6,108.1,108.1,107.6,241600,251900,234400,258500,187300,168300
2006-07-01 00:00:00,107.8,108.0,107.2,108.1,108.0,105.3,241200,251600,233600,258500,187100,164700
2006-08-01 00:00:00,107.7,108.0,107.4,108.0,108.9,103.0,241100,251600,234000,258300,188800,161100
2006-09-01 00:00:00,109.2,109.3,108.6,109.4,109.8,100.8,244300,254700,236600,261500,190300,157600
2006-10-01 00:00:00,108.1,108.1,107.1,108.4,111.1,103.0,241900,251800,233300,259200,192600,161100
2006-11-01 00:00:00,110.4,110.5,109.1,110.7,111.8,105.2,247000,257500,237700,264800,193700,164600
2006-12-01 00:00:00,111.0,110.9,109.1,111.4,112.2,107.5,248500,258500,237800,266300,194500,168200
2007-01-01 00:00:00,110.9,111.1,111.5,110.9,109.5,108.2,248100,258900,242900,265200,189800,169200
2007-02-01 00:00:00,112.1,112.3,111.7,112.3,112.4,108.8,250900,261600,243500,268500,194800,170200
2007-03-01 00:00:00,112.0,111.7,110.4,112.0,115.2,109.5,250600,260300,240500,267900,199600,171200
2007-04-01 00:00:00,112.2,112.3,110.9,112.6,112.6,111.0,251100,261700,241700,269300,195100,173600
2007-05-01 00:00:00,113.6,113.6,112.4,113.8,115.3,112.5,254300,264700,245000,272100,199800,176000
2007-06-01 00:00:00,113.6,113.7,112.9,113.8,114.2,114.1,254300,264900,246100,272200,197900,178500
2007-07-01 00:00:00,114.9,114.9,114.1,115.0,116.2,116.4,257200,267800,248700,275000,201400,182100
2007-08-01 00:00:00,115.5,115.1,114.1,115.3,121.2,118.7,258600,268200,248600,275700,210000,185600
2007-09-01 00:00:00,115.0,114.8,113.8,115.1,117.1,121.0,257400,267600,248000,275100,203000,189300
2007-10-01 00:00:00,116.3,116.6,116.0,116.8,115.6,120.0,260200,271600,252700,279300,200400,187700
2007-11-01 00:00:00,115.3,115.3,115.0,115.2,115.8,119.0,258000,268700,250500,275400,200600,186100
2007-12-01 00:00:00,117.0,117.0,115.4,117.4,117.3,118.0,261900,272700,251400,280800,203200,184600
2008-01-01 00:00:00,118.5,118.5,118.0,118.6,119.5,119.8,265200,276100,257100,283500,207100,187300
2008-02-01 00:00:00,118.9,118.9,117.1,119.3,120.7,121.4,266100,277000,255100,285300,209100,189900
2008-03-01 00:00:00,118.9,119.1,118.0,119.2,118.9,122.7,266100,277400,257100,285100,206000,191900
2008-04-01 00:00:00,119.2,119.2,118.4,119.2,120.9,123.1,266800,277800,258100,285100,209600,192600
2008-05-01 00:00:00,119.3,119.4,117.8,119.7,120.1,122.9,266900,278100,256600,286100,208100,192200
2008-06-01 00:00:00,119.2,119.1,117.7,119.4,121.6,123.3,266700,277400,256500,285400,210800,192800
2008-07-01 00:00:00,118.2,118.2,116.7,118.3,121.4,122.8,264500,275300,254300,282900,210300,192000
2008-08-01 00:00:00,119.1,119.1,115.9,120.0,121.8,122.0,266500,277500,252500,286900,211100,190800
2008-09-01 00:00:00,119.3,119.4,118.1,119.5,122.5,121.4,267100,278100,257300,285700,212300,189800
2008-10-01 00:00:00,118.1,118.1,118.1,117.9,121.6,121.0,264300,275100,257400,282000,210700,189300
2008-11-01 00:00:00,116.8,116.6,114.3,117.1,119.8,120.5,261300,271700,249000,279900,207600,188400
2008-12-01 00:00:00,114.8,114.9,113.9,115.0,116.2,119.8,257000,267700,248100,275000,201300,187300
2009-01-01 00:00:00,115.1,114.5,111.2,115.5,122.6,118.0,257600,266800,242300,276100,212500,184500
2009-02-01 00:00:00,115.6,115.5,113.2,116.1,120.1,116.4,258800,269100,246600,277500,208100,182000
2009-03-01 00:00:00,115.6,115.6,112.5,116.4,118.9,114.2,258800,269400,245100,278300,206000,178600
2009-04-01 00:00:00,116.4,116.4,112.9,117.2,119.8,116.1,260400,271100,246100,280300,207600,181600
2009-05-01 00:00:00,116.4,116.5,114.0,117.1,117.9,117.6,260400,271500,248400,279900,204300,184000
2009-06-01 00:00:00,119.0,119.2,115.5,120.2,120.4,119.1,266300,277700,251600,287400,208600,186300
2009-07-01 00:00:00,119.4,119.7,115.7,120.6,121.9,118.3,267300,278900,252200,288400,211200,185000
