Date,Composite_HPI_SA,Single_Family_HPI_SA,One_Storey_HPI_SA,Two_Storey_HPI_SA,Apartment_HPI_SA,Composite_Benchmark_SA,Single_Family_Benchmark_SA,One_Storey_Benchmark_SA,Two_Storey_Benchmark_SA,Apartment_Benchmark_SA
2005-01,100.0,100.0,100.0,100.0,100.0,165400,165400,177300,156200,169300
2005-02,99.8,99.8,99.4,99.9,100.0,165000,165000,176200,156100,169300
2005-03,99.6,99.6,99.0,99.9,100.0,164800,164700,175600,156000,169300
2005-04,99.3,99.3,98.9,99.6,100.0,164300,164300,175300,155600,169300
2005-05,99.2,99.2,98.9,99.4,100.0,164000,164000,175300,155300,169300
2005-06,99.2,99.2,98.9,99.4,100.0,164100,164000,175300,155300,169300
2005-07,99.6,99.5,99.0,100.1,100.0,164700,164600,175500,156300,169300
2005-08,100.1,100.1,99.2,100.9,100.0,165600,165600,175900,157600,169300
2005-09,100.8,100.8,99.9,101.7,100.0,166800,166800,177200,158800,169300
2005-10,101.8,101.9,101.0,102.5,100.0,168400,168500,179100,160100,169300
2005-11,103.0,103.0,102.6,103.2,100.0,170300,170300,181900,161200,169300
2005-12,103.7,103.7,104.1,104.0,100.0,171500,171600,184600,162500,169300
2006-01,104.7,104.7,103.8,105.4,96.5,173100,173100,184000,164700,163400
2006-02,105.1,105.1,103.2,106.7,93.1,173800,173900,183000,166700,157700
2006-03,105.7,105.8,102.8,108.1,89.9,174800,175000,182300,168800,152200
2006-04,105.1,105.3,102.9,107.3,86.8,173900,174100,182400,167600,146900
2006-05,104.8,104.9,103.1,106.5,83.7,173400,173500,182800,166400,141700
2006-06,104.7,104.8,103.4,106.0,80.8,173100,173300,183300,165500,136800
2006-07,105.7,105.8,104.9,106.7,83.9,174800,175000,185900,166700,142000
2006-08,106.9,107.0,106.3,107.6,87.0,176800,177000,188400,168000,147300
2006-09,108.2,108.3,108.1,108.4,90.3,178900,179100,191700,169300,152900
2006-10,107.6,107.7,106.4,108.6,93.7,178000,178100,188700,169700,158700
2006-11,107.1,107.1,105.2,108.8,97.3,177100,177200,186500,170000,164700
2006-12,106.2,106.3,103.8,109.0,100.9,175700,175800,184100,170300,170900
2007-01,108.6,108.6,106.1,110.8,98.3,179600,179700,188200,173000,166500
2007-02,110.4,110.5,108.5,112.2,95.9,182600,182700,192300,175200,162300
2007-03,112.6,112.7,111.3,113.8,93.4,186200,186400,197300,177700,158100
2007-04,112.1,112.2,110.7,113.5,91.0,185400,185600,196200,177300,154100
2007-05,111.8,111.9,110.3,113.4,88.7,184900,185100,195500,177100,150200
2007-06,111.6,111.8,109.8,113.4,86.4,184600,184900,194700,177200,146300
2007-07,112.1,112.3,110.7,113.7,87.6,185400,185700,196200,177600,148300
2007-08,112.8,112.9,111.6,114.0,88.8,186600,186800,197800,178100,150300
2007-09,113.5,113.7,112.7,114.6,90.0,187800,188100,199900,179000,152300
