Date,Composite_HPI_SA,Single_Family_HPI_SA,One_Storey_HPI_SA,Two_Storey_HPI_SA,Townhouse_HPI_SA,Apartment_HPI_SA,Composite_Benchmark_SA,Single_Family_Benchmark_SA,One_Storey_Benchmark_SA,Two_Storey_Benchmark_SA,Townhouse_Benchmark_SA,Apartment_Benchmark_SA
2005-01-01 00:00:00,100.0,100.0,100.0,100.0,100.0,100.0,212500,233400,218500,278800,204500,139400
2005-02-01 00:00:00,101.0,100.5,100.2,100.9,102.0,103.4,214700,234500,219000,281400,208600,144200
2005-03-01 00:00:00,102.2,102.3,102.4,101.7,101.8,103.0,217200,238800,223800,283600,208100,143600
2005-04-01 00:00:00,103.5,103.8,104.3,102.5,102.4,103.5,219900,242300,227900,285900,209500,144300
2005-05-01 00:00:00,104.3,104.8,105.4,103.3,103.8,102.0,221600,244500,230200,288100,212300,142200
2005-06-01 00:00:00,105.8,105.7,106.4,104.2,106.4,106.2,224900,246800,232500,290500,217500,148000
2005-07-01 00:00:00,107.4,107.5,108.2,106.0,108.0,105.6,228300,251000,236400,295500,220800,147200
2005-08-01 00:00:00,109.3,109.2,109.7,107.7,108.9,108.8,232200,254800,239800,300400,222800,151700
2005-09-01 00:00:00,111.9,112.0,113.0,109.5,113.0,109.7,237800,261300,246800,305400,231100,152900
2005-10-01 00:00:00,112.9,113.1,114.0,110.8,112.1,114.3,239900,263900,249100,309000,229300,159400
2005-11-01 00:00:00,115.1,115.1,116.2,112.2,117.0,113.0,244600,268600,253900,312900,239300,157500
2005-12-01 00:00:00,117.2,118.0,119.8,113.7,115.1,115.4,249100,275400,261800,317000,235300,160800
2006-01-01 00:00:00,119.3,119.1,120.2,116.3,120.8,119.2,253500,277900,262600,324200,247000,166200
2006-02-01 00:00:00,122.4,122.6,124.3,118.8,122.8,120.2,260000,286200,271500,331100,251200,167500
2006-03-01 00:00:00,123.6,124.0,125.0,121.2,122.4,124.0,262700,289400,273100,337800,250300,172800
2006-04-01 00:00:00,126.5,127.3,129.0,123.3,123.6,125.8,268800,297200,281900,343700,252700,175400
2006-05-01 00:00:00,129.3,130.2,132.1,125.4,127.3,126.4,274700,303800,288700,349700,260300,176200
2006-06-01 00:00:00,130.9,131.6,133.2,127.8,129.4,129.0,278200,307100,291000,356200,264700,179800
2006-07-01 00:00:00,132.4,132.8,134.2,129.4,131.6,131.1,281400,309900,293200,360800,269200,182800
2006-08-01 00:00:00,135.9,135.8,137.9,130.9,136.7,133.4,288800,317000,301300,365000,279600,186000
2006-09-01 00:00:00,135.8,136.2,137.8,132.4,132.9,137.3,288600,318000,301200,369100,271800,191400
2006-10-01 00:00:00,138.7,139.5,141.5,134.9,137.8,136.5,294700,325600,309100,376200,281900,190300
2006-11-01 00:00:00,139.5,140.2,141.3,137.6,136.9,139.1,296400,327300,308800,383500,279900,193900
2006-12-01 00:00:00,142.3,142.8,143.7,140.3,141.0,142.1,302400,333200,313900,391200,288400,198100
2007-01-01 00:00:00,144.2,146.0,147.4,142.3,139.6,141.0,306400,340700,322100,396800,285400,196500
2007-02-01 00:00:00,146.3,148.1,149.8,144.1,141.1,142.3,310900,345700,327300,401700,288600,198400
2007-03-01 00:00:00,148.5,150.2,151.9,145.6,146.5,142.4,315600,350500,331800,406000,299600,198500
2007-04-01 00:00:00,150.0,151.3,152.9,147.6,148.2,144.3,318800,353200,334100,411500,303100,201200
2007-05-01 00:00:00,153.0,154.4,156.3,149.7,149.3,149.8,325200,360300,341600,417400,305400,208800
2007-06-01 00:00:00,155.7,157.6,160.0,152.0,150.1,150.9,330800,367900,349600,423700,307000,210400
2007-07-01 00:00:00,159.0,161.4,164.1,155.1,151.1,154.4,337800,376700,358500,432300,308900,215300
2007-08-01 00:00:00,161.8,163.8,166.1,158.1,155.0,157.0,343800,382200,363000,440700,317000,218800
2007-09-01 00:00:00,165.1,167.9,170.7,161.2,157.0,159.3,350900,391800,372900,449300,321000,222100
2007-10-01 00:00:00,168.0,170.3,173.5,162.7,158.3,169.3,356900,397500,379000,453700,323800,236000
2007-11-01 00:00:00,169.5,172.7,176.1,164.6,160.5,163.1,360200,403000,384800,458800,328200,227300
2007-12-01 00:00:00,171.3,173.3,175.7,166.9,169.3,163.1,364100,404400,384000,465400,346300,227400
2008-01-01 00:00:00,173.2,175.1,177.4,169.4,168.8,170.2,368100,408600,387600,472400,345100,237300
2008-02-01 00:00:00,173.8,176.5,178.6,171.6,165.3,169.4,369300,412000,390200,478500,338100,236100
2008-03-01 00:00:00,176.4,180.4,182.9,173.8,166.9,168.9,374900,421100,399700,484500,341300,235500
2008-04-01 00:00:00,176.1,178.4,180.5,173.4,170.5,171.5,374200,416500,394500,483300,348700,239100
2008-05-01 00:00:00,174.0,176.6,178.0,172.9,168.8,168.7,369800,412100,388900,482100,345100,235100
2008-06-01 00:00:00,173.3,176.3,177.7,172.8,166.5,168.3,368200,411400,388200,481800,340400,234600
2008-07-01 00:00:00,171.4,173.7,175.2,169.9,166.8,168.2,364200,405300,382800,473700,341100,234500
2008-08-01 00:00:00,168.5,171.3,172.9,167.5,162.6,163.5,358100,399700,377700,467000,332500,227900
2008-09-01 00:00:00,166.1,168.2,169.7,164.5,161.5,162.8,352900,392600,370800,458700,330300,227000
2008-10-01 00:00:00,162.3,164.7,165.9,161.8,160.6,156.0,344900,384300,362400,451000,328400,217500
2008-11-01 00:00:00,159.7,161.5,162.7,159.2,156.2,156.3,339300,377000,355400,443800,319400,217900
2008-12-01 00:00:00,155.7,160.0,160.7,157.7,142.8,153.3,330800,373400,351100,439800,292000,213700
2009-01-01 00:00:00,155.6,160.1,162.2,155.4,145.9,146.2,330700,373700,354300,433200,298400,203800
2009-02-01 00:00:00,153.6,156.5,158.3,152.8,148.9,145.3,326500,365300,345800,426000,304400,202500
2009-03-01 00:00:00,150.8,153.5,154.9,149.9,145.9,145.1,320400,358200,338400,418000,298400,202200
2009-04-01 00:00:00,151.0,154.2,155.9,150.0,143.6,144.3,320800,359800,340600,418200,293600,201200
