Date,Composite_HPI_SA,Single_Family_HPI_SA,One_Storey_HPI_SA,Two_Storey_HPI_SA,Composite_Benchmark_SA,Single_Family_Benchmark_SA,One_Storey_Benchmark_SA,Two_Storey_Benchmark_SA
2005-01-01 00:00:00,100.0,100.0,100.0,100.0,210400,210400,210700,210500
2005-02-01 00:00:00,101.7,101.7,102.3,100.1,214000,214000,215600,210700
2005-03-01 00:00:00,101.8,101.8,102.4,100.3,214200,214200,215700,211100
2005-04-01 00:00:00,100.1,100.1,100.9,99.6,210600,210600,212700,209700
2005-05-01 00:00:00,101.2,101.2,102.3,99.1,212900,212900,215500,208700
2005-06-01 00:00:00,101.9,101.9,103.0,98.7,214300,214300,217100,207700
2005-07-01 00:00:00,98.8,98.8,99.1,98.0,207800,207800,208900,206300
2005-08-01 00:00:00,101.0,101.0,102.8,97.3,212600,212600,216700,204900
2005-09-01 00:00:00,100.0,100.0,101.4,97.2,210300,210300,213600,204600
2005-10-01 00:00:00,97.6,97.6,97.4,96.9,205300,205300,205200,203900
2005-11-01 00:00:00,99.4,99.4,100.2,97.1,209100,209100,211200,204400
2005-12-01 00:00:00,99.4,99.4,99.8,97.3,209200,209200,210300,204800
2006-01-01 00:00:00,103.9,103.9,105.8,99.6,218600,218600,222900,209600
2006-02-01 00:00:00,103.1,103.1,103.8,101.5,216900,216900,218800,213700
2006-03-01 00:00:00,106.4,106.4,107.5,103.7,223800,223800,226500,218300
2006-04-01 00:00:00,105.6,105.6,107.5,103.1,222100,222100,226500,217100
2006-05-01 00:00:00,107.6,107.6,109.8,102.9,226300,226300,231400,216600
2006-06-01 00:00:00,103.3,103.3,103.6,102.5,217400,217400,218300,215700
2006-07-01 00:00:00,106.1,106.1,107.3,102.9,223200,223200,226000,216700
2006-08-01 00:00:00,105.0,105.0,105.8,103.4,220900,220900,223000,217600
2006-09-01 00:00:00,105.8,105.8,106.8,104.3,222700,222700,225100,219500
2006-10-01 00:00:00,106.1,106.1,105.8,105.4,223200,223200,222900,221900
2006-11-01 00:00:00,105.8,105.8,104.8,107.1,222600,222600,220900,225400
2006-12-01 00:00:00,105.1,105.1,102.6,108.7,221200,221200,216200,228900
2007-01-01 00:00:00,107.0,107.0,105.4,108.3,225100,225100,222000,228000
2007-02-01 00:00:00,105.2,105.2,104.1,107.5,221300,221300,219400,226200
2007-03-01 00:00:00,104.8,104.8,103.8,106.7,220400,220400,218700,224500
2007-04-01 00:00:00,107.2,107.2,108.3,106.3,225600,225600,228200,223700
2007-05-01 00:00:00,105.3,105.3,104.7,106.1,221600,221600,220500,223400
2007-06-01 00:00:00,107.3,107.3,107.9,106.0,225800,225800,227400,223100
2007-07-01 00:00:00,110.1,110.1,110.9,107.4,231700,231700,233700,226000
2007-08-01 00:00:00,108.0,108.0,107.5,108.4,227200,227200,226400,228200
2007-09-01 00:00:00,108.1,108.1,107.3,110.3,227500,227500,226100,232100
2007-10-01 00:00:00,109.7,109.7,110.4,108.4,230800,230800,232600,228100
2007-11-01 00:00:00,108.9,108.9,109.7,107.2,229100,229100,231100,225700
2007-12-01 00:00:00,110.4,110.4,112.5,106.2,232300,232300,237100,223600
2008-01-01 00:00:00,110.1,110.1,109.4,108.0,231600,231600,230600,227300
2008-02-01 00:00:00,113.1,113.1,115.4,109.2,238000,238000,243100,229800
2008-03-01 00:00:00,110.0,110.0,109.9,110.4,231400,231400,231500,232400
2008-04-01 00:00:00,114.1,114.1,115.7,111.0,240000,240000,243800,233700
2008-05-01 00:00:00,111.2,111.2,110.6,111.6,234000,234000,233000,234900
2008-06-01 00:00:00,112.4,112.4,112.1,113.0,236400,236400,236200,237900
2008-07-01 00:00:00,108.7,108.7,106.9,111.6,228800,228800,225300,234900
2008-08-01 00:00:00,110.3,110.3,109.9,110.1,232100,232100,231600,231700
2008-09-01 00:00:00,110.1,110.1,110.2,109.7,231600,231600,232100,231000
