Date,Composite_HPI_SA,Single_Family_HPI_SA,One_Storey_HPI_SA,Two_Storey_HPI_SA,Townhouse_HPI_SA,Apartment_HPI_SA,Composite_Benchmark_SA,Single_Family_Benchmark_SA,One_Storey_Benchmark_SA,Two_Storey_Benchmark_SA,Townhouse_Benchmark_SA,Apartment_Benchmark_SA
2005-01,100.0,100.0,100.0,100.0,100.0,100.0,204600,204900,180200,231600,149600,165400
2005-02,99.4,99.3,102.9,96.7,100.0,100.0,203300,203500,185400,224000,149600,165400
2005-03,99.7,99.6,101.7,99.4,100.0,100.0,203900,204100,183200,230200,149600,165400
2005-04,99.6,99.6,101.8,98.4,100.0,100.0,203800,204000,183400,227900,149600,165400
2005-05,99.6,99.5,99.5,99.6,100.0,100.0,203700,203900,179300,230600,149600,165400
2005-06,100.8,100.7,102.6,99.7,100.0,100.0,206200,206300,184800,230900,149600,165400
2005-07,99.0,98.9,99.3,98.8,100.0,100.0,202500,202700,178900,228800,149600,165400
2005-08,100.8,100.7,100.9,100.8,100.0,100.0,206200,206400,181900,233400,149600,165400
2005-09,98.9,98.8,101.2,97.3,100.0,100.0,202300,202500,182400,225300,149600,165400
2005-10,99.0,98.9,103.9,94.6,100.0,100.0,202500,202700,187300,219000,149600,165400
2005-11,101.3,101.3,103.6,99.4,100.0,100.0,207300,207600,186700,230300,149600,165400
2005-12,102.4,102.5,101.4,103.0,100.0,100.0,209600,210000,182700,238600,149600,165400
2006-01,103.5,103.5,103.5,103.5,100.0,100.0,211800,212100,186500,239700,149600,165400
2006-02,104.9,104.9,102.2,107.8,100.0,100.0,214700,215000,184200,249600,149600,165400
2006-03,106.5,106.5,113.0,102.5,100.0,100.0,218000,218300,203600,237400,149600,165400
2006-04,103.3,103.3,106.1,101.7,100.0,100.0,211400,211700,191200,235600,149600,165400
2006-05,103.1,103.1,105.9,100.8,100.0,100.0,211000,211200,190800,233500,149600,165400
2006-06,102.8,102.8,105.3,101.1,100.0,100.0,210300,210600,189700,234200,149600,165400
2006-07,102.2,102.2,108.0,97.3,100.0,100.0,209200,209400,194700,225400,149600,165400
2006-08,101.9,101.8,107.4,97.1,100.0,100.0,208400,208600,193600,224900,149600,165400
2006-09,104.1,104.1,108.7,100.6,100.0,100.0,212900,213200,195800,233000,149600,165400
2006-10,104.5,104.5,105.8,103.6,100.0,100.0,213900,214200,190600,240000,149600,165400
2006-11,101.7,101.6,108.2,96.2,100.0,100.0,208000,208200,195000,222700,149600,165400
2006-12,100.5,100.6,107.9,94.0,100.0,100.0,205700,206100,194400,217800,149600,165400
2007-01,103.8,103.8,107.9,100.2,100.0,100.0,212300,212600,194400,232000,149600,165400
2007-02,103.1,103.1,106.8,100.4,100.0,100.0,211000,211300,192500,232500,149600,165400
2007-03,101.9,101.9,106.7,99.0,100.0,100.0,208400,208700,192200,229200,149600,165400
2007-04,106.4,106.3,112.5,101.9,100.0,100.0,217700,217900,202800,236100,149600,165400
2007-05,104.9,104.9,108.7,101.9,100.0,100.0,214600,215000,195800,235900,149600,165400
2007-06,103.3,103.2,107.8,99.8,100.0,100.0,211300,211500,194300,231100,149600,165400
2007-07,107.3,107.3,110.2,105.1,100.0,100.0,219500,219800,198600,243300,149600,165400
2007-08,108.1,108.1,113.3,103.7,100.0,100.0,221100,221400,204100,240100,149600,165400
2007-09,103.8,103.8,111.1,98.1,100.0,100.0,212400,212700,200200,227100,149600,165400
2007-10,106.8,106.8,112.4,102.2,100.0,100.0,218600,218900,202500,236700,149600,165400
2007-11,109.0,109.1,112.3,106.4,100.0,100.0,223100,223500,202300,246500,149600,165400
2007-12,109.0,109.0,113.3,105.3,100.0,100.0,223100,223400,204200,243900,149600,165400
2008-01,109.9,110.0,116.5,104.0,100.0,100.0,224800,225300,210000,240800,149600,165400
2008-02,109.1,109.1,115.7,103.8,100.0,99.3,223300,223600,208500,240500,149600,164200
2008-03,111.3,111.4,116.3,107.9,99.1,99.3,227800,228200,209500,249900,148300,164200
2008-04,107.7,107.7,113.4,103.4,98.0,98.5,220400,220600,204400,239500,146600,162900
2008-05,111.2,111.2,116.1,106.6,98.7,98.5,227500,227800,209300,246800,147700,162900
2008-06,110.5,110.5,115.6,106.0,98.7,98.5,226100,226500,208400,245600,147700,162900
2008-07,109.8,109.8,115.1,104.8,98.5,98.5,224700,225000,207500,242700,147300,162900
2008-08,110.0,110.0,112.3,106.8,98.5,98.5,225000,225400,202400,247400,147300,162900
2008-09,111.4,111.5,113.5,109.2,98.5,97.8,228000,228400,204600,252800,147300,161700
2008-10,110.7,110.7,113.7,107.3,98.5,97.8,226500,226900,204900,248500,147300,161700
2008-11,112.3,112.4,113.2,110.1,98.3,97.2,229700,230300,204000,254900,147100,160700
2008-12,111.9,112.0,115.4,107.7,98.3,97.2,229000,229500,208000,249500,147100,160700
2009-01,109.4,109.6,115.2,103.4,98.3,97.2,223900,224600,207600,239400,147100,160700
2009-02,111.0,111.1,116.1,105.8,98.3,97.4,227100,227600,209200,245000,147100,161100
2009-03,108.7,108.7,112.2,105.0,98.3,97.4,222400,222800,202200,243100,147100,161100
2009-04,110.4,110.3,113.0,107.1,98.3,97.4,225800,226100,203600,248000,147100,161100
2009-05,111.2,111.2,115.6,105.9,98.3,97.4,227500,227800,208400,245200,147100,161100
2009-06,112.7,112.7,114.8,109.1,98.3,97.6,230600,231000,206900,252600,147100,161500
2009-07,113.0,113.0,115.2,109.0,103.4,100.2,231200,231500,207600,252400,154700,165800
2009-08,112.6,112.6,113.6,109.1,109.4,102.4,230400,230700,204700,252600,163600,169400
2009-09,114.5,114.4,121.5,107.6,115.0,109.6,234200,234500,219000,249200,172000,181200
2009-10,115.3,115.4,122.7,107.7,119.5,112.8,235900,236500,221100,249400,178700,186600
2009-11,115.2,115.4,122.7,107.3,127.0,117.2,235700,236500,221100,248400,190000,193900
2009-12,115.5,115.6,122.3,108.2,133.0,124.8,236300,236900,220300,250500,199000,206400
2010-01,113.5,113.8,115.1,109.3,126.6,108.0,232200,233200,207400,253200,189400,178600
2010-02,116.2,116.6,123.1,109.3,129.4,108.2,237800,238900,221900,253100,193600,178900
2010-03,117.6,118.2,123.5,111.7,133.3,110.9,240700,242100,222600,258600,199400,183500
2010-04,117.5,118.1,121.1,112.9,135.4,109.9,240500,241900,218200,261500,202600,181800
2010-05,117.0,117.6,121.0,112.0,141.2,107.0,239300,241000,218100,259400,211300,177000
2010-06,118.2,118.9,123.6,112.4,142.0,118.5,241800,243600,222700,260400,212500,196000
2010-07,118.7,119.6,124.3,113.0,139.4,117.0,242900,245000,224000,261800,208500,193600
2010-08,117.5,118.4,125.6,110.0,141.6,111.9,240400,242600,226400,254700,211900,185000
2010-09,118.3,119.3,119.4,116.1,142.8,109.4,242000,244500,215200,268900,213700,180900
2010-10,118.8,119.8,122.4,114.2,143.9,115.1,243000,245500,220500,264400,215200,190300
2010-11,116.8,117.9,123.4,110.1,138.8,114.1,238900,241600,222400,255000,207700,188800
2010-12,118.3,119.7,119.6,115.7,137.8,113.4,242000,245200,215500,267900,206200,187600
2011-01,117.4,118.6,119.0,113.7,137.5,116.5,240200,243000,214400,263400,205700,192700
2011-02,118.2,119.5,121.3,114.4,138.0,115.7,241800,244900,218500,265000,206500,191400
2011-03,120.3,121.7,127.2,114.7,144.0,119.3,246200,249400,229200,265600,215400,197400
2011-04,121.4,122.9,127.7,115.7,141.4,118.6,248300,251800,230100,268000,211500,196200
2011-05,122.7,124.5,130.1,116.8,142.9,120.4,251100,255100,234400,270500,213800,199200
2011-06,124.4,126.3,131.8,118.4,143.4,127.4,254500,258700,237500,274200,214500,210700
2011-07,123.9,125.8,128.2,119.7,144.5,125.9,253400,257800,231100,277300,216100,208200
2011-08,124.1,125.9,130.9,118.3,147.5,124.9,253900,258000,235800,273900,220600,206600
2011-09,124.0,125.8,130.5,119.3,147.9,126.4,253700,257800,235200,276300,221300,209100
2011-10,123.0,124.6,122.8,120.9,150.1,128.1,251600,255400,221300,280000,224600,211800
2011-11,123.0,124.4,125.7,118.3,152.6,128.6,251600,254900,226600,274000,228300,212700
2011-12,127.5,129.4,134.4,121.8,154.3,130.9,260800,265200,242100,282200,230900,216500
2012-01,129.7,132.1,132.4,126.6,154.3,123.0,265300,270600,238600,293300,230800,203500
2012-02,127.4,129.8,135.2,121.9,152.3,123.2,260600,265900,243600,282300,227800,203700
2012-03,124.3,126.4,130.2,119.9,152.7,125.9,254300,259000,234700,277800,228400,208300
2012-04,127.9,130.3,135.2,122.5,154.2,126.7,261600,267000,243700,283800,230700,209500
2012-05,127.5,130.0,133.9,122.8,153.6,128.2,260800,266300,241200,284500,229800,212100
2012-06,127.4,130.1,134.0,123.0,153.5,126.1,260600,266600,241500,284800,229600,208500
2012-07,128.7,131.6,136.1,124.0,155.3,126.8,263400,269600,245200,287200,232400,209800
2012-08,128.8,131.7,134.6,124.9,155.1,126.4,263500,269800,242500,289200,232100,209100
2012-09,125.6,127.9,131.4,121.8,156.1,127.4,257000,262000,236700,282200,233500,210800
2012-10,130.4,133.6,138.8,125.1,157.8,125.2,266800,273700,250200,289800,236100,207000
2012-11,130.7,133.8,137.7,125.7,159.0,124.6,267500,274100,248100,291200,237800,206100
2012-12,128.7,131.6,140.0,121.8,160.6,124.4,263400,269600,252300,282200,240200,205800
2013-01,132.5,135.6,141.5,127.3,162.6,122.7,271000,277900,255000,294900,243200,203000
2013-02,128.7,131.2,136.5,123.3,166.1,121.7,263400,268800,245900,285500,248500,201300
2013-03,129.5,132.0,139.3,123.5,165.8,124.7,265000,270500,251000,286000,248000,206200
2013-04,129.0,131.4,135.6,124.1,165.3,126.5,263900,269300,244400,287300,247300,209300
2013-05,127.6,129.7,132.4,123.2,165.6,126.7,261000,265700,238500,285300,247800,209600
2013-06,127.2,129.2,131.9,122.8,168.0,124.8,260300,264800,237700,284300,251400,206500
2013-07,127.2,129.0,135.1,120.6,167.4,125.9,260200,264400,243500,279300,250500,208300
2013-08,128.4,130.5,133.6,123.5,167.4,125.9,262700,267300,240800,286000,250500,208200
2013-09,130.3,132.5,136.2,126.0,169.5,125.4,266600,271500,245500,291900,253600,207400
2013-10,128.4,130.5,137.2,121.2,169.9,124.7,262800,267300,247200,280700,254200,206300
2013-11,134.8,137.9,140.6,130.1,169.6,123.3,275900,282500,253300,301300,253700,203900
2013-12,128.0,129.8,133.0,122.9,171.1,126.8,261900,265900,239700,284700,255900,209700
2014-01,127.0,128.5,135.1,120.2,175.1,121.6,259900,263300,243400,278400,261900,201200
2014-02,130.6,132.3,133.8,126.0,178.0,125.2,267200,271000,241100,291900,266300,207000
2014-03,131.5,133.5,137.2,126.6,177.8,124.1,269100,273500,247300,293200,266000,205200
2014-04,132.8,134.8,140.5,126.5,178.8,128.3,271800,276300,253100,293000,267500,212200
2014-05,131.7,133.4,137.7,125.9,179.7,127.8,269400,273400,248200,291500,268900,211400
2014-06,131.6,133.2,138.2,125.3,179.7,127.7,269200,273000,249000,290300,268800,211200
2014-07,132.0,134.0,137.3,127.1,176.8,125.4,270000,274600,247500,294300,264500,207400
2014-08,133.3,135.3,137.6,128.8,180.9,123.2,272700,277300,248000,298400,270600,203700
2014-09,132.6,134.4,141.3,125.9,180.4,125.1,271200,275400,254700,291600,269900,206900
2014-10,133.2,135.4,135.7,129.8,178.2,124.5,272500,277500,244500,300600,266600,206000
2014-11,131.7,134.0,136.4,126.9,176.4,122.1,269500,274600,245800,293800,263900,202000
2014-12,132.4,135.0,137.3,128.8,176.4,121.6,270900,276600,247400,298400,263900,201100
2015-01,134.2,136.7,145.2,127.5,176.5,123.6,274500,280200,261700,295200,264000,204500
2015-02,134.3,137.1,140.6,130.0,175.7,122.0,274800,280900,253300,301100,262900,201800
2015-03,133.3,136.0,138.8,129.5,175.9,121.9,272800,278700,250100,300000,263100,201600
2015-04,131.7,134.1,139.3,126.2,175.9,121.7,269500,274800,251000,292200,263100,201300
2015-05,133.5,136.0,141.1,128.0,175.7,127.0,273200,278700,254300,296500,262900,210000
2015-06,133.0,135.3,139.6,127.8,173.0,127.6,272100,277300,251500,296000,258800,211000
2015-07,131.5,133.3,135.2,127.2,178.1,128.0,269100,273100,243600,294500,266500,211700
2015-08,132.1,133.9,137.0,126.9,177.9,128.5,270200,274400,246800,294000,266200,212600
2015-09,134.2,136.4,138.0,130.8,177.5,129.0,274500,279500,248600,303000,265600,213400
2015-10,135.9,138.3,142.5,130.4,178.6,130.1,278100,283300,256800,301900,267200,215200
2015-11,134.4,136.4,141.4,128.2,180.7,129.7,275000,279400,254800,296800,270400,214500
2015-12,132.6,134.6,141.1,126.1,180.7,127.4,271400,275700,254200,292100,270400,210700
2016-01,130.1,131.8,136.4,125.0,176.5,128.3,266200,270100,245800,289400,264000,212200
2016-02,132.0,133.9,138.8,126.3,175.2,132.6,270000,274300,250100,292400,262100,219400
2016-03,132.0,133.8,136.3,127.5,176.2,131.1,270100,274200,245600,295300,263600,216900
2016-04,135.7,138.1,139.6,132.3,177.2,129.5,277700,283000,251600,306500,265100,214200
2016-05,135.9,138.4,141.6,131.7,178.2,126.9,278100,283500,255200,305000,266600,209900
2016-06,134.8,137.1,140.7,130.5,177.0,127.3,275900,281000,253500,302300,264800,210500
2016-07,137.8,140.3,145.9,132.4,179.7,129.3,282000,287500,263000,306600,268900,213800
2016-08,137.1,139.3,145.1,131.2,179.2,134.2,280500,285500,261500,303800,268100,221900
2016-09,135.7,137.4,145.6,128.1,179.7,138.8,277700,281600,262400,296700,268900,229500
