Date,Composite_HPI_SA,Single_Family_HPI_SA,One_Storey_HPI_SA,Two_Storey_HPI_SA,Townhouse_HPI_SA,Apartment_HPI_SA,Composite_Benchmark_SA,Single_Family_Benchmark_SA,One_Storey_Benchmark_SA,Two_Storey_Benchmark_SA,Townhouse_Benchmark_SA,Apartment_Benchmark_SA
2005-01-01 00:00:00,100.0,100.0,100.0,100.0,100.0,100.0,199000,214500,200800,218100,142900,116100
2005-02-01 00:00:00,101.5,101.5,102.1,101.3,100.9,101.5,201900,217700,205000,221000,144200,117800
2005-03-01 00:00:00,102.2,102.3,104.4,101.7,101.8,101.3,203400,219400,209600,221800,145500,117600
2005-04-01 00:00:00,103.3,103.3,102.7,103.4,102.7,103.4,205600,221600,206200,225600,146800,120100
2005-05-01 00:00:00,102.3,102.5,103.9,102.1,103.6,99.8,203500,219900,208600,222700,148100,115900
2005-06-01 00:00:00,103.2,103.2,103.9,103.1,104.6,103.9,205300,221400,208700,224800,149500,120600
2005-07-01 00:00:00,104.9,105.2,105.1,105.4,103.8,102.7,208700,225700,211100,229800,148300,119200
2005-08-01 00:00:00,103.6,103.7,105.4,103.3,102.9,104.0,206200,222500,211600,225400,147100,120800
2005-09-01 00:00:00,105.1,105.1,107.4,104.5,102.2,108.5,209200,225400,215700,227900,146000,126000
2005-10-01 00:00:00,105.7,106.0,108.4,105.4,103.5,104.1,210400,227300,217600,229900,147900,120900
2005-11-01 00:00:00,105.8,106.0,106.4,105.8,104.9,105.6,210600,227300,213600,230800,149900,122600
2005-12-01 00:00:00,107.2,107.8,108.3,107.7,106.3,99.5,213400,231200,217500,234900,151900,115500
2006-01-01 00:00:00,107.6,107.7,108.9,107.5,106.4,106.3,214200,231100,218600,234400,152100,123400
2006-02-01 00:00:00,108.3,108.5,109.1,108.3,106.6,106.9,215600,232800,219000,236300,152300,124100
2006-03-01 00:00:00,108.9,109.1,107.9,109.4,106.6,107.0,216800,234100,216700,238500,152400,124200
2006-04-01 00:00:00,110.2,110.5,110.8,110.4,106.9,107.1,219200,237000,222400,240800,152800,124400
2006-05-01 00:00:00,111.1,111.5,112.1,111.2,107.2,109.0,221100,239100,225100,242600,153200,126600
2006-06-01 00:00:00,110.9,110.9,111.3,110.8,107.5,114.2,220600,237800,223400,241600,153600,132600
2006-07-01 00:00:00,110.8,111.1,112.5,110.9,108.0,110.0,220400,238300,226000,241800,154300,127700
2006-08-01 00:00:00,111.5,111.9,113.5,111.5,108.5,108.7,221800,240100,228000,243200,155000,126200
2006-09-01 00:00:00,111.2,111.7,111.8,111.8,109.0,108.3,221200,239600,224400,243800,155700,125700
2006-10-01 00:00:00,112.0,112.3,110.6,112.7,108.8,109.9,222800,240900,222100,245700,155500,127600
2006-11-01 00:00:00,111.2,111.2,111.9,111.1,108.7,111.8,221300,238600,224600,242400,155300,129800
2006-12-01 00:00:00,111.8,111.9,111.1,112.1,108.5,109.8,222500,240000,223000,244500,155100,127500
2007-01-01 00:00:00,113.5,113.6,114.5,113.3,109.2,113.5,225800,243600,230000,247200,156100,131800
2007-02-01 00:00:00,113.4,113.6,113.8,113.5,109.9,112.7,225700,243600,228500,247500,157000,130800
2007-03-01 00:00:00,114.0,114.0,114.6,113.8,110.5,113.5,226800,244600,230100,248200,157900,131800
2007-04-01 00:00:00,114.1,114.3,114.7,114.2,110.6,112.1,227100,245200,230400,249000,158100,130200
2007-05-01 00:00:00,114.6,114.7,114.7,114.7,110.8,115.7,228000,246100,230400,250200,158300,134300
2007-06-01 00:00:00,115.0,115.3,115.9,115.1,110.9,115.2,228800,247300,232800,251100,158500,133700
2007-07-01 00:00:00,115.6,115.8,115.7,116.0,113.0,115.8,230000,248400,232400,252900,161500,134400
2007-08-01 00:00:00,117.7,118.0,117.8,118.1,115.2,116.7,234300,253200,236500,257600,164600,135500
2007-09-01 00:00:00,118.4,118.8,118.2,119.2,117.4,117.4,235700,254800,237400,260000,167700,136300
2007-10-01 00:00:00,118.9,118.9,119.7,118.6,117.3,120.4,236600,255000,240300,258600,167600,139800
2007-11-01 00:00:00,120.8,121.2,121.7,121.1,117.1,117.8,240400,260000,244400,264100,167400,136800
2007-12-01 00:00:00,121.2,121.2,123.7,120.6,117.1,121.3,241200,259900,248300,263100,167300,140800
2008-01-01 00:00:00,122.2,122.4,121.0,122.7,117.1,121.1,243100,262500,243000,267700,167300,140600
2008-02-01 00:00:00,123.3,123.6,122.9,123.8,117.1,122.7,245400,265200,246800,270000,167300,142400
2008-03-01 00:00:00,123.1,123.6,122.9,123.7,117.3,120.2,245000,265100,246700,269700,167600,139600
2008-04-01 00:00:00,123.0,123.3,124.1,123.1,120.1,122.4,244800,264400,249100,268500,171600,142100
2008-05-01 00:00:00,123.8,124.3,123.8,124.5,122.4,123.2,246400,266700,248500,271600,174900,143000
2008-06-01 00:00:00,123.8,124.1,125.8,123.7,124.6,126.4,246400,266200,252700,269800,178000,146700
2008-07-01 00:00:00,123.4,123.7,123.2,123.9,124.8,126.3,245500,265300,247300,270200,178400,146600
2008-08-01 00:00:00,123.6,123.9,122.6,124.2,125.0,125.8,246000,265700,246200,270800,178600,146000
2008-09-01 00:00:00,124.5,124.8,125.2,125.2,125.3,128.0,247700,267800,251400,273100,179000,148600
2008-10-01 00:00:00,123.7,124.5,124.2,124.4,126.6,121.4,246100,267000,249300,271300,180900,141000
2008-11-01 00:00:00,124.8,125.3,124.0,125.6,127.9,125.9,248400,268700,249000,273900,182800,146200
2008-12-01 00:00:00,123.7,124.2,122.9,124.6,129.1,120.6,246200,266500,246800,271700,184500,140000
2009-01-01 00:00:00,121.8,122.6,123.9,122.3,127.3,114.9,242300,263000,248800,266800,181900,133400
2009-02-01 00:00:00,121.6,122.4,122.3,122.4,125.6,118.3,242000,262500,245500,267000,179500,137300
