Date,Composite_HPI_SA,Single_Family_HPI_SA,One_Storey_HPI_SA,Two_Storey_HPI_SA,Townhouse_HPI_SA,Apartment_HPI_SA,Composite_Benchmark_SA,Single_Family_Benchmark_SA,One_Storey_Benchmark_SA,Two_Storey_Benchmark_SA,Townhouse_Benchmark_SA,Apartment_Benchmark_SA
2005-01,100.0,100.0,100.0,100.0,100.0,100.0,239600,245600,231600,269800,189800,182200
2005-02,99.8,99.7,99.7,100.6,99.6,101.3,239100,244800,230800,271300,189100,184500
2005-03,99.6,99.4,99.1,101.4,99.4,102.6,238700,244100,229400,273600,188600,186900
2005-04,98.4,98.0,97.4,100.4,99.2,103.9,235800,240800,225500,270900,188200,189300
2005-05,98.6,98.2,98.2,99.7,99.0,105.3,236300,241300,227400,269000,187900,191800
2005-06,98.6,98.2,98.3,98.9,99.2,106.6,236200,241200,227700,266900,188200,194300
2005-07,99.1,98.8,98.4,100.4,98.8,106.8,237500,242700,228000,271000,187500,194600
2005-08,100.0,99.7,99.1,101.9,98.7,107.0,239500,244900,229500,274800,187300,194900
2005-09,100.5,100.3,99.2,102.9,98.6,107.1,240800,246400,229800,277600,187100,195100
2005-10,101.6,101.5,100.4,104.5,98.4,107.2,243500,249200,232600,281900,186800,195300
2005-11,101.7,101.5,99.7,105.7,98.4,107.2,243700,249300,230800,285300,186700,195400
2005-12,103.3,103.2,101.6,107.1,98.2,107.4,247500,253400,235300,288900,186400,195600
2006-01,104.8,104.7,103.2,107.3,99.2,106.6,251000,257200,239100,289400,188300,194200
2006-02,103.7,103.6,102.0,107.0,100.1,105.9,248500,254500,236300,288800,190000,192900
2006-03,104.6,104.6,104.0,107.1,101.0,105.2,250600,256900,240900,289000,191700,191600
2006-04,105.6,105.6,105.2,107.6,102.1,106.8,253100,259400,243600,290300,193700,194600
2006-05,106.4,106.4,106.0,108.4,103.1,108.5,254900,261200,245400,292400,195700,197700
2006-06,107.3,107.3,106.8,109.2,104.6,110.2,257100,263500,247400,294500,198600,200800
2006-07,107.0,106.8,106.5,108.6,104.5,112.1,256300,262400,246700,292900,198300,204300
2006-08,106.4,106.1,105.8,107.8,104.7,114.2,254900,260700,245000,290800,198700,208000
2006-09,107.1,106.8,107.5,106.7,104.8,116.2,256700,262400,248900,288000,199000,211700
