Date,Composite_HPI_SA,Single_Family_HPI_SA,One_Storey_HPI_SA,Two_Storey_HPI_SA,Townhouse_HPI_SA,Apartment_HPI_SA,Composite_Benchmark_SA,Single_Family_Benchmark_SA,One_Storey_Benchmark_SA,Two_Storey_Benchmark_SA,Townhouse_Benchmark_SA,Apartment_Benchmark_SA
2005-01,100.0,100.0,100.0,100.0,100.0,100.0,152000,165400,151000,176400,107300,100600
2005-02,102.4,102.4,101.6,102.3,100.5,99.2,155600,169300,153400,180500,107800,99800
2005-03,101.3,101.5,101.3,101.5,100.5,96.8,154000,167900,152900,179100,107800,97400
2005-04,103.0,103.0,101.7,103.3,103.8,99.1,156600,170300,153600,182300,111400,99700
2005-05,103.7,103.4,102.1,103.9,103.4,107.2,157600,171100,154200,183200,111000,107800
2005-06,103.2,103.3,101.7,103.9,104.4,98.5,156900,170800,153600,183200,112000,99100
2005-07,103.9,103.6,102.8,103.7,106.1,103.7,157900,171400,155300,183000,113800,104300
2005-08,104.4,104.1,104.3,103.4,106.8,104.0,158700,172100,157500,182400,114600,104600
2005-09,105.3,104.9,104.5,104.9,106.1,107.3,160000,173500,157800,185100,113800,107900
2005-10,105.9,105.3,103.8,105.8,107.5,111.6,161000,174200,156800,186600,115300,112300
2005-11,107.0,106.3,105.6,106.5,109.3,109.5,162700,175800,159500,187800,117300,110200
2005-12,107.7,107.1,106.9,106.7,110.1,108.0,163700,177100,161400,188300,118100,108600
2006-01,107.7,107.2,107.4,106.9,111.6,110.5,163700,177300,162200,188600,119700,111200
2006-02,108.4,107.9,109.1,106.6,110.3,106.1,164700,178400,164700,188100,118300,106700
2006-03,109.8,109.6,109.7,109.4,112.2,106.8,166900,181300,165600,193000,120400,107400
2006-04,108.4,107.7,109.7,106.1,110.9,111.8,164700,178100,165700,187100,119000,112500
2006-05,109.6,109.4,109.5,109.0,109.8,112.6,166600,181000,165400,192200,117800,113300
2006-06,110.2,109.4,109.7,108.7,113.2,115.1,167500,180900,165600,191800,121500,115800
2006-07,110.1,109.8,110.1,109.2,110.8,111.0,167300,181600,166300,192700,118900,111700
2006-08,110.3,110.2,109.1,110.4,111.4,107.1,167600,182300,164700,194700,119500,107700
2006-09,111.0,110.5,110.9,110.0,114.5,108.3,168700,182800,167500,194000,122900,109000
2006-10,111.1,110.5,111.3,109.5,114.5,114.2,168900,182700,168000,193200,122900,114900
2006-11,112.2,112.1,111.8,112.1,112.8,108.3,170600,185400,168800,197700,121000,108900
2006-12,112.3,111.7,112.2,111.0,116.6,109.7,170700,184800,169400,195800,125100,110400
2007-01,112.4,112.0,112.5,111.6,114.8,113.8,170900,185300,169900,196800,123200,114500
2007-02,113.2,112.6,112.7,112.1,117.0,110.3,172100,186300,170200,197700,125500,111000
2007-03,114.7,114.3,114.3,114.1,118.3,112.0,174300,189100,172600,201200,126900,112700
2007-04,115.1,114.8,114.2,114.7,116.3,115.2,174900,189800,172500,202400,124800,115900
2007-05,115.5,115.1,114.5,115.0,118.6,115.4,175600,190400,172900,202900,127300,116100
2007-06,116.7,116.4,115.4,116.7,118.5,114.6,177400,192600,174300,205800,127100,115300
2007-07,116.5,116.0,115.8,115.7,118.6,119.8,177100,191800,174800,204100,127300,120500
2007-08,116.6,116.0,116.4,115.3,118.7,120.3,177200,191900,175800,203400,127400,121000
2007-09,118.4,118.2,117.2,118.5,119.0,116.5,179900,195500,177000,209000,127700,117200
2007-10,117.5,117.1,118.0,116.0,118.6,120.4,178600,193700,178200,204600,127300,121100
2007-11,117.7,116.9,118.1,115.9,121.2,118.6,178900,193300,178400,204500,130100,119300
2007-12,119.5,119.6,119.1,119.4,118.6,115.1,181700,197900,179900,210700,127300,115800
2008-01,120.8,120.3,121.6,119.2,127.0,116.7,183600,198900,183600,210200,136300,117400
2008-02,120.6,120.7,120.1,120.5,120.7,112.9,183300,199600,181400,212500,129500,113600
2008-03,119.5,119.2,118.9,119.0,120.5,119.8,181700,197100,179500,210000,129300,120500
2008-04,121.3,121.0,119.5,121.5,122.9,119.8,184300,200100,180400,214300,131900,120500
2008-05,120.6,120.1,120.1,119.7,123.2,121.2,183300,198600,181300,211100,132200,121900
2008-06,120.4,119.8,121.1,118.6,123.2,120.8,183000,198100,182800,209200,132200,121500
2008-07,121.3,121.0,120.7,120.8,123.5,119.0,184400,200100,182300,213100,132500,119700
2008-08,121.2,120.8,119.8,120.9,123.5,120.2,184200,199800,180900,213300,132500,120900
2008-09,120.5,119.6,119.1,119.6,124.1,122.7,183200,197900,179900,210900,133200,123400
2008-10,121.3,120.4,118.8,121.0,125.7,121.0,184300,199100,179400,213400,134900,121700
2008-11,120.7,119.7,118.1,120.6,125.9,121.2,183500,198000,178300,212700,135100,121900
2008-12,118.5,117.7,116.8,117.7,121.1,118.9,180100,194600,176400,207600,129900,119600
2009-01,118.2,117.5,116.1,118.0,121.7,121.3,179700,194300,175300,208100,130600,122000
2009-02,118.3,117.2,115.5,117.8,122.2,121.1,179800,193800,174400,207800,131100,121800
2009-03,118.4,117.5,116.0,118.3,121.7,118.3,179900,194400,175100,208600,130600,119000
2009-04,118.8,117.7,117.2,117.5,123.0,124.4,180600,194700,177000,207300,132000,125100
2009-05,119.1,118.0,117.3,117.9,125.9,120.4,181000,195200,177100,208000,135100,121100
2009-06,120.2,119.3,117.7,119.7,123.3,123.8,182700,197300,177800,211200,132300,124500
2009-07,122.1,121.0,119.1,121.9,127.0,124.9,185600,200200,179800,215000,136300,125600
2009-08,123.3,122.1,121.0,122.1,127.9,129.5,187400,201900,182700,215400,137200,130300
2009-09,123.6,122.8,122.3,122.4,128.7,118.6,187900,203100,184700,216000,138100,119300
2009-10,124.9,124.7,121.8,125.9,125.3,119.5,189900,206200,183900,222000,134400,120200
2009-11,125.7,124.6,124.6,124.4,129.3,126.7,191100,206100,188100,219400,138700,127500
2009-12,126.1,124.5,122.6,125.1,132.0,129.1,191700,205900,185200,220700,141600,129900
2010-01,128.0,127.0,124.4,128.1,134.1,126.1,194600,210000,187800,225900,143900,126900
2010-02,127.1,125.6,124.5,125.7,134.0,129.2,193200,207700,188000,221700,143800,130000
2010-03,127.5,126.0,123.8,126.8,136.1,125.3,193800,208400,187000,223700,146000,126100
2010-04,128.3,126.7,125.2,127.0,137.8,126.4,195000,209500,189000,224000,147900,127200
2010-05,128.8,127.5,124.2,128.9,136.3,125.3,195700,210900,187500,227400,146300,126100
2010-06,128.9,127.6,126.0,127.9,137.8,122.3,196000,211000,190300,225700,147900,123000
2010-07,126.7,124.7,123.1,125.2,138.1,126.3,192600,206200,185900,220800,148200,127100
2010-08,128.8,126.8,124.4,127.6,140.8,127.1,195700,209700,187800,225100,151100,127900
2010-09,128.6,127.3,123.0,129.4,136.1,120.5,195500,210500,185700,228300,146000,121200
2010-10,128.6,126.5,125.2,126.7,139.0,127.0,195400,209300,189000,223500,149100,127800
2010-11,128.4,126.8,124.8,127.7,138.4,120.0,195100,209700,188400,225300,148500,120700
2010-12,130.3,128.2,125.6,129.4,140.5,123.8,198000,212100,189700,228200,150800,124500
2011-01,129.3,127.3,125.4,127.9,141.6,123.3,196500,210600,189400,225600,151900,124000
2011-02,129.9,127.5,125.0,128.5,144.2,126.9,197500,210900,188700,226700,154700,127700
2011-03,130.6,128.4,126.6,128.7,143.0,127.3,198500,212300,191200,227100,153400,128100
2011-04,130.3,128.1,125.1,129.1,142.4,128.6,198000,211800,188900,227800,152800,129400
2011-05,130.9,128.6,126.4,129.0,142.0,135.4,198900,212700,190900,227600,152400,136200
2011-06,130.5,128.7,125.6,129.8,140.1,125.2,198300,212900,189600,229000,150300,126000
2011-07,129.9,128.1,126.4,128.6,140.6,123.0,197500,211900,190800,226900,150900,123700
2011-08,130.3,128.7,126.4,129.3,140.1,120.2,198100,212900,190900,228100,150300,120900
2011-09,131.4,129.9,126.3,131.2,140.7,121.7,199800,214800,190700,231400,151000,122400
2011-10,131.7,130.2,126.7,131.5,142.2,117.8,200200,215300,191300,232000,152600,118500
2011-11,129.6,127.3,126.0,127.6,142.6,122.5,197000,210500,190300,225000,153000,123200
2011-12,134.0,132.2,127.4,134.4,143.6,116.4,203700,218700,192400,237100,154100,117100
2012-01,131.6,129.9,128.9,129.8,141.0,118.9,200000,214900,194700,228900,151300,119600
2012-02,132.8,131.6,127.1,133.5,141.1,116.0,201900,217600,191900,235500,151400,116700
2012-03,133.5,132.2,129.3,133.0,141.1,116.8,202900,218600,195200,234600,151400,117500
2012-04,132.8,131.4,128.3,132.5,139.9,119.0,201800,217400,193700,233800,150100,119700
2012-05,133.8,132.5,129.8,133.2,140.5,123.5,203400,219200,196000,235000,150800,124200
2012-06,133.7,131.7,127.9,133.1,145.7,124.5,203200,217800,193100,234800,156300,125200
2012-07,134.5,133.0,130.7,133.7,142.0,121.5,204400,219900,197300,235900,152400,122200
2012-08,133.2,131.3,128.6,132.2,145.2,117.9,202500,217200,194200,233200,155800,118600
2012-09,133.0,130.8,129.1,131.2,145.7,122.2,202100,216400,194900,231500,156300,122900
2012-10,134.1,131.7,130.1,132.0,144.2,131.8,203800,217900,196400,232900,154700,132600
2012-11,135.9,134.5,131.5,135.7,141.4,122.5,206600,222500,198600,239400,151700,123200
2012-12,134.3,132.2,131.4,132.0,144.5,120.9,204100,218700,198400,232800,155100,121600
2013-01,135.3,133.8,129.5,135.7,143.2,120.5,205600,221300,195600,239300,153600,121200
2013-02,135.2,133.8,131.9,134.3,143.0,121.7,205500,221300,199100,236900,153400,122400
2013-03,136.2,135.1,130.8,137.0,142.5,118.5,207000,223500,197500,241600,152900,119200
2013-04,137.4,136.0,132.2,137.5,142.2,127.5,208800,225000,199600,242600,152600,128300
2013-05,135.3,133.9,131.7,134.4,140.6,129.8,205700,221400,198800,237000,150900,130600
