Date,Composite_HPI_SA,Single_Family_HPI_SA,One_Storey_HPI_SA,Two_Storey_HPI_SA,Townhouse_HPI_SA,Apartment_HPI_SA,Composite_Benchmark_SA,Single_Family_Benchmark_SA,One_Storey_Benchmark_SA,Two_Storey_Benchmark_SA,Townhouse_Benchmark_SA,Apartment_Benchmark_SA
2005-01,100.0,100.0,100.0,100.0,100.0,100.0,331900,461400,362600,533600,264200,201800
2005-02,100.4,100.2,100.5,100.1,100.4,100.7,333100,462400,364500,534100,265200,203300
2005-03,100.8,100.4,101.0,100.1,100.7,102.0,334600,463100,366100,534200,266000,205800
2005-04,101.1,100.6,101.3,100.3,101.3,102.6,335500,464000,367200,535000,267600,207000
2005-05,101.5,100.8,101.6,100.4,101.6,103.4,336900,465200,368500,536000,268500,208700
2005-06,102.1,101.1,101.9,100.7,102.0,105.0,338800,466600,369500,537500,269500,211800
2005-07,103.6,102.6,103.8,102.2,103.7,106.3,343800,473600,376300,545400,274000,214600
2005-08,105.0,104.2,105.4,103.7,105.2,107.2,348500,480700,382300,553400,277900,216400
2005-09,106.9,105.7,107.1,105.2,106.7,111.5,354900,487600,388200,561300,281800,225100
2005-10,108.6,107.4,108.6,106.9,107.9,112.6,360300,495400,393700,570300,285100,227300
2005-11,110.2,109.0,110.1,108.6,109.1,114.1,365600,503100,399100,579400,288300,230300
2005-12,111.8,110.7,111.5,110.3,110.4,115.8,371000,510800,404400,588500,291600,233700
2006-01,113.6,112.3,113.3,111.8,112.2,118.2,377000,518300,410800,596800,296400,238500
2006-02,115.3,113.8,114.9,113.3,114.0,120.4,382800,525300,416600,604700,301100,242900
2006-03,116.8,115.3,116.5,114.8,115.8,122.1,387800,532100,422400,612600,306000,246400
2006-04,118.7,117.0,118.2,116.5,117.4,124.2,394000,539900,428500,621600,310300,250600
2006-05,120.5,118.8,119.9,118.3,119.4,126.3,400000,548000,434900,631100,315400,254800
2006-06,122.4,120.7,121.5,120.2,121.2,127.9,406100,556700,440700,641400,320100,258100
2006-07,124.0,122.1,123.1,121.8,122.8,129.8,411400,563600,446300,649900,324400,262000
2006-08,125.5,123.6,124.4,123.4,124.2,131.6,416600,570500,451100,658500,328100,265600
2006-09,126.8,125.1,125.6,125.0,125.6,133.1,420800,577200,455600,667000,331900,268500
2006-10,128.0,126.2,126.9,125.9,126.9,134.1,424700,582100,460000,671900,335400,270600
