Date,Composite_HPI_SA,Single_Family_HPI_SA,One_Storey_HPI_SA,Two_Storey_HPI_SA,Apartment_HPI_SA,Composite_Benchmark_SA,Single_Family_Benchmark_SA,One_Storey_Benchmark_SA,Two_Storey_Benchmark_SA,Apartment_Benchmark_SA
2005-01-01 00:00:00,100.0,100.0,100.0,100.0,100.0,82000,81600,75600,95900,94000
2005-02-01 00:00:00,102.1,102.1,102.6,100.6,98.8,83700,83300,77600,96500,92900
2005-03-01 00:00:00,102.6,102.7,103.2,101.3,97.6,84100,83800,78000,97100,91700
2005-04-01 00:00:00,105.1,105.4,107.0,101.8,97.0,86200,86000,80900,97600,91200
2005-05-01 00:00:00,103.2,103.4,103.7,102.4,95.7,84600,84400,78400,98200,90000
2005-06-01 00:00:00,104.8,105.3,106.1,103.0,94.8,85900,85900,80200,98800,89100
2005-07-01 00:00:00,106.0,106.5,107.9,103.9,94.7,86900,86900,81600,99600,89000
2005-08-01 00:00:00,105.5,105.8,106.9,104.6,94.7,86500,86300,80800,100300,89000
2005-09-01 00:00:00,108.4,108.9,111.6,105.4,94.8,88900,88900,84400,101100,89100
2005-10-01 00:00:00,108.7,109.1,110.4,107.0,94.7,89100,89000,83500,102600,89000
2005-11-01 00:00:00,111.8,112.5,114.0,108.6,94.7,91700,91800,86200,104100,89000
2005-12-01 00:00:00,111.3,112.0,111.9,110.1,94.7,91300,91400,84600,105600,89000
2006-01-01 00:00:00,111.6,112.3,113.9,108.9,95.1,91500,91600,86100,104400,89400
2006-02-01 00:00:00,111.5,112.1,114.3,107.7,95.5,91400,91500,86400,103300,89800
2006-03-01 00:00:00,110.1,110.8,112.8,106.5,96.6,90300,90400,85300,102100,90800
2006-04-01 00:00:00,111.6,112.3,114.7,107.1,96.1,91500,91600,86700,102700,90300
2006-05-01 00:00:00,112.6,113.1,115.6,107.7,97.0,92300,92300,87400,103300,91200
2006-06-01 00:00:00,112.8,113.4,115.6,108.3,97.8,92500,92500,87400,103900,91900
2006-07-01 00:00:00,110.0,110.4,111.0,109.2,97.2,90200,90100,83900,104700,91400
2006-08-01 00:00:00,110.7,111.3,112.2,110.0,96.9,90800,90800,84800,105500,91100
2006-09-01 00:00:00,111.0,111.5,112.7,110.8,96.6,91000,91000,85200,106300,90800
2006-10-01 00:00:00,114.1,114.8,116.3,112.3,96.2,93600,93700,87900,107700,90400
2006-11-01 00:00:00,116.6,117.4,118.8,113.9,95.7,95600,95800,89800,109200,90000
2006-12-01 00:00:00,121.3,122.4,125.0,115.4,95.4,99500,99900,94500,110700,89700
2007-01-01 00:00:00,118.0,118.9,120.6,115.4,96.1,96800,97000,91200,110700,90300
2007-02-01 00:00:00,118.5,119.5,121.6,115.4,96.8,97200,97500,91900,110700,91000
2007-03-01 00:00:00,120.4,121.3,124.3,115.3,97.7,98700,99000,94000,110600,91800
2007-04-01 00:00:00,120.0,120.8,123.3,116.0,98.5,98400,98600,93200,111200,92600
2007-05-01 00:00:00,122.4,123.3,126.6,116.5,99.1,100400,100600,95700,111700,93200
2007-06-01 00:00:00,124.3,125.1,129.1,117.0,100.2,101900,102100,97600,112200,94200
2007-07-01 00:00:00,127.1,128.1,132.0,120.8,101.7,104200,104500,99800,115800,95600
2007-08-01 00:00:00,128.3,129.3,132.3,124.6,103.3,105200,105500,100000,119500,97100
2007-09-01 00:00:00,127.9,128.8,129.6,128.6,105.2,104900,105100,98000,123300,98900
2007-10-01 00:00:00,127.9,128.7,130.4,125.4,106.9,104900,105000,98600,120300,100500
2007-11-01 00:00:00,126.1,126.8,128.2,122.5,108.7,103400,103500,96900,117500,102200
2007-12-01 00:00:00,126.1,126.8,129.1,119.6,110.4,103400,103500,97600,114700,103800
2008-01-01 00:00:00,129.5,130.1,133.7,122.7,110.2,106200,106200,101100,117700,103600
2008-02-01 00:00:00,127.7,128.3,129.8,125.9,110.3,104700,104700,98100,120700,103700
2008-03-01 00:00:00,129.0,129.7,131.1,128.2,109.8,105800,105800,99100,122900,103200
2008-04-01 00:00:00,128.9,129.7,131.0,127.5,110.4,105700,105800,99000,122300,103800
2008-05-01 00:00:00,132.0,132.8,135.4,127.4,109.8,108200,108400,102400,122200,103200
2008-06-01 00:00:00,128.3,128.9,129.5,127.4,110.1,105200,105200,97900,122200,103500
2008-07-01 00:00:00,128.9,129.7,131.9,125.9,108.8,105700,105800,99700,120700,102300
2008-08-01 00:00:00,130.2,131.1,135.2,124.2,108.3,106800,107000,102200,119100,101800
2008-09-01 00:00:00,129.6,130.5,135.7,122.4,107.4,106300,106500,102600,117400,101000
2008-10-01 00:00:00,129.5,130.4,135.6,121.0,106.7,106200,106400,102500,116000,100300
2008-11-01 00:00:00,129.5,130.6,135.7,119.2,105.9,106200,106600,102600,114300,99500
