Date,Composite_HPI_SA,Single_Family_HPI_SA,One_Storey_HPI_SA,Two_Storey_HPI_SA,Townhouse_HPI_SA,Apartment_HPI_SA,Composite_Benchmark_SA,Single_Family_Benchmark_SA,One_Storey_Benchmark_SA,Two_Storey_Benchmark_SA,Townhouse_Benchmark_SA,Apartment_Benchmark_SA
2005-01-01 00:00:00,100.0,100.0,100.0,100.0,100.0,100.0,305800,372400,364100,374000,234700,169600
2005-02-01 00:00:00,99.8,99.8,100.3,99.6,100.4,101.8,305300,371500,365200,372600,235600,172700
2005-03-01 00:00:00,100.1,99.8,100.3,99.7,100.7,103.5,306200,371600,365300,372700,236300,175600
2005-04-01 00:00:00,99.6,99.4,100.4,99.2,100.6,101.5,304700,370100,365700,371000,236200,172200
2005-05-01 00:00:00,99.8,99.2,100.2,99.1,100.5,106.8,305300,369600,365000,370500,235800,181100
2005-06-01 00:00:00,99.6,99.4,100.0,99.3,100.3,102.6,304600,370100,364100,371400,235300,174000
2005-07-01 00:00:00,100.0,99.5,100.2,99.4,100.7,105.7,305900,370400,364700,371600,236400,179200
2005-08-01 00:00:00,101.0,100.9,100.4,101.0,101.2,103.2,308900,375700,365400,377600,237500,175000
2005-09-01 00:00:00,100.0,100.0,100.6,99.9,101.7,101.6,305800,372500,366400,373700,238600,172300
2005-10-01 00:00:00,101.5,101.4,101.0,101.5,101.7,103.7,310500,377700,367800,379600,238600,175800
2005-11-01 00:00:00,104.1,103.7,101.5,104.2,101.7,109.1,318300,386100,369600,389600,238600,185100
2005-12-01 00:00:00,103.1,103.4,101.9,103.7,102.0,104.8,315400,385100,371100,387800,239400,177700
2006-01-01 00:00:00,103.2,103.5,102.9,103.6,102.8,102.8,315700,385400,374700,387300,241200,174400
2006-02-01 00:00:00,103.8,104.1,103.8,104.1,103.7,103.9,317300,387600,377900,389400,243400,176200
2006-03-01 00:00:00,104.4,104.8,104.4,104.8,104.6,104.2,319400,390200,380300,392000,245500,176800
2006-04-01 00:00:00,105.5,105.6,104.5,105.8,105.4,106.2,322500,393200,380600,395700,247300,180100
