Date,Composite_HPI_SA,Single_Family_HPI_SA,One_Storey_HPI_SA,Two_Storey_HPI_SA,Townhouse_HPI_SA,Apartment_HPI_SA,Composite_Benchmark_SA,Single_Family_Benchmark_SA,One_Storey_Benchmark_SA,Two_Storey_Benchmark_SA,Townhouse_Benchmark_SA,Apartment_Benchmark_SA
2005-01,100.0,100.0,100.0,100.0,100.0,100.0,188000,197300,159100,242000,188000,160100
2005-02,100.4,100.2,100.3,100.1,100.6,101.6,188800,197600,159500,242200,189100,162600
2005-03,100.7,100.9,101.1,101.0,101.1,99.8,189300,199100,160800,244300,190000,159700
2005-04,101.6,101.7,101.8,101.6,102.0,100.8,191100,200600,161900,245900,191800,161400
2005-05,100.7,100.8,102.1,99.7,102.0,99.9,189300,198900,162400,241300,191800,160000
2005-06,101.2,101.3,101.6,101.2,102.9,100.6,190300,199900,161700,245000,193400,161000
2005-07,101.7,101.7,102.3,101.4,104.8,100.7,191200,200700,162800,245300,197000,161300
2005-08,101.6,102.0,102.8,101.4,103.4,99.5,191100,201300,163600,245500,194300,159300
2005-09,102.0,102.5,104.0,101.3,102.7,99.8,191800,202200,165400,245100,193000,159800
2005-10,102.7,103.2,104.5,102.2,103.7,100.5,193000,203600,166200,247300,194900,160900
2005-11,102.8,103.4,105.0,102.2,102.1,100.4,193300,204100,167000,247300,191900,160700
2005-12,102.6,103.7,105.5,102.4,100.4,98.6,192900,204600,167800,247700,188800,157900
2006-01,103.1,103.8,105.5,102.5,102.8,100.6,193900,204800,167800,248100,193200,161100
2006-02,103.8,104.7,106.4,103.5,104.6,100.5,195200,206600,169300,250400,196600,160900
2006-03,103.9,104.7,106.7,103.2,105.0,100.6,195300,206500,169700,249800,197400,161000
2006-04,104.7,105.5,107.0,104.4,106.6,100.6,196800,208200,170200,252600,200500,161000
2006-05,104.7,105.5,107.2,104.1,107.2,101.5,196900,208200,170500,252000,201500,162500
2006-06,105.2,105.9,108.1,104.2,111.0,101.6,197700,208900,172000,252200,208700,162700
2006-07,105.0,105.9,107.9,104.5,107.2,101.1,197400,209000,171600,253000,201600,161800
2006-08,105.9,106.6,108.5,105.1,108.0,102.6,199000,210300,172700,254400,203100,164200
2006-09,106.3,107.1,108.7,105.9,106.0,103.1,199800,211300,173000,256200,199300,165000
2006-10,106.5,107.3,108.9,106.1,108.1,103.2,200300,211700,173300,256800,203300,165200
2006-11,107.2,108.4,110.3,106.9,107.3,102.7,201600,213800,175500,258600,201700,164500
2006-12,108.0,109.0,111.3,107.1,109.8,104.2,203100,215000,177100,259200,206400,166900
2007-01,109.0,109.9,112.2,108.2,110.4,105.2,205000,216900,178500,261900,207600,168400
2007-02,109.4,110.5,112.7,108.9,111.2,104.7,205600,218100,179300,263500,209100,167600
2007-03,110.3,111.4,113.7,109.6,112.8,105.9,207400,219700,180900,265200,212000,169600
2007-04,110.5,111.5,113.5,110.0,112.9,105.7,207700,220000,180500,266300,212200,169300
2007-05,111.5,113.0,115.1,111.3,112.0,106.0,209700,223000,183200,269300,210600,169700
2007-06,111.9,113.4,116.3,111.2,114.5,105.9,210300,223700,185000,269100,215300,169500
2007-07,112.9,114.5,117.0,112.6,113.4,107.1,212300,225900,186100,272400,213100,171500
2007-08,113.4,114.7,117.1,112.9,113.8,108.1,213200,226300,186300,273300,214000,173100
2007-09,114.2,115.6,118.3,113.6,114.9,108.6,214700,228000,188200,274800,216100,173900
2007-10,115.1,116.7,119.3,114.7,116.4,108.6,216300,230200,189800,277500,218800,173900
2007-11,115.9,117.3,119.4,115.5,117.7,109.8,217800,231400,190000,279500,221200,175800
2007-12,116.9,118.7,121.0,116.9,118.5,110.4,219800,234100,192500,282900,222800,176800
2008-01,116.8,118.8,121.3,116.9,119.9,108.8,219600,234300,193000,282800,225500,174200
2008-02,117.5,119.4,121.6,117.5,119.2,110.6,220900,235500,193400,284400,224100,177000
2008-03,118.1,120.0,121.7,118.6,120.1,111.6,222100,236700,193600,286900,225700,178700
2008-04,118.7,120.7,122.7,119.0,119.8,111.9,223100,238200,195200,288000,225300,179200
2008-05,118.9,120.8,122.7,119.0,121.3,113.0,223500,238300,195200,287900,228100,180900
2008-06,119.7,121.7,123.1,120.3,123.1,113.8,225100,240200,195900,291100,231400,182200
2008-07,119.8,121.8,123.7,120.1,120.6,114.4,225200,240300,196800,290600,226800,183100
2008-08,120.4,122.7,124.5,121.0,122.1,114.1,226400,242000,198000,292800,229500,182700
2008-09,120.5,122.9,124.5,121.2,123.5,113.7,226500,242400,198100,293300,232100,182000
2008-10,120.2,122.5,124.6,120.7,124.4,113.4,225900,241700,198200,292000,233800,181500
2008-11,120.2,122.1,124.8,119.6,128.2,114.0,225900,241000,198500,289400,241000,182500
2008-12,120.2,121.8,123.6,120.0,126.1,116.9,226000,240300,196700,290300,237000,187100
2009-01,120.2,122.3,123.3,121.3,126.6,114.4,226000,241200,196100,293500,238000,183100
