Date,Composite_HPI_SA,Single_Family_HPI_SA,One_Storey_HPI_SA,Two_Storey_HPI_SA,Townhouse_HPI_SA,Apartment_HPI_SA,Composite_Benchmark_SA,Single_Family_Benchmark_SA,One_Storey_Benchmark_SA,Two_Storey_Benchmark_SA,Townhouse_Benchmark_SA,Apartment_Benchmark_SA
2005-01-01 00:00:00,100.0,100.0,100.0,100.0,100.0,100.0,129200,129400,112300,153600,128300,106800
2005-02-01 00:00:00,100.9,100.9,101.4,100.5,100.6,100.0,130400,130600,113900,154400,129100,106800
2005-03-01 00:00:00,102.0,102.0,102.8,101.0,101.2,100.0,131800,132000,115500,155100,129800,106800
2005-04-01 00:00:00,102.6,102.6,103.7,101.2,101.8,100.0,132500,132700,116400,155500,130600,106800
2005-05-01 00:00:00,103.0,103.0,104.4,101.4,102.5,100.0,133100,133300,117200,155800,131500,106800
2005-06-01 00:00:00,103.4,103.5,105.2,101.4,102.3,100.0,133600,133900,118100,155800,131200,106800
2005-07-01 00:00:00,103.1,103.1,105.4,100.7,102.7,100.0,133200,133400,118400,154700,131700,106800
2005-08-01 00:00:00,102.9,102.8,105.6,99.9,101.9,100.0,132900,133000,118600,153400,130700,106800
2005-09-01 00:00:00,102.6,102.6,105.9,98.9,101.4,100.0,132500,132800,118900,151900,130100,106800
2005-10-01 00:00:00,103.0,103.0,106.1,99.7,100.9,100.0,133100,133300,119200,153200,129400,106800
2005-11-01 00:00:00,103.5,103.6,106.4,100.5,100.5,100.0,133700,134000,119500,154300,128900,106800
2005-12-01 00:00:00,104.0,104.1,106.8,101.2,99.5,100.0,134400,134700,119900,155400,127700,106800
2006-01-01 00:00:00,104.6,104.6,107.4,101.8,98.4,100.0,135100,135400,120600,156400,126300,106800
2006-02-01 00:00:00,105.0,105.2,107.8,102.2,96.9,100.0,135700,136100,121100,157000,124300,106800
2006-03-01 00:00:00,105.5,105.6,108.4,102.7,95.0,100.0,136300,136700,121700,157700,121900,106800
2006-04-01 00:00:00,105.5,105.6,108.8,102.3,93.4,100.0,136300,136700,122200,157100,119800,106800
2006-05-01 00:00:00,105.4,105.6,109.1,101.8,91.8,100.0,136200,136700,122500,156400,117800,106800
2006-06-01 00:00:00,105.4,105.6,109.4,101.4,89.6,100.0,136200,136700,122900,155700,114900,106800
2006-07-01 00:00:00,106.0,106.1,109.7,102.3,93.2,101.0,136900,137300,123200,157200,119600,107900
2006-08-01 00:00:00,106.6,106.6,109.9,103.2,96.3,102.2,137700,138000,123400,158500,123500,109100
2006-09-01 00:00:00,107.2,107.3,110.2,103.9,99.5,103.3,138500,138900,123700,159600,127600,110300
2006-10-01 00:00:00,107.2,107.2,110.2,104.0,102.7,104.4,138500,138700,123700,159800,131800,111500
2006-11-01 00:00:00,107.2,107.2,110.1,104.0,106.2,105.6,138500,138700,123600,159800,136300,112800
2006-12-01 00:00:00,107.2,107.3,110.2,104.0,109.4,106.7,138500,138800,123800,159800,140300,114000
2007-01-01 00:00:00,107.6,107.6,110.7,104.3,111.7,105.7,139000,139200,124300,160200,143300,112900
2007-02-01 00:00:00,108.0,107.9,111.2,104.4,113.6,104.7,139500,139600,124900,160400,145800,111800
2007-03-01 00:00:00,108.3,108.3,111.5,104.8,115.2,103.7,139900,140100,125200,161000,147800,110700
2007-04-01 00:00:00,109.0,108.9,112.3,105.2,117.0,102.6,140800,140900,126100,161600,150100,109600
2007-05-01 00:00:00,109.4,109.4,112.8,105.7,119.0,101.6,141400,141600,126700,162400,152700,108500
2007-06-01 00:00:00,110.0,110.0,113.5,105.9,119.8,100.7,142100,142300,127500,162600,153700,107500
2007-07-01 00:00:00,110.8,110.7,114.4,106.9,119.8,102.3,143200,143300,128500,164200,153700,109300
2007-08-01 00:00:00,111.6,111.7,115.1,107.8,118.7,104.0,144200,144500,129300,165600,152300,111100
2007-09-01 00:00:00,112.5,112.5,116.0,108.7,117.8,105.7,145400,145600,130300,166900,151100,112900
2007-10-01 00:00:00,113.5,113.6,117.5,109.3,116.8,107.5,146700,147000,132000,167900,149800,114800
2007-11-01 00:00:00,114.7,114.7,119.1,110.0,116.1,109.3,148200,148400,133800,168900,148900,116700
2007-12-01 00:00:00,115.8,115.8,121.0,110.5,114.9,111.1,149600,149900,135900,169700,147400,118700
2008-01-01 00:00:00,117.9,117.9,123.0,112.6,118.3,113.1,152300,152500,138100,173000,151800,120800
2008-02-01 00:00:00,120.1,120.2,125.2,114.6,121.2,115.5,155200,155500,140600,176100,155500,123400
2008-03-01 00:00:00,122.4,122.5,127.4,117.3,124.0,117.6,158200,158500,143100,180100,159100,125600
2008-04-01 00:00:00,124.8,125.0,129.7,119.8,126.7,119.9,161300,161700,145600,184000,162500,128000
2008-05-01 00:00:00,127.3,127.4,132.0,122.5,129.9,122.4,164500,164800,148200,188200,166700,130700
2008-06-01 00:00:00,129.5,129.5,134.4,124.6,131.2,124.5,167300,167600,150900,191400,168300,133000
2008-07-01 00:00:00,132.4,132.5,137.7,127.3,132.7,127.2,171000,171400,154600,195500,170200,135800
2008-08-01 00:00:00,135.1,135.2,141.2,129.4,134.4,129.6,174600,175000,158600,198800,172400,138400
2008-09-01 00:00:00,138.2,138.3,145.1,131.6,135.2,132.5,178500,179000,162900,202200,173500,141500
2008-10-01 00:00:00,140.2,140.3,147.3,133.7,136.5,135.1,181200,181600,165400,205400,175100,144300
