Date,Composite_HPI_SA,Single_Family_HPI_SA,One_Storey_HPI_SA,Two_Storey_HPI_SA,Townhouse_HPI_SA,Apartment_HPI_SA,Composite_Benchmark_SA,Single_Family_Benchmark_SA,One_Storey_Benchmark_SA,Two_Storey_Benchmark_SA,Townhouse_Benchmark_SA,Apartment_Benchmark_SA
2005-01-01 00:00:00,100.0,100.0,100.0,100.0,100.0,100.0,122600,123000,118800,128500,81400,116200
2005-02-01 00:00:00,100.6,100.6,100.7,100.2,99.9,100.3,123300,123700,119600,128800,81300,116500
2005-03-01 00:00:00,101.3,101.3,102.4,100.6,100.6,100.5,124200,124600,121700,129300,81900,116800
2005-04-01 00:00:00,101.4,101.4,101.4,100.9,99.4,100.8,124300,124700,120500,129600,80900,117100
2005-05-01 00:00:00,101.5,101.5,101.9,101.0,100.0,100.9,124500,124900,121000,129800,81400,117300
2005-06-01 00:00:00,102.0,102.0,101.9,101.4,100.0,101.2,125000,125500,121100,130300,81400,117600
2005-07-01 00:00:00,102.0,102.0,102.3,101.7,100.5,101.5,125100,125500,121500,130700,81800,117900
2005-08-01 00:00:00,102.4,102.4,102.4,102.3,100.7,101.7,125500,126000,121700,131400,82000,118200
2005-09-01 00:00:00,102.7,102.7,102.8,102.6,101.1,102.0,125900,126300,122100,131800,82300,118500
2005-10-01 00:00:00,103.0,103.1,103.5,102.7,101.1,102.2,126300,126800,122900,132000,82300,118800
2005-11-01 00:00:00,103.4,103.4,104.0,102.6,101.2,102.4,126800,127200,123600,131900,82400,119000
2005-12-01 00:00:00,103.8,103.7,104.9,102.7,101.6,102.7,127200,127600,124600,132000,82700,119300
2006-01-01 00:00:00,103.8,103.8,104.5,102.9,101.7,103.4,127200,127700,124100,132200,82800,120200
2006-02-01 00:00:00,103.7,103.7,104.1,103.0,101.6,104.1,127100,127500,123700,132300,82700,121000
2006-03-01 00:00:00,103.8,103.9,104.6,103.2,101.1,104.8,127300,127800,124300,132600,82300,121800
2006-04-01 00:00:00,104.6,104.6,105.2,104.1,102.5,105.6,128300,128700,125000,133800,83400,122700
2006-05-01 00:00:00,105.7,105.7,106.2,105.0,101.8,106.3,129600,130000,126200,134900,82900,123500
2006-06-01 00:00:00,106.9,107.1,107.2,106.0,101.7,107.1,131100,131700,127300,136200,82800,124400
2006-07-01 00:00:00,106.6,106.6,107.2,105.8,102.0,107.7,130700,131100,127400,135900,83000,125100
2006-08-01 00:00:00,106.5,106.5,107.2,105.7,101.6,108.2,130600,131000,127400,135800,82700,125700
