Date,Composite_HPI_SA,Single_Family_HPI_SA,One_Storey_HPI_SA,Two_Storey_HPI_SA,Townhouse_HPI_SA,Apartment_HPI_SA,Composite_Benchmark_SA,Single_Family_Benchmark_SA,One_Storey_Benchmark_SA,Two_Storey_Benchmark_SA,Townhouse_Benchmark_SA,Apartment_Benchmark_SA
2005-01,100.0,100.0,100.0,100.0,100.0,100.0,175600,177400,166300,187200,164900,141100
2005-02,100.1,100.0,98.3,101.0,100.1,100.9,175700,177400,163500,189100,165000,142400
2005-03,100.1,99.9,99.5,100.5,100.3,101.8,175700,177300,165500,188200,165400,143700
2005-04,100.4,100.3,100.6,100.5,99.6,102.8,176300,178000,167300,188200,164200,145000
2005-05,100.6,100.6,100.8,100.6,99.0,103.8,176600,178500,167700,188300,163300,146400
2005-06,100.8,100.8,100.9,100.9,98.4,104.7,177000,178900,167800,188900,162200,147800
2005-07,101.5,101.6,102.2,101.0,99.4,103.1,178200,180200,170000,189000,163900,145500
2005-08,101.4,101.5,101.5,101.2,100.4,101.6,178100,180000,168800,189500,165600,143300
2005-09,103.1,103.4,102.6,103.4,101.6,100.0,181100,183500,170700,193600,167500,141100
2005-10,102.4,102.5,102.3,102.4,102.0,101.5,179900,181900,170200,191700,168200,143200
2005-11,103.7,103.8,103.7,103.4,102.3,103.1,182100,184100,172500,193500,168700,145500
2005-12,104.6,104.7,103.8,105.4,102.5,104.7,183600,185700,172600,197300,169000,147700
2006-01,104.9,105.1,104.1,105.7,102.0,103.3,184200,186400,173200,197900,168200,145800
2006-02,105.2,105.5,105.6,105.1,101.3,102.0,184800,187100,175600,196800,167000,143900
2006-03,105.9,106.3,105.8,107.0,100.8,100.6,186000,188600,176000,200300,166200,142000
2006-04,106.2,106.6,105.8,107.2,101.2,101.1,186400,189100,176000,200700,166800,142700
2006-05,106.4,106.8,107.1,106.7,101.8,101.6,186900,189400,178100,199700,167900,143300
2006-06,106.8,107.1,106.4,107.7,102.5,102.0,187500,190000,177000,201700,169100,143900
2006-07,106.9,107.3,107.0,107.3,103.3,102.5,187700,190300,177900,200900,170400,144600
2006-08,107.6,108.0,107.8,108.0,104.4,103.0,189000,191600,179300,202100,172100,145300
2006-09,107.1,107.4,106.9,107.2,105.2,103.4,188000,190500,177700,200600,173500,145900
2006-10,107.5,107.8,107.0,108.3,104.1,103.2,188700,191200,177900,202800,171600,145600
2006-11,107.3,107.7,106.9,108.1,102.7,103.0,188500,191100,177700,202300,169300,145300
2006-12,107.9,108.3,108.5,108.5,101.4,102.8,189400,192200,180400,203100,167200,145000
2007-01,108.8,109.4,108.8,109.6,102.3,102.0,191100,194000,180900,205100,168700,143900
2007-02,109.1,109.6,109.6,109.6,102.9,101.2,191500,194400,182200,205200,169600,142800
2007-03,109.7,110.2,109.9,110.6,103.9,100.4,192600,195500,182700,207100,171400,141700
2007-04,110.1,110.7,110.6,110.5,104.5,101.3,193300,196300,184000,206800,172400,142900
2007-05,110.8,111.3,111.2,111.3,105.7,102.2,194500,197500,185000,208300,174300,144200
2007-06,111.8,112.3,112.9,111.8,107.0,103.1,196300,199200,187700,209200,176400,145500
2007-07,111.9,112.4,111.5,112.9,106.9,103.8,196500,199400,185500,211400,176300,146400
2007-08,112.2,112.7,111.6,113.2,107.2,104.4,197000,199900,185600,212000,176800,147300
2007-09,112.6,113.2,112.3,113.5,107.0,105.0,197700,200900,186700,212500,176400,148200
2007-10,113.5,114.0,114.1,114.0,107.8,105.3,199300,202300,189700,213400,177700,148600
2007-11,113.5,114.0,114.2,114.2,108.3,105.6,199300,202200,189900,213700,178600,149000
2007-12,113.3,113.8,114.9,113.2,108.9,105.9,199000,201800,191100,212000,179600,149400
2008-01,113.0,113.4,111.8,114.1,109.7,107.7,198500,201200,185900,213600,180900,152000
2008-02,114.3,114.7,114.0,115.2,110.3,109.6,200700,203400,189600,215600,181900,154600
2008-03,114.6,114.9,115.0,114.5,111.5,111.1,201200,203800,191200,214400,183900,156700
2008-04,114.1,114.3,113.7,114.4,110.9,110.3,200300,202800,189100,214200,182800,155600
2008-05,114.4,114.9,113.0,116.2,110.2,109.9,200900,203800,187900,217500,181800,155100
2008-06,113.9,114.3,113.5,114.5,110.1,109.7,200000,202800,188700,214400,181500,154800
2008-07,114.4,114.8,114.2,115.0,110.1,109.1,200800,203700,189900,215200,181500,154000
2008-08,114.6,115.1,114.7,115.1,110.2,109.0,201200,204100,190800,215500,181700,153800
2008-09,115.1,115.7,114.9,116.1,109.0,108.2,202100,205300,191000,217400,179800,152600
2008-10,113.8,114.2,112.9,115.2,110.4,108.3,199800,202600,187700,215600,182100,152800
2008-11,114.1,114.5,113.9,115.4,112.1,108.3,200400,203100,189400,216100,184900,152800
2008-12,113.8,114.1,112.7,115.8,113.2,108.4,199900,202400,187500,216800,186600,153000
2009-01,113.1,113.4,113.2,113.0,112.5,108.1,198600,201100,188200,211600,185500,152500
2009-02,112.5,112.7,112.9,112.6,112.5,107.7,197600,200000,187800,210800,185500,151900
2009-03,111.6,111.9,111.4,111.6,112.1,106.9,196000,198500,185300,209000,184800,150900
2009-04,112.0,112.3,111.5,112.7,111.3,107.4,196600,199200,185400,210900,183500,151600
2009-05,111.2,111.4,111.2,111.4,110.8,108.9,195300,197700,185000,208600,182700,153600
2009-06,112.5,112.7,112.5,112.6,112.6,110.8,197500,199900,187100,210700,185600,156300
2009-07,113.3,113.7,113.7,113.5,112.4,109.0,199000,201700,189100,212400,185400,153800
2009-08,114.1,114.4,113.5,114.7,114.3,108.6,200300,202900,188800,214800,188400,153300
2009-09,115.1,115.6,115.3,115.8,113.6,107.6,202200,205100,191800,216800,187400,151800
2009-10,116.2,116.8,116.2,117.4,112.4,107.4,204100,207200,193200,219700,185400,151500
2009-11,117.3,118.0,116.1,120.4,112.1,107.2,205900,209300,193000,225300,184900,151200
2009-12,114.9,115.6,114.1,117.5,110.9,106.7,201800,205000,189800,219900,182800,150500
2010-01,118.0,118.7,117.5,119.4,114.7,106.2,207200,210600,195400,223500,189200,149900
2010-02,117.1,117.5,116.3,118.5,118.6,107.2,205600,208400,193400,221800,195500,151300
2010-03,118.5,119.2,116.8,120.7,116.4,106.0,208100,211500,194200,225900,192000,149500
2010-04,119.1,119.8,118.5,120.9,116.6,107.0,209100,212600,197000,226400,192200,151000
2010-05,119.4,120.1,118.7,121.4,117.3,109.6,209600,213000,197400,227300,193500,154600
2010-06,118.6,119.2,117.3,120.7,117.8,107.2,208200,211500,195100,226000,194200,151300
2010-07,117.7,118.2,116.4,119.6,118.3,108.6,206700,209700,193500,223900,195100,153300
2010-08,117.7,118.3,117.4,119.2,117.3,102.4,206600,209900,195200,223100,193500,144500
2010-09,117.8,118.4,118.2,118.6,117.3,105.0,206900,210100,196600,222100,193400,148100
2010-10,117.8,118.3,118.1,118.4,119.2,103.6,206900,209900,196400,221600,196500,146200
2010-11,117.3,117.6,117.6,117.9,123.3,102.3,206000,208600,195600,220700,203400,144400
2010-12,118.6,119.0,118.2,120.6,124.0,104.5,208300,211100,196500,225800,204500,147400
2011-01,118.8,119.4,118.0,120.5,119.5,103.7,208700,211900,196300,225600,197100,146300
2011-02,120.6,121.3,120.0,122.6,121.4,105.9,211800,215200,199600,229500,200200,149400
2011-03,119.8,120.3,121.0,119.5,120.3,107.9,210300,213500,201200,223700,198400,152300
2011-04,120.2,120.6,120.0,121.2,124.6,109.6,211000,213900,199500,226800,205500,154700
2011-05,120.7,121.2,121.0,121.6,125.9,107.4,212000,215000,201300,227600,207600,151500
2011-06,121.5,122.2,121.6,122.9,124.4,104.5,213400,216800,202200,230100,205100,147400
2011-07,122.2,122.9,121.4,124.4,124.3,104.7,214600,218000,201900,232800,204900,147700
2011-08,122.0,122.5,121.9,123.2,122.3,108.4,214200,217300,202800,230600,201700,153000
2011-09,121.9,122.4,121.2,123.3,124.7,107.3,214100,217200,201600,230800,205600,151400
2011-10,122.2,122.9,122.3,123.2,123.2,102.1,214500,218100,203400,230700,203200,144000
2011-11,123.0,123.7,123.2,124.4,125.9,103.2,216000,219400,204800,232900,207600,145600
2011-12,122.7,123.4,123.6,124.0,126.2,100.3,215500,219000,205500,232200,208100,141500
2012-01,123.6,124.2,123.6,124.8,128.7,103.3,217000,220400,205500,233700,212300,145700
2012-02,123.7,124.5,123.7,125.5,127.6,103.0,217300,220900,205700,234900,210400,145300
2012-03,124.2,125.1,124.8,125.2,126.2,104.2,218100,221900,207600,234300,208100,147000
2012-04,124.5,125.4,126.2,124.9,125.7,105.5,218600,222500,209800,233900,207200,148900
2012-05,124.8,125.7,126.0,125.9,125.2,107.3,219100,223000,209600,235600,206500,151400
2012-06,124.5,125.4,125.9,125.2,125.3,105.9,218700,222500,209400,234400,206700,149400
2012-07,124.9,125.9,126.1,125.9,124.5,105.7,219400,223300,209700,235700,205300,149200
2012-08,125.7,126.8,127.4,126.7,124.9,104.8,220800,225000,211900,237100,205900,147900
2012-09,125.8,126.9,125.8,127.3,126.6,102.4,220900,225100,209200,238300,208800,144500
2012-10,126.0,126.9,126.4,126.9,129.8,104.2,221200,225100,210200,237600,214100,147000
2012-11,126.0,127.2,127.2,127.2,124.7,104.3,221300,225600,211500,238200,205700,147200
2012-12,127.2,128.3,129.2,128.3,126.8,106.6,223400,227600,214900,240100,209100,150400
2013-01,126.5,127.5,127.7,127.6,127.0,108.7,222100,226200,212400,238800,209400,153400
2013-02,126.1,127.3,127.0,127.8,124.0,109.5,221500,225900,211200,239200,204400,154500
2013-03,127.9,129.1,127.8,129.8,126.1,112.3,224600,229000,212500,242900,208000,158500
2013-04,128.1,129.1,128.5,129.6,127.8,112.9,224900,229100,213700,242600,210800,159300
2013-05,128.2,129.3,129.2,129.1,129.2,110.6,225100,229300,214800,241600,213100,156000
2013-06,128.6,129.8,129.6,129.9,128.0,108.9,225900,230300,215600,243100,211100,153700
2013-07,128.6,129.9,130.9,129.2,126.9,109.0,225900,230400,217700,241800,209200,153800
2013-08,129.2,130.6,130.2,130.9,125.2,109.6,226800,231600,216500,245000,206500,154700
2013-09,129.2,130.4,130.1,130.5,128.0,109.0,226800,231400,216300,244300,211000,153800
2013-10,131.0,132.5,133.0,132.1,127.5,113.2,230100,235000,221100,247300,210300,159700
2013-11,130.5,131.7,132.4,131.4,127.7,115.1,229200,233700,220100,246000,210500,162400
2013-12,130.9,132.2,133.1,132.0,127.1,113.4,229900,234600,221400,247100,209600,160000
2014-01,133.0,134.2,135.5,133.7,131.8,116.5,233600,238100,225400,250300,217300,164400
2014-02,133.3,134.7,136.4,133.7,128.5,118.6,234100,239000,226800,250200,211900,167300
2014-03,133.1,134.3,136.0,132.2,129.7,119.8,233700,238300,226200,247500,213900,169100
2014-04,133.6,134.8,135.0,134.1,130.4,120.1,234600,239100,224500,251100,215100,169400
2014-05,134.2,135.7,134.5,136.3,127.7,116.1,235600,240800,223600,255100,210500,163800
2014-06,134.5,136.0,133.8,137.3,127.8,117.6,236200,241200,222500,257100,210700,165900
2014-07,135.5,137.0,135.4,138.2,130.6,116.1,237900,243000,225200,258800,215400,163800
