Date,Composite_HPI_SA,Single_Family_HPI_SA,One_Storey_HPI_SA,Two_Storey_HPI_SA,Townhouse_HPI_SA,Composite_Benchmark_SA,Single_Family_Benchmark_SA,One_Storey_Benchmark_SA,Two_Storey_Benchmark_SA,Townhouse_Benchmark_SA
2005-01-01 00:00:00,100.0,100.0,100.0,100.0,100.0,209400,210300,211000,209300,189400
2005-02-01 00:00:00,99.7,99.7,99.3,99.7,101.6,208800,209600,209500,208600,192400
2005-03-01 00:00:00,99.3,99.1,98.8,99.4,103.2,208000,208500,208500,208000,195400
2005-04-01 00:00:00,98.6,98.2,98.3,98.1,104.8,206400,206600,207500,205400,198400
2005-05-01 00:00:00,97.7,97.3,98.0,96.8,106.4,204600,204600,206700,202700,201600
2005-06-01 00:00:00,96.8,96.3,97.6,95.2,108.1,202600,202500,206000,199200,204700
2005-07-01 00:00:00,98.5,98.0,98.7,97.3,109.8,206200,206000,208200,203700,207900
2005-08-01 00:00:00,100.0,99.6,99.8,99.3,111.5,209500,209400,210600,207800,211200
2005-09-01 00:00:00,101.6,101.1,101.2,101.1,113.3,212700,212600,213500,211700,214500
2005-10-01 00:00:00,101.8,101.3,100.0,102.8,115.0,213200,213000,211100,215100,217800
2005-11-01 00:00:00,102.0,101.4,99.1,104.2,116.8,213500,213300,209100,218100,221200
2005-12-01 00:00:00,102.2,101.7,98.2,106.2,118.6,214100,213900,207100,222300,224700
2006-01-01 00:00:00,102.8,102.4,100.7,104.3,114.7,215300,215400,212400,218300,217300
2006-02-01 00:00:00,103.4,103.1,103.0,103.1,111.0,216600,216900,217300,215700,210200
2006-03-01 00:00:00,104.0,103.8,105.5,101.8,107.3,217700,218300,222500,213000,203300
2006-04-01 00:00:00,103.5,103.4,104.7,102.0,103.8,216800,217500,220900,213400,196600
2006-05-01 00:00:00,103.0,103.0,104.0,102.1,100.4,215600,216600,219400,213600,190200
2006-06-01 00:00:00,102.4,102.4,103.4,101.8,97.1,214400,215400,218100,213000,183900
2006-07-01 00:00:00,102.8,102.9,104.2,101.6,97.8,215300,216300,219800,212600,185200
2006-08-01 00:00:00,103.2,103.2,105.1,101.1,98.4,216000,217100,221700,211700,186400
2006-09-01 00:00:00,103.4,103.5,106.2,100.6,99.1,216600,217700,224000,210600,187700
2006-10-01 00:00:00,102.8,102.9,104.8,100.6,99.7,215200,216300,221100,210500,188900
2006-11-01 00:00:00,102.0,102.1,103.6,100.4,100.4,213600,214700,218500,210200,190200
2006-12-01 00:00:00,101.4,101.5,102.4,100.6,101.1,212300,213400,216000,210600,191500
2007-01-01 00:00:00,102.4,102.4,102.8,101.7,101.5,214400,215400,217000,212900,192200
2007-02-01 00:00:00,103.4,103.5,103.5,103.4,101.8,216600,217600,218300,216500,192900
2007-03-01 00:00:00,104.3,104.4,104.0,104.8,102.3,218500,219600,219400,219400,193700
2007-04-01 00:00:00,105.5,105.6,104.7,106.5,102.6,220900,222000,220900,223000,194400
2007-05-01 00:00:00,106.4,106.4,105.2,107.9,103.0,222800,223700,222000,225800,195100
2007-06-01 00:00:00,107.3,107.3,106.2,108.8,103.4,224600,225600,224000,227700,195800
