Date,Composite_HPI_SA,Single_Family_HPI_SA,One_Storey_HPI_SA,Two_Storey_HPI_SA,Composite_Benchmark_SA,Single_Family_Benchmark_SA,One_Storey_Benchmark_SA,Two_Storey_Benchmark_SA
2005-01-01 00:00:00,100.0,100.0,100.0,100.0,136100,136100,132700,141900
2005-02-01 00:00:00,100.3,100.3,99.9,100.7,136500,136500,132600,142900
2005-03-01 00:00:00,100.9,100.9,99.9,102.3,137300,137300,132600,145100
2005-04-01 00:00:00,102.5,102.5,101.2,103.9,139500,139500,134300,147500
2005-05-01 00:00:00,104.4,104.4,102.6,106.4,142100,142100,136100,151000
2005-06-01 00:00:00,106.0,106.0,103.8,108.2,144200,144200,137800,153500
2005-07-01 00:00:00,106.3,106.3,104.5,108.6,144700,144700,138700,154100
2005-08-01 00:00:00,106.6,106.6,105.0,108.5,145100,145100,139300,153900
2005-09-01 00:00:00,106.8,106.8,105.6,108.0,145300,145300,140100,153200
2005-10-01 00:00:00,106.9,106.9,105.4,108.8,145500,145500,139900,154400
2005-11-01 00:00:00,107.1,107.1,105.2,109.7,145800,145800,139600,155700
2005-12-01 00:00:00,107.4,107.4,104.9,109.9,146200,146200,139200,155900
2006-01-01 00:00:00,109.4,109.4,107.6,111.8,148900,148900,142800,158700
2006-02-01 00:00:00,111.5,111.5,110.6,112.8,151800,151800,146700,160100
2006-03-01 00:00:00,114.0,114.0,113.4,114.7,155100,155100,150500,162700
2006-04-01 00:00:00,114.8,114.8,114.3,114.9,156300,156300,151700,163100
2006-05-01 00:00:00,115.8,115.8,115.4,115.9,157600,157600,153100,164500
2006-06-01 00:00:00,116.6,116.6,116.1,116.3,158700,158700,154100,165100
2006-07-01 00:00:00,116.4,116.4,115.7,116.9,158400,158400,153600,165900
2006-08-01 00:00:00,116.1,116.1,115.2,116.9,158000,158000,152900,165900
2006-09-01 00:00:00,115.8,115.8,114.7,116.7,157600,157600,152200,165600
2006-10-01 00:00:00,116.2,116.2,116.3,115.9,158200,158200,154300,164500
2006-11-01 00:00:00,116.9,116.9,117.9,115.2,159100,159100,156400,163500
2006-12-01 00:00:00,117.6,117.6,119.3,113.7,160000,160000,158300,161400
2007-01-01 00:00:00,119.8,119.8,120.9,118.1,163000,163000,160400,167600
2007-02-01 00:00:00,122.1,122.1,122.5,121.4,166200,166200,162500,172300
2007-03-01 00:00:00,124.8,124.8,123.9,125.9,169800,169800,164400,178600
2007-04-01 00:00:00,124.6,124.6,124.0,125.1,169600,169600,164500,177500
2007-05-01 00:00:00,124.8,124.8,124.4,124.9,169900,169900,165100,177200
2007-06-01 00:00:00,124.7,124.7,124.5,124.2,169700,169700,165200,176300
2007-07-01 00:00:00,126.7,126.7,126.2,126.8,172400,172400,167500,179900
2007-08-01 00:00:00,128.3,128.3,128.0,128.5,174600,174600,169800,182400
2007-09-01 00:00:00,130.3,130.3,129.6,130.3,177300,177300,172000,184900
2007-10-01 00:00:00,132.1,132.1,132.2,131.8,179800,179800,175400,187000
2007-11-01 00:00:00,134.2,134.2,134.7,133.3,182700,182700,178700,189100
2007-12-01 00:00:00,136.1,136.1,136.9,133.9,185300,185300,181700,190000
2008-01-01 00:00:00,135.9,135.9,136.7,134.3,184900,184900,181400,190600
2008-02-01 00:00:00,135.0,135.0,135.6,133.9,183800,183800,179900,190000
2008-03-01 00:00:00,134.8,134.8,134.7,134.2,183400,183400,178700,190500
2008-04-01 00:00:00,134.5,134.5,135.0,133.4,183100,183100,179200,189300
2008-05-01 00:00:00,134.5,134.5,135.0,132.9,183000,183000,179200,188600
2008-06-01 00:00:00,134.1,134.1,135.5,131.4,182500,182500,179800,186500
2008-07-01 00:00:00,136.7,136.7,136.8,135.9,186000,186000,181500,192900
2008-08-01 00:00:00,138.4,138.4,138.7,137.4,188300,188300,184000,194900
2008-09-01 00:00:00,141.6,141.6,140.6,142.0,192700,192700,186600,201500
2008-10-01 00:00:00,140.1,140.1,138.0,142.6,190700,190700,183100,202400
2008-11-01 00:00:00,139.6,139.6,136.7,143.1,190000,190000,181400,203100
2008-12-01 00:00:00,137.8,137.8,133.5,142.6,187500,187500,177100,202400
2009-01-01 00:00:00,138.0,138.0,133.5,143.8,187800,187800,177200,204000
2009-02-01 00:00:00,137.2,137.2,133.3,142.4,186700,186700,176900,202100
2009-03-01 00:00:00,136.9,136.9,132.6,142.1,186300,186300,176000,201700
2009-04-01 00:00:00,137.8,137.8,134.6,142.1,187500,187500,178600,201600
2009-05-01 00:00:00,138.7,138.7,136.2,141.6,188800,188800,180800,201000
2009-06-01 00:00:00,139.6,139.6,138.5,140.8,190000,190000,183800,199800
2009-07-01 00:00:00,140.3,140.3,137.8,143.4,190900,190900,182900,203500
2009-08-01 00:00:00,140.2,140.2,137.6,143.5,190800,190800,182600,203600
2009-09-01 00:00:00,140.8,140.8,137.0,145.5,191600,191600,181800,206400
2009-10-01 00:00:00,143.4,143.4,140.2,147.7,195200,195200,186100,209600
2009-11-01 00:00:00,147.1,147.1,144.7,150.0,200200,200200,192000,212800
2009-12-01 00:00:00,149.4,149.4,147.6,151.4,203400,203400,195800,214900
2010-01-01 00:00:00,149.2,149.2,147.8,150.5,203000,203000,196100,213600
2010-02-01 00:00:00,149.5,149.5,148.2,151.3,203500,203500,196600,214700
2010-03-01 00:00:00,148.8,148.8,151.5,143.8,202500,202500,201100,204000
2010-04-01 00:00:00,148.9,148.9,149.5,147.6,202600,202600,198400,209400
2010-05-01 00:00:00,147.1,147.1,143.9,150.4,200200,200200,191000,213400
2010-06-01 00:00:00,150.0,150.0,146.5,154.2,204200,204200,194400,218800
2010-07-01 00:00:00,150.0,150.0,148.4,151.8,204200,204200,196900,215400
2010-08-01 00:00:00,150.9,150.9,149.0,153.1,205400,205400,197700,217200
2010-09-01 00:00:00,149.8,149.8,149.1,150.1,203900,203900,197800,213000
2010-10-01 00:00:00,147.8,147.8,148.8,146.2,201200,201200,197400,207400
2010-11-01 00:00:00,147.0,147.0,147.7,145.2,200000,200000,196000,206100
2010-12-01 00:00:00,148.5,148.5,148.9,147.1,202100,202100,197600,208800
2011-01-01 00:00:00,153.0,153.0,150.1,156.1,208200,208200,199200,221500
2011-02-01 00:00:00,157.5,157.5,156.7,158.5,214400,214400,207900,224900
2011-03-01 00:00:00,155.3,155.3,152.0,158.6,211400,211400,201700,225100
2011-04-01 00:00:00,156.9,156.9,153.1,161.4,213500,213500,203200,229000
2011-05-01 00:00:00,159.4,159.4,156.1,162.3,217000,217000,207200,230300
2011-06-01 00:00:00,159.4,159.4,157.1,161.2,217000,217000,208500,228800
2011-07-01 00:00:00,157.1,157.1,156.5,157.1,213800,213800,207700,222900
2011-08-01 00:00:00,159.1,159.1,158.5,159.0,216500,216500,210300,225600
2011-09-01 00:00:00,155.6,155.6,156.2,154.1,211800,211800,207300,218700
2011-10-01 00:00:00,157.8,157.8,159.2,155.3,214800,214800,211300,220300
2011-11-01 00:00:00,156.1,156.1,155.2,156.5,212500,212500,206000,222100
2011-12-01 00:00:00,156.9,156.9,157.7,154.8,213500,213500,209300,219700
2012-01-01 00:00:00,153.3,153.3,157.6,146.6,208700,208700,209100,208000
2012-02-01 00:00:00,147.1,147.1,148.2,145.2,200200,200200,196600,206100
2012-03-01 00:00:00,154.4,154.4,158.0,148.3,210200,210200,209600,210400
2012-04-01 00:00:00,155.8,155.8,157.4,153.0,212100,212100,208900,217100
2012-05-01 00:00:00,157.5,157.5,159.9,152.8,214300,214300,212200,216800
2012-06-01 00:00:00,154.9,154.9,155.8,152.3,210800,210800,206800,216100
2012-07-01 00:00:00,156.4,156.4,157.6,154.1,212900,212900,209200,218600
2012-08-01 00:00:00,153.2,153.2,153.7,152.4,208500,208500,203900,216200
2012-09-01 00:00:00,156.1,156.1,158.6,152.4,212400,212400,210500,216200
2012-10-01 00:00:00,154.7,154.7,154.0,154.9,210500,210500,204400,219800
2012-11-01 00:00:00,155.5,155.5,156.8,152.6,211600,211600,208100,216500
2012-12-01 00:00:00,154.1,154.1,154.0,153.3,209700,209700,204400,217500
2013-01-01 00:00:00,155.6,155.6,155.6,155.0,211800,211800,206500,220000
2013-02-01 00:00:00,158.0,158.0,158.4,157.3,215100,215100,210200,223200
2013-03-01 00:00:00,159.0,159.0,157.5,160.3,216400,216400,209000,227500
2013-04-01 00:00:00,159.1,159.1,159.7,157.7,216600,216600,211900,223800
2013-05-01 00:00:00,156.5,156.5,156.1,156.2,213000,213000,207100,221600
2013-06-01 00:00:00,155.9,155.9,156.3,154.0,212200,212200,207400,218500
2013-07-01 00:00:00,155.2,155.2,155.5,154.3,211200,211200,206400,219000
2013-08-01 00:00:00,154.8,154.8,155.1,154.2,210700,210700,205800,218800
2013-09-01 00:00:00,155.3,155.3,153.1,158.4,211300,211300,203200,224800
2013-10-01 00:00:00,155.6,155.6,153.4,158.3,211800,211800,203600,224600
2013-11-01 00:00:00,156.6,156.6,154.2,159.3,213200,213200,204600,226000
2013-12-01 00:00:00,158.1,158.1,157.7,157.9,215200,215200,209300,224100
2014-01-01 00:00:00,152.9,152.9,154.7,149.7,208100,208100,205300,212400
2014-02-01 00:00:00,148.6,148.6,151.8,143.3,202200,202200,201400,203300
2014-03-01 00:00:00,150.6,150.6,153.4,146.2,205000,205000,203500,207500
2014-04-01 00:00:00,148.5,148.5,149.8,146.4,202100,202100,198800,207800
2014-05-01 00:00:00,150.3,150.3,152.8,146.4,204600,204600,202700,207700
2014-06-01 00:00:00,155.5,155.5,156.3,153.1,211600,211600,207400,217200
2014-07-01 00:00:00,151.9,151.9,153.1,150.0,206700,206700,203100,212900
2014-08-01 00:00:00,151.5,151.5,153.8,148.3,206200,206200,204100,210500
2014-09-01 00:00:00,153.3,153.3,157.2,147.7,208600,208600,208600,209600
2014-10-01 00:00:00,151.4,151.4,154.6,146.5,206100,206100,205100,207900
2014-11-01 00:00:00,149.6,149.6,150.5,147.3,203600,203600,199700,209000
2014-12-01 00:00:00,149.6,149.6,148.2,151.0,203600,203600,196700,214300
2015-01-01 00:00:00,150.8,150.8,150.0,151.8,205300,205300,199100,215400
2015-02-01 00:00:00,148.1,148.1,148.0,147.9,201500,201500,196400,209900
2015-03-01 00:00:00,148.9,148.9,147.6,150.8,202700,202700,195900,214000
2015-04-01 00:00:00,151.7,151.7,154.3,148.5,206400,206400,204700,210700
2015-05-01 00:00:00,151.6,151.6,151.5,151.4,206300,206300,201000,214900
2015-06-01 00:00:00,150.7,150.7,151.9,148.0,205100,205100,201600,210000
2015-07-01 00:00:00,149.7,149.7,149.4,150.5,203800,203800,198200,213600
2015-08-01 00:00:00,149.2,149.2,148.4,150.5,203100,203100,196900,213600
2015-09-01 00:00:00,147.0,147.0,145.1,150.4,200000,200000,192600,213400
2015-10-01 00:00:00,149.4,149.4,147.3,152.3,203300,203300,195500,216100
2015-11-01 00:00:00,151.4,151.4,149.7,153.3,206000,206000,198700,217600
2015-12-01 00:00:00,148.4,148.4,148.3,147.9,202000,202000,196800,209900
2016-01-01 00:00:00,148.5,148.5,146.9,150.8,202100,202100,195000,214000
2016-02-01 00:00:00,152.0,152.0,148.8,156.9,206900,206900,197400,222700
2016-03-01 00:00:00,153.0,153.0,150.5,157.0,208300,208300,199700,222800
2016-04-01 00:00:00,150.8,150.8,150.3,153.3,205300,205300,199500,217600
2016-05-01 00:00:00,149.7,149.7,150.2,149.0,203700,203700,199300,211500
2016-06-01 00:00:00,149.8,149.8,149.4,150.2,203900,203900,198300,213100
2016-07-01 00:00:00,151.6,151.6,151.5,151.7,206300,206300,201000,215300
2016-08-01 00:00:00,152.5,152.5,153.0,151.8,207500,207500,203000,215400
2016-09-01 00:00:00,152.2,152.2,152.4,152.1,207100,207100,202200,215900
2016-10-01 00:00:00,155.1,155.1,155.8,153.5,211100,211100,206700,217800
2016-11-01 00:00:00,157.0,157.0,156.4,157.4,213700,213700,207500,223300
2016-12-01 00:00:00,159.5,159.5,159.1,159.2,217100,217100,211100,225900
2017-01-01 00:00:00,161.2,161.2,161.2,160.7,219400,219400,213900,228100
2017-02-01 00:00:00,159.5,159.5,161.2,156.4,217100,217100,213900,222000
2017-03-01 00:00:00,156.9,156.9,158.4,154.1,213600,213600,210200,218700
2017-04-01 00:00:00,155.0,155.0,154.6,158.2,211000,211000,205100,224500
2017-05-01 00:00:00,159.6,159.6,157.8,162.9,217200,217200,209400,231200
2017-06-01 00:00:00,160.5,160.5,158.2,164.1,218400,218400,209900,232800
2017-07-01 00:00:00,161.0,161.0,161.3,160.8,219100,219100,214000,228200
2017-08-01 00:00:00,161.7,161.7,160.7,163.1,220100,220100,213300,231500
2017-09-01 00:00:00,161.4,161.4,162.2,160.3,219700,219700,215200,227400
2017-10-01 00:00:00,159.5,159.5,157.9,161.2,217100,217100,209500,228800
2017-11-01 00:00:00,157.7,157.7,157.8,156.9,214600,214600,209400,222700
2017-12-01 00:00:00,157.0,157.0,155.8,158.0,213700,213700,206700,224200
2018-01-01 00:00:00,157.4,157.4,155.8,159.0,214200,214200,206700,225600
2018-02-01 00:00:00,155.4,155.4,152.5,160.4,211500,211500,202400,227600
2018-03-01 00:00:00,156.3,156.3,156.4,156.1,212700,212700,207600,221500
2018-04-01 00:00:00,152.5,152.5,154.6,151.9,207600,207600,205200,215600
2018-05-01 00:00:00,157.3,157.3,158.0,156.9,214100,214100,209600,222600
2018-06-01 00:00:00,156.6,156.6,157.2,155.9,213100,213100,208600,221200
2018-07-01 00:00:00,157.5,157.5,158.5,155.7,214300,214300,210300,221000
2018-08-01 00:00:00,158.6,158.6,159.8,156.2,215800,215800,212100,221700
2018-09-01 00:00:00,160.8,160.8,161.6,158.7,218800,218800,214400,225200
2018-10-01 00:00:00,162.2,162.2,163.1,159.3,220800,220800,216500,226100
2018-11-01 00:00:00,158.7,158.7,161.4,153.4,216000,216000,214200,217700
2018-12-01 00:00:00,159.1,159.1,161.3,154.3,216600,216600,214000,218900
2019-01-01 00:00:00,160.0,160.0,158.1,161.2,217800,217800,209800,228700
2019-02-01 00:00:00,163.1,163.1,165.0,160.9,222000,222000,218900,228300
2019-03-01 00:00:00,160.9,160.9,161.6,160.0,219000,219000,214500,227000
2019-04-01 00:00:00,160.8,160.8,160.6,163.1,218900,218900,213100,231500
2019-05-01 00:00:00,160.8,160.8,161.0,160.4,218800,218800,213600,227600
2019-06-01 00:00:00,162.4,162.4,164.8,158.9,221000,221000,218700,225500
2019-07-01 00:00:00,163.5,163.5,164.4,162.0,222500,222500,218200,229900
2019-08-01 00:00:00,166.3,166.3,167.6,163.7,226300,226300,222400,232300
2019-09-01 00:00:00,167.5,167.5,166.2,167.8,227900,227900,220500,238100
2019-10-01 00:00:00,166.1,166.1,165.2,165.8,226100,226100,219200,235200
2019-11-01 00:00:00,167.2,167.2,167.4,165.6,227600,227600,222200,235000
2019-12-01 00:00:00,165.0,165.0,166.1,161.3,224500,224500,220400,228900
2020-01-01 00:00:00,163.8,163.8,168.1,155.3,222900,222900,223100,220400
2020-02-01 00:00:00,160.0,160.0,164.3,154.8,217800,217800,218000,219600
2020-03-01 00:00:00,158.0,158.0,160.1,154.8,215000,215000,212500,219600
2020-04-01 00:00:00,159.2,159.2,161.3,157.0,216700,216700,214000,222800
2020-05-01 00:00:00,161.4,161.4,162.9,158.6,219700,219700,216200,225000
2020-06-01 00:00:00,169.8,169.8,172.0,166.0,231100,231100,228300,235600
2020-07-01 00:00:00,179.3,179.3,182.5,174.7,244000,244000,242200,247900
2020-08-01 00:00:00,186.8,186.8,187.8,184.7,254300,254300,249200,262100
2020-09-01 00:00:00,192.9,192.9,196.2,186.3,262600,262600,260300,264400
2020-10-01 00:00:00,197.1,197.1,203.6,186.5,268200,268200,270200,264700
2020-11-01 00:00:00,201.1,201.1,206.3,192.0,273700,273700,273800,272400
2020-12-01 00:00:00,207.9,207.9,212.0,199.4,283000,283000,281300,282900
2021-01-01 00:00:00,210.9,210.9,213.3,203.9,287000,287000,283100,289300
2021-02-01 00:00:00,220.3,220.3,232.0,205.6,299800,299800,307800,291800
2021-03-01 00:00:00,228.2,228.2,239.2,213.7,310600,310600,317400,303200
2021-04-01 00:00:00,235.9,235.9,246.6,221.2,321000,321000,327200,313900
2021-05-01 00:00:00,242.4,242.4,251.8,228.5,329900,329900,334200,324300
2021-06-01 00:00:00,245.8,245.8,253.2,234.6,334500,334500,336000,332900
2021-07-01 00:00:00,247.8,247.8,251.5,242.6,337200,337200,333700,344300
2021-08-01 00:00:00,247.0,247.0,255.3,235.0,336100,336100,338800,333400
2021-09-01 00:00:00,250.8,250.8,261.4,234.0,341300,341300,346900,332100
2021-10-01 00:00:00,263.0,263.0,270.6,251.1,357900,357900,359100,356300
2021-11-01 00:00:00,277.1,277.1,282.2,267.2,377200,377200,374500,379100
