Date,Composite_HPI_SA,Single_Family_HPI_SA,One_Storey_HPI_SA,Two_Storey_HPI_SA,Townhouse_HPI_SA,Apartment_HPI_SA,Composite_Benchmark_SA,Single_Family_Benchmark_SA,One_Storey_Benchmark_SA,Two_Storey_Benchmark_SA,Townhouse_Benchmark_SA,Apartment_Benchmark_SA
2005-01,100.0,100.0,100.0,100.0,100.0,100.0,143500,140400,122200,156600,178600,169800
2005-02,100.8,100.9,101.5,100.6,99.7,99.9,144600,141600,124000,157600,178000,169700
2005-03,99.8,99.9,99.8,99.9,99.4,99.9,143200,140200,121900,156400,177600,169600
2005-04,101.4,101.7,103.4,100.8,99.5,99.8,145500,142800,126300,157800,177700,169500
2005-05,101.0,101.2,102.0,100.8,99.7,99.8,144900,142100,124600,157800,178100,169400
2005-06,100.5,100.8,102.5,99.2,99.5,99.7,144200,141500,125300,155400,177700,169300
2005-07,101.3,101.6,102.5,101.0,99.4,99.2,145300,142600,125300,158100,177600,168500
2005-08,102.7,103.3,103.3,102.9,98.9,98.8,147400,145000,126200,161200,176700,167800
2005-09,101.9,102.4,103.0,102.3,98.4,98.4,146200,143700,125900,160200,175700,167000
2005-10,103.6,104.3,104.6,104.0,99.4,98.6,148700,146400,127800,162900,177500,167500
2005-11,103.0,103.3,104.7,102.6,100.4,98.9,147800,145100,127900,160700,179300,168000
2005-12,103.9,104.4,104.2,105.2,101.4,99.2,149100,146600,127300,164700,181100,168500
2006-01,105.0,105.7,106.4,105.3,102.0,99.4,150700,148400,130000,164900,182200,168800
2006-02,105.4,106.1,107.4,105.2,103.0,99.6,151200,148900,131200,164800,183900,169100
2006-03,105.8,106.4,108.2,105.2,104.0,99.8,151800,149400,132200,164700,185800,169400
2006-04,106.0,106.7,108.1,105.9,102.9,100.1,152100,149800,132100,165900,183800,169900
2006-05,106.7,107.5,109.7,106.2,101.9,100.3,153100,151000,134100,166300,182000,170300
2006-06,107.3,108.4,110.1,106.9,100.5,100.6,154000,152200,134600,167400,179500,170800
2006-07,106.6,107.3,109.0,106.0,102.2,101.9,152900,150600,133200,166000,182500,173100
2006-08,106.3,106.6,107.9,105.6,103.5,103.4,152500,149700,131800,165300,184900,175500
2006-09,107.2,107.5,110.6,105.6,104.8,104.8,153800,150900,135200,165400,187200,178000
2006-10,107.9,108.3,110.1,106.8,105.5,104.1,154800,152000,134600,167300,188400,176800
2006-11,109.8,110.4,111.8,109.6,106.1,103.4,157500,155000,136600,171700,189500,175600
2006-12,109.3,109.9,113.6,107.9,106.9,102.7,156800,154300,138800,168900,190900,174400
2007-01,110.1,111.0,113.8,109.0,106.6,102.8,158000,155800,139100,170700,190400,174500
2007-02,110.0,110.9,113.9,108.8,106.3,102.8,157800,155700,139200,170400,189800,174500
2007-03,111.4,112.4,114.8,110.7,106.3,102.8,159800,157800,140300,173300,189900,174600
2007-04,110.8,111.6,114.6,109.7,107.5,103.7,159000,156700,140000,171800,192000,176100
2007-05,112.1,113.0,115.4,111.3,108.8,104.5,160800,158600,141000,174300,194400,177500
2007-06,112.7,113.6,116.3,111.6,109.7,105.5,161700,159500,142100,174700,196000,179100
2007-07,114.7,115.8,118.7,113.9,110.6,104.6,164600,162600,145100,178400,197600,177600
2007-08,114.3,115.3,118.8,112.5,111.2,103.7,164000,161900,145200,176200,198600,176100
2007-09,116.1,117.4,118.7,116.9,111.8,102.9,166600,164800,145000,183000,199600,174700
2007-10,115.9,117.1,119.0,115.6,111.6,104.0,166300,164400,145400,181100,199300,176600
2007-11,116.1,117.2,119.8,115.5,111.2,105.2,166600,164500,146400,180900,198600,178600
2007-12,114.2,115.1,115.5,115.3,111.1,106.4,163900,161600,141200,180500,198500,180600
2008-01,118.1,119.3,121.4,117.9,112.0,107.5,169500,167500,148400,184600,200000,182500
2008-02,119.1,120.4,122.3,119.2,112.0,108.4,170900,169000,149400,186700,200100,184100
2008-03,119.7,120.9,123.8,118.8,113.0,109.1,171700,169700,151300,186100,201900,185200
2008-04,119.2,120.3,122.7,118.8,113.7,109.6,171100,168900,149900,186000,203000,186100
2008-05,119.2,120.2,123.1,118.2,114.7,110.1,171000,168800,150400,185100,204900,187000
2008-06,120.0,121.2,123.1,119.7,115.7,110.8,172200,170100,150400,187400,206600,188100
2008-07,119.6,120.4,123.6,118.3,115.7,111.0,171600,169100,151100,185200,206700,188500
2008-08,121.8,123.0,125.6,120.9,115.4,110.8,174800,172700,153500,189300,206100,188200
2008-09,120.8,121.7,124.5,120.2,115.5,111.2,173300,170900,152100,188300,206300,188800
2008-10,119.8,120.7,125.5,117.3,115.1,110.1,171900,169500,153300,183700,205600,187000
2008-11,120.3,121.5,125.4,119.1,114.3,109.2,172700,170600,153200,186500,204100,185500
2008-12,120.3,121.6,126.7,118.6,113.9,108.2,172700,170700,154800,185800,203400,183700
2009-01,119.7,120.7,125.4,117.6,114.8,109.5,171700,169500,153200,184200,205100,186000
2009-02,118.6,119.5,123.7,117.1,115.4,110.7,170200,167800,151200,183400,206100,188000
2009-03,119.9,120.7,124.5,118.2,116.9,112.1,172000,169400,152100,185100,208800,190300
2009-04,121.7,122.7,126.8,120.1,117.8,112.9,174700,172300,155000,188000,210400,191700
2009-05,122.0,123.1,127.0,120.3,117.7,113.6,175100,172800,155200,188400,210300,192900
2009-06,122.2,123.1,128.0,119.9,118.1,114.1,175400,172800,156400,187800,210900,193800
2009-07,123.3,124.4,127.5,122.5,118.6,112.9,177000,174700,155800,191900,211900,191700
2009-08,123.8,125.0,128.2,122.8,118.5,111.8,177700,175500,156600,192300,211600,189800
2009-09,124.4,125.9,130.0,123.3,118.1,110.6,178500,176700,158800,193100,211000,187800
2009-10,125.3,126.5,129.4,124.3,120.2,112.2,179800,177600,158100,194600,214600,190600
2009-11,125.2,126.2,129.8,124.0,121.5,113.8,179700,177200,158600,194200,217000,193300
2009-12,126.8,127.8,130.0,126.8,123.9,115.5,182000,179500,158900,198600,221300,196200
2010-01,127.2,128.1,130.3,126.8,120.5,119.1,182500,179800,159200,198500,215300,202300
2010-02,127.5,128.6,130.1,128.2,122.6,119.1,183000,180600,159000,200800,218900,202300
2010-03,127.3,128.4,130.2,127.3,121.1,117.1,182700,180300,159100,199300,216200,198900
2010-04,128.1,129.3,131.3,128.2,122.5,116.4,183800,181600,160500,200700,218800,197700
2010-05,128.3,129.7,131.4,128.6,124.1,114.0,184100,182100,160600,201400,221700,193600
2010-06,128.9,130.2,130.5,130.3,125.2,113.7,184900,182800,159500,204100,223600,193000
2010-07,128.5,129.7,130.6,129.5,126.5,113.9,184400,182100,159600,202800,226000,193400
2010-08,130.0,131.1,132.3,130.4,130.1,116.3,186500,184100,161700,204200,232300,197400
2010-09,131.2,132.3,134.8,131.0,131.8,116.1,188300,185800,164700,205200,235400,197100
2010-10,134.1,135.5,138.2,133.5,130.1,120.1,192500,190200,168900,209100,232300,203900
2010-11,133.2,134.5,134.6,134.9,127.4,119.8,191100,188800,164500,211200,227600,203500
2010-12,133.0,134.0,134.5,134.4,131.7,119.9,190800,188100,164300,210400,235300,203600
2011-01,133.1,134.3,133.8,135.2,137.7,117.2,191000,188500,163500,211700,245900,199000
2011-02,135.1,136.3,138.5,136.0,140.3,121.2,193800,191300,169200,213000,250500,205800
2011-03,134.7,135.9,136.3,136.3,138.4,119.0,193300,190800,166500,213400,247200,202000
2011-04,134.6,135.8,137.7,134.9,135.7,119.3,193100,190600,168300,211200,242400,202500
2011-05,134.0,135.4,134.6,136.2,132.8,119.5,192300,190100,164500,213300,237200,202900
2011-06,136.5,138.1,139.6,137.5,133.2,120.3,195900,193900,170600,215400,237900,204200
2011-07,136.8,138.3,140.6,137.4,134.6,120.4,196300,194200,171800,215100,240400,204500
