Date,Composite_HPI_SA,Single_Family_HPI_SA,One_Storey_HPI_SA,Two_Storey_HPI_SA,Townhouse_HPI_SA,Apartment_HPI_SA,Composite_Benchmark_SA,Single_Family_Benchmark_SA,One_Storey_Benchmark_SA,Two_Storey_Benchmark_SA,Townhouse_Benchmark_SA,Apartment_Benchmark_SA
2005-01,100.0,100.0,100.0,100.0,100.0,100.0,376900,406400,371900,410500,212800,187200
2005-02,101.2,101.2,100.7,101.3,100.4,102.4,381500,411400,374400,415900,213600,191700
2005-03,102.7,102.8,101.3,103.0,100.7,103.5,387200,417900,376800,422900,214300,193700
2005-04,102.6,102.7,102.2,102.8,100.2,104.0,386600,417400,379900,421900,213300,194700
2005-05,102.7,102.9,102.9,103.0,99.8,103.3,387200,418300,382700,422700,212300,193400
2005-06,103.7,104.0,103.3,104.0,99.2,102.6,390700,422500,384300,427100,211200,192100
2005-07,103.1,103.3,103.7,103.3,100.7,102.9,388700,419700,385600,423900,214300,192600
2005-08,104.1,104.3,103.9,104.4,102.1,103.4,392500,423700,386300,428400,217300,193500
2005-09,104.5,104.5,104.0,104.6,103.5,103.8,393800,424800,386900,429500,220300,194300
2005-10,106.7,106.9,104.3,107.2,103.9,105.8,402300,434500,387800,440200,221200,198100
2005-11,106.2,106.3,104.5,106.5,104.2,107.9,400100,431800,388500,437000,221800,201900
2005-12,108.5,108.7,104.7,109.2,104.6,111.2,409100,441700,389300,448200,222600,208200
2006-01,108.2,108.3,106.1,108.6,105.2,107.7,407800,440300,394700,445700,223800,201700
2006-02,108.5,108.8,107.6,108.9,105.6,105.3,409000,442000,400000,447000,224800,197200
2006-03,110.3,110.7,109.1,111.0,106.1,101.8,415600,450000,405600,455500,225800,190600
2006-04,111.0,111.5,109.0,111.8,107.2,104.5,418400,453000,405400,458800,228100,195700
2006-05,110.4,110.7,109.0,110.9,108.3,106.1,416000,449700,405300,455200,230500,198700
2006-06,109.9,110.0,108.7,110.2,109.4,107.9,414200,447100,404100,452300,232900,201900
2006-07,110.7,110.8,109.4,111.0,109.6,108.7,417200,450400,406700,455800,233200,203500
2006-08,110.7,110.8,109.9,110.9,109.7,109.7,417200,450200,408600,455300,233400,205300
2006-09,112.5,112.7,110.4,113.0,109.7,110.7,424100,458000,410400,463800,233400,207300
2006-10,112.1,112.3,111.1,112.4,110.6,110.5,422600,456200,413000,461500,235300,206800
2006-11,112.1,112.3,111.6,112.4,111.3,110.3,422400,456200,415200,461200,236900,206400
2006-12,112.4,112.5,112.3,112.6,112.0,111.0,423800,457100,417600,462100,238400,207800
2007-01,113.3,113.4,113.5,113.4,112.3,111.1,427000,460800,422100,465500,238900,208000
2007-02,114.5,114.7,114.6,114.8,112.4,112.2,431700,466200,426300,471100,239200,210000
2007-03,114.7,114.9,115.9,114.8,112.4,112.2,432300,466800,431100,471200,239200,210100
2007-04,115.4,115.6,115.7,115.6,113.3,113.5,435000,469800,430300,474600,241000,212500
2007-05,116.5,116.8,115.7,116.9,114.3,113.9,439200,474600,430200,480000,243200,213300
2007-06,116.5,116.6,115.3,116.8,115.3,114.3,439000,474000,428700,479600,245300,213900
2007-07,117.9,118.2,117.5,118.2,114.8,114.9,444300,480200,436800,485400,244400,215000
2007-08,118.7,119.0,119.3,119.0,114.5,115.4,447300,483600,443600,488400,243700,216000
2007-09,118.0,118.2,121.3,117.9,114.0,116.2,444600,480300,451200,483800,242500,217500
2007-10,119.4,119.7,122.3,119.4,116.0,116.6,450100,486400,455000,490200,246900,218300
2007-11,121.0,121.4,123.4,121.2,118.1,117.1,456000,493400,458800,497600,251300,219300
2007-12,122.1,122.4,124.3,122.2,120.0,118.3,460100,497300,462200,501600,255300,221500
2008-01,122.8,123.0,123.9,122.9,120.4,119.7,463000,499900,460600,504700,256200,224000
