Date,Composite_HPI_SA,Single_Family_HPI_SA,One_Storey_HPI_SA,Two_Storey_HPI_SA,Townhouse_HPI_SA,Apartment_HPI_SA,Composite_Benchmark_SA,Single_Family_Benchmark_SA,One_Storey_Benchmark_SA,Two_Storey_Benchmark_SA,Townhouse_Benchmark_SA,Apartment_Benchmark_SA
2005-01-01 00:00:00,100.0,100.0,100.0,100.0,100.0,100.0,264500,286400,235000,311900,190200,180100
2005-02-01 00:00:00,100.2,100.2,100.2,100.2,100.1,100.3,265100,287000,235400,312400,190300,180700
2005-03-01 00:00:00,100.6,100.6,100.3,100.6,100.3,101.0,266000,288100,235600,313800,190800,181900
2005-04-01 00:00:00,100.9,100.9,100.7,100.9,100.4,101.2,266800,289000,236700,314700,191000,182300
2005-05-01 00:00:00,101.2,101.3,100.9,101.3,100.6,102.0,267800,290100,237200,315900,191400,183700
2005-06-01 00:00:00,101.9,101.9,101.4,102.0,100.8,102.4,269400,291900,238200,318100,191800,184500
2005-07-01 00:00:00,102.4,102.5,101.7,102.6,101.4,102.7,270900,293700,239100,320000,192900,184900
2005-08-01 00:00:00,103.1,103.2,102.7,103.2,102.0,103.2,272600,295600,241300,321800,194000,185800
2005-09-01 00:00:00,103.5,103.5,102.9,103.5,102.4,103.6,273700,296400,241700,322800,194800,186500
2005-10-01 00:00:00,104.2,104.4,103.7,104.4,103.1,103.9,275700,299000,243600,325700,196100,187100
2005-11-01 00:00:00,104.8,105.0,104.3,105.0,103.5,104.9,277300,300700,245100,327500,196900,188900
2005-12-01 00:00:00,105.4,105.6,104.8,105.6,104.2,105.5,278800,302300,246300,329400,198100,190000
2006-01-01 00:00:00,106.1,106.3,105.6,106.3,104.6,105.8,280600,304500,248200,331400,198900,190500
2006-02-01 00:00:00,106.5,106.7,106.1,106.6,105.2,106.7,281800,305700,249300,332600,200100,192200
2006-03-01 00:00:00,107.3,107.6,107.1,107.4,105.5,106.6,283700,308100,251700,335000,200600,192000
2006-04-01 00:00:00,107.8,108.1,107.6,107.9,106.2,107.2,285200,309600,252900,336600,201900,193100
2006-05-01 00:00:00,108.2,108.4,108.0,108.3,106.5,107.4,286100,310600,253800,337700,202500,193500
2006-06-01 00:00:00,108.2,108.6,107.9,108.4,107.2,107.6,286300,310900,253600,338100,203800,193800
2006-07-01 00:00:00,108.4,108.6,108.2,108.5,107.3,108.1,286700,311100,254300,338300,204100,194700
2006-08-01 00:00:00,108.6,108.8,108.0,108.8,107.5,108.6,287300,311700,253900,339200,204500,195500
2006-09-01 00:00:00,109.3,109.4,108.7,109.2,108.1,109.3,289100,313300,255400,340700,205600,196800
2006-10-01 00:00:00,109.1,109.3,108.6,109.2,108.3,109.4,288500,313000,255100,340500,206000,197000
2006-11-01 00:00:00,109.5,109.7,109.3,109.6,108.8,109.5,289700,314300,256800,341700,206900,197200
2006-12-01 00:00:00,110.0,110.2,110.0,109.9,109.3,110.2,291000,315700,258400,342800,207800,198500
2007-01-01 00:00:00,110.4,110.6,110.2,110.3,109.5,110.9,292100,316700,259000,344000,208200,199700
2007-02-01 00:00:00,111.5,111.8,111.1,111.6,110.2,111.3,294900,320200,261100,348200,209600,200500
2007-03-01 00:00:00,112.1,112.3,111.6,112.2,111.0,112.5,296400,321600,262300,349800,211200,202600
2007-04-01 00:00:00,112.7,113.0,112.1,112.9,111.3,113.3,298200,323700,263400,352200,211700,204000
2007-05-01 00:00:00,113.5,113.8,112.8,113.7,112.0,114.4,300300,325800,265100,354500,213100,206000
2007-06-01 00:00:00,114.4,114.6,113.7,114.4,112.7,115.7,302500,328200,267300,356900,214300,208300
2007-07-01 00:00:00,115.2,115.5,114.8,115.3,113.4,116.4,304800,330800,269700,359600,215600,209600
2007-08-01 00:00:00,115.9,116.2,115.5,116.0,114.6,116.8,306600,332900,271500,361700,218000,210300
2007-09-01 00:00:00,116.6,116.9,116.0,116.6,114.5,117.5,308400,334700,272700,363700,217700,211600
2007-10-01 00:00:00,117.4,117.7,116.8,117.5,115.1,118.6,310400,337100,274500,366500,219000,213600
2007-11-01 00:00:00,118.0,118.3,117.4,118.1,115.8,119.7,312000,338700,276000,368400,220300,215500
2007-12-01 00:00:00,118.8,119.2,118.0,119.0,116.6,120.7,314200,341300,277400,371300,221700,217300
