Date,Composite_HPI_SA,Single_Family_HPI_SA,One_Storey_HPI_SA,Two_Storey_HPI_SA,Townhouse_HPI_SA,Apartment_HPI_SA,Composite_Benchmark_SA,Single_Family_Benchmark_SA,One_Storey_Benchmark_SA,Two_Storey_Benchmark_SA,Townhouse_Benchmark_SA,Apartment_Benchmark_SA
2005-01,100.0,100.0,100.0,100.0,100.0,100.0,232100,256000,236900,261900,160700,165000
2005-02,100.3,100.2,99.8,100.3,100.7,100.2,232900,256600,236500,262800,161800,165300
2005-03,99.9,99.9,99.7,99.9,99.1,100.3,231900,255700,236300,261700,159300,165500
2005-04,100.0,100.1,99.7,100.1,98.4,100.4,232100,256200,236200,262100,158200,165600
2005-05,99.8,99.8,100.0,99.8,98.9,100.4,231700,255500,236900,261300,159000,165600
2005-06,100.0,100.0,100.0,100.0,98.9,100.2,232000,256100,236800,261800,158900,165400
2005-07,100.0,100.0,99.9,100.0,98.9,100.5,232200,256000,236600,261900,159000,165900
2005-08,100.1,100.0,99.6,100.0,99.5,100.7,232300,256000,235900,261800,159900,166100
2005-09,100.0,99.6,99.9,99.7,100.4,100.5,232100,255000,236600,261000,161300,165800
2005-10,100.7,100.6,100.0,100.6,99.8,101.5,233700,257600,237000,263600,160300,167400
2005-11,101.1,101.0,100.8,101.0,100.4,102.2,234700,258600,238700,264600,161400,168700
2005-12,101.8,101.7,101.2,101.9,101.1,103.3,236300,260400,239800,266800,162500,170400
2006-01,102.3,102.3,101.9,102.6,100.4,103.6,237400,262000,241500,268600,161400,170900
2006-02,102.6,102.6,102.4,102.7,100.9,104.1,238200,262700,242500,269000,162200,171700
2006-03,103.6,103.6,103.2,103.7,102.4,104.6,240400,265200,244400,271700,164500,172600
2006-04,103.8,103.8,103.4,104.0,102.3,104.1,240900,265800,244900,272300,164400,171800
2006-05,104.3,104.4,103.8,104.5,102.8,103.7,242000,267200,245900,273800,165200,171100
2006-06,104.0,104.3,104.6,104.2,102.4,103.0,241500,267000,247700,273000,164600,170000
2006-07,104.7,104.9,104.5,104.8,103.3,104.1,243100,268500,247600,274600,166000,171800
2006-08,105.4,105.6,104.9,105.7,103.4,105.0,244700,270400,248400,276900,166200,173200
2006-09,105.9,106.1,105.2,106.3,102.4,105.7,245800,271700,249300,278500,164500,174400
2006-10,106.2,106.5,106.4,106.5,103.5,106.0,246600,272600,252000,278900,166400,174900
2006-11,106.5,106.8,107.2,106.6,103.9,106.1,247200,273300,254000,279200,166900,175000
2006-12,107.1,107.3,108.2,107.0,105.5,106.3,248500,274700,256400,280300,169500,175400
2007-01,107.9,108.1,108.5,108.0,107.2,106.7,250400,276700,257100,282900,172200,176100
2007-02,108.7,109.1,108.6,109.2,105.9,107.5,252300,279300,257300,286100,170200,177300
2007-03,109.2,109.5,108.5,109.7,107.0,108.1,253500,280300,257100,287300,172000,178300
2007-04,109.7,110.0,109.1,110.2,107.3,108.7,254700,281600,258500,288700,172500,179400
2007-05,110.3,110.7,109.6,110.9,107.2,109.5,256100,283400,259700,290500,172200,180600
2007-06,111.3,111.6,110.0,111.8,109.8,110.1,258400,285600,260700,292900,176400,181600
2007-07,111.8,112.2,111.0,112.6,108.7,110.4,259600,287300,263000,294800,174700,182200
2007-08,112.3,112.7,111.9,112.9,109.8,110.7,260700,288400,265200,295700,176400,182600
2007-09,113.2,113.5,112.5,113.9,110.9,110.7,262700,290600,266400,298200,178200,182600
2007-10,114.2,114.6,113.8,114.9,111.2,112.4,265000,293500,269500,300800,178700,185400
2007-11,115.4,116.0,115.4,116.2,111.7,113.9,267900,297000,273500,304400,179500,187900
2007-12,116.8,117.5,116.2,117.6,111.5,115.6,271000,300700,275300,308100,179200,190800
2008-01,116.5,117.1,117.2,117.0,112.0,115.8,270500,299800,277700,306500,180000,191000
2008-02,116.9,117.2,118.2,117.0,114.4,116.1,271300,300100,279900,306500,183800,191600
2008-03,116.9,117.3,118.3,117.0,114.1,116.5,271400,300400,280200,306500,183400,192200
2008-04,118.0,118.4,118.2,118.3,116.4,117.4,273800,303000,280100,309900,187000,193700
