Date,Composite_HPI_SA,Single_Family_HPI_SA,One_Storey_HPI_SA,Two_Storey_HPI_SA,Composite_Benchmark_SA,Single_Family_Benchmark_SA,One_Storey_Benchmark_SA,Two_Storey_Benchmark_SA
2005-01,100.0,100.0,100.0,100.0,212200,212200,212300,212000
2005-02,100.5,100.5,100.3,100.9,213300,213300,213000,213900
2005-03,101.3,101.3,101.0,102.0,214900,214900,214500,216200
2005-04,101.8,101.8,101.5,102.3,216000,216000,215500,216800
2005-05,102.5,102.5,102.3,102.7,217500,217500,217200,217800
2005-06,103.1,103.1,103.2,103.2,218800,218800,219100,218700
2005-07,103.0,103.0,102.0,104.5,218500,218500,216600,221500
2005-08,102.8,102.8,101.1,105.6,218100,218100,214700,223900
2005-09,102.5,102.5,99.9,106.6,217600,217600,212000,226000
2005-10,103.1,103.1,100.9,106.9,218800,218800,214300,226600
2005-11,103.7,103.7,101.7,107.0,220100,220100,216000,226900
2005-12,104.4,104.4,102.7,107.3,221500,221500,218100,227500
2006-01,105.4,105.4,104.2,107.5,223700,223700,221300,227800
2006-02,106.4,106.4,105.8,107.5,225800,225800,224600,228000
2006-03,107.6,107.6,107.7,107.8,228300,228300,228600,228600
2006-04,106.8,106.8,105.8,108.7,226700,226700,224600,230400
2006-05,106.3,106.3,104.3,109.7,225600,225600,221400,232600
2006-06,105.7,105.7,102.9,110.7,224400,224400,218400,234700
2006-07,105.8,105.8,103.1,110.3,224500,224500,218900,233900
2006-08,105.9,105.9,103.6,109.9,224700,224700,220000,232900
2006-09,105.9,105.9,103.8,109.2,224800,224800,220400,231400
2006-10,106.4,106.4,104.2,110.2,225700,225700,221200,233600
2006-11,106.9,106.9,104.5,111.1,226800,226800,221800,235600
2006-12,107.5,107.5,104.8,112.2,228200,228200,222500,237900
2007-01,107.9,107.9,105.4,112.1,229000,229000,223800,237700
2007-02,108.2,108.2,105.9,111.9,229500,229500,224900,237200
2007-03,108.5,108.5,106.6,111.9,230300,230300,226400,237300
2007-04,109.0,109.0,106.6,113.0,231200,231200,226400,239500
2007-05,109.8,109.8,107.0,114.5,233100,233100,227200,242800
2007-06,110.6,110.6,107.5,115.9,234700,234700,228300,245800
2007-07,111.2,111.2,108.2,116.3,236000,236000,229700,246600
2007-08,111.9,111.9,109.2,116.6,237400,237400,231800,247100
2007-09,112.6,112.6,109.9,116.7,238900,238900,233400,247300
2007-10,112.4,112.4,109.8,116.8,238500,238500,233200,247600
2007-11,112.1,112.1,109.4,116.7,237800,237800,232300,247400
2007-12,112.3,112.3,109.4,117.0,238200,238200,232200,248000
2008-01,113.0,113.0,110.0,118.0,239700,239700,233500,250200
2008-02,113.6,113.6,110.6,118.7,241100,241100,234700,251600
2008-03,114.2,114.2,111.0,119.7,242300,242300,235600,253700
2008-04,113.5,113.5,111.2,117.5,240800,240800,236000,249100
2008-05,113.4,113.4,112.0,115.7,240600,240600,237800,245300
2008-06,113.1,113.1,112.9,113.6,240000,240000,239700,240900
2008-07,112.8,112.8,112.4,113.3,239300,239300,238700,240200
2008-08,112.2,112.2,111.4,113.4,238000,238000,236500,240400
2008-09,112.1,112.1,110.7,114.1,237800,237800,235000,241800
2008-10,111.8,111.8,110.6,114.2,237300,237300,234700,242100
2008-11,111.4,111.4,110.0,113.6,236300,236300,233600,240900
2008-12,111.4,111.4,109.8,113.9,236400,236400,233100,241500
2009-01,111.2,111.2,109.3,114.0,236000,236000,232100,241700
2009-02,110.2,110.2,108.3,113.2,233900,233900,230000,240000
2009-03,109.0,109.0,106.6,112.9,231300,231300,226400,239400
2009-04,108.8,108.8,106.9,112.1,230800,230800,226900,237700
2009-05,109.4,109.4,107.3,112.8,232100,232100,227800,239100
2009-06,109.8,109.8,108.0,113.4,233100,233100,229200,240400
2009-07,110.6,110.6,108.8,113.8,234700,234700,231000,241200
2009-08,111.1,111.1,109.7,113.7,235800,235800,232800,241000
2009-09,111.9,111.9,110.8,113.9,237500,237500,235200,241400
2009-10,113.5,113.5,111.6,116.9,240900,240900,237000,247800
2009-11,114.6,114.6,112.1,119.0,243200,243200,237900,252300
2009-12,116.8,116.8,113.2,122.5,247800,247800,240400,259600
2010-01,114.8,114.8,111.8,119.3,243700,243700,237400,253000
