Date,Composite_HPI_SA,Single_Family_HPI_SA,One_Storey_HPI_SA,Two_Storey_HPI_SA,Composite_Benchmark_SA,Single_Family_Benchmark_SA,One_Storey_Benchmark_SA,Two_Storey_Benchmark_SA
2005-01-01 00:00:00,100.0,100.0,100.0,100.0,118400,118400,120300,115200
2005-02-01 00:00:00,101.4,101.4,101.2,102.3,120100,120100,121700,117800
2005-03-01 00:00:00,103.0,103.0,102.2,103.9,122000,122000,123000,119700
2005-04-01 00:00:00,104.0,104.0,103.7,105.6,123100,123100,124700,121700
2005-05-01 00:00:00,104.9,104.9,104.2,106.9,124200,124200,125400,123200
2005-06-01 00:00:00,105.5,105.5,104.9,107.0,124900,124900,126200,123300
2005-07-01 00:00:00,105.5,105.5,105.2,106.5,124900,124900,126600,122700
2005-08-01 00:00:00,105.3,105.3,105.5,105.6,124700,124700,126900,121700
2005-09-01 00:00:00,105.3,105.3,105.7,103.5,124700,124700,127100,119200
2005-10-01 00:00:00,105.4,105.4,105.2,106.1,124800,124800,126600,122200
2005-11-01 00:00:00,105.7,105.7,104.7,107.6,125200,125200,126000,124000
2005-12-01 00:00:00,106.1,106.1,104.7,108.9,125600,125600,125900,125500
2006-01-01 00:00:00,107.3,107.3,105.2,110.9,127000,127000,126600,127700
2006-02-01 00:00:00,107.9,107.9,106.0,111.5,127800,127800,127500,128400
2006-03-01 00:00:00,108.5,108.5,107.3,111.3,128500,128500,129100,128200
2006-04-01 00:00:00,108.6,108.6,107.4,110.8,128600,128600,129200,127600
2006-05-01 00:00:00,108.6,108.6,108.6,109.3,128600,128600,130600,125900
2006-06-01 00:00:00,108.4,108.4,109.3,107.7,128300,128300,131500,124100
2006-07-01 00:00:00,108.2,108.2,109.6,106.7,128100,128100,131800,122900
2006-08-01 00:00:00,107.9,107.9,109.7,104.9,127800,127800,132000,120900
2006-09-01 00:00:00,107.5,107.5,109.6,103.6,127300,127300,131900,119300
2006-10-01 00:00:00,107.7,107.7,109.6,105.1,127500,127500,131800,121100
2006-11-01 00:00:00,107.9,107.9,109.2,105.6,127800,127800,131400,121600
2006-12-01 00:00:00,108.2,108.2,109.4,107.2,128100,128100,131600,123500
2007-01-01 00:00:00,109.9,109.9,110.1,109.6,130100,130100,132400,126300
2007-02-01 00:00:00,111.0,111.0,111.1,111.4,131400,131400,133600,128300
2007-03-01 00:00:00,112.2,112.2,112.2,113.0,132800,132800,135000,130200
2007-04-01 00:00:00,111.4,111.4,110.9,112.8,131900,131900,133400,129900
2007-05-01 00:00:00,110.8,110.8,110.2,111.5,131200,131200,132600,128400
2007-06-01 00:00:00,110.1,110.1,109.6,112.1,130300,130300,131800,129100
2007-07-01 00:00:00,111.7,111.7,110.6,114.4,132300,132300,133000,131800
