Date,Composite_HPI_SA,Single_Family_HPI_SA,One_Storey_HPI_SA,Two_Storey_HPI_SA,Townhouse_HPI_SA,Apartment_HPI_SA,Composite_Benchmark_SA,Single_Family_Benchmark_SA,One_Storey_Benchmark_SA,Two_Storey_Benchmark_SA,Townhouse_Benchmark_SA,Apartment_Benchmark_SA
2005-01-01 00:00:00,100.0,100.0,100.0,100.0,100.0,100.0,173600,179600,146300,221500,181700,152200
2005-02-01 00:00:00,100.4,100.2,100.4,100.2,100.6,101.6,174300,180000,146900,221900,182700,154600
2005-03-01 00:00:00,100.7,101.0,101.2,100.9,101.0,99.8,174900,181400,148100,223500,183500,151900
2005-04-01 00:00:00,101.6,101.8,102.0,101.6,101.9,100.7,176300,182800,149200,225000,185200,153300
2005-05-01 00:00:00,100.8,101.1,102.3,100.1,101.9,99.8,175000,181600,149600,221700,185200,151900
2005-06-01 00:00:00,101.4,101.6,102.0,101.5,102.8,100.5,176000,182500,149200,224800,186700,152900
2005-07-01 00:00:00,102.0,102.1,102.7,101.8,104.5,101.0,177000,183400,150200,225400,189900,153700
2005-08-01 00:00:00,102.0,102.4,103.1,101.9,103.2,100.0,177000,184000,150900,225600,187500,152200
2005-09-01 00:00:00,102.4,103.0,104.4,101.8,102.6,99.9,177700,184900,152700,225500,186500,152100
2005-10-01 00:00:00,103.1,103.6,104.7,102.9,103.6,100.9,179000,186100,153200,227900,188200,153600
2005-11-01 00:00:00,103.2,103.9,105.3,102.6,102.1,100.9,179100,186600,154100,227300,185500,153500
2005-12-01 00:00:00,103.1,104.2,105.9,102.9,100.6,99.5,179000,187100,154900,227900,182800,151500
2006-01-01 00:00:00,103.7,104.3,105.9,103.1,102.8,101.2,180100,187400,155000,228400,186800,154000
2006-02-01 00:00:00,104.4,105.3,106.9,104.0,104.5,101.1,181200,189100,156400,230300,189900,153900
2006-03-01 00:00:00,104.5,105.2,107.0,103.9,104.9,101.4,181400,189000,156600,230100,190600,154300
2006-04-01 00:00:00,105.2,106.1,107.6,104.8,106.4,101.4,182600,190600,157400,232200,193400,154300
2006-05-01 00:00:00,105.4,106.1,107.7,104.7,106.9,102.2,182900,190600,157500,232000,194300,155600
2006-06-01 00:00:00,105.8,106.6,108.8,104.9,110.5,102.2,183700,191500,159200,232400,200800,155600
2006-07-01 00:00:00,105.8,106.7,108.6,105.1,107.0,101.8,183600,191600,158900,232900,194500,155000
2006-08-01 00:00:00,106.6,107.3,109.2,105.8,107.9,103.4,185000,192800,159800,234300,196000,157300
2006-09-01 00:00:00,107.0,107.7,109.5,106.4,106.0,103.9,185700,193500,160200,235700,192600,158100
2006-10-01 00:00:00,107.5,108.3,110.0,107.0,108.0,104.2,186600,194500,160900,237100,196200,158600
2006-11-01 00:00:00,108.1,109.2,111.1,107.6,107.3,103.6,187600,196100,162500,238300,194900,157700
2006-12-01 00:00:00,108.9,109.9,112.1,108.0,109.6,105.3,189000,197300,164000,239300,199100,160200
2007-01-01 00:00:00,109.7,110.7,112.8,109.0,110.2,106.0,190500,198800,165000,241400,200300,161400
