Date,Composite_HPI_SA,Single_Family_HPI_SA,One_Storey_HPI_SA,Two_Storey_HPI_SA,Townhouse_HPI_SA,Apartment_HPI_SA,Composite_Benchmark_SA,Single_Family_Benchmark_SA,One_Storey_Benchmark_SA,Two_Storey_Benchmark_SA,Townhouse_Benchmark_SA,Apartment_Benchmark_SA
2005-01,100.0,100.0,100.0,100.0,100.0,100.0,127300,131800,119400,150400,131400,110600
2005-02,100.5,100.5,100.5,100.3,100.3,100.3,127900,132500,120000,150800,131800,110900
2005-03,100.6,100.8,101.8,99.7,100.5,100.7,128100,132900,121500,150000,132100,111400
2005-04,100.6,100.8,101.3,100.6,100.8,100.5,128100,132900,121000,151300,132400,111200
2005-05,101.3,101.7,102.0,101.7,101.1,100.1,128900,134100,121800,152900,132800,110700
2005-06,101.8,102.3,102.6,102.2,101.3,100.3,129600,134800,122500,153700,133100,110900
2005-07,103.1,103.3,103.4,103.9,101.5,104.9,131300,136200,123400,156300,133400,116000
2005-08,104.2,104.4,104.9,104.1,101.8,104.1,132700,137600,125300,156600,133800,115100
2005-09,104.2,105.2,105.5,104.8,102.1,99.3,132600,138600,126000,157600,134100,109800
2005-10,105.9,106.8,106.3,107.6,102.3,103.1,134800,140700,126900,161800,134400,114000
2005-11,105.4,105.6,106.3,105.3,102.6,104.2,134200,139200,126900,158400,134800,115200
2005-12,107.0,107.8,108.2,107.3,102.8,104.3,136200,142100,129200,161400,135100,115400
2006-01,107.3,107.9,108.1,107.6,103.1,104.9,136600,142200,129100,161900,135500,116000
2006-02,107.5,108.2,108.8,107.5,103.5,104.8,136900,142600,129900,161700,136000,115900
2006-03,107.9,108.1,108.2,107.9,103.8,107.9,137300,142500,129200,162300,136400,119300
2006-04,108.6,109.0,109.9,108.2,104.1,108.6,138300,143600,131200,162700,136800,120100
2006-05,109.2,109.9,109.9,109.9,104.4,108.5,139000,144800,131200,165300,137200,120000
2006-06,110.1,111.3,111.8,111.0,104.8,107.0,140200,146700,133500,166900,137700,118300
2006-07,110.6,111.7,113.2,110.4,105.2,109.3,140800,147200,135200,166000,138200,120900
2006-08,111.4,112.1,112.7,111.8,105.6,109.5,141800,147800,134600,168200,138800,121100
