Date,Composite_HPI_SA,Single_Family_HPI_SA,One_Storey_HPI_SA,Two_Storey_HPI_SA,Townhouse_HPI_SA,Composite_Benchmark_SA,Single_Family_Benchmark_SA,One_Storey_Benchmark_SA,Two_Storey_Benchmark_SA,Townhouse_Benchmark_SA
2005-01-01 00:00:00,100.0,100.0,100.0,100.0,100.0,167000,167100,169100,164100,147300
2005-02-01 00:00:00,97.8,97.8,96.1,100.2,100.5,163400,163400,162500,164400,148000
2005-03-01 00:00:00,100.7,100.7,101.1,100.4,101.0,168200,168300,171000,164700,148700
2005-04-01 00:00:00,100.7,100.7,101.6,99.5,101.4,168100,168200,171800,163200,149400
2005-05-01 00:00:00,99.9,99.8,100.9,98.5,101.8,166800,166800,170600,161600,150000
2005-06-01 00:00:00,100.8,100.8,103.3,97.1,102.3,168400,168500,174600,159400,150700
2005-07-01 00:00:00,100.2,100.1,101.1,98.7,102.8,167300,167300,170900,161900,151400
2005-08-01 00:00:00,102.8,102.8,105.0,99.8,103.3,171700,171800,177500,163800,152100
2005-09-01 00:00:00,105.5,105.6,108.1,100.7,103.7,176200,176400,182800,165200,152800
2005-10-01 00:00:00,103.1,103.1,104.8,100.7,104.2,172200,172200,177200,165200,153500
2005-11-01 00:00:00,105.0,105.0,108.2,100.3,104.7,175400,175500,182900,164600,154200
2005-12-01 00:00:00,100.9,100.9,102.1,100.0,105.2,168500,168600,172700,164100,154900
2006-01-01 00:00:00,103.7,103.7,105.7,100.7,105.6,173200,173200,178700,165300,155500
2006-02-01 00:00:00,106.0,106.0,109.0,101.1,105.9,177000,177100,184400,165900,156000
2006-03-01 00:00:00,106.0,106.0,109.0,101.6,106.2,177000,177100,184300,166700,156500
2006-04-01 00:00:00,106.8,106.8,109.8,102.4,106.6,178400,178400,185600,168000,157000
2006-05-01 00:00:00,105.9,105.9,107.8,103.3,106.9,176900,177000,182300,169500,157500
2006-06-01 00:00:00,106.9,106.9,108.9,103.9,107.3,178500,178600,184100,170500,158100
2006-07-01 00:00:00,107.7,107.7,109.7,104.6,106.2,179900,180000,185500,171700,156400
2006-08-01 00:00:00,106.1,106.0,106.9,105.1,105.1,177200,177200,180800,172400,154800
