Date,Composite_HPI_SA,Single_Family_HPI_SA,One_Storey_HPI_SA,Two_Storey_HPI_SA,Townhouse_HPI_SA,Apartment_HPI_SA,Composite_Benchmark_SA,Single_Family_Benchmark_SA,One_Storey_Benchmark_SA,Two_Storey_Benchmark_SA,Townhouse_Benchmark_SA,Apartment_Benchmark_SA
2005-01-01 00:00:00,100.0,100.0,100.0,100.0,100.0,100.0,108900,109600,99900,135400,106800,98600
2005-02-01 00:00:00,98.2,98.1,98.2,99.6,98.9,98.9,106900,107500,98100,134800,105600,97500
2005-03-01 00:00:00,97.4,97.6,97.9,99.0,97.6,97.2,106100,107000,97800,134100,104200,95800
2005-04-01 00:00:00,97.9,98.3,98.9,99.6,97.1,96.1,106600,107700,98800,134800,103700,94800
2005-05-01 00:00:00,97.9,98.4,99.0,99.9,96.8,94.9,106600,107800,98900,135200,103400,93600
2005-06-01 00:00:00,97.6,98.2,98.8,99.6,96.5,93.9,106300,107600,98700,134900,103100,92600
2005-07-01 00:00:00,100.1,100.6,102.2,100.6,97.4,95.8,109000,110300,102100,136200,104000,94500
2005-08-01 00:00:00,101.0,101.6,103.2,101.4,98.0,97.7,110000,111300,103100,137300,104700,96300
2005-09-01 00:00:00,102.3,102.8,104.7,102.1,99.1,100.4,111400,112700,104600,138200,105800,99000
2005-10-01 00:00:00,103.2,103.6,105.0,103.6,99.8,102.8,112400,113500,104900,140300,106600,101400
2005-11-01 00:00:00,104.6,104.8,105.6,105.2,101.2,105.7,113900,114900,105500,142400,108100,104200
2005-12-01 00:00:00,106.1,106.2,107.2,106.5,101.7,108.3,115500,116400,107100,144200,108600,106800
2006-01-01 00:00:00,106.1,106.1,105.9,107.1,102.5,108.2,115500,116300,105800,145000,109500,106700
2006-02-01 00:00:00,105.4,105.5,105.4,107.5,103.2,107.5,114800,115600,105300,145500,110200,106000
2006-03-01 00:00:00,106.1,106.2,106.6,107.9,103.7,104.8,115500,116400,106500,146100,110700,103300
2006-04-01 00:00:00,105.6,105.7,105.8,108.6,103.8,108.3,115000,115900,105700,147000,110900,106800
2006-05-01 00:00:00,107.0,107.0,107.7,108.9,104.2,108.7,116500,117300,107600,147500,111300,107200
2006-06-01 00:00:00,107.8,107.9,109.0,108.9,104.7,111.7,117400,118300,108900,147500,111800,110100
2006-07-01 00:00:00,108.4,108.8,109.1,111.4,105.3,108.9,118100,119200,109000,150900,112500,107400
2006-08-01 00:00:00,110.3,110.9,111.1,113.7,106.0,109.2,120100,121500,111000,154000,113200,107700
2006-09-01 00:00:00,113.0,114.0,114.7,116.0,107.1,107.2,123100,124900,114600,157000,114400,105700
2006-10-01 00:00:00,115.6,116.6,117.8,117.5,108.0,110.1,125900,127800,117700,159100,115300,108600
