Date,Composite_HPI_SA,Single_Family_HPI_SA,One_Storey_HPI_SA,Two_Storey_HPI_SA,Townhouse_HPI_SA,Apartment_HPI_SA,Composite_Benchmark_SA,Single_Family_Benchmark_SA,One_Storey_Benchmark_SA,Two_Storey_Benchmark_SA,Townhouse_Benchmark_SA,Apartment_Benchmark_SA
2005-01,100.0,100.0,100.0,100.0,100.0,100.0,181500,182800,183400,182400,171200,129100
2005-02,104.5,104.8,109.3,100.1,98.5,100.2,189700,191500,200400,182500,168700,129300
2005-03,100.3,100.4,100.7,100.3,97.1,100.2,182100,183600,184700,182900,166300,129300
2005-04,101.5,101.7,104.3,99.1,95.7,100.2,184200,185900,191300,180700,163900,129300
2005-05,101.0,101.2,104.3,98.1,94.3,100.2,183300,185000,191300,179000,161500,129300
2005-06,100.8,101.1,105.0,96.8,92.9,100.2,183000,184800,192600,176500,159100,129400
2005-07,102.5,102.8,107.3,98.1,91.6,100.4,186100,188000,196700,178900,156800,129600
2005-08,102.1,102.5,106.0,99.1,90.2,100.7,185400,187300,194400,180700,154500,130000
2005-09,101.8,102.1,104.3,100.1,89.0,101.0,184800,186700,191200,182600,152300,130400
2005-10,102.4,102.8,105.0,100.5,87.6,101.2,185900,188000,192500,183400,150000,130700
2005-11,103.6,104.0,106.8,101.1,86.3,101.3,188100,190100,195900,184400,147800,130800
2005-12,105.1,105.5,109.2,101.6,85.1,101.3,190700,192800,200200,185300,145700,130800
2006-01,106.2,106.6,111.1,102.1,91.2,101.6,192800,194900,203700,186300,156200,131200
2006-02,106.0,106.2,109.7,102.6,97.9,101.8,192400,194200,201200,187100,167600,131400
2006-03,106.0,106.1,109.2,103.2,105.0,101.9,192400,194000,200300,188200,179700,131500
2006-04,107.2,107.3,111.7,103.0,112.6,101.9,194600,196100,204800,187800,192700,131600
2006-05,105.1,105.0,107.1,103.0,120.7,102.0,190800,191900,196400,187800,206700,131700
2006-06,106.1,105.9,108.7,102.6,129.4,102.1,192500,193500,199300,187200,221600,131800
2006-07,106.1,105.9,108.2,103.1,126.5,103.8,192500,193500,198400,188000,216500,134000
