Date,Composite_HPI_SA,Single_Family_HPI_SA,One_Storey_HPI_SA,Two_Storey_HPI_SA,Apartment_HPI_SA,Composite_Benchmark_SA,Single_Family_Benchmark_SA,One_Storey_Benchmark_SA,Two_Storey_Benchmark_SA,Apartment_Benchmark_SA
2005-01-01 00:00:00,100.0,100.0,100.0,100.0,100.0,121900,122000,121800,122200,97000
2005-02-01 00:00:00,101.1,101.1,101.5,100.5,100.4,123300,123400,123600,122800,97400
2005-03-01 00:00:00,102.1,102.2,102.3,100.9,100.8,124500,124700,124600,123300,97800
2005-04-01 00:00:00,102.5,102.5,102.9,101.2,101.2,124900,125100,125300,123700,98200
2005-05-01 00:00:00,102.6,102.6,103.4,101.5,101.8,125100,125200,126000,124000,98700
2005-06-01 00:00:00,102.7,102.8,103.8,101.5,102.2,125200,125400,126400,124000,99100
2005-07-01 00:00:00,102.9,103.0,103.8,101.8,102.6,125400,125600,126400,124400,99500
2005-08-01 00:00:00,103.0,103.2,103.9,102.0,103.0,125600,125900,126600,124600,99900
2005-09-01 00:00:00,102.2,102.3,103.8,102.5,103.4,124600,124800,126400,125200,100300
2005-10-01 00:00:00,104.7,104.8,105.7,103.2,103.8,127600,127900,128800,126100,100700
2005-11-01 00:00:00,106.2,106.2,107.5,104.2,104.3,129400,129600,130900,127300,101200
2005-12-01 00:00:00,107.8,107.9,109.9,105.2,104.7,131400,131600,133900,128600,101600
2006-01-01 00:00:00,107.2,107.3,108.6,105.2,105.3,130700,130900,132300,128500,102100
2006-02-01 00:00:00,106.6,106.6,107.6,104.9,105.8,129900,130100,131100,128200,102600
2006-03-01 00:00:00,105.8,105.8,105.3,104.6,106.3,129000,129100,128200,127800,103100
2006-04-01 00:00:00,107.1,107.1,108.7,104.9,106.8,130500,130700,132400,128200,103600
2006-05-01 00:00:00,108.1,108.3,110.3,104.9,107.4,131800,132100,134400,128200,104200
2006-06-01 00:00:00,109.3,109.3,112.2,104.8,107.9,133200,133400,136700,128100,104700
2006-07-01 00:00:00,108.0,108.2,110.8,104.1,106.0,131600,132000,134900,127200,102800
2006-08-01 00:00:00,107.0,107.0,109.6,103.1,104.1,130400,130600,133500,126000,101000
2006-09-01 00:00:00,104.9,105.0,108.0,102.6,102.4,127900,128100,131600,125400,99300
2006-10-01 00:00:00,107.5,107.5,110.1,103.5,100.5,131000,131200,134100,126500,97500
2006-11-01 00:00:00,109.0,109.2,111.8,104.8,98.8,132900,133200,136200,128100,95800
2006-12-01 00:00:00,110.7,111.0,114.2,106.2,97.0,135000,135400,139100,129800,94100
2007-01-01 00:00:00,113.0,113.2,116.1,108.7,97.0,137800,138100,141400,132800,94100
2007-02-01 00:00:00,115.2,115.4,118.2,110.8,96.9,140400,140800,144000,135400,94000
2007-03-01 00:00:00,117.3,117.5,119.0,113.1,96.8,143000,143400,144900,138200,93900
2007-04-01 00:00:00,117.0,117.2,119.5,114.1,96.7,142600,143000,145600,139400,93800
2007-05-01 00:00:00,116.5,116.7,118.1,114.5,96.6,142000,142400,143900,139900,93700
2007-06-01 00:00:00,116.1,116.3,117.2,115.0,96.5,141500,141900,142700,140500,93600
2007-07-01 00:00:00,117.1,117.3,118.8,115.1,99.0,142800,143100,144700,140600,96000
2007-08-01 00:00:00,118.2,118.4,120.9,114.7,101.5,144100,144400,147200,140200,98500
2007-09-01 00:00:00,118.6,118.8,122.5,115.1,104.2,144600,144900,149200,140600,101100
2007-10-01 00:00:00,120.7,120.9,123.7,116.5,106.9,147100,147500,150700,142400,103700
2007-11-01 00:00:00,121.9,122.0,124.5,118.3,109.7,148600,148800,151600,144600,106400
2007-12-01 00:00:00,123.3,123.4,125.8,120.0,112.5,150300,150600,153200,146700,109100
2008-01-01 00:00:00,125.3,125.5,127.8,122.0,113.6,152800,153100,155700,149100,110200
2008-02-01 00:00:00,127.3,127.5,130.2,123.3,114.4,155200,155600,158600,150700,111000
2008-03-01 00:00:00,128.8,128.9,131.4,124.5,115.7,157000,157300,160000,152200,112200
2008-04-01 00:00:00,129.8,130.1,132.8,124.8,117.0,158200,158700,161800,152500,113500
2008-05-01 00:00:00,130.8,131.1,135.2,124.8,118.2,159400,159900,164700,152500,114700
2008-06-01 00:00:00,132.1,132.3,137.1,125.0,119.7,161000,161400,167000,152700,116100
2008-07-01 00:00:00,134.7,134.9,139.5,128.0,122.8,164200,164600,169900,156400,119100
2008-08-01 00:00:00,137.2,137.5,142.3,130.6,125.8,167300,167700,173300,159600,122000
2008-09-01 00:00:00,139.2,139.5,144.4,133.5,129.2,169700,170200,175900,163100,125300
