Date,Composite_HPI_SA,Single_Family_HPI_SA,One_Storey_HPI_SA,Two_Storey_HPI_SA,Townhouse_HPI_SA,Apartment_HPI_SA,Composite_Benchmark_SA,Single_Family_Benchmark_SA,One_Storey_Benchmark_SA,Two_Storey_Benchmark_SA,Townhouse_Benchmark_SA,Apartment_Benchmark_SA
2005-01,100.0,100.0,100.0,100.0,100.0,100.0,111800,113700,103700,142800,109900,87800
2005-02,100.4,100.5,100.7,99.8,100.5,99.7,112200,114300,104400,142500,110500,87500
2005-03,99.6,99.7,100.2,99.2,101.0,99.4,111400,113400,103900,141600,111000,87300
2005-04,100.4,100.5,101.4,99.4,101.5,99.1,112200,114300,105100,142000,111600,87000
2005-05,101.2,101.5,102.2,100.4,102.0,98.7,113100,115400,106000,143300,112100,86700
2005-06,101.3,101.8,101.9,100.6,102.5,98.5,113300,115700,105700,143600,112700,86500
2005-07,102.9,103.3,104.5,99.5,103.0,99.5,115000,117400,108400,142100,113200,87400
2005-08,103.6,104.0,104.4,101.8,103.5,100.6,115800,118200,108300,145400,113700,88300
2005-09,104.7,104.9,105.2,103.2,103.9,101.7,117000,119300,109100,147400,114200,89300
2005-10,105.6,105.8,106.1,104.3,104.5,103.1,118100,120300,110000,148900,114800,90500
2005-11,107.0,107.1,107.4,105.7,104.9,104.4,119600,121800,111400,151000,115300,91700
2005-12,107.4,107.5,108.5,106.0,105.5,105.8,120100,122200,112500,151300,115900,92900
2006-01,107.0,106.9,107.9,105.0,106.3,106.2,119600,121600,111900,150000,116800,93200
2006-02,105.8,105.9,105.9,105.4,107.2,106.6,118300,120400,109800,150500,117800,93600
2006-03,107.2,107.2,107.8,106.8,108.1,106.9,119800,121900,111800,152500,118800,93900
2006-04,108.8,108.9,109.2,108.8,109.6,108.3,121600,123800,113200,155400,120500,95100
2006-05,108.9,109.1,109.0,109.5,111.2,109.8,121800,124000,113000,156400,122200,96400
2006-06,111.0,111.1,111.0,110.8,112.8,111.3,124100,126300,115100,158200,124000,97700
2006-07,112.8,113.1,112.7,113.0,113.2,111.2,126100,128600,116900,161400,124400,97600
2006-08,115.2,115.7,115.8,114.0,113.6,111.2,128800,131600,120100,162800,124900,97600
2006-09,118.2,118.8,119.2,116.6,114.0,111.2,132100,135100,123600,166500,125300,97600
2006-10,120.8,121.4,121.4,120.1,115.6,112.9,135000,138000,125900,171500,127000,99100
2006-11,122.1,122.7,122.4,122.3,117.2,114.6,136500,139500,126900,174600,128800,100600
2006-12,125.1,125.8,125.0,127.7,118.7,116.4,139900,143000,129600,182400,130500,102200
2007-01,127.5,127.8,126.1,130.7,123.3,122.7,142500,145300,130800,186700,135500,107700
2007-02,129.9,130.1,128.7,132.4,128.0,129.3,145200,147900,133500,189100,140700,113500
2007-03,136.8,136.9,138.6,134.6,133.0,136.2,152900,155700,143700,192200,146200,119600
2007-04,148.6,148.5,150.0,146.0,146.3,152.1,166100,168900,155600,208500,160800,133500
2007-05,159.9,159.5,161.6,155.4,161.0,169.8,178800,181400,167600,221900,176900,149100
2007-06,170.4,169.3,169.5,168.1,174.2,186.1,190500,192500,175800,240100,191500,163400
2007-07,173.5,172.6,173.3,170.2,181.2,192.5,194000,196200,179700,243000,199100,169000
2007-08,178.1,176.8,178.5,171.6,188.4,197.2,199100,201000,185100,245100,207000,173100
2007-09,180.5,178.9,180.0,174.7,197.4,202.2,201800,203400,186700,249500,216900,177500
2007-10,184.8,183.4,184.6,179.1,196.8,204.7,206600,208500,191400,255800,216300,179700
2007-11,189.4,188.1,189.8,183.5,198.5,206.8,211800,213900,196800,262100,218200,181600
2007-12,191.9,190.9,193.2,186.1,199.3,209.6,214600,217000,200400,265700,219000,184000
2008-01,198.0,197.1,199.6,190.4,206.2,213.2,221400,224100,207000,271900,226600,187200
2008-02,205.3,204.7,206.1,201.0,212.7,218.0,229500,232800,213700,287000,233800,191400
2008-03,214.1,213.8,217.2,207.7,218.6,222.9,239400,243100,225200,296600,240200,195700
2008-04,212.4,211.8,214.8,205.0,221.7,225.4,237500,240800,222700,292700,243600,197900
2008-05,213.7,213.0,216.1,205.5,224.7,229.3,238900,242200,224100,293400,246900,201300
2008-06,214.0,212.9,217.2,202.1,229.6,232.3,239200,242100,225200,288600,252300,204000
2008-07,212.4,211.7,215.8,201.2,224.2,230.6,237500,240700,223800,287300,246400,202500
2008-08,210.7,210.0,213.3,200.8,218.9,227.6,235600,238800,221200,286800,240600,199800
2008-09,209.7,209.1,212.3,199.5,215.7,224.8,234400,237800,220200,284900,237100,197400
2008-10,204.2,203.5,206.8,193.7,210.5,220.0,228300,231400,214500,276600,231300,193200
2008-11,201.3,200.8,203.0,193.3,207.0,214.9,225000,228300,210500,276100,227500,188700
2008-12,195.2,194.5,196.7,188.5,203.2,211.0,218200,221100,204000,269200,223300,185300
2009-01,197.1,196.9,201.0,186.4,200.3,208.2,220400,223900,208400,266200,220100,182800
2009-02,194.4,194.3,198.0,184.5,196.8,205.1,217300,220900,205300,263500,216300,180100
