Date,Composite_HPI_SA,Single_Family_HPI_SA,One_Storey_HPI_SA,Two_Storey_HPI_SA,Townhouse_HPI_SA,Apartment_HPI_SA,Composite_Benchmark_SA,Single_Family_Benchmark_SA,One_Storey_Benchmark_SA,Two_Storey_Benchmark_SA,Townhouse_Benchmark_SA,Apartment_Benchmark_SA
2005-01,100.0,100.0,100.0,100.0,100.0,100.0,129500,135800,119000,175000,113900,83600
2005-02,100.8,101.0,102.3,99.5,100.6,100.2,130500,137100,121700,174200,114600,83800
2005-03,100.1,100.1,102.0,98.6,101.2,100.4,129600,136000,121400,172500,115300,83900
2005-04,101.3,101.5,103.6,98.8,101.8,100.5,131200,137900,123300,172900,116000,84000
2005-05,102.7,103.2,105.1,100.8,102.4,100.6,133000,140100,125100,176400,116600,84100
2005-06,102.5,102.9,103.9,101.2,103.0,100.8,132700,139700,123600,177100,117300,84300
2005-07,104.0,104.6,107.6,99.6,104.3,101.2,134700,142100,128100,174300,118800,84600
2005-08,104.9,105.4,106.6,103.1,105.6,101.6,135800,143200,126800,180500,120300,84900
2005-09,106.2,106.6,107.3,105.2,107.0,102.0,137500,144800,127700,184100,121900,85300
2005-10,107.6,108.0,109.2,105.8,107.7,103.0,139300,146700,129900,185100,122700,86100
2005-11,108.4,108.7,110.4,106.8,108.4,103.9,140400,147600,131400,186900,123500,86900
2005-12,110.3,110.7,113.9,105.8,109.1,105.0,142900,150300,135500,185200,124300,87800
2006-01,108.4,108.5,111.6,103.9,109.0,105.9,140400,147400,132800,181800,124200,88500
2006-02,106.2,106.0,107.8,103.9,108.9,106.7,137500,144000,128300,181900,124000,89200
2006-03,108.7,109.0,111.9,105.7,108.8,107.7,140800,148000,133200,184900,123900,90000
2006-04,111.5,111.9,114.3,108.8,110.7,108.6,144400,152000,136000,190400,126100,90800
2006-05,110.9,111.3,112.2,110.6,112.6,109.4,143600,151200,133500,193600,128300,91500
2006-06,113.8,114.4,115.5,112.7,114.7,110.4,147400,155300,137400,197300,130600,92300
2006-07,115.9,116.7,117.4,115.3,115.9,111.2,150100,158500,139700,201700,132000,93000
2006-08,118.8,119.7,121.9,115.5,117.2,112.0,153900,162600,145100,202200,133500,93600
2006-09,121.7,122.7,125.4,118.2,118.5,112.8,157600,166600,149200,206900,135000,94300
2006-10,124.9,125.8,127.6,122.6,121.0,115.0,161800,170900,151900,214500,137800,96100
2006-11,124.9,125.6,126.6,124.6,123.5,117.1,161800,170500,150700,218100,140700,97900
2006-12,131.5,132.4,132.7,132.3,126.1,119.4,170300,179800,157900,231500,143600,99800
2007-01,134.0,134.5,133.1,136.9,132.7,126.8,173500,182600,158400,239600,151100,106000
2007-02,135.7,135.8,134.4,138.7,139.5,134.8,175700,184400,159900,242800,158900,112700
2007-03,147.9,148.5,153.7,141.9,146.8,143.2,191500,201600,182900,248300,167200,119700
2007-04,161.9,162.1,167.2,154.9,159.8,162.6,209600,220100,199000,271000,182000,135900
2007-05,174.9,174.7,181.4,165.0,173.9,184.6,226500,237300,215900,288800,198100,154300
2007-06,187.3,186.1,189.8,180.1,187.3,205.1,242500,252700,225900,315100,213300,171500
2007-07,188.0,186.5,190.2,180.1,192.8,208.4,243400,253300,226300,315100,219600,174200
2007-08,191.7,190.1,197.2,178.3,200.3,212.7,248300,258200,234700,312000,228100,177800
2007-09,190.7,188.1,193.4,179.4,208.6,217.3,246900,255500,230100,314000,237600,181700
2007-10,195.7,193.6,199.2,184.2,207.6,219.9,253400,262900,237000,322300,236400,183800
2007-11,200.5,198.9,206.0,189.1,208.3,221.3,259600,270100,245100,330900,237300,185000
2007-12,202.1,200.5,207.0,190.7,209.0,222.8,261700,272300,246300,333700,238100,186300
2008-01,204.8,203.7,210.2,192.8,211.9,225.1,265200,276600,250100,337400,241400,188200
2008-02,212.9,212.8,217.9,204.6,215.9,228.7,275700,289000,259300,358000,245900,191200
2008-03,224.6,225.8,236.4,210.7,220.7,232.5,290800,306600,281300,368800,251400,194400
2008-04,219.3,219.5,227.9,206.3,223.0,236.8,284000,298100,271200,361100,254000,198000
2008-05,220.5,220.4,228.6,207.3,226.3,241.3,285600,299300,272000,362700,257700,201700
2008-06,219.7,218.8,229.4,200.5,230.7,248.4,284500,297100,273000,350800,262800,207700
2008-07,217.5,217.0,225.8,200.9,225.4,244.0,281700,294700,268700,351500,256700,204000
2008-08,214.0,213.4,219.7,201.4,221.4,240.8,277100,289800,261500,352400,252200,201300
2008-09,213.4,213.0,219.4,201.1,218.7,237.8,276400,289300,261100,351900,249100,198800
2008-10,205.7,205.2,211.5,192.9,212.7,230.7,266400,278700,251700,337500,242300,192900
2008-11,202.0,202.2,206.7,193.9,208.5,223.0,261600,274600,246000,339300,237500,186400
2008-12,195.8,196.1,200.6,187.4,204.0,216.1,253600,266300,238700,327900,232300,180700
2009-01,197.5,198.4,205.1,185.2,199.8,213.2,255800,269400,244100,324100,227600,178200
2009-02,193.7,194.6,201.3,181.8,196.8,210.4,250900,264300,239600,318200,224200,175900
2009-03,192.3,193.2,200.4,181.0,194.5,208.3,249000,262400,238500,316700,221500,174100
2009-04,194.7,196.2,203.0,183.3,194.1,207.2,252200,266400,241600,320700,221100,173200
2009-05,195.1,197.0,204.2,183.1,194.6,205.9,252600,267500,243000,320400,221600,172100
2009-06,194.9,196.7,201.8,185.3,195.6,208.0,252400,267100,240200,324200,222800,173900
2009-07,199.0,201.2,208.2,186.1,196.6,210.8,257700,273200,247800,325600,223900,176200
2009-08,200.2,202.2,207.5,189.6,198.4,215.1,259300,274600,246900,331800,226000,179800
2009-09,203.9,206.1,213.7,189.6,200.3,218.9,264000,279900,254300,331800,228100,183000
2009-10,207.2,209.8,215.5,195.1,202.2,224.2,268300,284900,256500,341500,230300,187400
2009-11,209.8,212.5,223.2,192.1,206.1,228.1,271700,288600,265600,336200,234800,190700
2009-12,209.8,212.0,220.1,195.0,210.0,231.8,271700,287900,261900,341300,239200,193800
2010-01,211.9,214.4,217.8,202.3,214.8,234.0,274400,291100,259200,354000,244700,195600
2010-02,215.6,218.9,226.0,202.2,216.4,234.6,279200,297200,268900,353800,246500,196100
2010-03,216.3,219.7,228.5,201.7,218.6,237.2,280100,298300,271900,353000,249000,198300
2010-04,220.1,223.8,231.7,205.4,219.8,242.6,285000,303900,275700,359500,250300,202800
2010-05,217.3,221.1,229.2,202.5,218.4,240.1,281400,300300,272800,354400,248800,200700
2010-06,219.6,224.6,232.1,206.3,218.3,238.2,284400,305000,276200,361100,248600,199100
2010-07,218.2,223.2,230.0,205.4,220.9,236.6,282600,303100,273700,359500,251600,197800
2010-08,221.2,226.7,237.5,203.9,221.0,237.6,286400,307900,282600,356800,251700,198600
2010-09,219.4,224.8,229.6,208.7,221.9,235.4,284100,305300,273200,365200,252700,196800
2010-10,220.2,226.2,232.9,206.8,224.1,235.9,285200,307200,277100,361900,255200,197200
2010-11,219.5,225.3,231.8,207.1,222.6,237.6,284300,305900,275900,362400,253500,198600
2010-12,221.6,228.1,235.1,209.9,220.7,235.9,287000,309800,279800,367300,251400,197200
2011-01,223.2,229.5,236.4,209.4,223.8,237.4,289000,311700,281300,366500,254900,198500
2011-02,220.6,225.3,235.8,201.5,224.5,241.0,285700,306000,280600,352700,255700,201500
2011-03,224.3,230.0,236.9,211.1,222.2,240.1,290500,312400,281900,369400,253100,200700
2011-04,222.9,228.3,238.1,205.1,221.0,240.4,288700,310000,283300,359000,251700,201000
2011-05,223.6,229.3,237.6,207.7,221.5,239.2,289600,311400,282800,363500,252300,200000
2011-06,223.2,228.5,237.0,206.4,221.5,242.6,289000,310300,282000,361200,252300,202800
2011-07,224.1,229.7,239.1,206.4,223.2,240.3,290200,312000,284500,361200,254200,200900
2011-08,223.6,229.4,235.7,209.9,222.8,239.6,289600,311500,280500,367400,253800,200300
2011-09,226.4,233.1,244.1,206.9,223.7,237.6,293200,316600,290500,362000,254800,198600
2011-10,229.6,237.0,246.0,212.7,222.9,241.4,297300,321800,292700,372200,253900,201800
