Date,Composite_HPI_SA,Single_Family_HPI_SA,One_Storey_HPI_SA,Two_Storey_HPI_SA,Composite_Benchmark_SA,Single_Family_Benchmark_SA,One_Storey_Benchmark_SA,Two_Storey_Benchmark_SA
2005-01-01 00:00:00,100.0,100.0,100.0,100.0,105300,105300,111400,98300
2005-02-01 00:00:00,99.1,99.1,98.7,99.6,104300,104300,109900,97900
2005-03-01 00:00:00,98.4,98.4,97.7,99.2,103600,103600,108800,97500
2005-04-01 00:00:00,97.6,97.6,97.8,98.2,102800,102800,108900,96500
2005-05-01 00:00:00,97.7,97.7,98.7,96.9,102900,102900,109900,95300
2005-06-01 00:00:00,97.3,97.3,98.8,95.7,102500,102500,110100,94100
2005-07-01 00:00:00,98.2,98.2,99.0,97.5,103400,103400,110300,95800
2005-08-01 00:00:00,99.0,99.0,98.7,99.2,104200,104200,110000,97500
2005-09-01 00:00:00,99.8,99.8,97.9,100.9,105100,105100,109100,99200
2005-10-01 00:00:00,100.8,100.8,99.8,102.1,106100,106100,111200,100400
2005-11-01 00:00:00,101.9,101.9,101.2,103.5,107300,107300,112700,101700
2005-12-01 00:00:00,102.8,102.8,102.9,104.6,108300,108300,114600,102800
2006-01-01 00:00:00,105.0,105.0,104.3,106.4,110600,110600,116200,104600
2006-02-01 00:00:00,107.3,107.3,107.2,107.6,113000,113000,119400,105800
2006-03-01 00:00:00,108.9,108.9,109.6,108.9,114700,114700,122100,107000
2006-04-01 00:00:00,110.4,110.4,111.4,109.0,116200,116200,124100,107100
2006-05-01 00:00:00,110.3,110.3,111.6,108.9,116100,116100,124300,107000
2006-06-01 00:00:00,110.5,110.5,111.8,108.9,116400,116400,124500,107000
2006-07-01 00:00:00,110.7,110.7,112.0,109.5,116600,116600,124800,107600
2006-08-01 00:00:00,110.9,110.9,111.8,110.1,116800,116800,124500,108200
2006-09-01 00:00:00,111.1,111.1,110.8,110.7,117000,117000,123400,108800
2006-10-01 00:00:00,113.1,113.1,116.1,109.8,119100,119100,129300,107900
2006-11-01 00:00:00,115.5,115.5,121.1,108.9,121600,121600,134900,107000
2006-12-01 00:00:00,117.6,117.6,126.8,107.6,123800,123800,141200,105800
2007-01-01 00:00:00,118.9,118.9,125.9,110.0,125200,125200,140200,108100
2007-02-01 00:00:00,120.0,120.0,126.0,112.5,126400,126400,140400,110600
2007-03-01 00:00:00,121.5,121.5,126.7,115.1,127900,127900,141100,113100
2007-04-01 00:00:00,122.0,122.0,125.3,118.0,128500,128500,139600,116000
2007-05-01 00:00:00,122.4,122.4,123.8,120.9,128900,128900,137900,118800
2007-06-01 00:00:00,122.7,122.7,121.8,123.9,129200,129200,135700,121800
2007-07-01 00:00:00,123.6,123.6,124.0,123.5,130200,130200,138100,121400
2007-08-01 00:00:00,124.4,124.4,125.7,123.1,131000,131000,140000,121000
2007-09-01 00:00:00,125.2,125.2,126.7,122.3,131800,131800,141100,120200
2007-10-01 00:00:00,122.5,122.5,124.7,120.2,129000,129000,138900,118200
2007-11-01 00:00:00,119.8,119.8,121.8,117.9,126200,126200,135700,115900
2007-12-01 00:00:00,117.1,117.1,119.6,115.2,123300,123300,133200,113200
2008-01-01 00:00:00,118.5,118.5,121.7,115.2,124800,124800,135600,113200
2008-02-01 00:00:00,119.5,119.5,123.0,115.7,125800,125800,137000,113700
2008-03-01 00:00:00,120.7,120.7,125.4,116.2,127100,127100,139700,114200
2008-04-01 00:00:00,121.6,121.6,126.2,116.9,128000,128000,140600,114900
2008-05-01 00:00:00,124.3,124.3,129.4,118.0,130900,130900,144200,116000
2008-06-01 00:00:00,126.0,126.0,131.6,119.4,132700,132700,146600,117400
2008-07-01 00:00:00,126.5,126.5,131.3,121.2,133200,133200,146300,119100
2008-08-01 00:00:00,127.6,127.6,132.0,122.8,134400,134400,147000,120700
2008-09-01 00:00:00,129.2,129.2,132.9,123.8,136100,136100,148100,121700
2008-10-01 00:00:00,129.2,129.2,132.0,126.1,136100,136100,147000,124000
2008-11-01 00:00:00,128.5,128.5,130.0,126.8,135300,135300,144800,124600
2008-12-01 00:00:00,127.8,127.8,129.3,127.2,134600,134600,144000,125000
2009-01-01 00:00:00,126.3,126.3,128.7,123.2,133000,133000,143400,121100
2009-02-01 00:00:00,123.9,123.9,126.5,121.3,130500,130500,140900,119200
2009-03-01 00:00:00,121.9,121.9,125.9,118.0,128400,128400,140300,116000
2009-04-01 00:00:00,123.5,123.5,127.1,119.1,130000,130000,141600,117100
