Date,Composite_HPI_SA,Single_Family_HPI_SA,One_Storey_HPI_SA,Two_Storey_HPI_SA,Townhouse_HPI_SA,Composite_Benchmark_SA,Single_Family_Benchmark_SA,One_Storey_Benchmark_SA,Two_Storey_Benchmark_SA,Townhouse_Benchmark_SA
2005-01-01 00:00:00,100.0,100.0,100.0,100.0,100.0,148100,148100,152100,142000,148300
2005-02-01 00:00:00,100.1,100.2,99.7,101.2,100.2,148300,148400,151600,143700,148600
2005-03-01 00:00:00,102.0,102.0,102.0,102.5,100.3,151100,151100,155100,145500,148700
2005-04-01 00:00:00,102.7,102.7,102.3,103.6,100.5,152100,152100,155600,147100,149000
2005-05-01 00:00:00,102.0,102.0,100.5,104.6,100.5,151000,151000,152900,148600,149000
2005-06-01 00:00:00,104.8,104.8,103.7,105.4,100.5,155200,155200,157700,149700,149100
2005-07-01 00:00:00,101.4,101.4,98.9,105.0,101.2,150100,150100,150500,149100,150100
2005-08-01 00:00:00,104.5,104.5,104.8,104.4,101.8,154700,154700,159400,148200,151000
2005-09-01 00:00:00,103.3,103.3,103.4,103.5,102.4,153000,153000,157300,147000,151800
2005-10-01 00:00:00,106.1,106.1,109.3,102.1,103.1,157100,157100,166200,145000,152900
2005-11-01 00:00:00,101.2,101.1,102.0,100.8,103.9,149900,149800,155100,143200,154100
2005-12-01 00:00:00,104.9,104.9,108.5,99.6,104.7,155300,155300,165000,141500,155200
2006-01-01 00:00:00,104.5,104.5,107.1,100.8,105.4,154800,154800,162900,143100,156300
2006-02-01 00:00:00,105.1,105.1,107.6,101.3,106.1,155700,155700,163700,143900,157300
2006-03-01 00:00:00,106.3,106.3,109.1,102.0,106.7,157400,157400,166000,144900,158200
2006-04-01 00:00:00,108.2,108.2,111.8,102.8,107.3,160200,160200,170100,146000,159200
2006-05-01 00:00:00,109.3,109.3,113.3,103.5,107.9,161800,161800,172400,146900,160000
2006-06-01 00:00:00,104.4,104.4,103.9,103.9,108.5,154600,154600,158000,147600,160900
2006-07-01 00:00:00,112.7,112.7,116.8,106.1,109.3,166900,166900,177700,150700,162100
2006-08-01 00:00:00,112.3,112.3,115.2,108.2,110.1,166300,166300,175200,153700,163300
2006-09-01 00:00:00,113.9,113.9,116.4,110.2,110.9,168700,168700,177100,156500,164500
2006-10-01 00:00:00,114.5,114.5,117.6,110.8,111.2,169600,169600,178900,157400,164900
2006-11-01 00:00:00,113.8,113.9,115.9,111.4,111.5,168600,168700,176300,158200,165300
2006-12-01 00:00:00,113.8,113.8,115.1,112.2,111.7,168500,168500,175000,159300,165700
2007-01-01 00:00:00,114.9,114.9,116.0,113.3,111.7,170200,170200,176500,160900,165700
2007-02-01 00:00:00,115.6,115.6,116.6,114.4,111.4,171200,171200,177300,162400,165200
2007-03-01 00:00:00,116.0,116.0,116.4,115.8,111.1,171800,171800,177100,164400,164700
2007-04-01 00:00:00,116.1,116.1,115.5,117.2,112.1,171900,171900,175700,166400,166200
2007-05-01 00:00:00,119.6,119.6,120.7,118.5,113.1,177200,177200,183600,168300,167700
2007-06-01 00:00:00,121.9,121.9,122.8,119.5,114.2,180500,180500,186800,169700,169300
2007-07-01 00:00:00,120.9,120.9,122.2,118.7,114.5,179000,179000,185900,168600,169800
2007-08-01 00:00:00,119.0,119.0,120.1,117.7,114.8,176300,176300,182700,167100,170300
2007-09-01 00:00:00,120.9,120.9,123.9,116.6,114.9,179100,179100,188400,165600,170400
2007-10-01 00:00:00,119.1,119.1,121.0,116.8,115.4,176400,176400,184100,165900,171200
2007-11-01 00:00:00,122.3,122.3,126.3,117.3,116.1,181200,181200,192100,166600,172200
2007-12-01 00:00:00,118.6,118.6,119.8,117.4,116.7,175700,175700,182200,166700,173000
2008-01-01 00:00:00,124.4,124.4,128.2,118.9,117.7,184300,184300,195000,168800,174600
2008-02-01 00:00:00,124.6,124.6,127.0,121.0,118.1,184500,184500,193100,171800,175100
2008-03-01 00:00:00,126.3,126.3,128.4,123.2,118.7,187100,187100,195300,174900,176000
2008-04-01 00:00:00,126.1,126.1,127.3,124.3,119.6,186700,186700,193600,176500,177400
2008-05-01 00:00:00,126.2,126.2,127.0,124.9,120.4,186900,186900,193200,177400,178600
2008-06-01 00:00:00,124.6,124.6,123.7,125.6,121.8,184600,184600,188100,178300,180600
2008-07-01 00:00:00,123.0,123.0,122.3,123.9,121.5,182200,182200,186000,176000,180200
2008-08-01 00:00:00,121.7,121.7,121.5,122.2,121.3,180300,180300,184800,173500,179900
2008-09-01 00:00:00,122.4,122.4,123.5,120.6,120.8,181300,181300,187800,171300,179100
2008-10-01 00:00:00,123.4,123.4,124.1,122.4,120.1,182800,182800,188800,173800,178100
2008-11-01 00:00:00,123.7,123.6,123.6,124.9,119.8,183200,183100,188000,177400,177600
2008-12-01 00:00:00,124.8,124.8,123.7,127.0,119.2,184800,184800,188100,180300,176800
2009-01-01 00:00:00,121.9,121.9,120.2,124.6,119.6,180600,180600,182900,177000,177400
2009-02-01 00:00:00,122.6,122.6,122.2,122.8,118.8,181500,181500,185900,174400,176200
2009-03-01 00:00:00,120.7,120.7,120.6,120.8,118.7,178800,178800,183500,171600,176000
2009-04-01 00:00:00,121.1,121.1,122.1,119.8,118.0,179400,179400,185700,170100,175000
2009-05-01 00:00:00,119.4,119.4,120.8,117.2,117.3,176800,176800,183700,166400,173900
2009-06-01 00:00:00,120.3,120.3,122.6,116.1,117.3,178200,178200,186500,164900,173900
2009-07-01 00:00:00,122.3,122.3,124.5,118.5,118.4,181100,181100,189300,168300,175600
2009-08-01 00:00:00,123.0,123.1,124.6,119.9,119.5,182200,182300,189500,170200,177200
2009-09-01 00:00:00,121.9,121.9,121.5,122.2,120.0,180500,180500,184800,173500,178000
2009-10-01 00:00:00,121.5,121.5,120.5,122.5,120.4,179900,179900,183300,174000,178500
2009-11-01 00:00:00,123.3,123.2,123.1,124.7,121.3,182600,182500,187300,177100,179900
2009-12-01 00:00:00,122.7,122.7,121.2,125.8,121.8,181700,181700,184400,178600,180700
2010-01-01 00:00:00,125.9,125.9,124.8,128.0,119.4,186500,186500,189800,181800,177100
2010-02-01 00:00:00,125.7,125.7,125.7,125.4,122.2,186200,186200,191200,178100,181200
2010-03-01 00:00:00,124.3,124.3,128.1,118.0,124.1,184100,184100,194800,167500,184100
2010-04-01 00:00:00,123.9,123.9,128.2,117.5,123.7,183500,183500,195000,166800,183500
2010-05-01 00:00:00,123.7,123.7,128.9,115.3,123.7,183200,183200,196000,163700,183400
2010-06-01 00:00:00,126.4,126.4,130.4,119.7,122.1,187200,187200,198300,170000,181100
2010-07-01 00:00:00,126.2,126.1,128.7,122.0,123.7,186900,186800,195800,173200,183400
2010-08-01 00:00:00,130.0,130.3,133.3,124.7,123.5,192600,193000,202800,177100,183200
2010-09-01 00:00:00,129.6,129.5,130.8,127.7,125.6,191900,191800,199000,181400,186300
2010-10-01 00:00:00,131.0,131.0,133.9,126.2,126.2,194000,194000,203700,179200,187100
2010-11-01 00:00:00,124.3,124.2,127.4,120.7,125.7,184100,184000,193800,171400,186400
2010-12-01 00:00:00,132.3,132.4,139.4,122.3,126.2,196000,196100,212000,173600,187200
2011-01-01 00:00:00,128.6,128.6,133.2,122.0,125.4,190500,190500,202600,173300,185900
2011-02-01 00:00:00,129.4,129.4,133.1,123.2,127.6,191700,191700,202500,175000,189300
2011-03-01 00:00:00,128.6,128.6,127.8,129.7,127.3,190400,190400,194400,184200,188800
2011-04-01 00:00:00,129.6,129.6,131.8,127.7,127.0,192000,192000,200500,181300,188300
2011-05-01 00:00:00,127.5,127.5,125.0,131.3,125.6,188900,188900,190200,186400,186300
2011-06-01 00:00:00,125.1,125.1,124.2,126.4,124.8,185200,185200,188900,179500,185100
2011-07-01 00:00:00,126.7,126.7,127.4,125.7,122.6,187700,187700,193800,178500,181800
2011-08-01 00:00:00,129.8,130.2,133.7,123.6,123.5,192200,192800,203300,175500,183100
2011-09-01 00:00:00,129.7,129.7,135.8,120.5,123.8,192100,192100,206500,171100,183600
2011-10-01 00:00:00,125.3,125.3,126.3,123.6,125.8,185600,185600,192100,175500,186500
2011-11-01 00:00:00,127.1,127.1,128.7,126.3,124.8,188300,188300,195800,179300,185100
2011-12-01 00:00:00,130.9,131.0,133.7,127.9,124.6,193900,194000,203400,181600,184800
2012-01-01 00:00:00,125.8,125.8,129.3,120.8,126.2,186300,186300,196700,171600,187200
2012-02-01 00:00:00,125.1,125.0,129.6,117.2,126.8,185200,185100,197100,166400,188000
2012-03-01 00:00:00,128.6,128.7,134.7,118.9,124.1,190500,190600,204900,168900,184100
2012-04-01 00:00:00,129.9,129.9,130.8,130.0,125.5,192400,192400,198900,184600,186100
2012-05-01 00:00:00,132.7,132.8,136.4,126.8,127.3,196600,196700,207500,180100,188800
2012-06-01 00:00:00,130.5,130.5,132.8,126.8,127.6,193200,193300,202000,180100,189200
2012-07-01 00:00:00,129.7,129.7,133.8,122.7,127.7,192100,192100,203500,174300,189400
2012-08-01 00:00:00,124.3,124.7,121.5,128.7,127.4,184100,184700,184800,182800,189000
2012-09-01 00:00:00,129.2,129.3,129.7,128.3,125.5,191400,191500,197300,182200,186100
2012-10-01 00:00:00,130.0,130.1,130.3,129.4,124.4,192600,192700,198200,183700,184500
2012-11-01 00:00:00,129.0,129.0,131.3,126.0,126.5,191100,191100,199700,178900,187600
2012-12-01 00:00:00,124.4,124.2,123.9,125.4,127.2,184300,184000,188400,178100,188600
2013-01-01 00:00:00,133.6,133.8,136.6,129.0,127.7,197900,198100,207800,183200,189400
2013-02-01 00:00:00,132.7,132.8,132.0,133.2,126.3,196500,196700,200800,189200,187300
2013-03-01 00:00:00,132.2,132.3,130.6,134.4,127.8,195800,195900,198600,190800,189600
2013-04-01 00:00:00,128.8,128.8,128.0,130.8,128.3,190700,190700,194700,185800,190300
2013-05-01 00:00:00,129.8,129.8,130.0,128.9,129.9,192300,192200,197700,183000,192700
2013-06-01 00:00:00,132.5,132.5,132.7,131.5,131.8,196300,196200,201900,186700,195400
2013-07-01 00:00:00,133.7,133.8,133.4,133.7,129.9,198000,198100,202900,189800,192700
2013-08-01 00:00:00,127.4,127.9,126.6,128.4,128.1,188700,189400,192600,182300,189900
2013-09-01 00:00:00,130.0,130.0,129.5,129.8,129.5,192600,192600,196900,184300,192100
2013-10-01 00:00:00,134.6,134.8,137.9,128.3,129.8,199400,199600,209800,182200,192500
2013-11-01 00:00:00,135.3,135.4,136.4,133.0,131.5,200400,200500,207500,188800,195000
2013-12-01 00:00:00,133.5,133.4,133.6,133.2,132.8,197700,197500,203200,189200,196900
2014-01-01 00:00:00,135.1,135.1,135.9,133.2,134.4,200100,200100,206700,189200,199300
2014-02-01 00:00:00,135.7,135.7,135.4,135.0,135.8,200900,201000,206000,191700,201400
2014-03-01 00:00:00,134.2,134.1,132.5,135.8,134.9,198700,198600,201600,192900,200100
2014-04-01 00:00:00,134.6,134.6,134.4,135.0,133.8,199400,199400,204400,191700,198400
2014-05-01 00:00:00,134.1,134.0,132.3,136.5,133.9,198600,198500,201200,193900,198600
2014-06-01 00:00:00,136.6,136.7,136.3,136.5,134.7,202300,202500,207300,193900,199800
2014-07-01 00:00:00,137.7,137.7,137.0,137.7,137.6,203900,203900,208400,195600,204100
2014-08-01 00:00:00,140.3,140.7,140.9,138.7,140.2,207800,208400,214300,197000,207900
2014-09-01 00:00:00,136.5,136.3,134.5,138.0,140.4,202200,201900,204600,195900,208200
2014-10-01 00:00:00,142.9,142.9,145.0,138.5,141.1,211700,211600,220600,196600,209200
2014-11-01 00:00:00,141.9,141.9,141.4,141.8,140.9,210200,210200,215000,201400,208900
2014-12-01 00:00:00,143.1,143.1,144.8,139.8,142.8,212000,211900,220200,198500,211800
2015-01-01 00:00:00,142.7,142.7,142.3,142.7,141.9,211400,211300,216400,202600,210400
2015-02-01 00:00:00,146.5,146.4,149.0,140.5,145.2,216900,216800,226700,199500,215400
2015-03-01 00:00:00,142.6,142.5,144.6,137.4,147.1,211200,211000,219900,195100,218200
2015-04-01 00:00:00,147.1,147.1,146.5,147.2,148.1,217900,217800,222800,209000,219700
2015-05-01 00:00:00,146.7,146.7,146.9,146.1,146.9,217200,217200,223500,207500,217800
2015-06-01 00:00:00,146.0,145.9,145.3,146.4,149.2,216300,216100,221000,207900,221300
2015-07-01 00:00:00,144.0,144.0,142.5,146.0,150.2,213300,213200,216700,207300,222800
2015-08-01 00:00:00,148.7,149.0,148.2,149.2,152.3,220200,220600,225400,211900,225800
2015-09-01 00:00:00,153.0,152.9,153.3,149.9,155.8,226600,226400,233100,212800,231100
2015-10-01 00:00:00,146.0,145.8,143.9,149.4,159.7,216200,215900,218800,212200,236900
