Date,Composite_HPI_SA,Single_Family_HPI_SA,One_Storey_HPI_SA,Two_Storey_HPI_SA,Townhouse_HPI_SA,Apartment_HPI_SA,Composite_Benchmark_SA,Single_Family_Benchmark_SA,One_Storey_Benchmark_SA,Two_Storey_Benchmark_SA,Townhouse_Benchmark_SA,Apartment_Benchmark_SA
2005-01-01 00:00:00,100.0,100.0,100.0,100.0,100.0,100.0,148100,149300,134500,161400,129400,106500
2005-02-01 00:00:00,100.5,100.6,100.7,100.4,100.8,100.0,148900,150200,135400,162100,130400,106500
2005-03-01 00:00:00,101.1,101.1,101.3,100.9,101.3,100.0,149800,151000,136200,162900,131100,106500
2005-04-01 00:00:00,101.3,101.3,101.2,101.2,101.9,100.0,150000,151200,136100,163300,131900,106500
2005-05-01 00:00:00,101.4,101.3,101.0,101.4,102.6,100.0,150100,151300,135800,163700,132700,106500
2005-06-01 00:00:00,101.4,101.3,100.7,101.7,102.4,100.0,150200,151300,135500,164200,132500,106500
2005-07-01 00:00:00,100.9,100.9,100.9,100.9,102.8,100.0,149500,150700,135700,162900,133000,106500
2005-08-01 00:00:00,100.6,100.6,101.0,100.2,102.1,100.0,149000,150200,135800,161800,132100,106500
2005-09-01 00:00:00,100.2,100.2,101.2,99.2,101.6,100.0,148400,149600,136100,160100,131500,106500
2005-10-01 00:00:00,101.1,101.1,101.4,100.8,101.0,100.0,149700,151000,136400,162700,130700,106500
2005-11-01 00:00:00,101.9,101.9,101.7,102.0,100.6,100.0,150900,152200,136800,164700,130200,106500
2005-12-01 00:00:00,102.8,102.9,102.2,103.2,99.7,100.0,152200,153600,137500,166500,129000,106500
2006-01-01 00:00:00,102.8,102.9,102.5,103.3,98.5,100.0,152300,153600,137800,166700,127500,106500
2006-02-01 00:00:00,102.8,102.9,102.5,103.1,97.0,100.0,152200,153700,137900,166400,125500,106500
2006-03-01 00:00:00,102.7,102.9,102.7,102.9,95.2,100.0,152100,153600,138100,166100,123200,106500
2006-04-01 00:00:00,102.8,103.1,103.3,102.8,93.5,100.0,152300,153900,138900,165900,121000,106500
2006-05-01 00:00:00,103.0,103.2,103.9,102.7,92.0,100.0,152600,154100,139700,165700,119000,106500
