Date,Composite_HPI_SA,Single_Family_HPI_SA,One_Storey_HPI_SA,Two_Storey_HPI_SA,Composite_Benchmark_SA,Single_Family_Benchmark_SA,One_Storey_Benchmark_SA,Two_Storey_Benchmark_SA
2005-01,100.0,100.0,100.0,100.0,130700,130700,127500,137700
2005-02,100.2,100.2,99.4,101.7,131000,131000,126700,140100
2005-03,98.9,98.9,97.1,103.1,129300,129300,123800,142000
2005-04,101.3,101.3,100.2,103.3,132400,132400,127800,142300
2005-05,101.5,101.5,100.5,103.3,132700,132700,128100,142300
2005-06,102.0,102.0,101.2,103.6,133300,133300,129000,142600
2005-07,103.2,103.2,102.5,104.9,134900,134900,130700,144400
2005-08,105.1,105.1,104.4,106.3,137400,137400,133100,146400
2005-09,105.8,105.8,104.7,107.8,138300,138300,133500,148400
2005-10,106.4,106.4,104.2,110.7,139100,139100,132900,152500
2005-11,109.6,109.6,107.5,113.7,143200,143200,137000,156500
2005-12,109.6,109.6,106.1,117.0,143300,143300,135300,161100
2006-01,111.2,111.2,108.7,115.9,145300,145300,138600,159600
2006-02,113.5,113.5,112.7,114.9,148300,148300,143700,158200
2006-03,111.4,111.4,110.7,113.5,145600,145600,141100,156300
2006-04,113.9,113.9,113.6,114.6,148900,148900,144800,157800
2006-05,113.5,113.5,112.4,115.5,148300,148300,143300,159100
2006-06,112.4,112.4,110.2,116.5,146900,146900,140500,160400
2006-07,120.4,120.4,121.2,119.5,157400,157400,154500,164600
2006-08,118.7,118.7,116.5,122.8,155100,155100,148500,169100
2006-09,122.6,122.6,120.9,126.1,160300,160300,154100,173600
2006-10,123.6,123.6,121.3,128.2,161500,161500,154600,176600
2006-11,126.1,126.1,123.9,130.4,164800,164800,158000,179500
2006-12,127.9,127.9,125.6,132.9,167200,167200,160200,183000
2007-01,129.8,129.8,127.5,134.3,169700,169700,162500,184900
2007-02,132.0,132.0,130.0,135.6,172500,172500,165800,186700
2007-03,138.6,138.6,139.8,136.8,181200,181200,178300,188400
2007-04,138.6,138.6,138.4,139.1,181200,181200,176400,191500
2007-05,142.1,142.1,142.4,141.4,185700,185700,181500,194700
2007-06,143.8,143.8,143.8,143.7,188000,188000,183400,197900
2007-07,143.5,143.5,142.6,145.8,187600,187600,181800,200700
2007-08,147.4,147.4,147.1,148.1,192700,192700,187500,204000
2007-09,147.7,147.7,146.4,150.5,193100,193100,186600,207300
2007-10,151.3,151.3,151.0,151.9,197800,197800,192500,209200
2007-11,154.3,154.3,154.9,153.1,201700,201700,197500,210800
2007-12,158.5,158.5,160.5,154.7,207200,207200,204700,213000
