Date,Composite_HPI_SA,Single_Family_HPI_SA,One_Storey_HPI_SA,Two_Storey_HPI_SA,Composite_Benchmark_SA,Single_Family_Benchmark_SA,One_Storey_Benchmark_SA,Two_Storey_Benchmark_SA
2005-01,100.0,100.0,100.0,100.0,136100,136100,146000,123200
2005-02,100.7,100.7,100.9,100.4,137100,137100,147300,123700
2005-03,101.0,101.0,101.0,100.8,137400,137400,147500,124200
2005-04,101.2,101.2,101.2,101.2,137700,137700,147700,124700
2005-05,101.0,101.0,100.7,101.5,137500,137500,147000,125000
2005-06,100.9,100.9,100.3,101.7,137300,137300,146400,125300
2005-07,101.2,101.2,100.5,102.4,137800,137800,146800,126100
2005-08,101.8,101.8,100.9,102.9,138500,138500,147300,126800
2005-09,102.4,102.4,101.6,103.6,139300,139300,148400,127600
2005-10,103.7,103.7,103.4,104.3,141200,141200,151000,128500
2005-11,105.2,105.2,105.5,105.0,143200,143200,154000,129300
2005-12,107.2,107.2,108.0,105.7,145900,145900,157700,130200
2006-01,106.2,106.2,106.6,105.8,144600,144600,155700,130300
2006-02,105.7,105.7,105.5,106.0,143800,143800,154000,130600
2006-03,104.6,104.6,103.7,106.2,142400,142400,151400,130800
2006-04,106.4,106.4,106.4,106.3,144800,144800,155400,130900
2006-05,107.6,107.6,108.6,106.3,146500,146500,158500,130900
2006-06,109.1,109.1,110.9,106.3,148500,148500,161900,131000
2006-07,109.8,109.8,111.2,107.5,149400,149400,162300,132500
2006-08,110.5,110.5,111.6,108.8,150400,150400,162900,134000
2006-09,111.4,111.4,112.3,110.1,151600,151600,164000,135700
2006-10,111.8,111.8,111.9,111.4,152100,152100,163400,137300
2006-11,112.2,112.2,111.8,112.9,152700,152700,163200,139100
2006-12,113.2,113.2,112.0,114.4,154000,154000,163500,141000
2007-01,114.0,114.0,113.3,115.1,155100,155100,165400,141800
2007-02,115.1,115.1,114.7,115.6,156600,156600,167400,142400
2007-03,115.8,115.8,115.5,116.2,157600,157600,168700,143100
2007-04,115.6,115.6,115.0,116.5,157300,157300,167900,143500
2007-05,115.1,115.1,114.0,117.0,156700,156700,166400,144100
2007-06,114.5,114.5,112.7,117.1,155800,155800,164600,144300
2007-07,114.5,114.5,113.2,116.6,155900,155900,165300,143700
2007-08,114.8,114.8,113.8,116.2,156200,156200,166100,143100
2007-09,115.0,115.0,114.6,115.8,156500,156500,167300,142700
2007-10,115.4,115.4,115.2,115.4,157100,157100,168200,142200
2007-11,116.0,116.0,116.4,115.3,157900,157900,170000,142000
2007-12,117.0,117.0,118.0,115.3,159200,159200,172300,142000
2008-01,117.1,117.1,117.6,116.6,159400,159400,171700,143700
2008-02,117.4,117.4,117.3,117.9,159800,159800,171200,145200
2008-03,117.6,117.6,116.6,119.2,160000,160000,170300,146900
2008-04,118.5,118.5,117.9,120.0,161300,161300,172100,147900
2008-05,119.9,119.9,119.2,121.3,163200,163200,174000,149500
2008-06,120.4,120.4,119.7,121.8,163900,163900,174800,150100
2008-07,121.3,121.3,120.8,122.4,165100,165100,176300,150800
2008-08,121.8,121.8,121.7,122.4,165800,165800,177700,150800
2008-09,122.5,122.5,122.7,122.7,166700,166700,179200,151200
2008-10,120.4,120.4,118.4,123.1,163900,163900,172800,151600
2008-11,118.5,118.5,115.1,123.7,161300,161300,168000,152400
2008-12,117.0,117.0,111.8,124.7,159200,159200,163200,153600
2009-01,116.7,116.7,112.0,123.9,158800,158800,163500,152700
2009-02,116.5,116.5,112.1,123.1,158500,158500,163700,151700
2009-03,116.2,116.2,112.1,122.3,158100,158100,163700,150700
2009-04,116.3,116.3,113.6,120.8,158300,158300,165900,148800
2009-05,117.2,117.2,115.4,120.0,159500,159500,168500,147900
2009-06,116.8,116.8,116.1,117.8,158900,158900,169500,145100
2009-07,116.8,116.8,115.8,118.3,159000,159000,169100,145700
