Date,Composite_HPI_SA,Single_Family_HPI_SA,One_Storey_HPI_SA,Two_Storey_HPI_SA,Townhouse_HPI_SA,Apartment_HPI_SA,Composite_Benchmark_SA,Single_Family_Benchmark_SA,One_Storey_Benchmark_SA,Two_Storey_Benchmark_SA,Townhouse_Benchmark_SA,Apartment_Benchmark_SA
2005-01-01 00:00:00,100.0,100.0,100.0,100.0,100.0,100.0,193300,213600,205400,238400,136200,99400
2005-02-01 00:00:00,102.1,102.2,101.9,102.6,103.7,101.8,197400,218200,209400,244700,141200,101200
2005-03-01 00:00:00,104.2,104.2,103.8,105.0,107.0,103.8,201500,222600,213300,250400,145700,103200
2005-04-01 00:00:00,105.8,105.8,105.5,106.6,107.2,106.6,204600,225900,216600,254100,146000,106000
2005-05-01 00:00:00,107.3,107.2,107.0,107.8,107.3,109.9,207400,229000,219800,256900,146200,109200
2005-06-01 00:00:00,108.8,108.7,108.6,109.0,107.9,112.9,210300,232100,223000,259800,146900,112200
2005-07-01 00:00:00,110.9,110.7,110.6,110.7,111.0,114.0,214300,236400,227200,263900,151200,113300
2005-08-01 00:00:00,113.0,112.7,112.7,112.8,114.2,115.5,218400,240700,231400,268900,155500,114800
2005-09-01 00:00:00,115.2,114.7,114.7,114.9,117.5,117.2,222600,245100,235500,274000,160100,116500
2005-10-01 00:00:00,117.1,116.7,116.6,117.0,119.2,120.0,226300,249200,239400,279000,162400,119300
2005-11-01 00:00:00,119.0,118.7,118.4,119.3,121.2,122.8,230100,253500,243200,284500,165100,122100
2005-12-01 00:00:00,121.0,120.6,120.4,121.6,123.1,125.5,233900,257600,247200,290000,167600,124700
2006-01-01 00:00:00,122.8,122.3,122.3,122.2,125.0,129.4,237300,261300,251300,291400,170200,128600
2006-02-01 00:00:00,124.4,123.9,124.1,123.1,126.4,133.9,240400,264700,254900,293500,172200,133100
2006-03-01 00:00:00,125.7,125.3,125.9,123.4,127.5,137.9,243000,267600,258600,294300,173700,137100
2006-04-01 00:00:00,127.2,126.9,127.4,125.4,129.4,139.5,245900,271000,261700,299000,176200,138700
2006-05-01 00:00:00,128.6,128.3,128.8,127.1,130.9,141.5,248500,274000,264500,303100,178300,140700
2006-06-01 00:00:00,130.0,129.7,130.1,128.8,133.3,143.8,251200,277000,267200,307000,181500,142900
2006-07-01 00:00:00,130.5,130.2,130.8,129.2,134.6,145.0,252300,278200,268600,308000,183300,144100
2006-08-01 00:00:00,131.1,130.9,131.5,129.7,136.0,146.7,253500,279600,270000,309100,185200,145800
2006-09-01 00:00:00,131.8,131.6,132.1,130.5,137.4,148.7,254700,281200,271400,311200,187100,147800
2006-10-01 00:00:00,132.4,132.4,133.0,131.1,138.1,148.5,255900,282900,273100,312500,188100,147600
2006-11-01 00:00:00,133.1,133.3,133.8,132.2,139.1,147.9,257300,284800,274900,315100,189500,147000
2006-12-01 00:00:00,133.9,134.4,134.8,133.5,139.7,147.3,258900,287000,276900,318300,190300,146400
2007-01-01 00:00:00,134.9,135.4,135.8,134.8,141.6,148.2,260800,289300,278900,321300,192800,147300
2007-02-01 00:00:00,136.2,136.8,136.8,136.4,142.6,149.6,263300,292100,280900,325200,194200,148700
2007-03-01 00:00:00,137.0,137.7,137.5,137.9,143.1,151.4,264800,294100,282400,328800,194900,150500
2007-04-01 00:00:00,138.1,138.9,138.7,139.2,144.3,151.4,267000,296600,284800,331800,196600,150500
2007-05-01 00:00:00,139.4,140.4,140.1,140.8,144.8,151.7,269500,299900,287800,335600,197200,150800
2007-06-01 00:00:00,140.6,141.6,141.3,142.2,146.5,151.7,271800,302500,290300,338900,199600,150800
2007-07-01 00:00:00,142.0,143.2,143.0,143.4,148.0,152.5,274500,305900,293800,341900,201600,151600
2007-08-01 00:00:00,143.5,144.9,144.6,145.2,149.9,153.8,277400,309400,297000,346200,204200,152900
2007-09-01 00:00:00,145.2,146.8,146.5,147.2,151.8,154.5,280700,313600,301000,350900,206800,153600
2007-10-01 00:00:00,146.8,148.2,147.9,148.6,153.7,159.9,283700,316600,303800,354300,209300,158900
2007-11-01 00:00:00,148.8,150.3,149.9,150.6,156.3,164.3,287600,321000,307900,359100,212900,163300
2007-12-01 00:00:00,151.0,152.4,151.9,152.7,158.1,168.1,291900,325600,312000,364100,215300,167100
2008-01-01 00:00:00,152.5,154.0,153.7,154.5,161.4,168.4,294700,328900,315700,368300,219800,167400
2008-02-01 00:00:00,153.1,154.6,155.3,151.4,160.6,168.8,295900,330200,319000,360900,218800,167800
2008-03-01 00:00:00,154.3,155.7,155.9,154.2,166.9,167.2,298200,332500,320200,367500,227300,166200
2008-04-01 00:00:00,154.6,155.6,156.2,153.5,165.1,174.7,298900,332400,320800,366000,224800,173700
2008-05-01 00:00:00,155.5,156.6,156.9,155.5,167.2,173.4,300600,334600,322200,370600,227700,172400
2008-06-01 00:00:00,155.6,156.7,156.6,156.4,167.5,172.9,300800,334800,321700,372800,228100,171900
2008-07-01 00:00:00,156.0,157.1,156.3,159.1,166.8,177.9,301600,335600,321000,379400,227200,176800
2008-08-01 00:00:00,155.6,156.5,155.9,157.4,167.3,178.1,300800,334200,320200,375300,227900,177000
2008-09-01 00:00:00,154.1,154.8,154.2,155.6,165.3,177.5,297800,330600,316800,370900,225100,176400
2008-10-01 00:00:00,152.6,153.2,152.6,154.4,164.6,175.7,295000,327200,313400,368100,224200,174600
2008-11-01 00:00:00,150.5,151.0,150.5,151.5,162.0,173.9,290900,322500,309100,361100,220700,172900
2008-12-01 00:00:00,147.9,148.3,148.2,147.3,159.7,170.9,285900,316800,304400,351100,217500,169900
2009-01-01 00:00:00,146.5,146.7,146.0,147.9,162.5,166.2,283100,313400,299900,352500,221300,165200
2009-02-01 00:00:00,143.9,144.3,142.4,148.2,155.1,162.5,278100,308300,292400,353200,211200,161500
2009-03-01 00:00:00,141.1,141.9,139.8,146.3,151.5,157.5,272700,303100,287100,348800,206300,156600
2009-04-01 00:00:00,141.6,142.1,140.9,144.7,152.6,158.7,273700,303500,289400,344900,207900,157700
