Date,Composite_HPI_SA,Single_Family_HPI_SA,One_Storey_HPI_SA,Two_Storey_HPI_SA,Townhouse_HPI_SA,Apartment_HPI_SA,Composite_Benchmark_SA,Single_Family_Benchmark_SA,One_Storey_Benchmark_SA,Two_Storey_Benchmark_SA,Townhouse_Benchmark_SA,Apartment_Benchmark_SA
2005-01,100.0,100.0,100.0,100.0,100.0,100.0,301000,373600,337800,425600,265400,173200
2005-02,101.3,101.1,101.2,101.0,101.8,101.7,304900,377700,341900,430000,270100,176100
2005-03,102.5,102.0,102.5,101.8,103.9,103.3,308500,381200,346200,433400,275700,178900
2005-04,104.4,103.8,103.8,103.7,105.4,105.4,314200,387800,350700,441500,279600,182600
2005-05,106.2,105.5,105.2,105.8,106.9,107.4,319600,394100,355500,450300,283600,186000
2005-06,107.9,107.2,106.7,107.7,108.2,109.5,324900,400500,360300,458400,287100,189700
2005-07,109.7,108.9,108.5,109.3,109.3,111.7,330300,407000,366500,465200,290200,193400
2005-08,111.5,110.8,110.4,111.0,110.7,113.7,335600,413900,372800,472400,293700,196900
2005-09,113.2,112.4,112.2,112.6,112.2,115.8,340800,420100,379000,479100,297800,200500
2005-10,114.9,114.1,114.0,114.1,113.4,117.6,345800,426300,385000,485700,300900,203600
2005-11,116.5,115.7,115.8,115.6,114.7,119.6,350600,432400,391100,491900,304400,207200
2005-12,118.2,117.6,117.6,117.2,116.0,122.1,355700,439200,397100,498900,307900,211500
2006-01,119.7,119.0,119.0,118.8,118.7,124.0,360200,444400,402000,505600,315000,214800
2006-02,121.1,120.4,120.2,120.7,120.9,125.5,364400,449900,406200,513700,320900,217300
2006-03,122.3,121.7,121.3,122.3,123.6,126.6,368000,454500,409800,520400,328000,219300
2006-04,123.1,122.4,122.3,122.2,123.8,128.1,370500,457300,413100,520200,328600,221900
2006-05,123.5,122.9,123.0,122.3,124.4,129.4,371600,459000,415500,520500,330100,224100
2006-06,124.0,123.4,123.9,122.4,124.5,130.9,373200,461000,418500,521000,330500,226800
2006-07,124.5,124.1,124.3,123.4,125.0,131.1,374800,463700,420000,525400,331700,227000
2006-08,124.9,124.6,124.5,124.1,125.8,131.3,376000,465500,420700,528200,333900,227400
2006-09,125.4,125.3,125.0,125.2,126.8,131.4,377500,468300,422400,532900,336500,227500
2006-10,125.6,125.5,125.2,125.2,127.4,131.9,378200,468700,423000,532700,338100,228500
2006-11,126.0,125.7,125.5,125.3,128.4,133.0,379400,469600,424100,533300,340700,230300
2006-12,126.3,125.9,125.7,125.2,129.0,134.2,380100,470300,424600,532800,342400,232500
2007-01,127.5,127.0,127.5,125.8,129.9,136.0,383700,474400,430800,535400,344800,235600
2007-02,128.3,128.1,128.8,126.5,129.8,137.4,386200,478600,435100,538300,344500,238000
2007-03,128.6,128.3,129.6,126.7,129.9,138.5,387100,479500,437700,539300,344800,239800
2007-04,130.6,130.4,131.5,128.1,131.3,140.1,393000,487300,444300,545400,348600,242600
2007-05,132.3,132.4,133.5,130.1,133.5,140.6,398200,494500,450800,553700,354400,243600
2007-06,133.9,134.1,135.0,132.0,135.1,142.2,402900,500900,455900,561700,358600,246300
2007-07,135.0,135.0,136.1,132.5,135.9,144.7,406200,504200,459700,564000,360600,250600
2007-08,136.0,135.8,137.1,133.3,136.9,146.9,409500,507500,463100,567200,363400,254500
2007-09,137.4,137.2,138.2,134.4,138.2,149.0,413600,512400,467000,571900,366800,258100
2007-10,139.1,139.0,139.9,136.7,139.3,150.2,418600,519400,472700,582000,369600,260100
2007-11,141.0,141.3,141.8,139.4,140.8,151.9,424300,527800,479000,593100,373800,263100
2007-12,142.9,143.8,143.7,142.2,141.8,152.5,430100,537100,485400,605200,376400,264100
2008-01,143.8,144.3,145.0,142.3,143.6,153.1,432700,539100,489800,605600,381100,265100
2008-02,144.6,144.9,145.8,142.5,145.9,154.1,435100,541500,492400,606500,387100,266900
2008-03,145.1,145.7,146.7,143.4,143.7,154.6,436700,544300,495700,610100,381400,267700
2008-04,145.0,145.5,145.4,144.0,144.4,153.7,436300,543600,491000,612700,383200,266200
2008-05,145.1,145.4,145.7,143.5,144.3,154.8,436800,543300,492300,610800,383100,268100
2008-06,145.0,145.3,145.3,143.6,144.4,154.3,436300,542700,490800,611000,383300,267300
2008-07,145.3,145.7,146.1,143.8,145.6,154.4,437300,544200,493600,612100,386400,267500
