Date,Composite_HPI_SA,Single_Family_HPI_SA,One_Storey_HPI_SA,Two_Storey_HPI_SA,Townhouse_HPI_SA,Apartment_HPI_SA,Composite_Benchmark_SA,Single_Family_Benchmark_SA,One_Storey_Benchmark_SA,Two_Storey_Benchmark_SA,Townhouse_Benchmark_SA,Apartment_Benchmark_SA
2005-01,100.0,100.0,100.0,100.0,100.0,100.0,195100,205700,194000,216700,138100,119200
2005-02,100.3,100.5,99.4,101.2,99.3,99.3,195700,206800,192900,219300,137200,118400
2005-03,100.8,101.1,98.9,102.4,98.8,98.7,196600,207900,191900,222000,136400,117700
2005-04,100.9,101.3,98.4,102.8,98.2,98.2,196800,208300,190800,222700,135600,117000
2005-05,100.9,101.4,97.8,103.0,97.5,97.6,196900,208500,189800,223100,134700,116300
2005-06,100.8,101.2,97.7,103.0,97.5,97.0,196600,208200,189500,223100,134600,115600
2005-07,99.8,100.3,98.0,101.4,96.8,96.4,194800,206300,190200,219700,133700,114900
2005-08,98.9,99.2,98.6,99.7,96.8,95.8,192900,204000,191200,216100,133700,114200
2005-09,98.0,98.2,98.9,97.8,96.6,95.2,191200,202100,191900,211900,133400,113500
2005-10,98.3,98.6,98.9,98.4,96.5,94.6,191800,202800,191900,213200,133300,112800
2005-11,98.7,99.0,98.9,98.8,96.3,94.0,192500,203700,191800,214100,133000,112100
2005-12,99.0,99.5,98.8,99.3,96.5,93.5,193100,204600,191700,215100,133200,111400
2006-01,99.0,99.2,98.6,99.4,97.8,95.3,193100,204100,191300,215500,135000,113600
2006-02,98.9,99.0,98.4,99.3,99.6,97.1,193000,203700,190900,215200,137500,115700
2006-03,99.0,98.9,98.2,99.1,101.5,99.0,193100,203500,190500,214800,140200,118000
2006-04,99.7,99.5,98.1,99.8,103.5,100.8,194500,204700,190400,216300,143000,120200
2006-05,100.4,100.0,98.2,100.5,105.6,102.8,195800,205800,190500,217800,145900,122500
2006-06,100.8,100.3,98.7,100.9,108.3,104.8,196600,206300,191400,218700,149500,124900
2006-07,101.1,100.7,99.1,101.4,106.2,104.4,197200,207200,192300,219800,146600,124400
2006-08,101.2,100.9,99.8,101.8,104.8,103.9,197400,207600,193700,220600,144700,123900
2006-09,101.5,101.3,100.4,102.0,103.1,103.5,198000,208400,194700,221100,142400,123400
2006-10,101.0,100.9,99.1,102.1,101.7,103.1,197100,207500,192300,221200,140500,122900
2006-11,100.6,100.5,97.8,102.0,100.1,102.7,196200,206700,189700,221100,138200,122400
2006-12,100.1,100.1,96.5,102.2,98.8,102.3,195300,206000,187200,221500,136500,121900
2007-01,99.5,99.6,96.3,101.7,97.9,100.8,194100,204800,186900,220300,135200,120200
2007-02,99.1,99.3,96.3,101.2,97.2,99.5,193400,204200,186800,219300,134300,118600
2007-03,98.7,98.9,96.0,100.7,96.9,98.2,192500,203400,186300,218300,133800,117000
2007-04,98.4,98.7,95.4,100.7,96.7,96.8,192000,203000,185000,218300,133500,115400
2007-05,98.3,98.5,94.7,100.8,96.5,95.5,191700,202600,183700,218400,133200,113800
2007-06,97.7,98.1,94.5,100.6,96.6,94.2,190600,201700,183400,218000,133400,112300
2007-07,97.5,97.7,94.0,100.4,96.8,95.0,190300,201000,182300,217500,133700,113200
2007-08,97.2,97.3,94.0,99.8,97.5,95.8,189700,200100,182300,216200,134700,114200
2007-09,97.2,97.3,93.8,99.5,98.1,96.6,189700,200100,182000,215600,135500,115100
2007-10,96.7,96.5,93.4,98.6,98.7,97.4,188600,198600,181100,213600,136300,116100
2007-11,96.3,96.1,92.9,97.8,99.6,98.2,187900,197700,180300,211900,137500,117100
2007-12,95.9,95.6,92.5,97.4,100.2,99.1,187100,196600,179500,211100,138400,118100
