Date,Composite_HPI_SA,Single_Family_HPI_SA,One_Storey_HPI_SA,Two_Storey_HPI_SA,Townhouse_HPI_SA,Apartment_HPI_SA,Composite_Benchmark_SA,Single_Family_Benchmark_SA,One_Storey_Benchmark_SA,Two_Storey_Benchmark_SA,Townhouse_Benchmark_SA,Apartment_Benchmark_SA
2005-01,100.0,100.0,100.0,100.0,100.0,100.0,120900,122400,117400,128800,114300,105000
2005-02,100.7,100.7,100.6,101.6,99.7,100.3,121700,123300,118100,130800,114000,105300
2005-03,101.4,101.5,101.4,102.0,99.7,100.3,122600,124200,119100,131400,113900,105300
2005-04,101.9,102.0,102.6,101.7,100.3,101.0,123200,124800,120400,131000,114700,106100
2005-05,103.0,103.0,103.1,103.6,101.2,101.7,124500,126100,121000,133400,115700,106800
2005-06,103.7,103.8,103.7,104.5,102.2,102.5,125400,127000,121700,134600,116800,107600
2005-07,104.7,104.8,106.2,103.8,102.4,103.0,126600,128300,124700,133700,117000,108200
2005-08,105.6,105.8,105.7,106.7,102.7,103.8,127700,129500,124100,137400,117400,109000
2005-09,106.9,107.1,107.4,107.4,102.6,104.5,129200,131100,126100,138300,117300,109700
2005-10,107.7,107.9,107.7,108.9,105.3,105.6,130200,132100,126400,140200,120400,110900
2005-11,110.1,110.3,109.3,112.5,107.7,106.8,133100,135000,128300,144900,123100,112100
2005-12,108.9,108.8,109.2,109.6,110.1,108.2,131700,133200,128200,141200,125800,113600
2006-01,111.0,111.2,111.0,111.7,109.9,108.8,134200,136100,130300,143900,125600,114200
2006-02,111.4,111.6,111.8,112.1,109.9,109.6,134700,136600,131200,144400,125600,115100
2006-03,112.4,112.7,112.8,113.0,110.1,110.5,135900,137900,132400,145500,125900,116000
2006-04,114.3,114.6,114.5,115.3,110.7,111.1,138200,140300,134400,148500,126500,116700
2006-05,115.1,115.4,116.4,114.9,111.5,111.8,139200,141300,136600,148000,127400,117400
2006-06,115.9,116.2,117.6,114.8,112.2,112.6,140100,142200,138100,147800,128300,118200
2006-07,116.4,116.7,116.1,117.9,113.4,113.8,140700,142800,136300,151900,129600,119500
