Date,Composite_HPI_SA,Single_Family_HPI_SA,One_Storey_HPI_SA,Two_Storey_HPI_SA,Townhouse_HPI_SA,Composite_Benchmark_SA,Single_Family_Benchmark_SA,One_Storey_Benchmark_SA,Two_Storey_Benchmark_SA,Townhouse_Benchmark_SA
2005-01,100.0,100.0,100.0,100.0,100.0,161000,167600,153600,179000,97500
2005-02,100.7,100.8,101.1,100.6,100.3,162200,169000,155300,180000,97800
2005-03,101.4,101.5,102.1,101.2,100.7,163200,170100,156800,181100,98200
2005-04,102.4,102.6,102.8,102.5,101.1,164900,172000,157900,183400,98600
2005-05,103.4,103.7,103.5,103.9,101.4,166500,173800,159000,185900,98900
2005-06,104.3,104.7,104.2,105.1,101.8,168000,175500,160000,188200,99300
2005-07,106.1,106.5,105.3,107.3,102.2,170800,178500,161800,192100,99600
2005-08,107.8,108.2,106.5,109.4,102.6,173500,181400,163600,195900,100000
2005-09,109.3,109.8,107.6,111.6,103.0,175900,184100,165300,199800,100400
2005-10,110.4,110.9,108.4,112.7,103.3,177700,185800,166500,201800,100700
2005-11,111.4,111.8,108.9,113.9,103.7,179300,187400,167300,203900,101100
2005-12,112.3,112.7,109.7,115.1,104.1,180800,188900,168500,206000,101500
2006-01,113.6,114.0,111.1,116.1,106.2,182900,191100,170600,207900,103500
2006-02,114.8,115.2,112.2,117.3,108.3,184900,193100,172400,210000,105600
2006-03,116.0,116.3,113.3,118.5,110.5,186700,195000,174000,212100,107700
2006-04,116.6,116.9,113.0,119.8,112.7,187700,196000,173600,214400,109900
2006-05,117.2,117.5,112.6,121.1,115.0,188700,197000,172900,216700,112100
2006-06,117.8,118.1,112.2,122.3,117.2,189700,198000,172300,219000,114300
2006-07,117.5,117.6,112.6,121.3,117.0,189100,197100,172900,217100,114100
2006-08,117.0,117.1,112.8,120.1,116.7,188300,196200,173300,215000,113800
2006-09,116.1,116.3,113.0,118.9,116.5,187000,194900,173600,212800,113600
2006-10,117.1,117.2,114.9,118.9,116.2,188600,196500,176500,212900,113300
2006-11,117.8,118.0,116.7,118.9,116.0,189600,197700,179200,212900,113100
2006-12,118.5,118.6,118.6,118.9,115.7,190800,198800,182100,212800,112800
2007-01,119.4,119.5,119.1,119.9,117.6,192300,200300,182900,214700,114700
2007-02,119.9,120.0,119.3,120.7,119.6,193100,201100,183200,216000,116600
2007-03,120.7,120.8,119.4,121.5,121.5,194400,202400,183400,217500,118500
2007-04,120.8,120.8,119.6,121.7,123.6,194500,202400,183700,217800,120500
2007-05,121.0,120.9,119.7,121.8,125.5,194800,202600,183800,218100,122400
2007-06,121.2,121.1,119.6,122.1,127.7,195100,202900,183700,218600,124500
2007-07,121.3,121.1,119.5,122.4,126.7,195300,203000,183600,219100,123500
2007-08,121.3,121.2,119.3,122.6,125.5,195300,203100,183300,219500,122400
2007-09,121.1,121.0,119.0,122.8,124.6,194900,202800,182800,219800,121500
2007-10,122.4,122.4,119.1,124.7,123.6,197100,205200,183000,223300,120500
2007-11,123.3,123.4,119.1,126.5,122.6,198500,206800,183000,226500,119500
2007-12,124.4,124.5,119.3,128.5,121.5,200300,208700,183200,230000,118500
2008-01,125.2,125.3,119.9,129.3,123.7,201600,210000,184200,231400,120600
2008-02,125.3,125.4,120.7,128.9,125.8,201700,210100,185400,230800,122700
2008-03,126.1,126.1,121.1,129.3,128.2,203100,211300,186000,231400,125000
2008-04,125.1,124.9,122.0,127.3,130.4,201400,209300,187400,227900,127100
2008-05,124.5,124.1,122.7,125.4,133.0,200400,208000,188400,224400,129700
2008-06,124.2,123.6,123.2,124.0,135.6,200000,207100,189200,221900,132200
2008-07,124.7,124.2,123.3,125.1,134.8,200800,208200,189400,224000,131400
2008-08,125.8,125.2,123.4,126.9,134.1,202500,209900,189500,227100,130700
2008-09,126.2,125.8,123.2,128.2,132.9,203200,210900,189300,229500,129600
2008-10,125.4,124.9,122.1,127.3,132.1,201900,209400,187500,227900,128800
2008-11,124.0,123.3,120.6,125.6,131.5,199600,206700,185300,224900,128200
2008-12,122.8,122.2,119.4,124.7,130.5,197700,204800,183400,223200,127200
2009-01,121.6,120.9,117.2,124.2,129.5,195700,202700,180000,222400,126300
2009-02,119.4,118.7,114.8,122.2,128.8,192300,199000,176300,218700,125600
2009-03,118.4,117.8,112.2,121.6,127.9,190700,197400,172300,217700,124700
2009-04,118.6,118.0,113.5,121.7,126.5,190900,197800,174400,217900,123300
2009-05,118.9,118.4,114.6,121.8,125.4,191400,198500,176100,218000,122300
2009-06,119.8,119.5,116.3,122.2,124.3,192800,200200,178700,218700,121200
2009-07,120.0,119.5,116.8,122.2,125.8,193200,200200,179400,218700,122700
2009-08,120.9,120.4,117.6,123.4,127.1,194700,201800,180600,220800,123900
2009-09,121.6,120.9,118.0,124.1,128.3,195700,202700,181300,222200,125100
2009-10,122.4,121.7,118.8,124.8,129.7,197000,203900,182400,223400,126500
2009-11,122.4,121.6,119.4,124.4,131.4,197100,203800,183400,222600,128100
2009-12,123.2,122.4,120.2,125.0,133.0,198300,205100,184600,223700,129700
2010-01,122.0,121.3,120.5,123.2,128.2,196400,203300,185100,220600,125000
2010-02,123.8,123.2,121.9,125.1,129.2,199300,206500,187200,224000,126000
2010-03,122.9,122.0,121.9,122.4,128.8,197800,204500,187200,219100,125600
2010-04,124.7,124.3,121.0,128.0,124.5,200700,208300,185800,229100,121400
2010-05,125.6,125.2,121.5,129.3,125.4,202200,209800,186600,231400,122300
2010-06,125.7,125.4,122.4,128.8,125.1,202400,210200,188000,230600,122000
2010-07,125.8,125.7,122.4,129.3,125.0,202500,210700,188000,231400,121900
2010-08,125.1,125.1,122.9,127.9,122.1,201400,209700,188700,229000,119000
2010-09,126.5,126.5,124.7,128.9,123.8,203700,212000,191600,230700,120700
2010-10,125.0,124.9,122.9,127.5,121.3,201300,209400,188700,228300,118300
2010-11,127.4,127.3,126.3,128.9,121.1,205100,213400,194000,230700,118100
2010-12,126.8,126.7,125.6,128.0,120.4,204100,212400,192900,229200,117400
2011-01,127.4,127.3,126.4,129.3,118.2,205100,213400,194100,231400,115200
2011-02,127.9,128.0,125.8,130.3,118.7,205900,214500,193300,233300,115700
2011-03,128.7,128.6,125.3,130.8,118.7,207200,215500,192400,234200,115700
2011-04,128.9,128.9,127.0,130.8,119.4,207500,216000,195000,234100,116400
2011-05,128.8,129.1,127.1,131.1,117.1,207300,216300,195200,234600,114200
2011-06,127.2,127.6,125.7,129.3,115.7,204800,213800,193100,231500,112800
2011-07,127.8,128.0,125.4,130.3,118.6,205800,214500,192600,233200,115600
2011-08,127.8,127.7,125.7,129.6,121.8,205800,214100,193000,232000,118800
2011-09,127.2,127.1,125.0,128.9,119.6,204800,213100,192000,230700,116600
2011-10,127.7,127.4,123.8,129.9,126.6,205600,213600,190200,232600,123400
2011-11,126.3,125.8,123.1,127.7,129.2,203300,210800,189100,228600,126000
2011-12,128.9,128.6,123.2,132.0,129.3,207600,215500,189300,236300,126100
2012-01,132.9,132.8,126.8,137.4,127.3,214000,222500,194700,246000,124100
2012-02,132.5,132.2,129.9,133.6,130.5,213400,221500,199600,239100,127200
2012-03,132.4,132.3,131.4,131.8,124.0,213100,221700,201900,236000,120900
2012-04,132.7,132.2,132.2,132.1,129.9,213600,221600,203000,236400,126700
2012-05,133.4,132.8,130.7,134.1,134.6,214700,222600,200800,240000,131200
2012-06,135.3,134.7,129.2,138.0,134.3,217800,225700,198400,247000,130900
2012-07,135.2,134.9,128.9,138.2,135.9,217700,226100,198000,247300,132500
2012-08,135.0,134.6,128.9,137.8,135.3,217300,225600,198000,246600,131900
2012-09,132.9,132.5,129.0,134.2,131.6,213900,222100,198100,240200,128300
2012-10,132.9,132.6,131.1,132.8,134.1,213900,222200,201300,237700,130700
2012-11,133.1,132.8,131.3,133.1,132.1,214300,222500,201700,238300,128800
2012-12,137.0,137.4,131.7,139.9,125.8,220600,230200,202300,250400,122700
2013-01,134.3,134.3,130.1,136.9,128.2,216200,225100,199900,245100,125000
2013-02,135.9,136.1,129.2,139.7,126.7,218800,228100,198500,250100,123500
2013-03,137.5,138.1,132.8,140.1,125.5,221300,231400,204000,250800,122400
2013-04,135.5,136.0,131.1,138.5,128.4,218200,227900,201300,247900,125200
2013-05,133.6,134.0,130.1,136.1,124.9,215100,224600,199800,243700,121800
2013-06,135.8,136.1,132.4,137.9,125.7,218600,228100,203400,246800,122600
2013-07,135.8,136.0,134.4,136.6,126.7,218700,227900,206500,244600,123500
2013-08,135.8,136.3,133.3,137.8,123.7,218700,228400,204700,246600,120600
2013-09,136.8,137.4,132.4,140.3,120.9,220300,230200,203400,251200,117900
2013-10,137.3,137.9,131.9,141.7,123.1,221000,231200,202600,253600,120000
2013-11,137.7,138.7,133.4,141.9,119.4,221700,232400,204900,254000,116400
2013-12,138.6,139.6,135.3,141.7,120.6,223100,233900,207800,253700,117600
2014-01,136.0,137.1,132.6,140.4,117.7,219000,229700,203600,251300,114800
2014-02,135.5,136.5,132.4,139.1,117.7,218100,228700,203400,249000,114800
2014-03,135.4,136.2,132.9,137.7,121.2,218000,228300,204100,246500,118200
2014-04,137.7,138.6,133.2,142.0,121.9,221700,232300,204600,254100,118900
2014-05,138.7,139.5,134.4,142.8,122.5,223300,233800,206500,255700,119400
2014-06,138.9,139.3,135.6,141.5,127.8,223600,233500,208300,253300,124600
2014-07,139.7,140.5,135.0,143.9,121.9,224900,235400,207300,257600,118900
2014-08,141.6,142.5,137.5,145.9,124.9,228000,238900,211200,261200,121800
2014-09,142.3,143.3,137.8,146.9,119.3,229100,240100,211700,263000,116300
2014-10,144.0,145.0,139.9,148.5,119.3,231900,243100,214900,265800,116300
2014-11,143.5,144.3,139.0,147.8,119.7,231000,241900,213500,264500,116700
2014-12,141.7,142.2,137.6,144.9,122.1,228100,238400,211400,259300,119000
2015-01,142.7,143.4,144.4,143.0,124.3,229800,240300,221800,255900,121200
2015-02,143.0,143.7,144.5,143.4,121.1,230200,240900,221900,256600,118100
2015-03,143.4,144.1,144.0,143.9,121.3,230900,241500,221200,257600,118300
2015-04,143.1,143.6,141.2,145.4,125.6,230400,240700,216900,260300,122500
2015-05,144.5,145.0,143.4,146.6,120.2,232600,243100,220300,262400,117200
2015-06,144.5,145.2,141.7,147.7,123.1,232700,243400,217600,264400,120000
2015-07,147.2,147.7,143.6,150.3,123.6,237000,247600,220500,269000,120500
2015-08,147.9,148.4,145.4,150.3,123.6,238100,248700,223300,269000,120500
2015-09,150.2,150.8,147.3,152.9,124.6,241900,252700,226300,273700,121500
2015-10,150.9,151.6,147.8,153.7,123.1,242900,254000,227000,275100,120000
2015-11,153.4,154.1,148.9,157.0,129.7,247000,258200,228700,281000,126500
2015-12,154.6,155.4,150.0,158.0,128.8,248900,260400,230400,282800,125600
2016-01,157.3,158.1,152.7,161.2,134.7,253200,264900,234600,288500,131300
2016-02,156.9,157.6,150.7,162.0,132.1,252600,264200,231500,289900,128800
2016-03,158.8,159.8,151.6,164.2,131.0,255700,267900,232800,293900,127700
2016-04,159.1,160.0,152.4,163.7,135.7,256100,268100,234100,293000,132300
2016-05,159.7,161.0,154.1,164.6,132.2,257100,269900,236700,294600,128900
2016-06,161.4,162.8,156.5,165.8,139.0,259900,272800,240400,296800,135500
2016-07,162.7,164.4,158.7,166.9,134.4,262000,275600,243700,298800,131000
2016-08,165.3,166.7,161.8,168.6,143.9,266200,279400,248600,301800,140300
2016-09,168.6,170.0,166.4,170.9,145.9,271500,285000,255600,305900,142300
2016-10,171.4,172.9,167.8,174.5,149.0,276000,289800,257700,312300,145300
2016-11,173.9,175.6,169.6,177.6,149.0,280000,294300,260500,317900,145300
2016-12,176.4,178.0,169.4,181.1,150.7,284000,298300,260200,324200,146900
2017-01,178.3,180.0,169.5,184.4,155.0,287000,301600,260400,330000,151100
2017-02,183.0,185.1,175.9,189.3,153.3,294600,310300,270200,338800,149500
2017-03,190.1,192.7,181.8,197.3,159.6,306100,322900,279200,353100,155600
2017-04,195.8,199.0,189.9,202.7,150.6,315300,333600,291700,362800,146800
2017-05,202.4,206.4,193.8,212.5,146.3,325800,346000,297600,380300,142600
2017-06,207.0,210.6,197.7,216.8,159.5,333200,353000,303600,388100,155500
2017-07,203.7,207.9,198.5,211.2,155.6,328000,348400,304900,378100,151700
2017-08,203.2,207.2,195.5,212.0,155.5,327100,347300,300300,379400,151600
2017-09,201.9,205.7,194.8,210.0,162.1,325100,344700,299200,375900,158000
2017-10,203.7,207.5,197.7,210.9,167.4,328000,347700,303700,377600,163200
2017-11,206.5,210.3,204.2,211.6,169.7,332500,352500,313600,378700,165500
