Month-Year,Total Value
Jan-2015,18690
Feb-2015,21055
Mar-2015,29955
Apr-2015,33580
May-2015,32975
Jun-2015,36240
Jul-2015,35330
Aug-2015,29305
Sep-2015,31100
Oct-2015,27245
Nov-2015,23960
Dec-2015,28100
Jan-2016,33040
Feb-2016,37705
Mar-2016,35650
Apr-2016,42100
May-2016,38290
Jun-2016,42005
Jul-2016,33450
Aug-2016,26655
Sep-2016,25325
Oct-2016,21410
Nov-2016,19475
Dec-2016,23160
Jan-2017,26605
Feb-2017,28170
Mar-2017,36800
Apr-2017,38790
May-2017,34860
Jun-2017,37000
Jul-2017,34605
Aug-2017,27810
Sep-2017,26715
Oct-2017,24630
Nov-2017,23615
Dec-2017,27185
Jan-2018,30040
Feb-2018,30935
Mar-2018,39260
Apr-2018,42015
May-2018,39595
Jun-2018,40455
Jul-2018,37965
Aug-2018,31130
Sep-2018,33155
Oct-2018,30400
Nov-2018,26705
Dec-2018,25365
Jan-2019,25240
Feb-2019,26430
Mar-2019,35785
Apr-2019,42920
May-2019,44715
Jun-2019,46410
Jul-2019,47230
Aug-2019,37905
Sep-2019,41805
Oct-2019,36490
Nov-2019,30665
Dec-2019,25840
Jan-2020,32205
Feb-2020,32640
Mar-2020,23960
Apr-2020,17170
May-2020,20070
Jun-2020,28075
Jul-2020,21520
Aug-2020,18555
Sep-2020,19720
Oct-2020,19695
Nov-2020,20495
Dec-2020,17425
Jan-2021,35145
Feb-2021,32255
Mar-2021,36675
Apr-2021,38075
May-2021,29240
Jun-2021,47310
Jul-2021,48445
Aug-2021,43915
Sep-2021,50125
Oct-2021,51210
Nov-2021,51875
Dec-2021,48170
Jan-2022,42470
Feb-2022,44375
Mar-2022,54095
Apr-2022,56355
May-2022,51715
Jun-2022,56950
Jul-2022,55765
Aug-2022,45715
Sep-2022,56825
Oct-2022,44885
Nov-2022,35560
Dec-2022,31365
Jan-2023,64075
Feb-2023,62700
Mar-2023,63940
Apr-2023,55650
May-2023,66710
Jun-2023,62730
Jul-2023,58420
Aug-2023,47560
Sep-2023,46675
Oct-2023,45780
Nov-2023,40345
Dec-2023,45820
Jan-2024,60775
Feb-2024,51585
Mar-2024,52395
Apr-2024,68645
May-2024,68815
Jun-2024,63770
